CityName,CityCode,MSOAName,MSOACode,Area
Birmingham,J01000007,Birmingham 107,E02001933,1.6600048281097401
Birmingham,J01000007,Birmingham 108,E02001934,1.20650804772186
Birmingham,J01000007,Birmingham 109,E02001935,1.96826518704987
Birmingham,J01000007,Birmingham 110,E02001936,1.23246854064178
Birmingham,J01000007,Birmingham 111,E02001937,1.83661074740601
Birmingham,J01000007,Birmingham 112,E02001938,1.84907767814636
Birmingham,J01000007,Birmingham 113,E02001939,1.7182088904953001
Birmingham,J01000007,Birmingham 115,E02001941,1.4024796409454299
Birmingham,J01000007,Birmingham 116,E02001942,1.1629216672973601
Birmingham,J01000007,Birmingham 117,E02001943,1.67835426228333
Birmingham,J01000007,Birmingham 118,E02001944,1.86879282928467
Birmingham,J01000007,Birmingham 119,E02001945,1.60721267634583
Birmingham,J01000007,Birmingham 120,E02001946,1.7985735508270302
Birmingham,J01000007,Birmingham 121,E02001947,1.22756093317413
Birmingham,J01000007,Birmingham 122,E02001948,1.25156931157684
Birmingham,J01000007,Birmingham 123,E02001949,1.9065216418457
Birmingham,J01000007,Birmingham 124,E02001950,1.8813444746780401
Birmingham,J01000007,Birmingham 125,E02001951,1.61583961035156
Birmingham,J01000007,Birmingham 126,E02001952,1.66725703669739
Birmingham,J01000007,Birmingham 127,E02001953,2.1792994107666
Birmingham,J01000007,Birmingham 128,E02001954,1.8386389152450602
Birmingham,J01000007,Birmingham 129,E02001955,2.84913572087097
Birmingham,J01000007,Birmingham 130,E02001956,1.6134345520553601
Birmingham,J01000007,Birmingham 131,E02001957,1.340695597229
Birmingham,J01000007,Sandwell 032,E02002074,1.36821796550751
Birmingham,J01000007,Sandwell 036,E02002078,1.1612241659393299
Birmingham,J01000007,Sandwell 037,E02002079,1.92937420797729
Birmingham,J01000007,Solihull 001,E02002081,1.8558203603363
Birmingham,J01000007,Solihull 002,E02002082,0.6973328870391851
Birmingham,J01000007,Solihull 003,E02002083,1.34614539647675
Birmingham,J01000007,Solihull 004,E02002084,1.45976864077759
Birmingham,J01000007,Solihull 005,E02002085,1.46196631854248
Birmingham,J01000007,Solihull 006,E02002086,1.45968242408752
Birmingham,J01000007,Solihull 007,E02002087,1.2020004090499898
Birmingham,J01000007,Solihull 008,E02002088,1.67985214072418
Birmingham,J01000007,Solihull 009,E02002089,15.0054746484604
Birmingham,J01000007,Walsall 039,E02002148,7.600176213500981
Birmingham,J01000007,Bromsgrove 003,E02006698,5.05819987731934
Birmingham,J01000007,Bromsgrove 004,E02006699,2.19359598743439
Birmingham,J01000007,Bromsgrove 005,E02006700,17.1184091750717
Birmingham,J01000007,Birmingham 132,E02006807,1.44523992145538
Birmingham,J01000007,Birmingham 133,E02006809,3.72639768986511
Birmingham,J01000007,Birmingham 134,E02006895,0.862739068855286
Birmingham,J01000007,Birmingham 135,E02006896,1.2576885998001102
Birmingham,J01000007,Birmingham 136,E02006897,0.837045207397461
Birmingham,J01000007,Birmingham 137,E02006898,1.0362778752975499
Birmingham,J01000007,Birmingham 138,E02006899,1.1190919793624898
Birmingham,J01000007,Birmingham 139,E02006900,2.0083518732223498
Birmingham,J01000007,Birmingham 140,E02006901,2.3791039018478397
Bradford,J01000013,Bradford 017,E02002199,8.915768949798581
Bradford,J01000013,Bradford 019,E02002201,2.71978017160034
Bradford,J01000013,Bradford 024,E02002206,1.8557364120636
Bradford,J01000013,Bradford 026,E02002208,1.49684758525085
Bradford,J01000013,Bradford 027,E02002209,1.58477172216797
Bradford,J01000013,Bradford 028,E02002210,1.3949459365387
Bradford,J01000013,Bradford 029,E02002211,2.2191154395904498
Bradford,J01000013,Bradford 030,E02002212,2.5614580858612097
Bradford,J01000013,Bradford 032,E02002214,1.04415375495911
Bradford,J01000013,Bradford 033,E02002215,1.0941314237518298
Bradford,J01000013,Bradford 034,E02002216,1.75071631707764
Bradford,J01000013,Bradford 035,E02002217,1.98188456100464
Bradford,J01000013,Bradford 036,E02002218,3.23100020147705
Bradford,J01000013,Bradford 037,E02002219,0.780426870056152
Bradford,J01000013,Bradford 038,E02002220,1.3399849327545201
Bradford,J01000013,Bradford 039,E02002221,3.03979274917603
Bradford,J01000013,Bradford 040,E02002222,1.7798977232208302
Bradford,J01000013,Bradford 041,E02002223,2.06790649989319
Bradford,J01000013,Bradford 042,E02002224,1.03466397380066
Bradford,J01000013,Bradford 044,E02002226,1.8209471729583702
Bradford,J01000013,Bradford 045,E02002227,2.16197879193115
Bradford,J01000013,Bradford 046,E02002228,2.5210475310211202
Bradford,J01000013,Bradford 047,E02002229,3.91377042771912
Bradford,J01000013,Bradford 048,E02002230,1.43135265161133
Bradford,J01000013,Bradford 049,E02002231,2.74992306518555
Bradford,J01000013,Bradford 050,E02002232,1.05766883711243
Bradford,J01000013,Bradford 051,E02002233,0.863435340042114
Bradford,J01000013,Bradford 052,E02002234,1.63187592633057
Bradford,J01000013,Bradford 053,E02002235,1.63512510957336
Bradford,J01000013,Bradford 054,E02002236,1.16587078924561
Bradford,J01000013,Bradford 055,E02002237,1.44517417953491
Bradford,J01000013,Bradford 056,E02002238,1.0969631357116698
Bradford,J01000013,Bradford 057,E02002239,12.262229874939
Bradford,J01000013,Bradford 058,E02002240,7.24380109837341
Bradford,J01000013,Bradford 059,E02002241,2.75483766590881
Bradford,J01000013,Bradford 060,E02002242,3.8343602847137497
Bradford,J01000013,Bradford 061,E02002243,5.614035034637451
Bradford,J01000013,Kirklees 001,E02002271,6.71587813735962
Bradford,J01000013,Kirklees 003,E02002273,7.688165615982061
Brighton & Hove,J01000014,Brighton and Hove 001,E02003491,3.17935151351166
Brighton & Hove,J01000014,Brighton and Hove 002,E02003492,6.02890424607849
Brighton & Hove,J01000014,Brighton and Hove 003,E02003493,10.264241547576901
Brighton & Hove,J01000014,Brighton and Hove 004,E02003494,1.68690260542679
Brighton & Hove,J01000014,Brighton and Hove 006,E02003496,5.70667930352783
Brighton & Hove,J01000014,Brighton and Hove 007,E02003497,2.38553791836548
Brighton & Hove,J01000014,Brighton and Hove 008,E02003498,3.59015142448807
Brighton & Hove,J01000014,Brighton and Hove 009,E02003499,3.0656629353714
Brighton & Hove,J01000014,Brighton and Hove 010,E02003500,0.696452768856049
Brighton & Hove,J01000014,Brighton and Hove 011,E02003501,1.8441576072464
Brighton & Hove,J01000014,Brighton and Hove 013,E02003503,1.91204846113968
Brighton & Hove,J01000014,Brighton and Hove 014,E02003504,1.15283117949295
Brighton & Hove,J01000014,Brighton and Hove 015,E02003505,0.58317451209259
Brighton & Hove,J01000014,Brighton and Hove 016,E02003506,0.746685491634369
Brighton & Hove,J01000014,Brighton and Hove 018,E02003508,0.860290873733521
Brighton & Hove,J01000014,Brighton and Hove 019,E02003509,0.740548788131714
Brighton & Hove,J01000014,Brighton and Hove 020,E02003510,0.816640619365692
Brighton & Hove,J01000014,Brighton and Hove 021,E02003511,1.60433738513947
Brighton & Hove,J01000014,Brighton and Hove 022,E02003512,0.47046536063003497
Brighton & Hove,J01000014,Brighton and Hove 023,E02003513,0.80629604253006
Brighton & Hove,J01000014,Brighton and Hove 024,E02003514,0.454255543403625
Brighton & Hove,J01000014,Brighton and Hove 025,E02003515,3.6425495404892
Brighton & Hove,J01000014,Brighton and Hove 026,E02003516,0.46964827594757097
Brighton & Hove,J01000014,Brighton and Hove 027,E02003517,1.37682486426163
Brighton & Hove,J01000014,Brighton and Hove 028,E02003518,0.820994232570648
Brighton & Hove,J01000014,Brighton and Hove 029,E02003519,0.451661941963196
Brighton & Hove,J01000014,Brighton and Hove 030,E02003520,0.647459484169006
Brighton & Hove,J01000014,Brighton and Hove 031,E02003521,0.828159059192657
Brighton & Hove,J01000014,Brighton and Hove 032,E02003522,2.6031608715782197
Bristol,J01000015,Bristol 001,E02003012,3.47459318524551
Bristol,J01000015,Bristol 002,E02003013,2.7617216029624903
Bristol,J01000015,Bristol 003,E02003014,10.878094014164
Bristol,J01000015,Bristol 004,E02003015,1.53933509910202
Bristol,J01000015,Bristol 005,E02003016,1.07412476879501
Bristol,J01000015,Bristol 006,E02003017,1.37902750291061
Bristol,J01000015,Bristol 007,E02003018,2.72348802367783
Bristol,J01000015,Bristol 008,E02003019,7.506387372158049
Bristol,J01000015,Bristol 009,E02003020,2.53296683583069
Bristol,J01000015,Bristol 010,E02003021,1.0716295208053601
Bristol,J01000015,Bristol 011,E02003022,1.27842001237869
Bristol,J01000015,Bristol 012,E02003023,2.55720988892365
Bristol,J01000015,Bristol 013,E02003024,1.7310171702690098
Bristol,J01000015,Bristol 014,E02003025,3.20519545985413
Bristol,J01000015,Bristol 015,E02003026,4.538488324451451
Bristol,J01000015,Bristol 016,E02003027,1.53465068592834
Bristol,J01000015,Bristol 017,E02003028,1.26424832318115
Bristol,J01000015,Bristol 018,E02003029,1.0077388120575
Bristol,J01000015,Bristol 019,E02003030,1.73270259955215
Bristol,J01000015,Bristol 020,E02003031,1.22595640735626
Bristol,J01000015,Bristol 021,E02003032,1.7027154629936199
Bristol,J01000015,Bristol 022,E02003033,0.7770513937873841
Bristol,J01000015,Bristol 023,E02003034,1.25808450477219
Bristol,J01000015,Bristol 025,E02003036,0.801458833194733
Bristol,J01000015,Bristol 026,E02003037,0.830812035701752
Bristol,J01000015,Bristol 027,E02003038,0.93529477407074
Bristol,J01000015,Bristol 028,E02003039,1.1547703090286299
Bristol,J01000015,Bristol 029,E02003040,1.3321486892166101
Bristol,J01000015,Bristol 030,E02003041,1.12520826313019
Bristol,J01000015,Bristol 032,E02003043,2.46967286108398
Bristol,J01000015,Bristol 033,E02003044,1.37196710213089
Bristol,J01000015,Bristol 034,E02003045,0.632237085865021
Bristol,J01000015,Bristol 035,E02003046,1.79357972352219
Bristol,J01000015,Bristol 036,E02003047,1.90183522476196
Bristol,J01000015,Bristol 037,E02003048,0.891454152355194
Bristol,J01000015,Bristol 038,E02003049,3.1353153816490202
Bristol,J01000015,Bristol 039,E02003050,1.47889352460098
Bristol,J01000015,Bristol 040,E02003051,0.958086891971588
Bristol,J01000015,Bristol 041,E02003052,1.74644729912567
Bristol,J01000015,Bristol 042,E02003053,1.43440203102875
Bristol,J01000015,Bristol 043,E02003054,2.44498020298767
Bristol,J01000015,Bristol 044,E02003055,1.4162599314536999
Bristol,J01000015,Bristol 045,E02003056,1.8183492173309301
Bristol,J01000015,Bristol 046,E02003057,2.3912021493454
Bristol,J01000015,Bristol 047,E02003058,2.64296882270432
Bristol,J01000015,Bristol 048,E02003059,1.63835197979736
Bristol,J01000015,Bristol 049,E02003060,3.05870667388535
Bristol,J01000015,Bristol 050,E02003061,1.18422881224823
Bristol,J01000015,Bristol 051,E02003062,1.27088001701736
Bristol,J01000015,Bristol 052,E02003063,1.70879233220673
Bristol,J01000015,Bristol 053,E02003064,2.09391154059601
Bristol,J01000015,South Gloucestershire 020,E02003109,1.4887612582855199
Bristol,J01000015,South Gloucestershire 021,E02003110,3.40840228265762
Bristol,J01000015,South Gloucestershire 022,E02003111,1.50279275486755
Bristol,J01000015,South Gloucestershire 023,E02003112,1.1830840834045402
Bristol,J01000015,South Gloucestershire 025,E02003114,1.36249975310898
Bristol,J01000015,South Gloucestershire 026,E02003115,1.5451569797515898
Bristol,J01000015,South Gloucestershire 027,E02003116,1.3767790171051
Bristol,J01000015,South Gloucestershire 028,E02003117,1.68281130718613
Bristol,J01000015,South Gloucestershire 029,E02003118,3.49917874601364
Bristol,J01000015,South Gloucestershire 030,E02003119,3.94047489451218
Bristol,J01000015,South Gloucestershire 031,E02003120,3.19216963038635
Bristol,J01000015,South Gloucestershire 032,E02003121,4.79011875366592
Bristol,J01000015,Bristol 054,E02006887,1.95349468144608
Bristol,J01000015,Bristol 055,E02006888,0.730078413146973
Bristol,J01000015,Bristol 056,E02006889,1.59040369217682
Bristol,J01000015,Bristol 057,E02006890,1.01317290073776
Cambridge,J01000019,Cambridge 001,E02003719,1.5714056311645501
Cambridge,J01000019,Cambridge 002,E02003720,1.50028999453735
Cambridge,J01000019,Cambridge 003,E02003721,2.6040103985900904
Cambridge,J01000019,Cambridge 004,E02003722,1.52084392666626
Cambridge,J01000019,Cambridge 005,E02003723,3.41490321772766
Cambridge,J01000019,Cambridge 006,E02003724,3.95320425028992
Cambridge,J01000019,Cambridge 007,E02003725,6.1397641748809795
Cambridge,J01000019,Cambridge 008,E02003726,1.05229985423279
Cambridge,J01000019,Cambridge 009,E02003727,1.4912714559631302
Cambridge,J01000019,Cambridge 010,E02003728,1.93670510891724
Cambridge,J01000019,Cambridge 011,E02003729,3.6647737719573996
Cambridge,J01000019,Cambridge 012,E02003730,7.33129506016541
Cambridge,J01000019,Cambridge 013,E02003731,4.51649414768982
Cambridge,J01000019,South Cambridgeshire 007,E02003781,28.2972738802643
Cambridge,J01000019,South Cambridgeshire 009,E02003783,31.7234947147446
Cambridge,J01000019,South Cambridgeshire 011,E02003785,46.0433564368439
Cambridge,J01000019,South Cambridgeshire 012,E02003786,15.798855613449101
Carlisle,J01000021,Carlisle 003,E02003989,3.9584995956420896
Carlisle,J01000021,Carlisle 004,E02003990,35.574495143035904
Carlisle,J01000021,Carlisle 005,E02003991,57.939169870742795
Carlisle,J01000021,Carlisle 006,E02003992,3.7995477216491698
Carlisle,J01000021,Carlisle 008,E02003994,2.09895114846802
Carlisle,J01000021,Carlisle 009,E02003995,2.2273313013916
Carlisle,J01000021,Carlisle 010,E02003996,3.25069096166992
Carlisle,J01000021,Carlisle 011,E02003997,2.40838944132996
Carlisle,J01000021,Carlisle 012,E02003998,1.5679100271453899
Carlisle,J01000021,Carlisle 013,E02003999,86.3115740289917
Coventry,J01000028,Coventry 001,E02001958,2.68118118268585
Coventry,J01000028,Coventry 002,E02001959,4.2863168059082
Coventry,J01000028,Coventry 004,E02001961,1.51020747117615
