CityName,CityCode,Date,ActualCost,PerCitizenCost
Birmingham,J01000007,2019-01,182430.17024,0.16411656668067065
Birmingham,J01000007,2021-01,243453.50127,0.21901395324171075
Birmingham,J01000007,2021-02,234035.79853,0.21054166470700952
Birmingham,J01000007,2021-03,255835.36457,0.23015283937678405
Birmingham,J01000007,2021-04,256381.87892000002,0.23064449083249297
Birmingham,J01000007,2021-05,245794.41582,0.22111987058166283
Birmingham,J01000007,2021-06,263791.79225,0.23731054575926894
Birmingham,J01000007,2021-07,239467.40773,0.21542801136931006
Birmingham,J01000007,2021-08,229990.92856,0.2069028467895958
Birmingham,J01000007,2021-10,220066.85515000002,0.19797502057864913
Birmingham,J01000007,2021-11,226434.85116,0.20370375305980898
Birmingham,J01000007,2021-12,240409.43745,0.2162754736237944
Birmingham,J01000007,2022-01,204766.81612,0.1842109053975885
Birmingham,J01000007,2022-02,191683.30227000001,0.17244080525266084
Birmingham,J01000007,2022-03,219743.10669000002,0.19768377223056366
Birmingham,J01000007,2022-04,196868.15592,0.1771051673955032
Birmingham,J01000007,2022-05,218786.32679999998,0.19682304053026792
Birmingham,J01000007,2022-06,209654.42432,0.18860786164670573
Birmingham,J01000007,2022-07,206739.10048,0.18598519819825493
Birmingham,J01000007,2022-08,223359.64157,0.20093725429992562
Birmingham,J01000007,2020-12,251010.11409,0.22581198094799426
Birmingham,J01000007,2020-11,229426.53593,0.20639511179941508
Birmingham,J01000007,2021-09,243461.91719,0.2190215243133928
Birmingham,J01000007,2020-09,236412.68593,0.21267994369321755
Birmingham,J01000007,2020-10,240996.98192,0.2168040363119822
Birmingham,J01000007,2019-03,175017.50674,0.1574480376650003
Birmingham,J01000007,2019-04,178064.24141,0.16018892001450175
Birmingham,J01000007,2019-05,193744.58408,0.17429516132311493
Birmingham,J01000007,2019-06,176326.35081,0.1586254909053616
Birmingham,J01000007,2019-07,181564.94883,0.1633382021862397
Birmingham,J01000007,2019-08,226969.66236,0.20418487620874262
Birmingham,J01000007,2019-09,203937.30539,0.18346466669785325
Birmingham,J01000007,2019-10,215535.32916,0.19389840054192692
Birmingham,J01000007,2019-11,206094.32785,0.1854051523089919
Birmingham,J01000007,2019-02,164213.22709,0.1477283664106068
Birmingham,J01000007,2020-01,216396.65299,0.1946732587224235
Birmingham,J01000007,2020-02,199929.79494,0.17985945789316016
Birmingham,J01000007,2020-03,246390.63463000002,0.22165623681954394
Birmingham,J01000007,2020-04,218672.08913,0.19672027082851667
Birmingham,J01000007,2020-05,214498.9133,0.19296602728166615
Birmingham,J01000007,2020-06,236602.47936,0.21285068434466337
Birmingham,J01000007,2020-07,240211.93191,0.21609779505734586
Birmingham,J01000007,2020-08,216667.72019,0.1949171143201309
Birmingham,J01000007,2019-12,212923.12802,0.19154843023815457
Bradford,J01000013,2020-12,136524.48371,0.2665202864823289
Bradford,J01000013,2021-07,129021.28091,0.2518726884438787
Bradford,J01000013,2021-06,140450.39285,0.27418436548312536
Bradford,J01000013,2021-05,130933.96781,0.25560659643375866
Bradford,J01000013,2021-01,133303.10131,0.26023157007933656
Bradford,J01000013,2021-03,144811.79354,0.2826986021224095
Bradford,J01000013,2021-02,125016.06558,0.2440537895316331
Bradford,J01000013,2021-08,127397.31541000001,0.24870241642719934
Bradford,J01000013,2021-04,140664.17693000002,0.2746017103629492
Bradford,J01000013,2021-10,120087.2281,0.23443181447267727
Bradford,J01000013,2022-03,123587.72615,0.24126541470147272
Bradford,J01000013,2021-12,131162.46017,0.25605265451500053
Bradford,J01000013,2022-01,114161.06336,0.22286287766862925
Bradford,J01000013,2022-02,109596.73442,0.2139524886773594
Bradford,J01000013,2022-04,110001.91244,0.21474346886664272
Bradford,J01000013,2022-05,122109.09361,0.2383788586973497
Bradford,J01000013,2022-06,117745.31666,0.22985998317221346
Bradford,J01000013,2022-07,117766.23344,0.22990081647951774
Bradford,J01000013,2022-08,125438.38958,0.2448782417500898
Bradford,J01000013,2021-11,125442.91197,0.2448870702667458
Bradford,J01000013,2020-11,126443.85274,0.24684108623166903
Bradford,J01000013,2021-09,126008.45977,0.24599112103902798
Bradford,J01000013,2020-09,133519.25919,0.26065354904265126
Bradford,J01000013,2019-02,97341.2412,0.19002756711592822
Bradford,J01000013,2019-03,98654.35643,0.19259100363495807
Bradford,J01000013,2019-04,99907.97460999999,0.1950382912378379
Bradford,J01000013,2019-05,105916.07904,0.20676718901781949
Bradford,J01000013,2019-06,97035.06238,0.18942985112679797
Bradford,J01000013,2019-07,105358.77167,0.20567922504333838
Bradford,J01000013,2019-08,122186.45389,0.23852987984335713
Bradford,J01000013,2019-09,114378.4424,0.223287240555356
Bradford,J01000013,2019-10,124381.21362,0.24281444460495696
Bradford,J01000013,2019-11,119351.87709000001,0.2329962773695554
Bradford,J01000013,2019-01,102535.06285,0.20016683881635458
Bradford,J01000013,2019-12,121862.97094,0.2378983830878793
Bradford,J01000013,2020-08,126692.70185,0.2473268843411785
Bradford,J01000013,2020-07,139525.70095,0.272379200992488
Bradford,J01000013,2020-06,131151.46005,0.25603118030719496
Bradford,J01000013,2020-05,122227.02099,0.23860907410082616
Bradford,J01000013,2020-10,134185.74515,0.26195464921288125
Bradford,J01000013,2020-03,137980.79537,0.26936326812403366
Bradford,J01000013,2020-02,112637.06367,0.21988775684824538
Bradford,J01000013,2020-01,127313.51842000001,0.24853882966844187
Bradford,J01000013,2020-04,127840.23047,0.24956706608908183
Brighton & Hove,J01000014,2020-12,51854.22951,0.17774245902145075
Brighton & Hove,J01000014,2021-01,53820.39849,0.1844819615202682
