CityName,CityCode,MSOAName,MSOACode,Population,PopulationDensity
Birmingham,J01000007,Birmingham 108,E02001934,7009.0,5809.3271845425825
Birmingham,J01000007,Birmingham 109,E02001935,7942.0,4035.0253879680968
Birmingham,J01000007,Birmingham 110,E02001936,6417.0,5206.623770419725
Birmingham,J01000007,Birmingham 111,E02001937,8102.0,4411.386577936067
Birmingham,J01000007,Birmingham 112,E02001938,8009.0,4331.348593223385
Birmingham,J01000007,Birmingham 113,E02001939,6202.0,3609.5727558551853
Birmingham,J01000007,Birmingham 115,E02001941,6204.0,4423.59362579966
Birmingham,J01000007,Birmingham 116,E02001942,6788.0,5837.022553527076
Birmingham,J01000007,Birmingham 117,E02001943,6329.0,3770.9559550256467
Birmingham,J01000007,Birmingham 118,E02001944,8075.0,4320.971203154135
Birmingham,J01000007,Birmingham 119,E02001945,7495.0,4663.352965234622
Birmingham,J01000007,Birmingham 120,E02001946,7434.0,4133.275504124731
Birmingham,J01000007,Birmingham 121,E02001947,6206.0,5055.553522669556
Birmingham,J01000007,Birmingham 122,E02001948,7216.0,5765.561629909758
Birmingham,J01000007,Birmingham 123,E02001949,5928.0,3109.327410656149
Birmingham,J01000007,Birmingham 124,E02001950,8308.0,4415.990857507248
Birmingham,J01000007,Birmingham 125,E02001951,8758.0,5420.092405145652
Birmingham,J01000007,Birmingham 126,E02001952,9252.0,5549.234339011672
Birmingham,J01000007,Birmingham 127,E02001953,6889.0,3161.107632097553
Birmingham,J01000007,Birmingham 128,E02001954,7469.0,4062.2440535065616
Birmingham,J01000007,Birmingham 129,E02001955,7359.0,2582.8885391779027
Birmingham,J01000007,Birmingham 130,E02001956,6743.0,4179.283251006413
Birmingham,J01000007,Birmingham 131,E02001957,7577.0,5651.543881892674
Birmingham,J01000007,Birmingham 132,E02006807,7741.0,5356.204104993646
Birmingham,J01000007,Birmingham 133,E02006809,10098.0,2709.855694539552
Birmingham,J01000007,Birmingham 134,E02006895,10127.0,11738.19566724488
Birmingham,J01000007,Birmingham 135,E02006896,7814.0,6212.984677798552
Birmingham,J01000007,Birmingham 136,E02006897,8736.0,10436.712286020907
Birmingham,J01000007,Birmingham 137,E02006898,8690.0,8385.781658712736
Birmingham,J01000007,Birmingham 138,E02006899,8925.0,7975.215768309126
Birmingham,J01000007,Birmingham 139,E02006900,15420.0,7677.93742002939
Bradford,J01000013,Bradford 017,E02002199,6891.0,772.9002443648651
Bradford,J01000013,Bradford 019,E02002201,12244.0,4501.834423182641
Bradford,J01000013,Bradford 024,E02002206,8607.0,4638.050934415259
Bradford,J01000013,Bradford 026,E02002208,8114.0,5420.72558352039
Bradford,J01000013,Bradford 027,E02002209,7058.0,4453.63827564051
Bradford,J01000013,Bradford 028,E02002210,7795.0,5588.030185128069
Bradford,J01000013,Bradford 029,E02002211,7402.0,3335.563291545608
Bradford,J01000013,Bradford 030,E02002212,8554.0,3339.504186001149
Bradford,J01000013,Bradford 032,E02002214,6092.0,5834.389783177639
Bradford,J01000013,Bradford 033,E02002215,10389.0,9495.203020836028
Bradford,J01000013,Bradford 034,E02002216,9517.0,5436.060603973879
Bradford,J01000013,Bradford 035,E02002217,10098.0,5095.150443515846
Bradford,J01000013,Bradford 036,E02002218,10281.0,3181.986802507795
Bradford,J01000013,Bradford 037,E02002219,8417.0,10785.123274131238
Bradford,J01000013,Bradford 038,E02002220,9245.0,6899.331308894388
Bradford,J01000013,Bradford 040,E02002222,8886.0,4992.421690343116
Bradford,J01000013,Bradford 041,E02002223,8051.0,3893.3094897742444
Bradford,J01000013,Bradford 042,E02002224,10836.0,10472.965401700245
Bradford,J01000013,Bradford 044,E02002226,15218.0,8357.189173849749
Bradford,J01000013,Bradford 045,E02002227,6596.0,3050.9087437015223
Bradford,J01000013,Bradford 046,E02002228,7688.0,3049.5260027430218
Bradford,J01000013,Bradford 047,E02002229,7779.0,1987.5974188229204
Bradford,J01000013,Bradford 048,E02002230,9769.0,6825.012682236382
Bradford,J01000013,Bradford 049,E02002231,13174.0,4790.679480013412
Bradford,J01000013,Bradford 050,E02002232,7517.0,7107.139528212217
Bradford,J01000013,Bradford 051,E02002233,9883.0,11446.137934912367
Bradford,J01000013,Bradford 052,E02002234,8226.0,5040.8244078316375
Bradford,J01000013,Bradford 053,E02002235,7581.0,4636.342476557068
Bradford,J01000013,Bradford 054,E02002236,6237.0,5349.64942730551
Bradford,J01000013,Bradford 055,E02002237,8756.0,6058.785248168411
Bradford,J01000013,Bradford 056,E02002238,6385.0,5820.614925092851
Bradford,J01000013,Bradford 057,E02002239,11140.0,908.4807668438377
Bradford,J01000013,Bradford 058,E02002240,11074.0,1528.7553936960883
Bradford,J01000013,Bradford 059,E02002241,12083.0,4386.102364406966
Bradford,J01000013,Bradford 060,E02002242,7864.0,2050.928816301121
Bradford,J01000013,Bradford 061,E02002243,9339.0,1663.5093907288208
Brighton & Hove,J01000014,Brighton and Hove 001,E02003491,7824.0,2460.879197141127
Brighton & Hove,J01000014,Brighton and Hove 002,E02003492,11904.0,1974.4881514319911
Brighton & Hove,J01000014,Brighton and Hove 003,E02003493,8184.0,797.3311970558617
Brighton & Hove,J01000014,Brighton and Hove 004,E02003494,6524.0,3867.4431938229263
Brighton & Hove,J01000014,Brighton and Hove 006,E02003496,7510.0,1316.0017587386362
Brighton & Hove,J01000014,Brighton and Hove 007,E02003497,7601.0,3186.2834547639654
Brighton & Hove,J01000014,Brighton and Hove 008,E02003498,9100.0,2534.7120285595183
Brighton & Hove,J01000014,Brighton and Hove 009,E02003499,7959.0,2596.175824866337
Brighton & Hove,J01000014,Brighton and Hove 010,E02003500,8227.0,11812.717771964883
Brighton & Hove,J01000014,Brighton and Hove 011,E02003501,8797.0,4770.199664840588
Brighton & Hove,J01000014,Brighton and Hove 013,E02003503,8870.0,4639.003759723234
Brighton & Hove,J01000014,Brighton and Hove 014,E02003504,8730.0,7572.661249359788
Brighton & Hove,J01000014,Brighton and Hove 015,E02003505,10460.0,17936.312001130937
Brighton & Hove,J01000014,Brighton and Hove 016,E02003506,7283.0,9753.771944943965
Brighton & Hove,J01000014,Brighton and Hove 018,E02003508,9826.0,11421.718281581641
Brighton & Hove,J01000014,Brighton and Hove 019,E02003509,9451.0,12762.157134634383
Brighton & Hove,J01000014,Brighton and Hove 020,E02003510,8955.0,10965.655868251573
Brighton & Hove,J01000014,Brighton and Hove 021,E02003511,8593.0,5356.105317743365
Brighton & Hove,J01000014,Brighton and Hove 022,E02003512,9911.0,21066.37561313217
Brighton & Hove,J01000014,Brighton and Hove 023,E02003513,6511.0,8075.197764296678
Brighton & Hove,J01000014,Brighton and Hove 024,E02003514,9536.0,20992.589168090493
Brighton & Hove,J01000014,Brighton and Hove 025,E02003515,9157.0,2513.8985477655856
Brighton & Hove,J01000014,Brighton and Hove 026,E02003516,9132.0,19444.338386157408
Brighton & Hove,J01000014,Brighton and Hove 027,E02003517,13184.0,9575.655075833029
Brighton & Hove,J01000014,Brighton and Hove 028,E02003518,8063.0,9821.019052416017
Brighton & Hove,J01000014,Brighton and Hove 029,E02003519,10019.0,22182.519865303166
Brighton & Hove,J01000014,Brighton and Hove 030,E02003520,9690.0,14966.187440186797
Brighton & Hove,J01000014,Brighton and Hove 031,E02003521,8549.0,10322.896193798952
Brighton & Hove,J01000014,Brighton and Hove 032,E02003522,7790.0,2992.5157853487367
Bristol,J01000015,Bristol 001,E02003012,11655.0,3354.3495248571016
Bristol,J01000015,Bristol 002,E02003013,12022.0,4353.0817831544055
Bristol,J01000015,Bristol 003,E02003014,8292.0,762.2658886017408
Bristol,J01000015,Bristol 004,E02003015,6692.0,4347.331522489038
Bristol,J01000015,Bristol 005,E02003016,8169.0,7605.261732456151
Bristol,J01000015,Bristol 006,E02003017,6118.0,4436.459742164095
Bristol,J01000015,Bristol 007,E02003018,5870.0,2155.3243300380236
Bristol,J01000015,Bristol 008,E02003019,9839.0,1310.7503666136186
Bristol,J01000015,Bristol 009,E02003020,6416.0,2532.998027941358
Bristol,J01000015,Bristol 010,E02003021,7468.0,6968.826310782841
Bristol,J01000015,Bristol 011,E02003022,5934.0,4641.667012830089
Bristol,J01000015,Bristol 012,E02003023,6607.0,2583.6752894698598
Bristol,J01000015,Bristol 013,E02003024,9795.0,5658.522727696457
Bristol,J01000015,Bristol 014,E02003025,7645.0,2385.1899504275248
Bristol,J01000015,Bristol 015,E02003026,9308.0,2050.9031498114564
Bristol,J01000015,Bristol 016,E02003027,12695.0,8272.240788346273
Bristol,J01000015,Bristol 017,E02003028,8435.0,6671.948734545702
Bristol,J01000015,Bristol 018,E02003029,6408.0,6358.790515289164
Bristol,J01000015,Bristol 019,E02003030,7957.0,4592.2479726507245
Bristol,J01000015,Bristol 020,E02003031,10538.0,8595.737937146472
Bristol,J01000015,Bristol 021,E02003032,8258.0,4849.900162110022
Bristol,J01000015,Bristol 022,E02003033,8901.0,11454.840788092688
Bristol,J01000015,Bristol 025,E02003036,10742.0,13403.058965837092
Bristol,J01000015,Bristol 026,E02003037,8907.0,10720.836503622184
Bristol,J01000015,Bristol 027,E02003038,6562.0,7015.96991870254
Bristol,J01000015,Bristol 028,E02003039,8693.0,7527.903975390897
Bristol,J01000015,Bristol 029,E02003040,10092.0,7575.730908788232
Bristol,J01000015,Bristol 030,E02003041,6257.0,5560.748356569832
Bristol,J01000015,Bristol 033,E02003044,5740.0,4183.773788077599
Bristol,J01000015,Bristol 034,E02003045,7515.0,11886.363783481707
Bristol,J01000015,Bristol 035,E02003046,9879.0,5507.97930554202
Bristol,J01000015,Bristol 036,E02003047,11149.0,5862.2323610582225
Bristol,J01000015,Bristol 037,E02003048,7058.0,7917.401003016234
Bristol,J01000015,Bristol 038,E02003049,7567.0,2413.4733125380626
Bristol,J01000015,Bristol 039,E02003050,10074.0,6811.849421491019
Bristol,J01000015,Bristol 040,E02003051,7460.0,7786.350134327092
Bristol,J01000015,Bristol 041,E02003052,6815.0,3902.2076437186606
Bristol,J01000015,Bristol 042,E02003053,8184.0,5705.5133937104465
Bristol,J01000015,Bristol 043,E02003054,6647.0,2718.631419541813
Bristol,J01000015,Bristol 044,E02003055,8447.0,5964.3006290022595
Bristol,J01000015,Bristol 045,E02003056,7456.0,4100.422476021584
Bristol,J01000015,Bristol 046,E02003057,5887.0,2461.941580979085
Bristol,J01000015,Bristol 047,E02003058,9102.0,3443.8544722168594
Bristol,J01000015,Bristol 048,E02003059,6214.0,3792.8357743789466
Bristol,J01000015,Bristol 049,E02003060,10604.0,3466.8247499947984
Bristol,J01000015,Bristol 050,E02003061,6083.0,5136.676237805404
Bristol,J01000015,Bristol 051,E02003062,5878.0,4625.141572211618
Bristol,J01000015,Bristol 052,E02003063,6729.0,3937.868793752244
Bristol,J01000015,Bristol 053,E02003064,7041.0,3362.606234070353
Bristol,J01000015,Bristol 054,E02006887,10204.0,5223.459319810618
Bristol,J01000015,Bristol 055,E02006888,7267.0,9953.725338454942
Bristol,J01000015,Bristol 056,E02006889,8377.0,5267.2161421696765
Bristol,J01000015,Bristol 057,E02006890,8816.0,8701.377616377691
Cambridge,J01000019,Cambridge 001,E02003719,8145.0,5183.257485187855
Cambridge,J01000019,Cambridge 002,E02003720,8477.0,5650.240973988554
Cambridge,J01000019,Cambridge 003,E02003721,8815.0,3385.1631332857864
Cambridge,J01000019,Cambridge 004,E02003722,7711.0,5070.211258891481
Cambridge,J01000019,Cambridge 005,E02003723,10113.0,2961.430926504962
Cambridge,J01000019,Cambridge 006,E02003724,8984.0,2272.5868513728155
Cambridge,J01000019,Cambridge 007,E02003725,15146.0,2466.869991841927
Cambridge,J01000019,Cambridge 008,E02003726,8450.0,8030.030571619455
Cambridge,J01000019,Cambridge 009,E02003727,8402.0,5634.118433906194
Cambridge,J01000019,Cambridge 010,E02003728,8893.0,4591.819352906979
Cambridge,J01000019,Cambridge 011,E02003729,7941.0,2166.8458939441207
Cambridge,J01000019,Cambridge 013,E02003731,9210.0,2039.1922803023892
Carlisle,J01000021,Carlisle 003,E02003989,7031.0,1776.1780265786624
Carlisle,J01000021,Carlisle 004,E02003990,10428.0,293.13135599174893
Carlisle,J01000021,Carlisle 005,E02003991,7455.0,128.66943065686738
Carlisle,J01000021,Carlisle 006,E02003992,8092.0,2129.727165655316
Carlisle,J01000021,Carlisle 008,E02003994,7196.0,3428.3789812126915
Carlisle,J01000021,Carlisle 009,E02003995,9948.0,4466.331521397222
Carlisle,J01000021,Carlisle 010,E02003996,9398.0,2891.0776542019025
Carlisle,J01000021,Carlisle 011,E02003997,9376.0,3893.0580906476607
Carlisle,J01000021,Carlisle 012,E02003998,6707.0,4277.668924798622
Carlisle,J01000021,Carlisle 013,E02003999,11509.0,133.3424877193663
Coventry,J01000028,Coventry 001,E02001958,8350.0,3114.2990462268795
Coventry,J01000028,Coventry 002,E02001959,6990.0,1630.7707331303836
Coventry,J01000028,Coventry 004,E02001961,8606.0,5698.5547775747955
Coventry,J01000028,Coventry 005,E02001962,7652.0,5360.263064281466
Coventry,J01000028,Coventry 006,E02001963,6302.0,4903.521638412059
Coventry,J01000028,Coventry 007,E02001964,10715.0,3252.089955162492
Coventry,J01000028,Coventry 008,E02001965,8606.0,3809.464663898352
Coventry,J01000028,Coventry 009,E02001966,7894.0,6719.090888372615
Coventry,J01000028,Coventry 010,E02001967,6881.0,420.8401006102823
Coventry,J01000028,Coventry 011,E02001968,8570.0,5397.30356542327
Coventry,J01000028,Coventry 012,E02001969,7282.0,7821.4975275400675
Coventry,J01000028,Coventry 013,E02001970,6319.0,3609.934040375048
Coventry,J01000028,Coventry 014,E02001971,6117.0,5492.55013498651
Coventry,J01000028,Coventry 015,E02001972,12536.0,6633.322383944599
Coventry,J01000028,Coventry 016,E02001973,9512.0,7355.932652842743
Coventry,J01000028,Coventry 017,E02001974,9858.0,4835.237567134409
Coventry,J01000028,Coventry 018,E02001975,8450.0,7067.316480719891
Coventry,J01000028,Coventry 019,E02001976,7941.0,2359.439764920244
Coventry,J01000028,Coventry 020,E02001977,11843.0,8051.826473803516
Coventry,J01000028,Coventry 021,E02001978,7209.0,7216.581831707327
Coventry,J01000028,Coventry 022,E02001979,5926.0,4273.28179630841
Coventry,J01000028,Coventry 023,E02001980,5927.0,4307.860234398241
Coventry,J01000028,Coventry 024,E02001981,16033.0,12926.362763439649
Coventry,J01000028,Coventry 025,E02001982,9033.0,4387.610085197607
Coventry,J01000028,Coventry 026,E02001983,8267.0,4016.0585434255668
Coventry,J01000028,Coventry 027,E02001984,11157.0,7030.72501107575
Coventry,J01000028,Coventry 028,E02001985,12441.0,10266.575520464714
Coventry,J01000028,Coventry 029,E02001986,9039.0,4537.621562999619
Coventry,J01000028,Coventry 030,E02001987,7142.0,8508.819071101901
Coventry,J01000028,Coventry 031,E02001988,18747.0,8584.244711478617
Coventry,J01000028,Coventry 032,E02001989,6709.0,5129.3447350385295
Coventry,J01000028,Coventry 033,E02001990,9394.0,4144.219615188978
Coventry,J01000028,Coventry 034,E02001991,9062.0,2709.2332838524435
Coventry,J01000028,Coventry 035,E02001992,11006.0,3853.801571333205
Coventry,J01000028,Coventry 036,E02001993,9071.0,2231.26222965463
Coventry,J01000028,Coventry 037,E02001994,9274.0,6748.05474846851
Coventry,J01000028,Coventry 038,E02001995,11088.0,2441.2703419355826
Coventry,J01000028,Coventry 039,E02001996,7716.0,5003.140560874475
Coventry,J01000028,Coventry 040,E02001997,8936.0,4133.974690407366
Coventry,J01000028,Coventry 041,E02001998,5933.0,4495.884084910275
Coventry,J01000028,Coventry 042,E02001999,10151.0,2172.857880799268
Coventry,J01000028,Coventry 043,E02006805,9702.0,7360.306579084228
Derby,J01000031,Derby 001,E02002796,5977.0,1784.4579268333478
Derby,J01000031,Derby 002,E02002797,7256.0,2330.938044566173
Derby,J01000031,Derby 003,E02002798,9655.0,4078.825175081991
Derby,J01000031,Derby 004,E02002799,5993.0,2879.607616003406
Derby,J01000031,Derby 005,E02002800,6960.0,2167.079278601895
Derby,J01000031,Derby 006,E02002801,7389.0,4602.567070580944
Derby,J01000031,Derby 007,E02002802,7851.0,2620.188296102339
Derby,J01000031,Derby 008,E02002803,8610.0,4422.401615116976
Derby,J01000031,Derby 009,E02002804,8717.0,4156.191429522183
Derby,J01000031,Derby 010,E02002805,5425.0,2437.008615938492
Derby,J01000031,Derby 011,E02002806,6312.0,8250.06243155452
