CityCode,CityName,LTLACode,LTLAName,UTLACode,UTLAName,RegionCode,RegionName,MSOACode,MSOAName
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001892,Birmingham 066
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001893,Birmingham 067
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001895,Birmingham 069
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001896,Birmingham 070
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001897,Birmingham 071
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001898,Birmingham 072
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001899,Birmingham 073
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001900,Birmingham 074
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001901,Birmingham 075
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001902,Birmingham 076
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001903,Birmingham 077
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001904,Birmingham 078
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001905,Birmingham 079
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001906,Birmingham 080
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001907,Birmingham 081
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001908,Birmingham 082
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001909,Birmingham 083
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001910,Birmingham 084
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001911,Birmingham 085
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001913,Birmingham 087
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001914,Birmingham 088
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001915,Birmingham 089
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001916,Birmingham 090
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001918,Birmingham 092
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001919,Birmingham 093
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001920,Birmingham 094
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001921,Birmingham 095
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001922,Birmingham 096
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001923,Birmingham 097
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001924,Birmingham 098
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001925,Birmingham 099
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001926,Birmingham 100
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001927,Birmingham 101
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001928,Birmingham 102
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001929,Birmingham 103
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001930,Birmingham 104
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001931,Birmingham 105
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001932,Birmingham 106
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001933,Birmingham 107
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001934,Birmingham 108
