CityName,CityCode,MSOAName,MSOACode,BuildingNum,Area,BuildingDensity
Birmingham,J01000007,Birmingham 083,E02001909,1399,0.867233394302368,1613.1758868965178
Birmingham,J01000007,Birmingham 084,E02001910,1119,0.880423810966492,1270.9788014156604
Birmingham,J01000007,Birmingham 085,E02001911,1216,1.3862035901413,877.2160227027326
Birmingham,J01000007,Birmingham 087,E02001913,1385,2.47397772000885,559.8271919744877
Birmingham,J01000007,Birmingham 088,E02001914,1537,2.36335515695953,650.3466038415315
Birmingham,J01000007,Birmingham 089,E02001915,4157,1.92453075653076,2160.0070489357017
Birmingham,J01000007,Birmingham 090,E02001916,3287,1.45827211103058,2254.037483907605
Birmingham,J01000007,Birmingham 092,E02001918,1916,1.63812735794067,1169.6282286675505
Birmingham,J01000007,Birmingham 093,E02001919,1479,1.09610989025116,1349.3172656813686
Birmingham,J01000007,Birmingham 094,E02001920,1425,2.77735450263977,513.0781823658418
Birmingham,J01000007,Birmingham 095,E02001921,1575,1.99955124155426,787.6767382944113
Birmingham,J01000007,Birmingham 096,E02001922,3182,1.42482147732544,2233.26223715619
Birmingham,J01000007,Birmingham 097,E02001923,3318,1.74462894823456,1901.8370659030843
Birmingham,J01000007,Birmingham 098,E02001924,2317,1.15629418610382,2003.8153160721365
Birmingham,J01000007,Birmingham 099,E02001925,2031,2.20766707830048,919.975670228102
Birmingham,J01000007,Birmingham 100,E02001926,2752,1.76323612712097,1560.7665687371627
Birmingham,J01000007,Birmingham 101,E02001927,1226,1.51612413506317,808.6409098348125
Birmingham,J01000007,Birmingham 102,E02001928,1355,1.60379848279572,844.869236712322
Birmingham,J01000007,Birmingham 103,E02001929,3619,1.39618670027924,2592.060216070095
Birmingham,J01000007,Birmingham 104,E02001930,2822,1.28565377576447,2194.992192452431
Birmingham,J01000007,Birmingham 105,E02001931,2732,2.50326813557434,1091.3732976404383
Birmingham,J01000007,Birmingham 106,E02001932,1392,3.3370076301422102,417.1401909382744
Birmingham,J01000007,Birmingham 107,E02001933,1204,1.66000482810974,725.2990952869721
Birmingham,J01000007,Birmingham 108,E02001934,2352,1.20650804772186,1949.4275271856404
Birmingham,J01000007,Birmingham 109,E02001935,2157,1.96826518704987,1095.8889148636597
Birmingham,J01000007,Birmingham 110,E02001936,2001,1.23246854064178,1623.5708531416346
Birmingham,J01000007,Birmingham 111,E02001937,1455,1.83661074740601,792.2201272398145
Birmingham,J01000007,Birmingham 112,E02001938,2433,1.84907767814636,1315.7911258974275
Birmingham,J01000007,Birmingham 113,E02001939,1603,1.7182088904953,932.9482630822092
Birmingham,J01000007,Birmingham 115,E02001941,1301,1.40247964094543,927.6426994141452
Birmingham,J01000007,Birmingham 116,E02001942,1321,1.16292166729736,1135.9320555700158
Birmingham,J01000007,Birmingham 117,E02001943,1443,1.67835426228333,859.7708078846592
Birmingham,J01000007,Birmingham 118,E02001944,1805,1.86879282928467,965.8641512932772
Birmingham,J01000007,Birmingham 119,E02001945,2300,1.60721267634583,1431.0489419665953
Birmingham,J01000007,Birmingham 120,E02001946,1938,1.7985735508270302,1077.5205712932109
Birmingham,J01000007,Birmingham 121,E02001947,1052,1.22756093317413,856.983935844082
Birmingham,J01000007,Birmingham 122,E02001948,1333,1.25156931157684,1065.0628676094384
Birmingham,J01000007,Birmingham 123,E02001949,1316,1.9065216418457,690.2622929189426
Birmingham,J01000007,Birmingham 124,E02001950,1984,1.88134447467804,1054.5649808972532
Birmingham,J01000007,Birmingham 125,E02001951,1744,1.61583961035156,1079.315043911169
Birmingham,J01000007,Birmingham 126,E02001952,1494,1.66725703669739,896.0825878170599
Birmingham,J01000007,Birmingham 127,E02001953,1671,2.1792994107666,766.7601761119191
Birmingham,J01000007,Birmingham 128,E02001954,1440,1.83863891524506,783.1880354866045
Birmingham,J01000007,Birmingham 129,E02001955,1559,2.84913572087097,547.1834804427708
Birmingham,J01000007,Birmingham 130,E02001956,1502,1.61343455205536,930.9333298252458
Birmingham,J01000007,Birmingham 131,E02001957,1866,1.340695597229,1391.8148190064314
Birmingham,J01000007,Sandwell 032,E02002074,1507,1.36821796550751,1101.4326941986994
Birmingham,J01000007,Sandwell 036,E02002078,1495,1.16122416593933,1287.4344539589167
Birmingham,J01000007,Sandwell 037,E02002079,1633,1.92937420797729,846.3884264898505
Birmingham,J01000007,Solihull 001,E02002081,1981,1.8558203603363,1067.4524551724478
Birmingham,J01000007,Solihull 002,E02002082,1524,0.6973328870391851,2185.469849946088
Birmingham,J01000007,Solihull 003,E02002083,2403,1.34614539647675,1785.096919165896
Birmingham,J01000007,Solihull 004,E02002084,1501,1.45976864077759,1028.245132872869
Birmingham,J01000007,Solihull 005,E02002085,1711,1.46196631854248,1170.341599733841
Birmingham,J01000007,Solihull 006,E02002086,1227,1.45968242408752,840.5938029753459
Birmingham,J01000007,Solihull 007,E02002087,986,1.2020004090499898,820.2992216777136
Birmingham,J01000007,Solihull 008,E02002088,1455,1.67985214072418,866.1476595033853
Birmingham,J01000007,Solihull 009,E02002089,2331,15.0054746484604,155.34330333490428
Birmingham,J01000007,Walsall 039,E02002148,4465,7.600176213500981,587.4863785484813
Birmingham,J01000007,Bromsgrove 003,E02006698,276,5.05819987731934,54.56486629513539
Birmingham,J01000007,Bromsgrove 004,E02006699,31,2.19359598743439,14.132046273597227
Birmingham,J01000007,Bromsgrove 005,E02006700,355,17.1184091750717,20.737908316677043
Birmingham,J01000007,Birmingham 132,E02006807,2646,1.44523992145538,1830.8378842285476
Birmingham,J01000007,Birmingham 133,E02006809,3126,3.72639768986511,838.8798674124223
Birmingham,J01000007,Birmingham 134,E02006895,555,0.862739068855286,643.2999501649954
Birmingham,J01000007,Birmingham 135,E02006896,691,1.2576885998001102,549.4205800305605
Birmingham,J01000007,Birmingham 136,E02006897,427,0.837045207397461,510.1277639801886
Birmingham,J01000007,Birmingham 137,E02006898,582,1.03627787529755,561.6254229425562
Birmingham,J01000007,Birmingham 138,E02006899,779,1.1190919793624898,696.1000653795865
Birmingham,J01000007,Birmingham 139,E02006900,1652,2.0083518732223498,822.5650206153406
Birmingham,J01000007,Birmingham 140,E02006901,4566,2.37910390184784,1919.2100002247091
Bradford,J01000013,Bradford 017,E02002199,626,8.915768949798581,70.21267638548912
Bradford,J01000013,Bradford 019,E02002201,547,2.71978017160034,201.1191954819425
Bradford,J01000013,Bradford 024,E02002206,63,1.8557364120636,33.948786902307575
Bradford,J01000013,Bradford 026,E02002208,154,1.49684758525085,102.88288635224797
Bradford,J01000013,Bradford 027,E02002209,92,1.58477172216797,58.05252498709648
Bradford,J01000013,Bradford 028,E02002210,79,1.3949459365387,56.63301919501186
Bradford,J01000013,Bradford 029,E02002211,46,2.2191154395904498,20.728980196041334
Bradford,J01000013,Bradford 030,E02002212,61,2.5614580858612097,23.814561064539408
Bradford,J01000013,Bradford 032,E02002214,73,1.04415375495911,69.91307520879312
