CityName,CityCode,Date,NewCasesBySpecimenDateRollingSum
Birmingham,J01000007,2020-03-21,51
Birmingham,J01000007,2020-03-28,340
Birmingham,J01000007,2020-04-04,657
Birmingham,J01000007,2020-04-11,350
Birmingham,J01000007,2020-04-18,482
Birmingham,J01000007,2020-04-25,486
Birmingham,J01000007,2020-05-02,357
Birmingham,J01000007,2020-05-09,234
Birmingham,J01000007,2020-05-16,169
Birmingham,J01000007,2020-05-23,94
Birmingham,J01000007,2020-05-30,87
Birmingham,J01000007,2020-06-06,37
Birmingham,J01000007,2020-06-13,39
Birmingham,J01000007,2020-06-20,50
Birmingham,J01000007,2020-06-27,31
Birmingham,J01000007,2020-07-04,27
Birmingham,J01000007,2020-07-11,23
Birmingham,J01000007,2020-07-18,90
Birmingham,J01000007,2020-07-25,97
Birmingham,J01000007,2020-08-01,89
Birmingham,J01000007,2020-08-08,154
Birmingham,J01000007,2020-08-15,298
Birmingham,J01000007,2020-08-22,200
Birmingham,J01000007,2020-08-29,293
Birmingham,J01000007,2020-09-05,787
Birmingham,J01000007,2020-09-12,1050
Birmingham,J01000007,2020-09-19,1255
Birmingham,J01000007,2020-09-26,1861
Birmingham,J01000007,2020-10-03,2193
Birmingham,J01000007,2020-10-10,2604
Birmingham,J01000007,2020-10-17,2961
Birmingham,J01000007,2020-10-24,3280
Birmingham,J01000007,2020-10-31,3452
Birmingham,J01000007,2020-11-07,4133
Birmingham,J01000007,2020-11-14,4713
Birmingham,J01000007,2020-11-21,4064
Birmingham,J01000007,2020-11-28,2762
Birmingham,J01000007,2020-12-05,2260
Birmingham,J01000007,2020-12-12,2561
Birmingham,J01000007,2020-12-19,3269
Birmingham,J01000007,2020-12-26,4130
Birmingham,J01000007,2021-01-02,7604
Birmingham,J01000007,2021-01-09,9549
Birmingham,J01000007,2021-01-16,8851
Birmingham,J01000007,2021-01-23,7261
Birmingham,J01000007,2021-01-30,4789
Birmingham,J01000007,2021-02-06,3618
Birmingham,J01000007,2021-02-13,2671
Birmingham,J01000007,2021-02-20,2171
Birmingham,J01000007,2021-02-27,1483
Birmingham,J01000007,2021-03-06,1075
Birmingham,J01000007,2021-03-13,958
Birmingham,J01000007,2021-03-20,904
Birmingham,J01000007,2021-03-27,878
Birmingham,J01000007,2021-04-03,476
Birmingham,J01000007,2021-04-10,324
Birmingham,J01000007,2021-04-17,199
Birmingham,J01000007,2021-04-24,200
Birmingham,J01000007,2021-05-01,132
Birmingham,J01000007,2021-05-08,123
Birmingham,J01000007,2021-05-15,139
Birmingham,J01000007,2021-05-22,214
Birmingham,J01000007,2021-05-29,441
Birmingham,J01000007,2021-06-05,740
Birmingham,J01000007,2021-06-12,1120
Birmingham,J01000007,2021-06-19,1578
Birmingham,J01000007,2021-06-26,2424
Birmingham,J01000007,2021-07-03,3675
Birmingham,J01000007,2021-07-10,4926
Birmingham,J01000007,2021-07-17,6971
Birmingham,J01000007,2021-07-24,4733
Birmingham,J01000007,2021-07-31,3699
Birmingham,J01000007,2021-08-07,4084
Birmingham,J01000007,2021-08-14,3914
Birmingham,J01000007,2021-08-21,3778
Birmingham,J01000007,2021-08-28,3543
Birmingham,J01000007,2021-09-04,3430
Birmingham,J01000007,2021-09-11,3364
Birmingham,J01000007,2021-09-18,2897
Birmingham,J01000007,2021-09-25,3221
Birmingham,J01000007,2021-10-02,3063
Birmingham,J01000007,2021-10-09,3461
Birmingham,J01000007,2021-10-16,3617
Birmingham,J01000007,2021-10-23,3569
Birmingham,J01000007,2021-10-30,3084
Birmingham,J01000007,2021-11-06,3146
Birmingham,J01000007,2021-11-13,3060
Birmingham,J01000007,2021-11-20,3506
Birmingham,J01000007,2021-11-27,3410
Birmingham,J01000007,2021-12-04,3687
Birmingham,J01000007,2021-12-11,4416
Birmingham,J01000007,2021-12-18,7291
Birmingham,J01000007,2021-12-25,12258
Birmingham,J01000007,2022-01-01,19723
Birmingham,J01000007,2022-01-08,23670
Birmingham,J01000007,2022-01-15,14619
Birmingham,J01000007,2022-01-22,13639
Birmingham,J01000007,2022-01-29,10245
Birmingham,J01000007,2022-02-05,6779
Birmingham,J01000007,2022-02-12,4236
Birmingham,J01000007,2022-02-19,2861
Birmingham,J01000007,2022-02-26,1851
Birmingham,J01000007,2022-03-05,2008
Birmingham,J01000007,2022-03-12,2799
Birmingham,J01000007,2022-03-19,4390
Birmingham,J01000007,2022-03-26,5385
Birmingham,J01000007,2022-04-02,4792
Birmingham,J01000007,2022-04-09,3210
Birmingham,J01000007,2022-04-16,1986
Birmingham,J01000007,2022-04-23,1391
Birmingham,J01000007,2022-04-30,965
Birmingham,J01000007,2022-05-07,800
Birmingham,J01000007,2022-05-14,683
Birmingham,J01000007,2022-05-21,579
Birmingham,J01000007,2022-05-28,366
Birmingham,J01000007,2022-06-04,421
Birmingham,J01000007,2022-06-11,762
Birmingham,J01000007,2022-06-18,1069
Birmingham,J01000007,2022-06-25,1535
Birmingham,J01000007,2022-07-02,1974
Birmingham,J01000007,2022-07-09,2465
Birmingham,J01000007,2022-07-16,2203
Birmingham,J01000007,2022-07-23,1509
Birmingham,J01000007,2022-07-30,1159
Birmingham,J01000007,2022-08-06,830
Birmingham,J01000007,2022-08-13,698
Birmingham,J01000007,2022-08-20,465
Birmingham,J01000007,2022-08-27,338
Birmingham,J01000007,2022-09-03,288
Birmingham,J01000007,2022-09-10,314
Birmingham,J01000007,2022-09-17,313
Birmingham,J01000007,2022-09-24,510
Birmingham,J01000007,2022-10-01,631
Birmingham,J01000007,2022-10-08,831
Birmingham,J01000007,2022-10-15,701
Birmingham,J01000007,2022-10-22,569
Birmingham,J01000007,2022-10-29,418
Birmingham,J01000007,2022-11-05,277
Birmingham,J01000007,2022-11-12,241
Bradford,J01000013,2020-04-04,62
Bradford,J01000013,2020-04-11,88
Bradford,J01000013,2020-04-18,106
Bradford,J01000013,2020-04-25,181
Bradford,J01000013,2020-05-02,206
Bradford,J01000013,2020-05-09,226
Bradford,J01000013,2020-05-16,299
Bradford,J01000013,2020-05-23,296
Bradford,J01000013,2020-05-30,183
Bradford,J01000013,2020-06-06,195
Bradford,J01000013,2020-06-13,293
Bradford,J01000013,2020-06-20,322
Bradford,J01000013,2020-06-27,231
Bradford,J01000013,2020-07-04,135
Bradford,J01000013,2020-07-11,165
Bradford,J01000013,2020-07-18,194
