CityName,CityCode,MSOAName,MSOACode,POINum,Population,Availability
Birmingham,J01000007,Birmingham 097,E02001923,11.0,11133.0,0.0009880535345369622
Birmingham,J01000007,Birmingham 098,E02001924,10.0,6621.0,0.0015103458692040477
Birmingham,J01000007,Birmingham 099,E02001925,6.0,6836.0,0.0008777062609713282
Birmingham,J01000007,Birmingham 100,E02001926,7.0,7880.0,0.0008883248730964467
Birmingham,J01000007,Birmingham 101,E02001927,12.0,7838.0,0.0015310028068384791
Birmingham,J01000007,Birmingham 102,E02001928,9.0,6781.0,0.0013272378705205723
Birmingham,J01000007,Birmingham 103,E02001929,6.0,10025.0,0.000598503740648379
Birmingham,J01000007,Birmingham 104,E02001930,22.0,7687.0,0.0028619747625861845
Birmingham,J01000007,Birmingham 105,E02001931,7.0,8103.0,0.0008638775762063434
Birmingham,J01000007,Birmingham 106,E02001932,8.0,7579.0,0.001055548225359546
Birmingham,J01000007,Birmingham 107,E02001933,9.0,7199.0,0.0012501736352271149
Birmingham,J01000007,Birmingham 108,E02001934,8.0,7009.0,0.0011413896418889999
Birmingham,J01000007,Birmingham 109,E02001935,10.0,7942.0,0.0012591286829513977
Birmingham,J01000007,Birmingham 110,E02001936,6.0,6417.0,0.0009350163627863488
Birmingham,J01000007,Birmingham 111,E02001937,11.0,8102.0,0.0013576894593927426
Birmingham,J01000007,Birmingham 112,E02001938,16.0,8009.0,0.001997752528405544
Birmingham,J01000007,Birmingham 113,E02001939,1.0,6202.0,0.00016123831022250886
Birmingham,J01000007,Birmingham 115,E02001941,11.0,6204.0,0.0017730496453900709
Birmingham,J01000007,Birmingham 116,E02001942,6.0,6788.0,0.0008839127872716559
Birmingham,J01000007,Birmingham 117,E02001943,8.0,6329.0,0.0012640227524095434
Birmingham,J01000007,Birmingham 118,E02001944,6.0,8075.0,0.0007430340557275541
Birmingham,J01000007,Birmingham 119,E02001945,9.0,7495.0,0.001200800533689126
Birmingham,J01000007,Birmingham 120,E02001946,10.0,7434.0,0.0013451708366962604
Birmingham,J01000007,Birmingham 121,E02001947,6.0,6206.0,0.0009668063164679343
Birmingham,J01000007,Birmingham 122,E02001948,16.0,7216.0,0.0022172949002217295
Birmingham,J01000007,Birmingham 123,E02001949,6.0,5928.0,0.0010121457489878543
Birmingham,J01000007,Birmingham 124,E02001950,9.0,8308.0,0.0010832932113625422
Birmingham,J01000007,Birmingham 125,E02001951,12.0,8758.0,0.0013701758392327015
Birmingham,J01000007,Birmingham 126,E02001952,16.0,9252.0,0.0017293558149589277
Birmingham,J01000007,Birmingham 127,E02001953,9.0,6889.0,0.00130643054144288
Birmingham,J01000007,Birmingham 128,E02001954,9.0,7469.0,0.0012049805864238854
Birmingham,J01000007,Birmingham 129,E02001955,9.0,7359.0,0.0012229922543823889
Birmingham,J01000007,Birmingham 130,E02001956,8.0,6743.0,0.0011864155420436007
Birmingham,J01000007,Birmingham 131,E02001957,11.0,7577.0,0.0014517619110465884
Birmingham,J01000007,Birmingham 132,E02006807,7.0,7741.0,0.0009042759333419455
Birmingham,J01000007,Birmingham 133,E02006809,9.0,10098.0,0.00089126559714795
Birmingham,J01000007,Birmingham 134,E02006895,38.0,10127.0,0.00375234521575985
Birmingham,J01000007,Birmingham 135,E02006896,98.0,7814.0,0.012541592014333249
Birmingham,J01000007,Birmingham 136,E02006897,35.0,8736.0,0.004006410256410256
Birmingham,J01000007,Birmingham 137,E02006898,31.0,8690.0,0.0035673187571921747
Birmingham,J01000007,Birmingham 138,E02006899,110.0,8925.0,0.012324929971988795
Birmingham,J01000007,Birmingham 139,E02006900,45.0,15420.0,0.0029182879377431907
Bradford,J01000013,Bradford 017,E02002199,10.0,6891.0,0.0014511681903932665
Bradford,J01000013,Bradford 019,E02002201,15.0,12244.0,0.0012250898399215943
Bradford,J01000013,Bradford 024,E02002206,5.0,8607.0,0.0005809225049378413
Bradford,J01000013,Bradford 026,E02002208,14.0,8114.0,0.0017254128666502342
Bradford,J01000013,Bradford 027,E02002209,10.0,7058.0,0.0014168319637291016
Bradford,J01000013,Bradford 028,E02002210,3.0,7795.0,0.0003848620910840282
Bradford,J01000013,Bradford 029,E02002211,7.0,7402.0,0.0009456903539583896
Bradford,J01000013,Bradford 030,E02002212,4.0,8554.0,0.00046761748889408465
Bradford,J01000013,Bradford 032,E02002214,4.0,6092.0,0.0006565988181221273
Bradford,J01000013,Bradford 033,E02002215,8.0,10389.0,0.0007700452401578592
Bradford,J01000013,Bradford 034,E02002216,9.0,9517.0,0.0009456761584532941
Bradford,J01000013,Bradford 035,E02002217,10.0,10098.0,0.0009902951079421667
Bradford,J01000013,Bradford 036,E02002218,7.0,10281.0,0.0006808676198813345
Bradford,J01000013,Bradford 037,E02002219,6.0,8417.0,0.0007128430557205655
Bradford,J01000013,Bradford 038,E02002220,14.0,9245.0,0.0015143320713899406
Bradford,J01000013,Bradford 040,E02002222,7.0,8886.0,0.0007877560207067297
Bradford,J01000013,Bradford 041,E02002223,13.0,8051.0,0.0016147062476710968
Bradford,J01000013,Bradford 042,E02002224,13.0,10836.0,0.001199704688076781
Bradford,J01000013,Bradford 044,E02002226,29.0,15218.0,0.001905638060191878
Bradford,J01000013,Bradford 045,E02002227,11.0,6596.0,0.0016676773802304426
Bradford,J01000013,Bradford 046,E02002228,5.0,7688.0,0.0006503642039542144
Bradford,J01000013,Bradford 047,E02002229,7.0,7779.0,0.0008998585936495694
Bradford,J01000013,Bradford 048,E02002230,12.0,9769.0,0.0012283754734363805
Bradford,J01000013,Bradford 049,E02002231,10.0,13174.0,0.0007590708972218005
Bradford,J01000013,Bradford 050,E02002232,7.0,7517.0,0.000931222562192364
Bradford,J01000013,Bradford 051,E02002233,5.0,9883.0,0.0005059192552868562
Bradford,J01000013,Bradford 052,E02002234,6.0,8226.0,0.0007293946024799417
Bradford,J01000013,Bradford 053,E02002235,6.0,7581.0,0.0007914523149980214
Bradford,J01000013,Bradford 054,E02002236,7.0,6237.0,0.001122334455667789
Bradford,J01000013,Bradford 055,E02002237,10.0,8756.0,0.0011420740063956144
Bradford,J01000013,Bradford 056,E02002238,9.0,6385.0,0.0014095536413469068
Bradford,J01000013,Bradford 057,E02002239,17.0,11140.0,0.001526032315978456
Bradford,J01000013,Bradford 058,E02002240,13.0,11074.0,0.0011739208957919451
Bradford,J01000013,Bradford 059,E02002241,16.0,12083.0,0.001324174459985103
Bradford,J01000013,Bradford 060,E02002242,12.0,7864.0,0.001525940996948118
Bradford,J01000013,Bradford 061,E02002243,15.0,9339.0,0.0016061676839061998
Brighton & Hove,J01000014,Brighton and Hove 001,E02003491,11.0,7824.0,0.0014059304703476483
Brighton & Hove,J01000014,Brighton and Hove 002,E02003492,13.0,11904.0,0.0010920698924731182
Brighton & Hove,J01000014,Brighton and Hove 003,E02003493,9.0,8184.0,0.0010997067448680353
Brighton & Hove,J01000014,Brighton and Hove 004,E02003494,0.0,6524.0,0.0
Brighton & Hove,J01000014,Brighton and Hove 006,E02003496,9.0,7510.0,0.0011984021304926764
Brighton & Hove,J01000014,Brighton and Hove 007,E02003497,4.0,7601.0,0.0005262465465070386
Brighton & Hove,J01000014,Brighton and Hove 008,E02003498,6.0,9100.0,0.0006593406593406593
Brighton & Hove,J01000014,Brighton and Hove 009,E02003499,7.0,7959.0,0.0008795074758135445
Brighton & Hove,J01000014,Brighton and Hove 010,E02003500,12.0,8227.0,0.0014586118876868846
Brighton & Hove,J01000014,Brighton and Hove 011,E02003501,11.0,8797.0,0.0012504262816869388
Brighton & Hove,J01000014,Brighton and Hove 013,E02003503,9.0,8870.0,0.0010146561443066515
Brighton & Hove,J01000014,Brighton and Hove 014,E02003504,13.0,8730.0,0.0014891179839633447
Brighton & Hove,J01000014,Brighton and Hove 015,E02003505,26.0,10460.0,0.00248565965583174
Brighton & Hove,J01000014,Brighton and Hove 016,E02003506,10.0,7283.0,0.001373060551970342
Brighton & Hove,J01000014,Brighton and Hove 018,E02003508,11.0,9826.0,0.0011194789334418888
Brighton & Hove,J01000014,Brighton and Hove 019,E02003509,18.0,9451.0,0.0019045603639826474
Brighton & Hove,J01000014,Brighton and Hove 020,E02003510,3.0,8955.0,0.00033500837520938025
Brighton & Hove,J01000014,Brighton and Hove 021,E02003511,21.0,8593.0,0.0024438496450599327
Brighton & Hove,J01000014,Brighton and Hove 022,E02003512,22.0,9911.0,0.0022197558268590455
Brighton & Hove,J01000014,Brighton and Hove 023,E02003513,11.0,6511.0,0.0016894486254031638
Brighton & Hove,J01000014,Brighton and Hove 024,E02003514,23.0,9536.0,0.0024119127516778523
Brighton & Hove,J01000014,Brighton and Hove 025,E02003515,4.0,9157.0,0.00043682428743038114
Brighton & Hove,J01000014,Brighton and Hove 026,E02003516,36.0,9132.0,0.003942181340341655
Brighton & Hove,J01000014,Brighton and Hove 027,E02003517,203.0,13184.0,0.01539745145631068
Brighton & Hove,J01000014,Brighton and Hove 028,E02003518,15.0,8063.0,0.0018603497457522014
Brighton & Hove,J01000014,Brighton and Hove 029,E02003519,44.0,10019.0,0.004391655853877632
Brighton & Hove,J01000014,Brighton and Hove 030,E02003520,55.0,9690.0,0.005675954592363261
Brighton & Hove,J01000014,Brighton and Hove 031,E02003521,34.0,8549.0,0.0039770733419113346
Brighton & Hove,J01000014,Brighton and Hove 032,E02003522,18.0,7790.0,0.0023106546854942235
Bristol,J01000015,Bristol 001,E02003012,8.0,11655.0,0.0006864006864006864
Bristol,J01000015,Bristol 002,E02003013,19.0,12022.0,0.0015804358675761104
Bristol,J01000015,Bristol 003,E02003014,10.0,8292.0,0.00120598166907863
Bristol,J01000015,Bristol 004,E02003015,10.0,6692.0,0.0014943215780035865
Bristol,J01000015,Bristol 005,E02003016,6.0,8169.0,0.0007344840249724568
Bristol,J01000015,Bristol 006,E02003017,19.0,6118.0,0.003105590062111801
Bristol,J01000015,Bristol 007,E02003018,3.0,5870.0,0.0005110732538330494
Bristol,J01000015,Bristol 008,E02003019,19.0,9839.0,0.001931090557983535
Bristol,J01000015,Bristol 009,E02003020,6.0,6416.0,0.0009351620947630922
Bristol,J01000015,Bristol 010,E02003021,7.0,7468.0,0.0009373326191751473
Bristol,J01000015,Bristol 011,E02003022,4.0,5934.0,0.0006740815638692282
Bristol,J01000015,Bristol 012,E02003023,8.0,6607.0,0.0012108369910700772
Bristol,J01000015,Bristol 013,E02003024,20.0,9795.0,0.002041858090862685
Bristol,J01000015,Bristol 014,E02003025,10.0,7645.0,0.0013080444735120995
Bristol,J01000015,Bristol 015,E02003026,6.0,9308.0,0.0006446067898581865
Bristol,J01000015,Bristol 016,E02003027,30.0,12695.0,0.0023631350925561244
Bristol,J01000015,Bristol 017,E02003028,7.0,8435.0,0.0008298755186721991
Bristol,J01000015,Bristol 018,E02003029,1.0,6408.0,0.00015605493133583021
Bristol,J01000015,Bristol 019,E02003030,12.0,7957.0,0.0015081060701269322
Bristol,J01000015,Bristol 020,E02003031,25.0,10538.0,0.0023723666729929776
Bristol,J01000015,Bristol 021,E02003032,8.0,8258.0,0.0009687575684185032
Bristol,J01000015,Bristol 022,E02003033,31.0,8901.0,0.003482754746657679
Bristol,J01000015,Bristol 025,E02003036,26.0,10742.0,0.0024204058834481476
Bristol,J01000015,Bristol 026,E02003037,26.0,8907.0,0.0029190524306725047
Bristol,J01000015,Bristol 027,E02003038,11.0,6562.0,0.0016763181956720513
Bristol,J01000015,Bristol 028,E02003039,8.0,8693.0,0.0009202806856091108
Bristol,J01000015,Bristol 029,E02003040,22.0,10092.0,0.002179944510503369
