CityName,CityCode,MSOAName,MSOACode,WindSpeed,Time
Birmingham,J01000007,Birmingham 013,E02001839,3.5954866653970723,2019-02
Birmingham,J01000007,Birmingham 013,E02001839,4.511314631060652,2019-03
Birmingham,J01000007,Birmingham 013,E02001839,3.435003586917549,2019-04
Birmingham,J01000007,Birmingham 013,E02001839,2.7504416250810557,2019-05
Birmingham,J01000007,Birmingham 013,E02001839,3.1827677096534446,2019-06
Birmingham,J01000007,Birmingham 013,E02001839,2.6553877756218722,2019-07
Birmingham,J01000007,Birmingham 013,E02001839,3.166582208568424,2019-08
Birmingham,J01000007,Birmingham 013,E02001839,2.9372710667399153,2019-09
Birmingham,J01000007,Birmingham 013,E02001839,3.119750249976744,2019-10
Birmingham,J01000007,Birmingham 013,E02001839,3.1969541009218214,2019-11
Birmingham,J01000007,Birmingham 013,E02001839,3.8134154687538158,2019-12
Birmingham,J01000007,Birmingham 013,E02001839,4.064875748203296,2020-01
Birmingham,J01000007,Birmingham 013,E02001839,5.504331652622049,2020-02
Birmingham,J01000007,Birmingham 013,E02001839,4.223581651532635,2020-03
Birmingham,J01000007,Birmingham 013,E02001839,3.1586931139220815,2020-04
Birmingham,J01000007,Birmingham 013,E02001839,2.9921461911764147,2020-05
Birmingham,J01000007,Birmingham 013,E02001839,3.142848985324469,2020-06
Birmingham,J01000007,Birmingham 013,E02001839,3.1971252709570854,2020-07
Birmingham,J01000007,Birmingham 013,E02001839,3.3645446872032196,2020-08
Birmingham,J01000007,Birmingham 013,E02001839,2.9704453319073445,2020-09
Birmingham,J01000007,Birmingham 013,E02001839,3.549863437776525,2020-10
Birmingham,J01000007,Birmingham 013,E02001839,3.5422218246855532,2020-11
Birmingham,J01000007,Birmingham 013,E02001839,3.632550028524723,2020-12
Birmingham,J01000007,Birmingham 013,E02001839,3.29306791290313,2021-01
Birmingham,J01000007,Birmingham 013,E02001839,4.296130928541045,2021-02
Birmingham,J01000007,Birmingham 013,E02001839,3.8920841532725534,2021-03
Birmingham,J01000007,Birmingham 013,E02001839,2.83945936043625,2021-04
Birmingham,J01000007,Birmingham 013,E02001839,3.204918233837969,2021-05
Birmingham,J01000007,Birmingham 013,E02001839,2.7743609910723226,2021-06
Birmingham,J01000007,Birmingham 013,E02001839,2.3649820166747872,2021-07
Birmingham,J01000007,Birmingham 013,E02001839,2.75127648748169,2021-08
Birmingham,J01000007,Birmingham 013,E02001839,2.4921664221711572,2021-09
Birmingham,J01000007,Birmingham 013,E02001839,3.5858013983857466,2021-10
Birmingham,J01000007,Birmingham 013,E02001839,3.2425256136004474,2021-11
Birmingham,J01000007,Birmingham 013,E02001839,3.646924373920266,2021-12
Birmingham,J01000007,Birmingham 014,E02001840,3.183240077179468,2019-01
Birmingham,J01000007,Birmingham 014,E02001840,3.429764297944564,2019-02
Birmingham,J01000007,Birmingham 014,E02001840,4.347428011508879,2019-03
Birmingham,J01000007,Birmingham 014,E02001840,3.281763684458539,2019-04
Birmingham,J01000007,Birmingham 014,E02001840,2.689345040035213,2019-05
Birmingham,J01000007,Birmingham 014,E02001840,3.077186458002878,2019-06
Birmingham,J01000007,Birmingham 014,E02001840,2.5356290443728615,2019-07
Birmingham,J01000007,Birmingham 014,E02001840,3.056955419585137,2019-08
Birmingham,J01000007,Birmingham 014,E02001840,2.805690703187992,2019-09
Birmingham,J01000007,Birmingham 014,E02001840,2.972817050515248,2019-10
Birmingham,J01000007,Birmingham 014,E02001840,3.0383144734779086,2019-11
Birmingham,J01000007,Birmingham 014,E02001840,3.6398740026561636,2019-12
Birmingham,J01000007,Birmingham 014,E02001840,3.883243894747517,2020-01
Birmingham,J01000007,Birmingham 014,E02001840,5.232014534953708,2020-02
Birmingham,J01000007,Birmingham 014,E02001840,4.03535046878177,2020-03
Birmingham,J01000007,Birmingham 014,E02001840,2.997513108258773,2020-04
Birmingham,J01000007,Birmingham 014,E02001840,2.8839579174324945,2020-05
Birmingham,J01000007,Birmingham 014,E02001840,3.042917571449409,2020-06
Birmingham,J01000007,Birmingham 014,E02001840,3.0807080311386454,2020-07
Birmingham,J01000007,Birmingham 014,E02001840,3.293908555591176,2020-08
Birmingham,J01000007,Birmingham 014,E02001840,2.8417629752498166,2020-09
Birmingham,J01000007,Birmingham 014,E02001840,3.3815543237824954,2020-10
Birmingham,J01000007,Birmingham 014,E02001840,3.342347126705249,2020-11
Birmingham,J01000007,Birmingham 014,E02001840,3.4719310547809075,2020-12
Birmingham,J01000007,Birmingham 014,E02001840,3.1131632307459864,2021-01
Birmingham,J01000007,Birmingham 014,E02001840,4.097736088160303,2021-02
Birmingham,J01000007,Birmingham 014,E02001840,3.726009035858882,2021-03
Birmingham,J01000007,Birmingham 014,E02001840,2.6914713533576142,2021-04
Birmingham,J01000007,Birmingham 014,E02001840,3.1153258603474616,2021-05
Birmingham,J01000007,Birmingham 014,E02001840,2.6838257594129633,2021-06
Birmingham,J01000007,Birmingham 014,E02001840,2.310714375842753,2021-07
Birmingham,J01000007,Birmingham 014,E02001840,2.6729404343812146,2021-08
Birmingham,J01000007,Birmingham 014,E02001840,2.3674676933970042,2021-09
Birmingham,J01000007,Birmingham 014,E02001840,3.388905962013525,2021-10
Birmingham,J01000007,Birmingham 014,E02001840,3.047313723532542,2021-11
Birmingham,J01000007,Birmingham 014,E02001840,3.4431185578604846,2021-12
Birmingham,J01000007,Birmingham 016,E02001842,3.1720915333332917,2019-01
Birmingham,J01000007,Birmingham 016,E02001842,3.4425684660266294,2019-02
Birmingham,J01000007,Birmingham 016,E02001842,4.324883395905713,2019-03
Birmingham,J01000007,Birmingham 016,E02001842,3.308255432029981,2019-04
Birmingham,J01000007,Birmingham 016,E02001842,2.6418113526033515,2019-05
Birmingham,J01000007,Birmingham 016,E02001842,3.0468771186967976,2019-06
Birmingham,J01000007,Birmingham 016,E02001842,2.558256332656273,2019-07
Birmingham,J01000007,Birmingham 016,E02001842,3.0345484343116294,2019-08
Birmingham,J01000007,Birmingham 016,E02001842,2.8013930522825814,2019-09
Birmingham,J01000007,Birmingham 016,E02001842,2.9621080004613494,2019-10
Birmingham,J01000007,Birmingham 016,E02001842,3.0478059950181744,2019-11
