CityName,CityCode,SunshineHours,Time
Birmingham,J01000007,50.95130174685035,2019-01
Birmingham,J01000007,117.90825330275048,2019-02
Birmingham,J01000007,133.20327473158912,2019-03
Birmingham,J01000007,156.75380543994913,2019-04
Birmingham,J01000007,193.26993796403085,2019-05
Birmingham,J01000007,141.92155245014672,2019-06
Birmingham,J01000007,179.8444025507679,2019-07
Birmingham,J01000007,202.5102589532537,2019-08
Birmingham,J01000007,174.53252471099688,2019-09
Birmingham,J01000007,86.9640314986995,2019-10
Birmingham,J01000007,51.51869811569689,2019-11
Birmingham,J01000007,53.465807599741844,2019-12
Birmingham,J01000007,50.07196093375808,2020-01
Birmingham,J01000007,80.69053887944392,2020-02
Birmingham,J01000007,150.81869491869872,2020-03
Birmingham,J01000007,238.1130777679314,2020-04
Birmingham,J01000007,291.81797018521013,2020-05
Birmingham,J01000007,176.85860613143862,2020-06
Birmingham,J01000007,156.598280566238,2020-07
Birmingham,J01000007,141.5939642747036,2020-08
Birmingham,J01000007,179.6888681381438,2020-09
Birmingham,J01000007,60.979083966042786,2020-10
Birmingham,J01000007,61.05303864434107,2020-11
Birmingham,J01000007,48.28991154930054,2020-12
Birmingham,J01000007,34.18516055987364,2021-01
Birmingham,J01000007,72.41098974173013,2021-02
Birmingham,J01000007,96.1304182445276,2021-03
Birmingham,J01000007,207.93425813097397,2021-04
Birmingham,J01000007,144.22385539488343,2021-05
Birmingham,J01000007,189.2490163549988,2021-06
Birmingham,J01000007,204.42571924049727,2021-07
Birmingham,J01000007,101.2109419525818,2021-08
Birmingham,J01000007,149.53078328316292,2021-09
Birmingham,J01000007,96.43219453976863,2021-10
Birmingham,J01000007,48.56697123776279,2021-11
Birmingham,J01000007,22.66024121968825,2021-12
Bradford,J01000013,52.912576795509835,2019-01
Bradford,J01000013,99.90445097815125,2019-02
Bradford,J01000013,120.34937228420429,2019-03
Bradford,J01000013,170.58560765834577,2019-04
Bradford,J01000013,181.43606599740326,2019-05
Bradford,J01000013,147.16654546775248,2019-06
Bradford,J01000013,170.99101948504352,2019-07
Bradford,J01000013,183.84731811228625,2019-08
Bradford,J01000013,150.68660794184817,2019-09
Bradford,J01000013,87.6045303633261,2019-10
Bradford,J01000013,35.89291256942499,2019-11
Bradford,J01000013,41.38964001232403,2019-12
Bradford,J01000013,43.51157027564801,2020-01
Bradford,J01000013,65.1237205973724,2020-02
Bradford,J01000013,139.2445394411478,2020-03
Bradford,J01000013,214.5882464569145,2020-04
Bradford,J01000013,260.7002239227242,2020-05
Bradford,J01000013,137.69723669395663,2020-06
Bradford,J01000013,128.3922131209734,2020-07
Bradford,J01000013,142.8185756303469,2020-08
Bradford,J01000013,147.2807925421789,2020-09
Bradford,J01000013,64.75526484027584,2020-10
Bradford,J01000013,45.7019312898253,2020-11
Bradford,J01000013,34.07348017273321,2020-12
Bradford,J01000013,39.67118125768995,2021-01
Bradford,J01000013,67.54351858222783,2021-02
Bradford,J01000013,107.8208520535592,2021-03
Bradford,J01000013,218.36485588706773,2021-04
Bradford,J01000013,148.43245325483392,2021-05
Bradford,J01000013,174.02331046711745,2021-06
Bradford,J01000013,189.56825867952807,2021-07
Bradford,J01000013,126.45909851133304,2021-08
Bradford,J01000013,131.20113423813126,2021-09
Bradford,J01000013,85.53107126034989,2021-10
Bradford,J01000013,60.50306286966387,2021-11
Bradford,J01000013,28.06865888260895,2021-12
Brighton & Hove,J01000014,67.898826743668,2019-01
Brighton & Hove,J01000014,128.0764780929306,2019-02
Brighton & Hove,J01000014,126.04423895561992,2019-03
Brighton & Hove,J01000014,177.09837481246532,2019-04
Brighton & Hove,J01000014,218.4956758686914,2019-05
Brighton & Hove,J01000014,213.3873556725733,2019-06
Brighton & Hove,J01000014,250.07178271148115,2019-07
Brighton & Hove,J01000014,236.31432970423293,2019-08
Brighton & Hove,J01000014,164.44901620395814,2019-09
Brighton & Hove,J01000014,83.71997492760221,2019-10
Brighton & Hove,J01000014,60.965475287037336,2019-11
Brighton & Hove,J01000014,65.14563645968798,2019-12
Brighton & Hove,J01000014,54.14868240769953,2020-01
Brighton & Hove,J01000014,73.39278868659164,2020-02
Brighton & Hove,J01000014,173.20728249451815,2020-03
Brighton & Hove,J01000014,251.76634959311326,2020-04
Brighton & Hove,J01000014,323.65618769238,2020-05
Brighton & Hove,J01000014,221.05894552934797,2020-06
Brighton & Hove,J01000014,225.17743592377914,2020-07
Brighton & Hove,J01000014,207.46608796029548,2020-08
Brighton & Hove,J01000014,165.30199114039257,2020-09
Brighton & Hove,J01000014,72.02648050823393,2020-10
Brighton & Hove,J01000014,60.64859259896492,2020-11
Brighton & Hove,J01000014,51.57017103857492,2020-12
Brighton & Hove,J01000014,31.887613989196435,2021-01
Brighton & Hove,J01000014,67.22402607905217,2021-02
Brighton & Hove,J01000014,136.09466418650612,2021-03
Brighton & Hove,J01000014,229.15664304372373,2021-04
Brighton & Hove,J01000014,179.99153688640763,2021-05
Brighton & Hove,J01000014,196.22448932557555,2021-06
Brighton & Hove,J01000014,216.77283103374836,2021-07
Brighton & Hove,J01000014,166.84863978781667,2021-08
Brighton & Hove,J01000014,157.29426011666794,2021-09
Brighton & Hove,J01000014,96.6477166822114,2021-10
Brighton & Hove,J01000014,70.96447153274387,2021-11
Brighton & Hove,J01000014,26.547060614687616,2021-12
Bristol,J01000015,53.95477799981195,2019-01
Bristol,J01000015,111.50709658852429,2019-02
Bristol,J01000015,126.40884037944073,2019-03
Bristol,J01000015,166.11655142273915,2019-04
Bristol,J01000015,211.7103200951422,2019-05
