CityName,CityCode,MSOAName,MSOACode,SunshineHours,Time
Birmingham,J01000007,Birmingham 013,E02001839,130.34666505799578,2019-03
Birmingham,J01000007,Birmingham 013,E02001839,157.54643948412723,2019-04
Birmingham,J01000007,Birmingham 013,E02001839,193.23435394772002,2019-05
Birmingham,J01000007,Birmingham 013,E02001839,137.86582552183134,2019-06
Birmingham,J01000007,Birmingham 013,E02001839,182.21875000035675,2019-07
Birmingham,J01000007,Birmingham 013,E02001839,199.3638268247879,2019-08
Birmingham,J01000007,Birmingham 013,E02001839,168.60198201959486,2019-09
Birmingham,J01000007,Birmingham 013,E02001839,88.07811806256768,2019-10
Birmingham,J01000007,Birmingham 013,E02001839,46.41904160801663,2019-11
Birmingham,J01000007,Birmingham 013,E02001839,55.37691274524214,2019-12
Birmingham,J01000007,Birmingham 013,E02001839,50.2806493809881,2020-01
Birmingham,J01000007,Birmingham 013,E02001839,78.34790077095856,2020-02
Birmingham,J01000007,Birmingham 013,E02001839,146.79570457702212,2020-03
Birmingham,J01000007,Birmingham 013,E02001839,233.67908914963684,2020-04
Birmingham,J01000007,Birmingham 013,E02001839,286.50765589339824,2020-05
Birmingham,J01000007,Birmingham 013,E02001839,170.7005361322501,2020-06
Birmingham,J01000007,Birmingham 013,E02001839,151.23844157596838,2020-07
Birmingham,J01000007,Birmingham 013,E02001839,143.50042158391048,2020-08
Birmingham,J01000007,Birmingham 013,E02001839,177.7156476061742,2020-09
Birmingham,J01000007,Birmingham 013,E02001839,61.781103157238604,2020-10
Birmingham,J01000007,Birmingham 013,E02001839,59.43172108674195,2020-11
Birmingham,J01000007,Birmingham 013,E02001839,48.91923003058791,2020-12
Birmingham,J01000007,Birmingham 013,E02001839,35.89177932741662,2021-01
Birmingham,J01000007,Birmingham 013,E02001839,72.67507549567021,2021-02
Birmingham,J01000007,Birmingham 013,E02001839,98.68444655344575,2021-03
Birmingham,J01000007,Birmingham 013,E02001839,211.44206528865345,2021-04
Birmingham,J01000007,Birmingham 013,E02001839,147.0080338408449,2021-05
Birmingham,J01000007,Birmingham 013,E02001839,187.0728968272835,2021-06
Birmingham,J01000007,Birmingham 013,E02001839,204.20101204325175,2021-07
Birmingham,J01000007,Birmingham 013,E02001839,107.52660199799661,2021-08
Birmingham,J01000007,Birmingham 013,E02001839,145.35726421308476,2021-09
Birmingham,J01000007,Birmingham 013,E02001839,95.54508859549318,2021-10
Birmingham,J01000007,Birmingham 013,E02001839,50.23243852013192,2021-11
Birmingham,J01000007,Birmingham 013,E02001839,24.439084592976634,2021-12
Birmingham,J01000007,Birmingham 014,E02001840,47.050038236876304,2019-01
Birmingham,J01000007,Birmingham 014,E02001840,113.51458167700078,2019-02
Birmingham,J01000007,Birmingham 014,E02001840,131.2968071041617,2019-03
Birmingham,J01000007,Birmingham 014,E02001840,157.37409198983104,2019-04
Birmingham,J01000007,Birmingham 014,E02001840,193.25700420329727,2019-05
Birmingham,J01000007,Birmingham 014,E02001840,138.77231995428903,2019-06
Birmingham,J01000007,Birmingham 014,E02001840,182.5421200327883,2019-07
Birmingham,J01000007,Birmingham 014,E02001840,201.00263202913106,2019-08
Birmingham,J01000007,Birmingham 014,E02001840,170.615820548462,2019-09
Birmingham,J01000007,Birmingham 014,E02001840,88.53659754227611,2019-10
