CityName,CityCode,MSOAName,MSOACode,RelativeHumidity,Time
Birmingham,J01000007,Birmingham 013,E02001839,77.2446151803851,2019-03
Birmingham,J01000007,Birmingham 013,E02001839,73.01697512673934,2019-04
Birmingham,J01000007,Birmingham 013,E02001839,72.73310108273878,2019-05
Birmingham,J01000007,Birmingham 013,E02001839,77.7737397840006,2019-06
Birmingham,J01000007,Birmingham 013,E02001839,73.82919793711972,2019-07
Birmingham,J01000007,Birmingham 013,E02001839,75.66438926406693,2019-08
Birmingham,J01000007,Birmingham 013,E02001839,78.70056839913003,2019-09
Birmingham,J01000007,Birmingham 013,E02001839,87.2400074417105,2019-10
Birmingham,J01000007,Birmingham 013,E02001839,90.8164693235974,2019-11
Birmingham,J01000007,Birmingham 013,E02001839,89.1901468702451,2019-12
Birmingham,J01000007,Birmingham 013,E02001839,87.0830503644822,2020-01
Birmingham,J01000007,Birmingham 013,E02001839,80.27206178336101,2020-02
Birmingham,J01000007,Birmingham 013,E02001839,74.39147432301756,2020-03
Birmingham,J01000007,Birmingham 013,E02001839,67.59269619424646,2020-04
Birmingham,J01000007,Birmingham 013,E02001839,63.00804507555294,2020-05
Birmingham,J01000007,Birmingham 013,E02001839,73.0840832017027,2020-06
Birmingham,J01000007,Birmingham 013,E02001839,73.85857926531578,2020-07
Birmingham,J01000007,Birmingham 013,E02001839,77.4465357974493,2020-08
Birmingham,J01000007,Birmingham 013,E02001839,78.02585000067963,2020-09
Birmingham,J01000007,Birmingham 013,E02001839,86.38125769606378,2020-10
Birmingham,J01000007,Birmingham 013,E02001839,87.75785032222232,2020-11
Birmingham,J01000007,Birmingham 013,E02001839,90.13961798104597,2020-12
Birmingham,J01000007,Birmingham 013,E02001839,90.08403717276113,2021-01
Birmingham,J01000007,Birmingham 013,E02001839,81.41662992743291,2021-02
Birmingham,J01000007,Birmingham 013,E02001839,77.47163117429368,2021-03
Birmingham,J01000007,Birmingham 013,E02001839,64.86628480632861,2021-04
Birmingham,J01000007,Birmingham 013,E02001839,76.17986747813158,2021-05
Birmingham,J01000007,Birmingham 013,E02001839,72.94864533328375,2021-06
Birmingham,J01000007,Birmingham 013,E02001839,75.46233861165742,2021-07
Birmingham,J01000007,Birmingham 013,E02001839,77.3701850258911,2021-08
Birmingham,J01000007,Birmingham 013,E02001839,78.59809933896541,2021-09
Birmingham,J01000007,Birmingham 013,E02001839,83.50829120835613,2021-10
Birmingham,J01000007,Birmingham 013,E02001839,85.05160350774769,2021-11
Birmingham,J01000007,Birmingham 013,E02001839,88.28027619424502,2021-12
Birmingham,J01000007,Birmingham 014,E02001840,82.91255659389991,2019-01
Birmingham,J01000007,Birmingham 014,E02001840,81.03901872253178,2019-02
Birmingham,J01000007,Birmingham 014,E02001840,76.3673477500154,2019-03
Birmingham,J01000007,Birmingham 014,E02001840,72.19322044471417,2019-04
Birmingham,J01000007,Birmingham 014,E02001840,71.83843818172157,2019-05
Birmingham,J01000007,Birmingham 014,E02001840,76.69783169322756,2019-06
Birmingham,J01000007,Birmingham 014,E02001840,72.78432391150493,2019-07
Birmingham,J01000007,Birmingham 014,E02001840,74.74829866179117,2019-08
Birmingham,J01000007,Birmingham 014,E02001840,77.96989443616144,2019-09
Birmingham,J01000007,Birmingham 014,E02001840,86.83137793807072,2019-10
Birmingham,J01000007,Birmingham 014,E02001840,90.41573072608381,2019-11
Birmingham,J01000007,Birmingham 014,E02001840,88.84365244657519,2019-12
Birmingham,J01000007,Birmingham 014,E02001840,86.54152773485558,2020-01
Birmingham,J01000007,Birmingham 014,E02001840,79.5448604746732,2020-02
Birmingham,J01000007,Birmingham 014,E02001840,73.69023420208421,2020-03
Birmingham,J01000007,Birmingham 014,E02001840,66.69536160408458,2020-04
Birmingham,J01000007,Birmingham 014,E02001840,62.118278238203075,2020-05
Birmingham,J01000007,Birmingham 014,E02001840,72.01975279060412,2020-06
Birmingham,J01000007,Birmingham 014,E02001840,72.70884632313368,2020-07
Birmingham,J01000007,Birmingham 014,E02001840,76.50234920724894,2020-08
Birmingham,J01000007,Birmingham 014,E02001840,77.31274163534931,2020-09
Birmingham,J01000007,Birmingham 014,E02001840,85.95205717034278,2020-10
Birmingham,J01000007,Birmingham 014,E02001840,87.29775783789533,2020-11
Birmingham,J01000007,Birmingham 014,E02001840,89.7987167527491,2020-12
Birmingham,J01000007,Birmingham 014,E02001840,89.6577123273216,2021-01
Birmingham,J01000007,Birmingham 014,E02001840,80.76942466560897,2021-02
Birmingham,J01000007,Birmingham 014,E02001840,76.74944560213231,2021-03
Birmingham,J01000007,Birmingham 014,E02001840,63.825842291528986,2021-04
Birmingham,J01000007,Birmingham 014,E02001840,75.25244194999738,2021-05
Birmingham,J01000007,Birmingham 014,E02001840,71.85002701626375,2021-06
Birmingham,J01000007,Birmingham 014,E02001840,74.37266000585453,2021-07
Birmingham,J01000007,Birmingham 014,E02001840,76.40436894591522,2021-08
Birmingham,J01000007,Birmingham 014,E02001840,77.80141418761256,2021-09
Birmingham,J01000007,Birmingham 014,E02001840,83.00862610757173,2021-10
Birmingham,J01000007,Birmingham 014,E02001840,84.5410525093871,2021-11
Birmingham,J01000007,Birmingham 014,E02001840,87.87908767834297,2021-12
Birmingham,J01000007,Birmingham 016,E02001842,83.35702330235836,2019-01
Birmingham,J01000007,Birmingham 016,E02001842,81.32003374998868,2019-02
Birmingham,J01000007,Birmingham 016,E02001842,76.94409274450494,2019-03
Birmingham,J01000007,Birmingham 016,E02001842,72.53621111591536,2019-04
Birmingham,J01000007,Birmingham 016,E02001842,72.35103972348182,2019-05
Birmingham,J01000007,Birmingham 016,E02001842,77.2383251363317,2019-06
Birmingham,J01000007,Birmingham 016,E02001842,73.29185299644236,2019-07
Birmingham,J01000007,Birmingham 016,E02001842,75.26391090383714,2019-08
Birmingham,J01000007,Birmingham 016,E02001842,78.40600422771819,2019-09
Birmingham,J01000007,Birmingham 016,E02001842,87.00616016698483,2019-10
Birmingham,J01000007,Birmingham 016,E02001842,90.54441718904675,2019-11
Birmingham,J01000007,Birmingham 016,E02001842,88.98505649575529,2019-12
Birmingham,J01000007,Birmingham 016,E02001842,86.82908371167942,2020-01
Birmingham,J01000007,Birmingham 016,E02001842,79.89040550261532,2020-02
Birmingham,J01000007,Birmingham 016,E02001842,74.05067455504616,2020-03
Birmingham,J01000007,Birmingham 016,E02001842,67.15537536225631,2020-04
Birmingham,J01000007,Birmingham 016,E02001842,62.63980443667345,2020-05
Birmingham,J01000007,Birmingham 016,E02001842,72.55493896158416,2020-06
Birmingham,J01000007,Birmingham 016,E02001842,73.3575235156639,2020-07
Birmingham,J01000007,Birmingham 016,E02001842,77.03428979055246,2020-08
Birmingham,J01000007,Birmingham 016,E02001842,77.74649318254374,2020-09
Birmingham,J01000007,Birmingham 016,E02001842,86.14051396517277,2020-10
Birmingham,J01000007,Birmingham 016,E02001842,87.5116955183173,2020-11
Birmingham,J01000007,Birmingham 016,E02001842,89.94233581327133,2020-12
Birmingham,J01000007,Birmingham 016,E02001842,89.7886535069555,2021-01
Birmingham,J01000007,Birmingham 016,E02001842,81.03501930136365,2021-02
Birmingham,J01000007,Birmingham 016,E02001842,77.13630818745949,2021-03
Birmingham,J01000007,Birmingham 016,E02001842,64.4772116155889,2021-04
Birmingham,J01000007,Birmingham 016,E02001842,75.80537301585248,2021-05
Birmingham,J01000007,Birmingham 016,E02001842,72.47307436823556,2021-06
Birmingham,J01000007,Birmingham 016,E02001842,74.95157562530414,2021-07
Birmingham,J01000007,Birmingham 016,E02001842,76.9910971611852,2021-08
Birmingham,J01000007,Birmingham 016,E02001842,78.35537615591343,2021-09
Birmingham,J01000007,Birmingham 016,E02001842,83.31012130701018,2021-10
Birmingham,J01000007,Birmingham 016,E02001842,84.82224364532205,2021-11
Birmingham,J01000007,Birmingham 016,E02001842,88.10777867827726,2021-12
Birmingham,J01000007,Birmingham 017,E02001843,83.24072670338204,2019-01
Birmingham,J01000007,Birmingham 017,E02001843,81.34680738440858,2019-02
Birmingham,J01000007,Birmingham 017,E02001843,76.79038024586228,2019-03
Birmingham,J01000007,Birmingham 017,E02001843,72.55250182201884,2019-04
Birmingham,J01000007,Birmingham 017,E02001843,72.24487381059778,2019-05
Birmingham,J01000007,Birmingham 017,E02001843,77.1826312148697,2019-06
Birmingham,J01000007,Birmingham 017,E02001843,73.24706236108126,2019-07
Birmingham,J01000007,Birmingham 017,E02001843,75.17495725985188,2019-08
Birmingham,J01000007,Birmingham 017,E02001843,78.3084604239719,2019-09
Birmingham,J01000007,Birmingham 017,E02001843,87.00683715825302,2019-10
Birmingham,J01000007,Birmingham 017,E02001843,90.58111611283432,2019-11
Birmingham,J01000007,Birmingham 017,E02001843,88.9855528002941,2019-12
Birmingham,J01000007,Birmingham 017,E02001843,86.78936250909972,2020-01
Birmingham,J01000007,Birmingham 017,E02001843,79.884219833346,2020-02
Birmingham,J01000007,Birmingham 017,E02001843,74.00590299892943,2020-03
Birmingham,J01000007,Birmingham 017,E02001843,67.10036546361596,2020-04
Birmingham,J01000007,Birmingham 017,E02001843,62.51522232067667,2020-05
Birmingham,J01000007,Birmingham 017,E02001843,72.4933610500502,2020-06
Birmingham,J01000007,Birmingham 017,E02001843,73.24075972376835,2020-07
Birmingham,J01000007,Birmingham 017,E02001843,76.94015736511754,2020-08
Birmingham,J01000007,Birmingham 017,E02001843,77.64950433313585,2020-09
Birmingham,J01000007,Birmingham 017,E02001843,86.14232570987627,2020-10
Birmingham,J01000007,Birmingham 017,E02001843,87.50477387839165,2020-11
Birmingham,J01000007,Birmingham 017,E02001843,89.94359349818953,2020-12
Birmingham,J01000007,Birmingham 017,E02001843,89.8378411994756,2021-01
Birmingham,J01000007,Birmingham 017,E02001843,81.06325312526378,2021-02
Birmingham,J01000007,Birmingham 017,E02001843,77.07546191522269,2021-03
Birmingham,J01000007,Birmingham 017,E02001843,64.32018570807558,2021-04
Birmingham,J01000007,Birmingham 017,E02001843,75.6839541120808,2021-05
Birmingham,J01000007,Birmingham 017,E02001843,72.36466785201958,2021-06
Birmingham,J01000007,Birmingham 017,E02001843,74.87236088650727,2021-07
Birmingham,J01000007,Birmingham 017,E02001843,76.86351489799986,2021-08
Birmingham,J01000007,Birmingham 017,E02001843,78.18976790429929,2021-09
Birmingham,J01000007,Birmingham 017,E02001843,83.245227722667,2021-10
