CityName,CityCode,TemperatureMin,Time
Birmingham,J01000007,-2.5398173737449516,2019-04-14
Birmingham,J01000007,2.628163366243945,2019-04-15
Birmingham,J01000007,4.257019548693909,2019-04-16
Birmingham,J01000007,5.795638697039575,2019-04-17
Birmingham,J01000007,6.3219757585681045,2019-04-18
Birmingham,J01000007,5.933492153633963,2019-04-19
Birmingham,J01000007,3.994200747687353,2019-04-20
Birmingham,J01000007,4.60764017478115,2019-04-21
Birmingham,J01000007,5.8152486496519185,2019-04-22
Birmingham,J01000007,8.971351980813397,2019-04-23
Birmingham,J01000007,6.4383952530876245,2019-04-24
Birmingham,J01000007,6.726701447490719,2019-04-25
Birmingham,J01000007,4.600439600801687,2019-04-26
Birmingham,J01000007,5.529305703655615,2019-04-27
Birmingham,J01000007,5.98062292663903,2019-04-28
Birmingham,J01000007,3.4716853902982505,2019-04-29
Birmingham,J01000007,3.193718560401001,2019-04-30
Birmingham,J01000007,7.092512929628612,2019-05-01
Birmingham,J01000007,4.927828827567482,2019-05-02
Birmingham,J01000007,6.9326221842351625,2019-05-03
Birmingham,J01000007,3.115334380100084,2019-05-04
Birmingham,J01000007,1.5151857218175628,2019-05-05
Birmingham,J01000007,3.3391294768152484,2019-05-06
Birmingham,J01000007,5.132756206618216,2019-05-07
Birmingham,J01000007,6.686322171031295,2019-05-08
Birmingham,J01000007,6.683776869672973,2019-05-09
Birmingham,J01000007,5.851468592914586,2019-05-10
Birmingham,J01000007,5.0573096481967665,2019-05-11
Birmingham,J01000007,2.3147314620771926,2019-05-12
Birmingham,J01000007,4.812535152795152,2019-05-13
Birmingham,J01000007,4.488551288302471,2019-05-14
Birmingham,J01000007,5.100201410309522,2019-05-15
Birmingham,J01000007,4.626533517520533,2019-05-16
Birmingham,J01000007,7.060386271237748,2019-05-17
Birmingham,J01000007,8.990144643740365,2019-05-18
Birmingham,J01000007,8.252137443718,2019-05-19
Birmingham,J01000007,7.648169377219919,2019-05-20
Birmingham,J01000007,6.949737818818383,2019-05-21
Birmingham,J01000007,6.341032069253718,2019-05-22
Birmingham,J01000007,6.238498441583743,2019-05-23
Birmingham,J01000007,7.43235153753387,2019-05-24
Birmingham,J01000007,10.94644545264186,2019-05-25
Birmingham,J01000007,13.708723191133721,2019-05-26
Birmingham,J01000007,8.202669447587931,2019-05-27
Birmingham,J01000007,6.7187522176608505,2019-05-28
Birmingham,J01000007,4.409756640467621,2019-05-29
Birmingham,J01000007,9.513559517844556,2019-05-30
Birmingham,J01000007,11.324753494058092,2019-05-31
Birmingham,J01000007,11.074941421339041,2019-06-01
Birmingham,J01000007,15.989139191551924,2019-06-02
Birmingham,J01000007,10.06733770886848,2019-06-03
Birmingham,J01000007,9.443360853977998,2019-06-04
Birmingham,J01000007,9.22752960785791,2019-06-05
Birmingham,J01000007,7.849310104102271,2019-06-06
Birmingham,J01000007,7.726328860041483,2019-06-07
Birmingham,J01000007,9.544729111414588,2019-06-08
Birmingham,J01000007,6.955001304531611,2019-06-09
Birmingham,J01000007,6.413044620331148,2019-06-10
Birmingham,J01000007,8.82668762947071,2019-06-11
Birmingham,J01000007,8.166575111957203,2019-06-12
Birmingham,J01000007,9.680356985110183,2019-06-13
Birmingham,J01000007,9.843500786308638,2019-06-14
Birmingham,J01000007,8.81974061847677,2019-06-15
Birmingham,J01000007,7.990751804737094,2019-06-16
Birmingham,J01000007,12.597450512814419,2019-06-17
