CityName,CityCode,WindSpeed,Time
Birmingham,J01000007,3.24306388634011,2019-01
Birmingham,J01000007,3.526596627935836,2019-02
Birmingham,J01000007,4.415425217089456,2019-03
Birmingham,J01000007,3.3229877034847575,2019-04
Birmingham,J01000007,2.74934640742387,2019-05
Birmingham,J01000007,3.1599019398341825,2019-06
Birmingham,J01000007,2.6438412134386007,2019-07
Birmingham,J01000007,3.2088507722237236,2019-08
Birmingham,J01000007,2.934465800455938,2019-09
Birmingham,J01000007,3.0902477657991145,2019-10
Birmingham,J01000007,3.1934346231880015,2019-11
Birmingham,J01000007,3.677102731984387,2019-12
Birmingham,J01000007,3.912625297559522,2020-01
Birmingham,J01000007,5.347074051742147,2020-02
Birmingham,J01000007,4.1773487758595635,2020-03
Birmingham,J01000007,3.0093188310857513,2020-04
Birmingham,J01000007,2.9538667035129014,2020-05
Birmingham,J01000007,3.161276833000057,2020-06
Birmingham,J01000007,3.1762977479870487,2020-07
Birmingham,J01000007,3.493433116042424,2020-08
Birmingham,J01000007,2.973812616632001,2020-09
Birmingham,J01000007,3.5538210574094258,2020-10
Birmingham,J01000007,3.428915447791626,2020-11
Birmingham,J01000007,3.6265887381366375,2020-12
Birmingham,J01000007,3.208464175325392,2021-01
Birmingham,J01000007,4.201542531723535,2021-02
Birmingham,J01000007,3.8199089226679224,2021-03
Birmingham,J01000007,2.7478813483314846,2021-04
Birmingham,J01000007,3.258656159283794,2021-05
Birmingham,J01000007,2.795656312880393,2021-06
Birmingham,J01000007,2.392162650363191,2021-07
Birmingham,J01000007,2.80920612187301,2021-08
Birmingham,J01000007,2.481570709432423,2021-09
Birmingham,J01000007,3.5659788805237898,2021-10
Birmingham,J01000007,3.1294150482980445,2021-11
Birmingham,J01000007,3.6009743911471195,2021-12
Bradford,J01000013,3.459761350089436,2019-01
Bradford,J01000013,3.6815678939399894,2019-02
Bradford,J01000013,4.4111731415234425,2019-03
Bradford,J01000013,3.2395421892218184,2019-04
Bradford,J01000013,2.887278175669113,2019-05
Bradford,J01000013,3.1475974076207254,2019-06
Bradford,J01000013,2.5389948420459176,2019-07
Bradford,J01000013,3.273241099869247,2019-08
Bradford,J01000013,2.8285886582076434,2019-09
Bradford,J01000013,3.0524031776164695,2019-10
Bradford,J01000013,3.0264230742236924,2019-11
Bradford,J01000013,4.04388181356164,2019-12
Bradford,J01000013,4.633789535629899,2020-01
Bradford,J01000013,5.7361764513106,2020-02
Bradford,J01000013,4.223898723710522,2020-03
Bradford,J01000013,3.3352743764739854,2020-04
Bradford,J01000013,3.0693889851569316,2020-05
Bradford,J01000013,3.193719325932512,2020-06
Bradford,J01000013,2.86620599874601,2020-07
Bradford,J01000013,3.2053332913666948,2020-08
Bradford,J01000013,3.0539333102551804,2020-09
Bradford,J01000013,3.229737066311375,2020-10
Bradford,J01000013,3.7317672845201675,2020-11
Bradford,J01000013,3.301048279122707,2020-12
Bradford,J01000013,3.231209619828903,2021-01
Bradford,J01000013,3.8673584229707685,2021-02
Bradford,J01000013,3.900191743598229,2021-03
Bradford,J01000013,2.655083094119554,2021-04
Bradford,J01000013,2.8514495462866623,2021-05
Bradford,J01000013,2.394275959263202,2021-06
Bradford,J01000013,2.0238899713299823,2021-07
Bradford,J01000013,2.480847933879752,2021-08
Bradford,J01000013,2.182598534165922,2021-09
Bradford,J01000013,3.2817297229506868,2021-10
Bradford,J01000013,3.4275910809385257,2021-11
Bradford,J01000013,3.310379992182327,2021-12
Brighton & Hove,J01000014,4.746157811194777,2019-01
Brighton & Hove,J01000014,5.016647894875586,2019-02
Brighton & Hove,J01000014,6.632477308483605,2019-03
Brighton & Hove,J01000014,5.24942529116535,2019-04
Brighton & Hove,J01000014,4.476454859889209,2019-05
Brighton & Hove,J01000014,5.2941869548868,2019-06
Brighton & Hove,J01000014,4.412738284925673,2019-07
Brighton & Hove,J01000014,5.613357471045939,2019-08
Brighton & Hove,J01000014,5.978056759941425,2019-09
Brighton & Hove,J01000014,5.982402270805686,2019-10
Brighton & Hove,J01000014,5.506456657869259,2019-11
Brighton & Hove,J01000014,6.162455453433249,2019-12
Brighton & Hove,J01000014,6.323698480336663,2020-01
Brighton & Hove,J01000014,8.622327967681326,2020-02
Brighton & Hove,J01000014,6.8858976422348315,2020-03
Brighton & Hove,J01000014,4.945464226501021,2020-04
Brighton & Hove,J01000014,5.067409553304297,2020-05
Brighton & Hove,J01000014,5.538148350124068,2020-06
Brighton & Hove,J01000014,5.609824117868377,2020-07
Brighton & Hove,J01000014,5.538073118732871,2020-08
Brighton & Hove,J01000014,5.564323700167812,2020-09
Brighton & Hove,J01000014,6.478721235064393,2020-10
Brighton & Hove,J01000014,5.978454311629423,2020-11
Brighton & Hove,J01000014,6.031655370694307,2020-12
Brighton & Hove,J01000014,5.809695137594156,2021-01
Brighton & Hove,J01000014,6.0998232275121405,2021-02
Brighton & Hove,J01000014,5.593774379260828,2021-03
Brighton & Hove,J01000014,5.012111545059144,2021-04
Brighton & Hove,J01000014,5.9779571828180975,2021-05
Brighton & Hove,J01000014,4.232738501171491,2021-06
Brighton & Hove,J01000014,4.779342980694577,2021-07
Brighton & Hove,J01000014,5.307952264632436,2021-08
Brighton & Hove,J01000014,4.713498759417251,2021-09
Brighton & Hove,J01000014,6.0846207225736535,2021-10
Brighton & Hove,J01000014,4.7489423041756496,2021-11
Brighton & Hove,J01000014,5.678973739310798,2021-12
Bristol,J01000015,2.7063816912656655,2019-01
Bristol,J01000015,3.195514090013952,2019-02
Bristol,J01000015,4.371387346260025,2019-03
