CityCode,CityName,background,building,road,water,barren,forest,agricultural
J01000007,Birmingham,0.6206984366610767,0.1610516111460732,0.0677719201301566,0.0081331808408754,0.0070659661607065,0.1314648740056959,0.0038140110554155
J01000013,Bradford,0.6210725158407943,0.1632893449702133,0.078319245655318,0.0151312922752615,0.0198905383139425,0.1004828759930671,0.0018141869514031
J01000014,Brighton & Hove,0.6192861425236065,0.1934785490175767,0.0560359669996156,0.0354117383511018,0.0051634719965762,0.0891192439545806,0.0015048871569423
J01000015,Bristol,0.630524121823397,0.163900692921399,0.0611448178101583,0.0281664862285098,0.0027859643034919,0.1116880348678469,0.0017898820451968
J01000019,Cambridge,0.747998893824814,0.0996684280561301,0.0512047892448367,0.0486778747172566,0.0138045973478507,0.0243947174337865,0.0142506993753251
J01000021,Carlisle,0.6825808775857665,0.1819153480321909,0.066024675983201,0.016234143768815,0.0054235235524109,0.046352807511206,0.0014686235664094
J01000028,Coventry,0.7182811150248621,0.164653116968316,0.0323603090266106,0.0440464133108165,0.0132151569279146,0.0215830391561481,0.0058608495853316
J01000031,Derby,0.6455052751450028,0.1802079583255421,0.0723264097831982,0.0110224842697853,0.0064054494890701,0.0812462766837252,0.003286146303676
J01000032,Doncaster,0.6991315196098096,0.1684648775079371,0.0456774709451912,0.0096443708401028,0.0042814749932185,0.0675211209846858,0.0052791651190547
J01000035,Exeter,0.738069171887427,0.1287312201597326,0.0327292510764417,0.0280617054527106,0.0028409701602729,0.0635975618510166,0.0059701194123983
J01000051,Leeds,0.6480027968411066,0.1469238693446887,0.0843445889820065,0.0193834240822569,0.0086948484424193,0.0902525790939467,0.002397893213575
J01000052,Leicester,0.675909534137457,0.1758640774667701,0.0784440579098481,0.0233756156624554,0.0119784618903159,0.0247652862099568,0.0096629667231963
J01000053,Lincoln,0.6695187033644083,0.1646124185868809,0.0603011246589317,0.011458885651422,0.0097838489435121,0.0809186946861981,0.0034063241086466
J01000054,Liverpool,0.6353151564876537,0.189634755874643,0.0423832444613975,0.0290612716828434,0.0038218863802793,0.0981669586697736,0.0016167264434093
J01000058,Manchester,0.6562560381716748,0.1693083091704806,0.0300941534235924,0.0228438294184195,0.0025536743398468,0.1173710739665992,0.0015729215093864
J01000062,Newcastle-upon-Tyne,0.691929758843907,0.152501317748515,0.0815800524860889,0.0333582470599881,0.0291992381082381,0.008111022608983,0.0033203631442797
J01000066,Norwich,0.6006087412869767,0.1745753446139923,0.0554397189952189,0.0241020574518631,0.0279248991401379,0.1148667266360198,0.0024825118757909
J01000067,Nottingham,0.5716574112175952,0.2120499355564706,0.0457002820392549,0.0116844036370963,0.0024025594298237,0.1504879646834582,0.0060174434363008
J01000070,Oxford,0.7383897132381839,0.1453919222739473,0.0285363997525169,0.0501946630801326,0.0113139309463625,0.0190399259668225,0.007133444742034
J01000072,Plymouth,0.6453761534899408,0.1751703720408835,0.0719957664599668,0.0296926021873109,0.0188215135256251,0.0547934880847345,0.0041501042115381
J01000074,Portsmouth,0.6337970709165126,0.272791146900853,0.0335881457234482,0.043418375045414,0.0072732188441872,0.0031246874961239,0.0060073550734608
J01000075,Preston,0.6185555367426695,0.1929225647029716,0.0475181857757235,0.0114390343808429,0.0059513918221944,0.1184357602412769,0.0051775263343209
J01000080,Salford,0.6822188949545386,0.1616638781977634,0.0361667478315834,0.030608383671032,0.0042359136127686,0.0835341037908942,0.0015720779414196
J01000082,Sheffield,0.5859171720918861,0.1636620078498892,0.0355884443847294,0.0135906672157041,0.0044455477657908,0.1910790256795178,0.0057171350124824
J01000087,Southampton,0.7303613228301915,0.1519394039532119,0.0222672205605847,0.0349812284800998,0.0289867983989058,0.025500188824861,0.0059638369521451
J01000088,Southend-on-Sea,0.6360825696770755,0.1985855079662317,0.0534462242755575,0.0110549382291276,0.011048052328816,0.0820074270725965,0.007775280450595
J01000095,Stoke on Trent,0.6560267464510892,0.1545906651288758,0.0664756567511261,0.0084187907113023,0.014402560614172,0.0973191123801448,0.0027664679632896
J01000096,Sunderland,0.6948778527862188,0.1376365824275401,0.0814224600584686,0.0349387253440084,0.0442971281822498,0.004456361527521,0.002370889673993
J01000112,York,0.706059666692768,0.1667682235115396,0.0208852990427517,0.0182066927057886,0.0069581935524081,0.0783647152438848,0.0027572092508589
