MSOACode,MSOAName,CityCode,CityName,background,building,road,water,barren,forest,agricultural
E02001834,Birmingham 008,J01000007,Birmingham,0.6648600902673911,0.1711404959684477,0.1100731129073319,0.0,0.0,0.0508526959390115,0.0030736049178175
E02001837,Birmingham 011,J01000007,Birmingham,0.6794701623499567,0.1507709603267925,0.0810531749669734,0.0,0.0,0.0873873963647959,0.0013183059914814
E02001839,Birmingham 013,J01000007,Birmingham,0.6588416414638973,0.1433949071405217,0.0677555437130024,0.0172341860688555,0.0053796754184448,0.1035754726146636,0.0038185735806144
E02001840,Birmingham 014,J01000007,Birmingham,0.6868503751196902,0.1378576549646914,0.0878958104380658,1.5705076764885098e-05,0.006226010973407,0.0803980920308147,0.0007563513965659
E02001842,Birmingham 016,J01000007,Birmingham,0.6838443074005329,0.1324865581184033,0.0754581476678911,0.0029565672211299,0.0,0.0963778211580996,0.0088765984339429
E02001843,Birmingham 017,J01000007,Birmingham,0.6714577204744581,0.1633128313951089,0.0536480487232476,0.0099677502269476,0.0,0.0895859355657873,0.0120277136144503
E02001845,Birmingham 019,J01000007,Birmingham,0.6176240246705335,0.1345297456991793,0.0908572110262784,0.000561276830808,0.0,0.1417678987136995,0.0146598430595012
E02001846,Birmingham 020,J01000007,Birmingham,0.6510142395827944,0.1475125748590128,0.070930632534406,0.0001089336066846,0.0123216237453435,0.1146651514318605,0.003446844239898
E02001848,Birmingham 022,J01000007,Birmingham,0.636320085422967,0.0937735116609963,0.0474622500840053,0.0359419463783182,0.0222809330109627,0.1508203978179603,0.0134008756247899
E02001849,Birmingham 023,J01000007,Birmingham,0.6192264001346329,0.1781848549457043,0.0741720106995221,2.8567020947107604e-05,0.0013403290683783,0.1215820559405971,0.0054657821902179
E02001850,Birmingham 024,J01000007,Birmingham,0.6889139671848244,0.1087871673444634,0.0556535694697131,0.004922373871825,0.0116720957298801,0.1272344441174372,0.0028163822818564
E02001851,Birmingham 025,J01000007,Birmingham,0.6584597487248034,0.151885656246159,0.060663318915353,0.0062207547378164,0.0,0.1172935613371512,0.0054769600387168
E02001852,Birmingham 026,J01000007,Birmingham,0.6393275582290955,0.1641991064631005,0.0620457661390738,0.0006185507296647,0.0006617422746613,0.1302251485744678,0.0029221275899362
E02001854,Birmingham 028,J01000007,Birmingham,0.6017163089908558,0.256719923050433,0.0598488524119886,0.0034477814653901,0.0124589551480156,0.064346869424635,0.0014613095086816
E02001855,Birmingham 029,J01000007,Birmingham,0.6076019136899803,0.215239214251724,0.1009043442410851,0.0036544236518791,0.003839544432392,0.0683309979082816,0.0004295618246577
E02001856,Birmingham 030,J01000007,Birmingham,0.5507241828101022,0.1785963773727417,0.0907223054340907,0.029740742274693,0.0041217122759137,0.1375623430524553,0.0085323367800031
E02001857,Birmingham 031,J01000007,Birmingham,0.5854058657659118,0.1813584896249002,0.0765462085331142,0.0058369556618802,8.03735098264166e-05,0.1491724426805354,0.0015996642238315
E02001858,Birmingham 032,J01000007,Birmingham,0.5968895467122396,0.1335837809244791,0.0434072062174479,0.0134798583984375,0.0,0.2119956868489583,0.0006439208984375
E02001859,Birmingham 033,J01000007,Birmingham,0.5653998789553578,0.2242147444464612,0.0763083299506932,0.0108898315818199,0.0168443530475463,0.0950092240399725,0.0113336379781488
E02001860,Birmingham 034,J01000007,Birmingham,0.585462536895067,0.2288162726119272,0.0721839276929745,0.0,6.137762283743765e-05,0.0985227285180603,0.0149531566591334
E02001861,Birmingham 035,J01000007,Birmingham,0.5647450199833622,0.2110837583188657,0.0921127319335937,0.0003678215874565,0.0058434945565682,0.1053181683575665,0.0205290052625868
E02001862,Birmingham 036,J01000007,Birmingham,0.5654016515260102,0.2349182457052251,0.077948990688529,0.0002292920184391,0.0017852373020623,0.1158222280522828,0.0038943547074512
E02001863,Birmingham 037,J01000007,Birmingham,0.5281562805175781,0.2236903997567983,0.1121183835543119,0.0188815483680138,0.0099126522357647,0.1067012199988731,0.0005395155686598
E02001864,Birmingham 038,J01000007,Birmingham,0.6426725287186472,0.1317420557925575,0.0626423885947779,0.0005484330026726,0.0078269155401932,0.1539888080797697,0.0005788702713815
E02001865,Birmingham 039,J01000007,Birmingham,0.5277932473651893,0.2897607454398174,0.0720538991382659,0.0,0.0030466083099744,0.1053803953777198,0.001965104369033
E02001866,Birmingham 040,J01000007,Birmingham,0.5208445181131949,0.2971379235569909,0.093949151566339,9.125280731726045e-05,0.0,0.0876963472483492,0.0002808067078086
E02001867,Birmingham 041,J01000007,Birmingham,0.6008833399358785,0.1839191868620098,0.1157228721762603,0.0002513021793005,0.0,0.0955140095836711,0.0037092892628795
E02001868,Birmingham 042,J01000007,Birmingham,0.6898334498481704,0.1213384536799469,0.0456793715886377,0.0109561296113449,0.0042036743914802,0.1271703515985355,0.0008185692818842
E02001869,Birmingham 043,J01000007,Birmingham,0.5795471623258771,0.194599079635908,0.1229298669587141,0.0109474973858527,0.0035478603914848,0.0883556941770157,7.283912514740566e-05
E02001870,Birmingham 044,J01000007,Birmingham,0.6144344572112391,0.1932537606169248,0.0881586324233343,0.0046531325704876,0.0023802570803821,0.0937150929072131,0.0034046671904187
E02001871,Birmingham 045,J01000007,Birmingham,0.7114329991004279,0.1352788732589362,0.0635912250186397,0.0003290664440698,0.0035813201017894,0.0809245551440396,0.0048619609320971
E02001872,Birmingham 046,J01000007,Birmingham,0.6793179401131564,0.1386713205381881,0.0687843367110851,0.0058126227800236,0.0029173340908316,0.0954686098320539,0.0090278359346611
E02001873,Birmingham 047,J01000007,Birmingham,0.5540383814080444,0.2050102602326266,0.1062230805485773,0.0059533720162507,0.0016122914596216,0.1269231106563788,0.0002395036785004
