Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2019-03-22,129,32,17,No data,9
2019-03-23,63,67,17,No data,8
2019-03-24,77,27,15,No data,9
2019-03-25,91,53,22,No data,9
2019-03-26,148,59,23,No data,11
2019-03-27,141,62,24,No data,14
2019-03-28,272,82,35,No data,20
2019-03-29,253,71,38,No data,25
2019-03-30,94,79,43,No data,36
2019-03-31,60,9,14,No data,7
2019-04-01,188,25,30,No data,11
2019-04-02,142,36,12,No data,7
2019-04-03,201,47,20,No data,9
2019-04-04,149,21,18,No data,11
2019-04-05,145,25,19,No data,10
2019-04-06,101,18,23,No data,18
2019-04-07,96,15,42,No data,36
2019-04-08,132,21,48,No data,36
2019-04-09,103,15,28,No data,17
2019-04-10,150,23,20,No data,9
2019-04-11,236,24,22,No data,8
2019-04-12,179,22,18,No data,10
2019-04-13,88,15,15,No data,7
2019-04-14,74,13,15,No data,9
2019-04-15,110,19,35,No data,25
2019-04-16,180,40,57,No data,38
2019-04-17,143,22,51,No data,33
2019-04-18,140,24,63,No data,50
2019-04-19,115,28,42,No data,26
2019-04-20,177,53,37,No data,23
2019-04-21,140,16,34,No data,21
2019-04-22,76,13,32,No data,24
2019-04-23,115,23,46,No data,28
2019-04-24,142,23,No data,No data,24
2019-04-25,156,25,No data,No data,5
2019-04-26,138,34,No data,No data,5
2019-04-27,39,17,6,No data,3
2019-04-28,53,36,17,No data,9
2019-04-29,198,23,22,No data,10
2019-04-30,223,36,33,No data,21
2019-05-01,145,56,29,No data,22
2019-05-02,113,43,14,No data,7
2019-05-03,166,49,16,11,8
2019-05-04,50,64,11,13,7
2019-05-05,75,34,12,14,8
2019-05-06,65,35,7,9,5
2019-05-07,234,39,22,16,9
2019-05-08,130,20,13,10,8
2019-05-09,162,36,13,7,5
2019-05-10,218,33,17,11,7
2019-05-11,70,54,13,14,9
2019-05-12,127,29,14,9,6
2019-05-13,208,27,21,14,9
2019-05-14,192,22,22,15,9
2019-05-15,183,21,20,13,7
2019-05-16,112,15,18,15,8
2019-05-17,136,25,18,14,7
2019-05-18,112,45,14,14,9
2019-05-19,44,39,15,15,11
2019-05-20,56,38,14,16,9
2019-05-21,75,33,15,14,7
2019-05-22,149,48,16,16,8
2019-05-23,142,48,19,17,10
2019-05-24,90,42,19,19,11
2019-05-25,53,37,14,15,10
2019-05-26,45,15,8,8,4
2019-05-27,59,25,8,7,4
2019-05-28,86,46,10,9,4
2019-05-29,194,41,No data,10,5
2019-05-30,93,22,No data,11,7
2019-05-31,113,35,9,7,4
2019-06-01,119,34,12,9,5
2019-06-02,63,17,14,11,6
2019-06-03,97,22,13,12,5
2019-06-04,169,28,15,9,5
2019-06-05,130,35,9,7,3
2019-06-06,172,36,15,7,4
2019-06-07,173,31,18,11,7
2019-06-08,70,27,10,8,6
2019-06-09,76,29,9,8,4
2019-06-10,133,28,11,7,5
2019-06-11,101,38,8,5,3
2019-06-12,97,73,7,6,4
2019-06-13,129,59,9,7,4
2019-06-14,196,41,11,6,3
2019-06-15,142,33,13,8,4
2019-06-16,73,16,8,7,4
2019-06-17,136,25,10,5,3
2019-06-18,171,30,13,8,5
2019-06-19,109,52,17,13,7
2019-06-20,139,32,15,8,4
2019-06-21,113,44,13,10,5
2019-06-22,112,23,15,9,4
2019-06-23,56,10,21,14,9
2019-06-24,162,34,37,27,20
2019-06-25,141,30,22,15,11
2019-06-26,118,15,12,8,5
2019-06-27,97,13,17,13,8
2019-06-28,79,14,21,18,8
2019-06-29,91,27,33,24,13
2019-06-30,43,9,10,10,4
2019-07-01,70,21,12,10,4
2019-07-02,66,44,12,14,6
2019-07-03,117,43,19,15,7
2019-07-04,93,41,19,16,8
2019-07-05,83,43,16,13,6
2019-07-06,70,49,14,12,7
2019-07-07,97,No data,14,10,6
2019-07-08,142,No data,18,12,7
2019-07-09,126,49,20,14,9
2019-07-10,103,25,No data,7,3
2019-07-11,104,24,No data,6,2
2019-07-12,74,29,No data,9,6
2019-07-13,47,45,No data,12,7
2019-07-14,90,18,No data,11,6
2019-07-15,177,27,No data,13,8
2019-07-16,143,No data,20,17,10
2019-07-17,157,No data,20,13,7
2019-07-18,112,25,13,8,4
2019-07-19,187,36,16,9,5
2019-07-20,57,22,12,9,4
2019-07-21,68,16,9,6,3
2019-07-22,83,18,12,No data,No data
2019-07-23,169,27,24,No data,No data
2019-07-24,146,31,24,No data,No data
2019-07-25,149,34,31,23,9
2019-07-26,141,38,21,13,7
2019-07-27,49,54,13,9,5
2019-07-28,53,20,7,4,3
2019-07-29,163,32,16,9,4
2019-07-30,110,26,18,10,5
2019-07-31,72,20,15,9,5
2019-08-01,85,56,25,20,13
2019-08-02,139,37,13,11,7
2019-08-03,106,23,21,13,8
2019-08-04,93,17,21,16,10
2019-08-05,97,22,14,9,5
2019-08-06,102,23,14,9,4
2019-08-07,84,20,12,8,4
2019-08-08,159,31,16,10,5
2019-08-09,107,27,15,9,5
2019-08-10,43,17,12,9,4
2019-08-11,55,13,9,7,4
2019-08-12,135,30,14,9,4
2019-08-13,116,42,13,9,4
2019-08-14,184,35,13,6,3
2019-08-15,81,28,11,9,4
2019-08-16,107,29,11,7,4
2019-08-17,60,17,13,11,5
2019-08-18,46,9,12,12,5
2019-08-19,95,22,14,12,5
2019-08-20,114,22,13,10,5
2019-08-21,135,27,13,9,4
2019-08-22,109,25,11,7,4
2019-08-23,195,40,16,10,4
2019-08-24,164,32,31,19,9
2019-08-25,84,21,30,22,13
2019-08-26,86,27,29,23,17
2019-08-27,188,58,35,27,17
2019-08-28,177,34,15,9,5
2019-08-29,147,29,13,9,5
2019-08-30,102,23,17,13,6
2019-08-31,66,27,10,8,4
2019-09-01,63,26,10,9,4
2019-09-02,121,29,13,9,4
2019-09-03,106,21,10,6,3
2019-09-04,70,17,10,9,4
2019-09-05,73,39,14,13,5
2019-09-06,98,27,13,10,5
2019-09-07,83,44,10,8,4
2019-09-08,127,55,15,11,7
2019-09-09,213,44,13,8,5
2019-09-10,98,39,16,12,7
2019-09-11,99,26,14,9,4
2019-09-12,107,28,15,10,4
2019-09-13,142,73,18,14,6
2019-09-14,148,51,21,14,8
2019-09-15,73,44,13,10,7
2019-09-16,139,71,17,10,6
2019-09-17,80,61,15,14,6
2019-09-18,172,77,24,19,8
2019-09-19,197,85,28,19,11
2019-09-20,170,34,26,16,9
2019-09-21,70,22,29,20,9
2019-09-22,121,25,25,16,10
2019-09-23,157,33,14,8,4
2019-09-24,167,39,14,7,4
2019-09-25,156,46,13,7,4
2019-09-26,108,23,12,7,4
2019-09-27,114,31,11,7,3
2019-09-28,65,26,7,5,3
2019-09-29,57,28,7,5,3
2019-09-30,213,43,14,7,3
2019-10-01,148,26,11,6,3
2019-10-02,148,98,16,13,6
2019-10-03,254,63,19,13,8
2019-10-04,158,50,18,11,6
2019-10-05,129,33,17,10,6
2019-10-06,59,25,12,10,6
2019-10-07,158,36,15,11,6
2019-10-08,106,26,17,13,6
2019-10-09,122,27,13,9,4
2019-10-10,110,29,13,10,5
2019-10-11,121,41,13,8,4
2019-10-12,126,42,12,10,5
2019-10-13,99,21,13,5,3
2019-10-14,160,29,13,8,5
2019-10-15,204,44,17,11,8
2019-10-16,159,36,15,9,4
2019-10-17,234,46,17,10,5
2019-10-18,180,43,12,6,3
2019-10-19,107,40,10,7,4
2019-10-20,44,44,8,9,5
2019-10-21,107,70,12,9,5
2019-10-22,239,77,19,13,8
2019-10-23,295,71,31,20,15
2019-10-24,208,57,25,19,14
2019-10-25,170,55,12,6,4
2019-10-26,74,70,6,7,5
2019-10-27,110,46,13,13,6
2019-10-28,257,76,23,15,10
2019-10-29,130,21,14,8,4
2019-10-30,119,21,20,12,8
2019-10-31,151,34,34,25,20
2019-11-01,190,51,17,9,7
2019-11-02,153,51,17,12,8
2019-11-03,150,43,22,20,16
2019-11-04,242,50,25,16,12
2019-11-05,115,55,31,22,17
2019-11-06,325,92,64,46,37
2019-11-07,185,68,14,7,5
2019-11-08,101,94,14,13,7
2019-11-09,151,51,20,15,12
2019-11-10,170,44,17,12,7
2019-11-11,98,21,12,10,6
2019-11-12,81,45,12,9,4
2019-11-13,222,45,18,10,5
2019-11-14,118,25,11,5,4
2019-11-15,112,49,11,8,5
2019-11-16,132,87,19,15,11
2019-11-17,114,66,20,15,12
2019-11-18,300,222,25,21,15
2019-11-19,331,99,34,24,20
2019-11-20,171,32,No data,14,10
2019-11-21,114,26,30,24,20
2019-11-22,167,32,19,12,9
2019-11-23,96,37,19,13,11
2019-11-24,196,46,34,26,22
2019-11-25,198,37,17,10,8
2019-11-26,220,36,20,13,8
2019-11-27,114,64,19,15,11
2019-11-28,121,78,13,9,6
2019-11-29,385,158,34,20,12
2019-11-30,188,39,23,14,11
2019-12-01,167,135,22,18,14
2019-12-02,322,143,25,18,12
2019-12-03,263,117,19,14,10
2019-12-04,261,94,27,24,20
2019-12-05,112,46,10,10,6
2019-12-06,91,29,9,4,2
2019-12-07,73,38,8,7,4
2019-12-08,43,24,10,10,5
2019-12-09,109,68,19,18,8
2019-12-10,81,30,11,10,5
2019-12-11,167,59,13,11,5
2019-12-12,200,59,13,7,5
2019-12-13,92,31,9,8,4
2019-12-14,77,34,16,13,6
2019-12-15,89,33,9,7,4
2019-12-16,319,95,21,14,8
2019-12-17,409,219,24,23,18
2019-12-18,178,35,15,10,8
2019-12-19,142,29,16,9,5
2019-12-20,206,63,19,11,7
2019-12-21,155,49,15,10,7
2019-12-22,110,47,12,10,7
2019-12-23,107,45,12,11,5
2019-12-24,74,35,11,9,5
2019-12-25,103,19,15,12,7
2019-12-26,100,31,16,10,9
2019-12-27,182,61,21,16,15
2019-12-28,104,34,15,12,9
2019-12-29,96,28,16,15,12
2019-12-30,168,59,23,22,17
2019-12-31,84,25,16,12,9
2020-01-01,119,34,29,27,23
2020-01-02,93,38,14,11,8
2020-01-03,68,43,17,17,8
2020-01-04,75,35,9,7,4
2020-01-05,59,23,5,4,2
2020-01-06,115,32,14,11,6
2020-01-07,103,31,14,12,6
2020-01-08,154,42,27,22,11
2020-01-09,86,49,No data,10,6
2020-01-10,162,54,No data,11,6
2020-01-11,48,26,No data,4,3
2020-01-12,77,26,No data,4,2
2020-01-13,97,23,No data,9,5
2020-01-14,No data,No data,No data,No data,No data
2020-01-15,No data,No data,No data,No data,No data
2020-01-16,116,23,13,10,5
2020-01-17,149,41,13,9,5
2020-01-18,124,64,20,19,10
2020-01-19,182,96,19,18,16
2020-01-20,360,188,30,21,15
2020-01-21,166,91,22,19,12
2020-01-22,98,90,17,16,14
2020-01-23,187,86,24,20,16
2020-01-24,170,57,22,16,13
2020-01-25,136,43,17,16,13
2020-01-26,104,35,18,15,10
2020-01-27,196,42,11,8,5
2020-01-28,97,28,16,8,4
2020-01-29,81,26,14,11,5
2020-01-30,108,32,9,6,4
2020-01-31,100,32,6,3,2
2020-02-01,48,24,17,16,8
2020-02-02,61,17,15,12,7
2020-02-03,113,29,17,12,6
2020-02-04,52,35,21,20,10
2020-02-05,216,82,44,32,16
2020-02-06,387,150,51,30,21
2020-02-07,184,48,44,29,23
2020-02-08,68,28,22,15,7
2020-02-09,20,11,9,7,4
2020-02-10,71,24,12,9,4
2020-02-11,55,20,15,11,5
2020-02-12,No data,31,23,14,5
2020-02-13,No data,50,14,8,5
2020-02-14,No data,52,21,13,9
2020-02-15,25,24,9,6,4
2020-02-16,20,12,8,8,4
2020-02-17,47,22,12,10,5
2020-02-18,55,23,11,10,5
2020-02-19,81,37,14,11,5
2020-02-20,48,27,9,7,3
2020-02-21,44,25,13,12,6
2020-02-22,24,16,11,8,4
2020-02-23,36,20,10,9,4
2020-02-24,53,20,8,5,2
2020-02-25,65,29,13,9,4
2020-02-26,65,31,15,10,5
2020-02-27,85,44,15,11,6
2020-02-28,167,38,11,6,4
2020-02-29,46,23,7,8,4
2020-03-01,53,15,16,12,6
2020-03-02,171,46,22,13,5
2020-03-03,136,42,21,14,7
2020-03-04,276,51,30,15,9
2020-03-05,178,67,31,24,14
2020-03-06,340,91,49,29,17
2020-03-07,67,31,18,12,7
2020-03-08,51,16,10,7,4
2020-03-09,89,26,15,10,5
2020-03-10,66,17,10,7,4
2020-03-11,92,29,12,10,4
2020-03-12,71,21,13,11,5
2020-03-13,130,36,13,11,5
2020-03-14,82,29,12,8,5
2020-03-15,56,20,9,9,5
2020-03-16,116,30,16,13,6
2020-03-17,75,23,No data,5,2
2020-03-18,59,57,No data,10,5
2020-03-19,197,60,24,19,10
2020-03-20,83,15,15,12,7
2020-03-21,43,9,12,12,6
2020-03-22,48,9,20,15,9
2020-03-23,152,22,30,21,12
2020-03-24,115,26,No data,32,21
2020-03-25,168,23,No data,34,24
2020-03-26,126,27,48,38,26
2020-03-27,80,17,40,39,30
2020-03-28,32,8,15,15,9
2020-03-29,24,6,28,12,6
2020-03-30,53,17,13,12,6
2020-03-31,81,15,23,13,9
2020-04-01,60,15,15,11,6
2020-04-02,33,9,14,12,7
2020-04-03,64,10,15,14,6
2020-04-04,55,17,16,13,9
2020-04-05,27,7,18,16,10
2020-04-06,54,9,18,11,6
2020-04-07,120,21,31,18,10
2020-04-08,107,20,26,19,11
2020-04-09,57,9,26,20,13
2020-04-10,50,11,38,33,23
2020-04-11,40,16,30,30,22
2020-04-12,30,8,16,16,12
2020-04-13,27,4,19,17,9
2020-04-14,111,19,28,23,14
2020-04-15,135,34,37,33,21
2020-04-16,96,14,36,33,23
2020-04-17,34,5,16,No data,No data
2020-04-18,39,10,19,No data,No data
2020-04-19,23,6,18,No data,No data
2020-04-20,45,7,22,No data,No data
2020-04-21,43,8,24,No data,No data
2020-04-22,58,10,31,No data,No data
2020-04-23,71,9,27,No data,No data
2020-04-24,78,12,23,No data,No data
2020-04-25,56,8,23,20,14
2020-04-26,39,14,29,29,21
2020-04-27,69,15,13,10,5
2020-04-28,68,10,10,6,4
2020-04-29,86,12,11,7,4
2020-04-30,63,11,7,5,2
2020-05-01,53,12,9,6,3
2020-05-02,37,13,10,8,5
2020-05-03,58,16,21,13,9
2020-05-04,68,12,21,17,13
2020-05-05,49,6,11,9,5
2020-05-06,88,9,17,13,7
2020-05-07,124,21,27,20,12
2020-05-08,52,14,21,19,13
2020-05-09,49,13,13,11,7
2020-05-10,27,5,30,10,5
2020-05-11,80,13,21,10,5
2020-05-12,73,19,15,12,6
2020-05-13,83,10,11,8,4
2020-05-14,74,16,13,10,5
2020-05-15,55,17,14,11,5
2020-05-16,42,13,13,7,4
2020-05-17,31,10,12,10,6
2020-05-18,53,8,17,11,7
2020-05-19,56,13,13,9,5
2020-05-20,112,20,22,21,10
2020-05-21,83,15,19,14,7
2020-05-22,43,8,29,22,9
2020-05-23,22,6,16,14,6
2020-05-24,24,10,17,13,8
2020-05-25,48,10,10,8,4
2020-05-26,55,20,13,16,7
2020-05-27,59,17,21,16,9
2020-05-28,90,10,18,14,7
2020-05-29,86,11,17,12,4
2020-05-30,44,7,19,14,6
2020-05-31,34,7,No data,13,7
2020-06-01,80,11,No data,12,4
2020-06-02,59,24,No data,16,6
2020-06-03,63,19,14,11,7
2020-06-04,55,22,10,7,4
2020-06-05,40,11,13,10,4
2020-06-06,24,11,9,8,4
2020-06-07,31,15,15,12,7
2020-06-08,84,16,20,14,8
2020-06-09,104,20,21,15,9
2020-06-10,112,22,20,15,11
2020-06-11,42,10,17,11,8
2020-06-12,67,12,15,9,7
2020-06-13,56,11,21,15,11
2020-06-14,53,12,22,15,12
2020-06-15,82,23,24,17,13
2020-06-16,107,35,20,14,10
2020-06-17,109,17,22,13,10
2020-06-18,109,32,17,11,8
2020-06-19,92,16,13,7,5
2020-06-20,No data,16,11,8,4
2020-06-21,No data,5,13,10,5
2020-06-22,No data,15,20,15,7
2020-06-23,No data,19,23,13,7
2020-06-24,No data,18,32,21,11
2020-06-25,74,21,28,31,12
2020-06-26,104,22,26,19,10
2020-06-27,53,11,10,6,3
2020-06-28,23,4,9,8,3
2020-06-29,45,10,9,7,3
2020-06-30,82,16,14,8,5
2020-07-01,97,19,9,5,3
2020-07-02,85,34,12,8,5
2020-07-03,83,12,9,5,3
2020-07-04,52,12,7,3,1
2020-07-05,20,4,9,7,3
2020-07-06,55,17,12,11,5
2020-07-07,119,26,14,7,4
2020-07-08,100,16,10,4,2
2020-07-09,97,19,8,4,2
2020-07-10,59,19,11,8,3
2020-07-11,47,31,10,7,4
2020-07-12,74,21,11,7,4
2020-07-13,74,18,10,6,3
2020-07-14,54,23,10,8,4
2020-07-15,71,17,8,5,3
2020-07-16,60,33,14,9,5
2020-07-17,83,16,15,10,4
2020-07-18,51,19,9,5,3
2020-07-19,21,17,12,11,5
2020-07-20,76,33,14,11,5
2020-07-21,113,47,21,14,7
2020-07-22,106,24,15,12,5
2020-07-23,81,18,12,7,4
2020-07-24,89,23,13,9,5
2020-07-25,51,21,10,6,4
2020-07-26,41,8,8,6,3
2020-07-27,72,15,10,6,3
2020-07-28,56,13,10,7,3
2020-07-29,77,20,11,7,4
2020-07-30,122,31,22,12,5
2020-07-31,91,25,28,22,8
2020-08-01,40,21,11,9,5
2020-08-02,31,15,8,6,3
2020-08-03,66,30,9,7,3
2020-08-04,102,28,13,10,4
2020-08-05,67,14,11,6,2
2020-08-06,79,24,12,6,2
2020-08-07,97,29,13,8,3
2020-08-08,53,16,13,9,4
2020-08-09,52,8,27,18,11
2020-08-10,89,21,33,24,13
2020-08-11,119,21,39,34,23
2020-08-12,104,22,24,20,12
2020-08-13,93,15,29,23,16
2020-08-14,93,18,21,17,10
2020-08-15,57,10,25,20,15
2020-08-16,54,8,10,5,4
2020-08-17,142,25,20,11,7
2020-08-18,101,25,15,7,4
2020-08-19,110,23,15,7,4
2020-08-20,No data,17,No data,15,6
2020-08-21,No data,15,No data,10,5
2020-08-22,No data,12,No data,7,3
2020-08-23,No data,11,No data,7,3
2020-08-24,No data,25,No data,8,4
2020-08-25,No data,15,8,5,2
2020-08-26,No data,34,13,8,4
2020-08-27,No data,37,18,11,6
2020-08-28,No data,29,12,8,5
2020-08-29,No data,40,9,6,3
2020-08-30,No data,35,9,8,4
2020-08-31,No data,33,18,11,6
2020-09-01,No data,41,26,15,8
2020-09-02,No data,No data,19,No data,No data
2020-09-03,No data,No data,10,No data,No data
2020-09-04,No data,20,18,14,6
2020-09-05,No data,19,12,10,5
2020-09-06,No data,22,10,7,4
2020-09-07,No data,28,10,6,3
2020-09-08,No data,18,8,4,2
2020-09-09,No data,26,13,9,4
2020-09-10,No data,45,25,17,8
2020-09-11,No data,19,15,11,5
2020-09-12,56,16,12,9,5
2020-09-13,73,11,13,9,5
2020-09-14,222,31,28,16,8
2020-09-15,147,40,30,21,10
2020-09-16,79,22,33,21,14
2020-09-17,88,14,23,18,7
2020-09-18,83,13,18,13,5
2020-09-19,55,10,22,16,8
2020-09-20,60,9,16,13,8
2020-09-21,171,52,31,21,12
2020-09-22,143,42,35,26,17
2020-09-23,101,34,12,7,4
2020-09-24,158,33,12,7,3
2020-09-25,27,33,8,8,3
2020-09-26,22,38,8,9,4
2020-09-27,43,30,15,14,7
2020-09-28,191,103,21,16,10
2020-09-29,139,44,19,15,10
2020-09-30,134,29,13,7,5
2020-10-01,150,28,17,9,5
2020-10-02,89,18,16,11,7
2020-10-03,25,42,7,6,4
2020-10-04,68,19,7,5,3
2020-10-05,88,29,11,7,5
2020-10-06,92,26,9,5,3
2020-10-07,98,26,13,9,5
2020-10-08,82,39,9,5,3
2020-10-09,95,36,11,8,4
2020-10-10,50,24,11,9,4
2020-10-11,59,36,9,8,4
2020-10-12,152,41,14,11,6
2020-10-13,77,46,11,8,5
2020-10-14,126,28,19,12,8
2020-10-15,151,46,13,8,4
2020-10-16,159,37,17,10,6
2020-10-17,87,72,16,14,10
2020-10-18,130,32,21,18,14
2020-10-19,202,36,27,21,15
2020-10-20,126,25,20,13,7
2020-10-21,147,37,21,15,9
2020-10-22,96,23,10,7,3
2020-10-23,176,51,16,12,7
2020-10-24,64,25,9,7,4
2020-10-25,44,15,6,5,3
2020-10-26,56,25,12,9,5
2020-10-27,104,33,12,8,4
2020-10-28,116,29,14,10,5
2020-10-29,88,26,12,9,5
2020-10-30,103,52,15,7,5
2020-10-31,44,16,14,11,6
2020-11-01,39,13,16,12,7
2020-11-02,61,20,10,7,3
2020-11-03,138,43,14,9,5
2020-11-04,236,171,29,20,12
2020-11-05,137,61,41,27,20
2020-11-06,124,29,45,32,26
2020-11-07,85,30,46,37,30
2020-11-08,83,34,34,31,27
2020-11-09,No data,36,26,20,16
2020-11-10,No data,29,19,11,7
2020-11-11,No data,19,18,8,5
2020-11-12,No data,24,14,8,4
2020-11-13,101,25,17,10,5
2020-11-14,56,11,12,10,6
2020-11-15,28,6,9,8,4
2020-11-16,87,21,11,7,4
2020-11-17,71,17,6,3,2
2020-11-18,62,18,15,11,6
2020-11-19,102,31,13,8,4
2020-11-20,130,31,12,8,5
2020-11-21,40,14,6,4,2
2020-11-22,85,19,15,13,6
2020-11-23,157,42,16,11,8
2020-11-24,99,23,21,11,7
2020-11-25,130,48,20,12,7
2020-11-26,293,124,29,20,15
2020-11-27,261,60,50,20,14
2020-11-28,76,31,30,25,22
2020-11-29,114,33,28,26,23
2020-11-30,85,32,17,14,10
2020-12-01,146,108,25,18,10
2020-12-02,142,59,21,16,10
2020-12-03,170,60,14,6,4
2020-12-04,86,42,9,7,5
2020-12-05,137,50,16,12,10
2020-12-06,131,88,29,22,18
2020-12-07,218,82,29,25,21
2020-12-08,153,61,15,12,8
2020-12-09,185,51,23,16,8
2020-12-10,167,31,18,11,8
2020-12-11,261,71,24,13,9
2020-12-12,78,31,14,11,7
2020-12-13,81,17,11,7,5
2020-12-14,134,30,17,11,6
2020-12-15,150,32,19,11,6
2020-12-16,135,28,16,8,5
2020-12-17,128,38,16,12,7
2020-12-18,66,19,6,2,1
2020-12-19,65,22,9,6,3
2020-12-20,77,25,9,7,4
2020-12-21,147,37,15,6,4
2020-12-22,210,83,22,14,9
2020-12-23,75,19,7,3,3
2020-12-24,38,52,9,8,4
2020-12-25,88,23,13,8,5
2020-12-26,21,13,5,4,2
2020-12-27,53,17,8,8,4
2020-12-28,55,35,15,12,9
2020-12-29,99,70,22,18,15
2020-12-30,145,70,17,11,9
2020-12-31,181,85,23,17,14
2021-01-01,34,26,20,18,16
2021-01-02,114,70,18,15,12
2021-01-03,66,19,11,9,7
2021-01-04,103,22,11,8,5
2021-01-05,103,33,10,8,5
2021-01-06,180,81,21,18,13
2021-01-07,252,144,34,30,25
2021-01-08,117,49,21,18,16
2021-01-09,131,53,29,21,18
2021-01-10,48,18,11,7,6
2021-01-11,63,18,7,4,2
2021-01-12,123,88,20,14,9
2021-01-13,234,84,27,18,15
2021-01-14,106,23,No data,5,4
2021-01-15,197,43,No data,19,16
2021-01-16,53,19,No data,14,9
2021-01-17,42,12,No data,14,7
2021-01-18,98,27,No data,7,4
2021-01-19,67,19,No data,3,2
2021-01-20,65,No data,4,No data,No data
2021-01-21,83,No data,8,No data,No data
2021-01-22,132,37,14,No data,No data
2021-01-23,104,31,13,9,7
2021-01-24,77,22,16,11,9
2021-01-25,130,34,15,13,8
2021-01-26,240,48,17,13,10
2021-01-27,205,71,21,14,10
2021-01-28,132,33,12,7,5
2021-01-29,100,27,13,10,7
2021-01-30,32,7,8,7,4
2021-01-31,35,10,12,9,5
2021-02-01,178,51,37,21,12
2021-02-02,156,29,16,10,8
2021-02-03,144,39,13,10,5
2021-02-04,161,29,18,13,10
2021-02-05,187,31,21,14,11
2021-02-06,110,23,12,8,7
2021-02-07,40,6,29,15,8
2021-02-08,95,12,12,8,5
2021-02-09,115,16,34,11,6
2021-02-10,147,33,35,13,7
2021-02-11,106,17,34,14,8
2021-02-12,79,17,37,21,14
2021-02-13,74,17,35,21,12
2021-02-14,49,12,22,14,9
2021-02-15,150,29,22,13,9
2021-02-16,101,27,21,7,4
2021-02-17,102,21,22,12,6
2021-02-18,72,17,13,11,5
2021-02-19,60,16,14,10,5
2021-02-20,37,11,23,22,10
2021-02-21,79,16,18,12,7
2021-02-22,141,39,22,11,6
2021-02-23,59,16,15,10,5
2021-02-24,60,18,15,9,5
2021-02-25,113,31,20,16,7
2021-02-26,186,77,28,18,9
2021-02-27,205,78,36,27,18
2021-02-28,123,33,51,34,26
2021-03-01,99,20,22,17,12
2021-03-02,123,20,35,29,24
2021-03-03,150,32,64,58,49
2021-03-04,122,30,29,20,15
2021-03-05,125,22,24,17,7
2021-03-06,139,30,26,21,12
2021-03-07,65,35,28,31,22
2021-03-08,143,49,36,32,18
2021-03-09,136,39,No data,18,10
2021-03-10,64,18,13,9,6
2021-03-11,53,12,12,8,4
2021-03-12,73,17,10,7,3
2021-03-13,37,10,7,6,3
