Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2019-01-01,73,38,17,No data,8
2019-01-02,236,109,35,No data,13
2019-01-03,303,64,56,No data,23
2019-01-04,259,116,48,No data,30
2019-01-05,132,51,24,No data,15
2019-01-06,149,84,31,No data,17
2019-01-07,112,34,15,No data,5
2019-01-08,79,55,30,No data,10
2019-01-09,224,116,No data,No data,No data
2019-01-10,224,151,No data,No data,No data
2019-01-11,147,76,No data,No data,No data
2019-01-12,55,21,No data,No data,No data
2019-01-13,30,13,No data,No data,No data
2019-01-14,113,41,No data,No data,No data
2019-01-15,131,33,8,No data,3
2019-01-16,165,39,10,No data,3
2019-01-17,170,108,26,No data,12
2019-01-18,291,56,30,No data,11
2019-01-19,100,34,24,No data,14
2019-01-20,159,84,45,No data,33
2019-01-21,248,75,25,No data,20
2019-01-22,207,50,14,No data,4
2019-01-23,268,137,24,No data,21
2019-01-24,333,157,31,No data,21
2019-01-25,120,32,10,No data,5
2019-01-26,90,32,5,No data,3
2019-01-27,25,19,17,No data,6
2019-01-28,No data,No data,No data,No data,No data
2019-01-29,No data,No data,No data,No data,No data
2019-01-30,325,138,19,No data,12
2019-01-31,250,56,29,No data,21
2019-02-01,153,56,31,No data,14
2019-02-02,127,121,24,No data,18
2019-02-03,150,60,24,No data,11
2019-02-04,167,76,33,No data,7
2019-02-05,254,56,22,No data,15
2019-02-06,264,55,23,No data,8
2019-02-07,103,28,10,No data,4
2019-02-08,79,25,8,No data,4
2019-02-09,61,27,16,No data,5
2019-02-10,85,31,8,No data,5
2019-02-11,226,112,25,No data,11
2019-02-12,199,57,14,No data,8
2019-02-13,210,48,30,No data,10
2019-02-14,336,61,47,No data,23
2019-02-15,270,56,49,No data,28
2019-02-16,107,33,26,No data,12
2019-02-17,91,17,30,No data,14
2019-02-18,124,27,25,No data,5
2019-02-19,155,35,24,No data,5
2019-02-20,162,40,24,No data,9
2019-02-21,196,53,31,No data,10
2019-02-22,268,44,40,No data,18
2019-02-23,211,54,57,No data,42
2019-02-24,198,60,67,No data,51
2019-02-25,383,71,70,No data,35
2019-02-26,390,80,74,No data,31
2019-02-27,356,120,71,No data,41
2019-02-28,218,116,61,No data,48
2019-03-01,221,51,44,No data,27
2019-03-02,81,30,17,No data,7
2019-03-03,75,21,15,No data,6
2019-03-04,105,25,9,No data,3
2019-03-05,152,33,17,No data,4
2019-03-06,143,28,10,No data,4
2019-03-07,87,29,12,No data,4
2019-03-08,180,47,18,No data,6
2019-03-09,62,24,14,No data,6
2019-03-10,55,15,9,No data,3
2019-03-11,99,24,22,No data,4
2019-03-12,87,27,9,No data,4
2019-03-13,62,16,15,No data,5
2019-03-14,70,20,11,No data,4
2019-03-15,97,28,11,No data,4
2019-03-16,47,21,10,No data,4
2019-03-17,51,16,8,No data,4
2019-03-18,168,38,13,No data,4
2019-03-19,181,45,12,No data,6
2019-03-20,155,35,12,No data,4
2019-03-21,174,42,25,No data,8
