Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2019-01-01,23,15,5,7,10
2019-01-02,48,35,7,9,14
2019-01-03,90,159,11,13,23
2019-01-04,68,63,17,17,22
2019-01-05,54,75,13,13,18
2019-01-06,45,73,13,14,16
2019-01-07,38,53,7,10,10
2019-01-08,38,36,6,11,12
2019-01-09,54,38,6,7,8
2019-01-10,65,44,11,13,12
2019-01-11,72,63,9,9,12
2019-01-12,26,17,5,7,9
2019-01-13,22,11,6,3,7
2019-01-14,63,125,6,11,10
2019-01-15,38,50,6,7,12
2019-01-16,43,52,5,6,7
2019-01-17,68,61,6,14,9
2019-01-18,83,237,15,20,32
2019-01-19,54,157,25,26,32
2019-01-20,69,91,22,21,25
2019-01-21,125,283,16,33,20
2019-01-22,71,120,8,9,8
2019-01-23,103,129,12,13,13
2019-01-24,115,195,20,26,24
2019-01-25,46,47,8,20,8
2019-01-26,40,98,7,6,11
2019-01-27,15,14,3,3,5
2019-01-28,69,80,5,18,14
2019-01-29,75,122,9,18,9
2019-01-30,91,79,7,22,9
2019-01-31,168,376,16,21,23
2019-02-01,68,54,9,9,8
2019-02-02,63,41,7,7,6
2019-02-03,55,159,9,10,13
2019-02-04,58,57,6,23,9
2019-02-05,100,252,20,73,24
2019-02-06,76,242,12,65,No data
2019-02-07,49,88,No data,No data,No data
2019-02-08,30,63,No data,No data,No data
2019-02-09,25,57,No data,No data,No data
2019-02-10,61,80,No data,No data,No data
2019-02-11,74,153,No data,No data,No data
2019-02-12,53,115,9,26,12
2019-02-13,34,78,11,86,22
2019-02-14,80,254,23,189,42
2019-02-15,93,214,29,52,46
2019-02-16,37,107,11,22,23
2019-02-17,27,68,17,24,28
2019-02-18,40,No data,12,98,17
2019-02-19,44,No data,8,20,16
2019-02-20,39,No data,7,18,8
2019-02-21,65,No data,8,15,20
2019-02-22,65,157,23,35,45
2019-02-23,50,116,37,41,50
2019-02-24,76,168,28,30,40
2019-02-25,125,267,46,59,63
2019-02-26,160,371,36,45,61
2019-02-27,144,181,42,55,53
2019-02-28,64,44,22,24,23
2019-03-01,63,178,21,23,38
2019-03-02,36,84,15,18,24
2019-03-03,22,52,7,14,No data
2019-03-04,41,36,4,6,No data
2019-03-05,43,111,7,14,No data
2019-03-06,No data,145,No data,No data,No data
2019-03-07,No data,96,No data,No data,8
2019-03-08,58,148,7,10,18
2019-03-09,32,44,5,6,9
2019-03-10,42,87,6,6,8
2019-03-11,41,51,6,10,10
2019-03-12,37,59,6,11,12
2019-03-13,35,21,6,11,8
2019-03-14,38,22,5,7,5
2019-03-15,34,35,6,10,9
2019-03-16,36,79,5,4,No data
2019-03-17,29,20,3,3,No data
2019-03-18,62,73,7,10,No data
2019-03-19,64,124,8,13,No data
2019-03-20,51,110,10,13,22
2019-03-21,60,76,9,15,19
2019-03-22,40,75,11,31,27
2019-03-23,38,56,7,12,19
2019-03-24,25,33,6,8,12
2019-03-25,40,68,7,12,19
2019-03-26,47,38,7,11,No data
2019-03-27,46,45,11,16,No data
2019-03-28,53,132,13,21,No data
2019-03-29,61,128,16,21,No data
2019-03-30,48,60,11,14,No data
2019-03-31,40,104,6,9,No data
2019-04-01,56,131,12,25,26
2019-04-02,54,74,5,6,6
2019-04-03,42,86,5,6,9
2019-04-04,36,84,9,13,16
2019-04-05,30,83,26,35,43
2019-04-06,45,34,19,25,29
2019-04-07,27,18,27,34,38
2019-04-08,39,28,16,27,32
2019-04-09,27,63,10,17,23
2019-04-10,54,130,7,14,19
2019-04-11,53,136,11,20,27
2019-04-12,30,100,9,14,18
2019-04-13,27,84,7,12,15
2019-04-14,17,50,7,12,19
2019-04-15,23,58,17,26,31
2019-04-16,23,79,19,34,45
2019-04-17,33,66,18,31,No data
2019-04-18,44,85,25,37,No data
2019-04-19,49,97,24,31,No data
2019-04-20,78,201,28,34,No data
2019-04-21,26,62,26,36,No data
2019-04-22,24,57,35,40,No data
2019-04-23,31,84,23,37,No data
2019-04-24,36,65,32,55,No data
2019-04-25,46,149,11,14,No data
2019-04-26,43,92,11,14,No data
2019-04-27,33,45,8,12,No data
2019-04-28,22,44,9,14,No data
2019-04-29,51,121,13,17,No data
2019-04-30,47,115,23,27,No data
2019-05-01,52,57,16,19,No data
2019-05-02,42,23,7,10,No data
2019-05-03,42,29,5,8,No data
2019-05-04,28,12,5,11,No data
2019-05-05,32,27,6,8,No data
2019-05-06,26,39,5,8,No data
2019-05-07,30,80,5,10,No data
2019-05-08,27,64,11,17,No data
2019-05-09,41,17,6,12,No data
2019-05-10,46,95,6,9,No data
2019-05-11,53,108,8,10,No data
2019-05-12,50,121,9,12,No data
2019-05-13,53,106,11,15,No data
2019-05-14,45,100,16,23,No data
2019-05-15,47,115,19,26,No data
2019-05-16,31,75,9,14,No data
2019-05-17,36,15,10,16,No data
2019-05-18,41,106,9,11,No data
2019-05-19,36,70,10,11,No data
2019-05-20,47,55,9,11,No data
2019-05-21,37,40,5,7,No data
2019-05-22,40,42,4,11,No data
2019-05-23,37,44,5,16,No data
2019-05-24,35,62,5,9,No data
2019-05-25,35,59,6,8,No data
2019-05-26,21,25,4,7,No data
2019-05-27,27,40,3,5,No data
2019-05-28,47,54,5,5,No data
2019-05-29,59,101,9,18,No data
2019-05-30,47,57,5,6,No data
2019-05-31,46,86,5,6,No data
2019-06-01,38,91,8,9,No data
2019-06-02,23,66,9,12,No data
2019-06-03,35,54,8,24,No data
2019-06-04,63,85,6,15,13
2019-06-05,40,73,6,12,10
2019-06-06,46,107,6,12,11
2019-06-07,42,91,8,14,17
2019-06-08,33,32,5,6,8
2019-06-09,29,51,4,6,8
2019-06-10,33,36,6,7,10
2019-06-11,27,11,4,8,8
2019-06-12,29,12,4,6,7
2019-06-13,37,35,3,4,3
2019-06-14,47,122,6,8,11
2019-06-15,38,93,8,11,14
2019-06-16,22,50,5,7,7
2019-06-17,33,55,6,38,11
2019-06-18,37,76,6,18,13
2019-06-19,48,No data,5,8,10
2019-06-20,43,No data,3,10,8
2019-06-21,45,No data,4,10,9
2019-06-22,32,No data,7,13,17
2019-06-23,24,No data,6,11,14
2019-06-24,45,No data,11,18,27
2019-06-25,37,No data,7,10,12
2019-06-26,38,No data,5,10,14
2019-06-27,47,No data,7,11,16
2019-06-28,No data,No data,No data,No data,No data
2019-06-29,No data,74,No data,No data,No data
2019-06-30,No data,34,No data,No data,No data
2019-07-01,No data,33,No data,No data,9
2019-07-02,52,44,6,No data,9
2019-07-03,46,67,6,No data,14
2019-07-04,42,45,5,14,12
2019-07-05,39,39,4,8,8
2019-07-06,21,29,2,5,9
2019-07-07,20,37,3,6,10
2019-07-08,40,112,6,11,17
2019-07-09,54,111,9,14,18
2019-07-10,53,106,8,11,17
2019-07-11,48,101,6,10,15
2019-07-12,39,35,4,7,9
2019-07-13,28,68,4,6,10
2019-07-14,22,38,3,6,10
2019-07-15,34,79,6,10,14
2019-07-16,50,71,9,15,20
2019-07-17,45,96,8,27,18
2019-07-18,40,59,4,11,10
2019-07-19,41,87,7,13,14
2019-07-20,28,64,4,8,13
2019-07-21,20,55,3,4,8
2019-07-22,24,45,5,10,11
2019-07-23,34,87,7,13,17
2019-07-24,37,91,10,15,19
2019-07-25,41,115,15,26,34
2019-07-26,44,94,10,17,24
2019-07-27,33,29,7,14,24
2019-07-28,21,22,11,19,32
2019-07-29,53,68,9,13,19
2019-07-30,49,68,11,19,30
2019-07-31,31,15,8,17,29
2019-08-01,30,19,7,12,18
2019-08-02,35,27,5,9,15
2019-08-03,27,62,7,10,14
2019-08-04,26,61,9,14,19
2019-08-05,38,72,6,14,15
2019-08-06,46,97,6,11,16
2019-08-07,37,48,4,8,9
2019-08-08,29,46,No data,No data,No data
2019-08-09,27,78,No data,No data,No data
2019-08-10,28,53,No data,No data,No data
2019-08-11,27,21,No data,No data,No data
2019-08-12,52,60,No data,No data,No data
2019-08-13,46,53,4,8,No data
2019-08-14,46,113,6,10,No data
2019-08-15,45,50,4,8,10
2019-08-16,44,73,5,8,10
2019-08-17,24,51,5,10,13
2019-08-18,18,35,4,9,12
2019-08-19,40,50,4,11,12
2019-08-20,43,66,4,8,8
2019-08-21,37,86,6,12,13
2019-08-22,39,105,4,6,9
2019-08-23,38,97,6,9,12
2019-08-24,63,131,14,19,28
2019-08-25,56,131,20,26,35
2019-08-26,24,46,17,20,24
2019-08-27,No data,75,No data,No data,20
2019-08-28,No data,109,No data,No data,13
2019-08-29,36,71,8,15,16
2019-08-30,27,57,9,16,20
2019-08-31,26,40,5,7,9
2019-09-01,25,36,4,5,7
2019-09-02,46,88,5,6,10
2019-09-03,38,66,5,6,8
2019-09-04,34,49,4,6,8
2019-09-05,43,46,5,9,10
2019-09-06,39,49,5,6,10
2019-09-07,37,24,4,6,10
2019-09-08,43,78,7,8,13
2019-09-09,51,122,10,11,15
2019-09-10,51,88,9,10,14
2019-09-11,33,44,No data,6,9
2019-09-12,46,92,No data,7,8
2019-09-13,46,65,No data,9,13
2019-09-14,38,78,No data,10,11
2019-09-15,25,41,No data,11,14
2019-09-16,56,58,No data,10,11
2019-09-17,45,73,No data,No data,13
2019-09-18,64,73,No data,16,15
2019-09-19,53,68,No data,14,16
2019-09-20,76,188,12,22,27
2019-09-21,38,123,10,24,31
2019-09-22,75,108,16,27,31
2019-09-23,48,108,9,14,18
2019-09-24,43,126,6,8,17
2019-09-25,57,185,7,11,22
2019-09-26,46,115,6,11,15
2019-09-27,58,101,4,8,11
2019-09-28,54,102,3,4,10
2019-09-29,35,32,3,7,11
2019-09-30,44,58,2,7,10
2019-10-01,48,28,2,8,10
2019-10-02,56,51,3,7,6
2019-10-03,78,159,8,14,17
2019-10-04,63,83,5,9,14
2019-10-05,46,134,5,11,18
2019-10-06,24,89,5,12,21
2019-10-07,51,106,7,15,19
2019-10-08,44,104,4,13,18
2019-10-09,44,83,4,12,15
2019-10-10,41,73,4,13,13
2019-10-11,44,87,3,12,13
2019-10-12,49,124,3,9,14
2019-10-13,58,137,8,12,17
2019-10-14,79,207,7,11,18
2019-10-15,64,118,4,7,11
2019-10-16,52,111,8,13,18
2019-10-17,59,174,7,14,18
2019-10-18,89,200,10,14,20
2019-10-19,44,54,3,7,9
2019-10-20,19,12,1,6,7
2019-10-21,47,73,3,9,11
2019-10-22,58,162,4,10,15
2019-10-23,53,113,9,16,16
2019-10-24,65,128,11,18,18
2019-10-25,75,136,4,9,11
2019-10-26,51,124,3,5,8
2019-10-27,41,30,2,5,6
2019-10-28,69,54,4,9,10
2019-10-29,116,162,5,11,13
2019-10-30,109,231,7,16,20
2019-10-31,66,192,14,31,27
2019-11-01,69,164,14,22,19
2019-11-02,51,110,6,11,15
2019-11-03,41,113,6,10,15
2019-11-04,54,75,7,14,17
2019-11-05,48,28,6,13,14
2019-11-06,83,163,7,10,13
2019-11-07,33,68,3,9,11
2019-11-08,52,46,3,6,7
2019-11-09,117,173,7,13,16
2019-11-10,48,100,4,9,13
2019-11-11,42,61,3,5,7
2019-11-12,48,35,2,3,3
2019-11-13,136,217,7,12,21
2019-11-14,50,23,2,6,5
2019-11-15,46,22,4,10,11
2019-11-16,47,20,2,6,8
2019-11-17,36,25,3,5,6
2019-11-18,117,62,5,8,9
2019-11-19,119,255,12,18,27
2019-11-20,71,169,18,24,29
2019-11-21,55,145,10,20,30
2019-11-22,56,193,10,17,21
2019-11-23,33,86,9,19,25
2019-11-24,65,204,22,32,40
2019-11-25,57,171,14,20,28
2019-11-26,64,185,12,16,21
2019-11-27,50,40,8,12,13
2019-11-28,38,27,2,6,9
2019-11-29,107,64,4,7,9
2019-11-30,134,124,8,11,13
2019-12-01,74,54,6,7,7
2019-12-02,74,42,6,10,7
2019-12-03,120,205,13,20,19
2019-12-04,90,209,13,20,17
2019-12-05,50,76,8,33,12
2019-12-06,57,67,7,10,7
2019-12-07,32,65,2,5,11
2019-12-08,19,39,3,5,7
2019-12-09,50,86,4,10,11
2019-12-10,34,59,4,8,9
2019-12-11,55,158,5,10,15
2019-12-12,69,171,8,12,13
2019-12-13,48,74,4,4,6
2019-12-14,29,63,3,8,14
2019-12-15,41,126,5,7,No data
2019-12-16,61,159,5,8,No data
2019-12-17,111,352,12,16,No data
2019-12-18,78,236,11,15,No data
2019-12-19,50,125,8,11,No data
2019-12-20,58,104,7,11,No data
2019-12-21,64,197,12,14,No data
2019-12-22,68,167,12,13,No data
2019-12-23,41,74,4,8,No data
2019-12-24,69,156,8,11,13
2019-12-25,37,32,3,3,4
2019-12-26,24,53,5,10,13
2019-12-27,40,79,14,20,20
2019-12-28,60,124,15,17,22
2019-12-29,36,98,8,10,19
2019-12-30,35,43,6,9,13
2019-12-31,102,273,11,17,20
2020-01-01,111,249,20,23,28
2020-01-02,42,101,7,10,11
2020-01-03,43,34,4,8,10
2020-01-04,27,35,3,6,7
2020-01-05,26,77,2,1,6
2020-01-06,30,63,4,7,13
2020-01-07,21,51,4,10,14
2020-01-08,38,98,8,17,26
2020-01-09,35,43,3,5,6
2020-01-10,56,130,6,9,12
2020-01-11,20,37,3,3,6
2020-01-12,47,141,5,6,15
2020-01-13,38,100,6,10,11
2020-01-14,47,118,5,9,10
2020-01-15,26,75,5,11,16
2020-01-16,33,79,6,12,11
2020-01-17,58,74,4,7,9
2020-01-18,39,21,3,6,6
2020-01-19,38,69,4,8,15
2020-01-20,39,47,5,12,15
2020-01-21,40,43,6,7,8
2020-01-22,51,58,8,8,10
2020-01-23,52,66,7,7,9
2020-01-24,49,63,5,7,6
2020-01-25,47,130,8,10,19
2020-01-26,37,93,12,16,22
2020-01-27,47,152,6,9,21
2020-01-28,37,54,6,7,10
2020-01-29,23,45,3,5,13
2020-01-30,27,61,4,7,15
2020-01-31,26,78,3,4,11
2020-02-01,26,52,5,6,11
2020-02-02,33,114,5,6,9
2020-02-03,23,27,4,8,10
2020-02-04,46,52,5,11,13
2020-02-05,75,129,8,15,27
2020-02-06,91,233,15,23,35
2020-02-07,64,123,30,37,43
2020-02-08,25,54,8,13,22
2020-02-09,15,22,3,4,6
2020-02-10,20,34,3,No data,No data
2020-02-11,19,28,No data,No data,No data
2020-02-12,36,72,No data,No data,No data
2020-02-13,50,77,No data,No data,No data
2020-02-14,44,122,8,No data,No data
2020-02-15,30,71,8,No data,No data
