Date,NOx_1,NOx_2,PM10_2,PM2.5_2
2019-01-01,37,12,9,5
2019-01-02,141,35,9,6
2019-01-03,176,42,No data,No data
2019-01-04,124,63,No data,No data
2019-01-05,75,21,No data,No data
2019-01-06,63,19,No data,No data
2019-01-07,59,15,No data,No data
2019-01-08,48,25,No data,No data
2019-01-09,83,43,12,7
2019-01-10,119,90,23,19
2019-01-11,78,35,12,10
2019-01-12,42,10,6,5
2019-01-13,23,6,6,4
2019-01-14,57,21,10,5
2019-01-15,92,21,8,5
2019-01-16,92,19,5,3
2019-01-17,92,51,7,5
2019-01-18,195,49,14,9
2019-01-19,157,18,16,11
2019-01-20,102,33,25,22
2019-01-21,150,50,24,21
2019-01-22,137,39,7,4
2019-01-23,117,81,12,12
2019-01-24,206,108,23,19
2019-01-25,92,35,14,12
2019-01-26,62,8,6,3
2019-01-27,25,6,7,3
2019-01-28,71,28,8,4
2019-01-29,167,29,8,5
2019-01-30,120,83,8,6
2019-01-31,326,121,16,No data
2019-02-01,93,20,19,No data
2019-02-02,69,26,17,No data
2019-02-03,84,22,13,No data
2019-02-04,191,110,10,No data
2019-02-05,191,66,12,11
2019-02-06,179,36,14,8
2019-02-07,47,13,11,6
2019-02-08,41,9,8,6
2019-02-09,61,8,15,8
2019-02-10,37,9,6,5
2019-02-11,138,53,13,9
2019-02-12,185,40,16,10
2019-02-13,149,27,23,14
2019-02-14,300,164,33,25
2019-02-15,243,78,36,27
2019-02-16,116,18,30,22
2019-02-17,53,11,31,19
2019-02-18,103,19,17,8
2019-02-19,113,15,15,7
2019-02-20,81,12,17,9
2019-02-21,116,28,19,11
2019-02-22,246,41,25,19
2019-02-23,227,66,45,36
2019-02-24,292,81,37,30
2019-02-25,486,192,43,31
2019-02-26,477,224,49,31
2019-02-27,341,175,52,38
2019-02-28,90,27,32,23
2019-03-01,119,29,22,13
2019-03-02,49,9,15,6
2019-03-03,26,7,13,5
2019-03-04,42,11,9,3
2019-03-05,77,14,12,4
2019-03-06,64,14,12,5
2019-03-07,39,12,9,3
2019-03-08,76,12,12,4
2019-03-09,50,7,22,8
2019-03-10,33,6,8,3
2019-03-11,47,10,13,4
2019-03-12,39,10,10,4
2019-03-13,26,9,15,6
2019-03-14,41,11,13,6
2019-03-15,40,9,9,4
2019-03-16,28,5,11,5
2019-03-17,21,6,6,3
2019-03-18,73,17,12,6
2019-03-19,100,17,18,12
2019-03-20,88,14,11,6
2019-03-21,109,18,15,9
2019-03-22,107,18,17,12
2019-03-23,131,23,23,12
2019-03-24,60,19,20,11
2019-03-25,102,40,20,9
2019-03-26,66,56,21,10
2019-03-27,132,67,20,10
2019-03-28,202,91,37,23
2019-03-29,215,87,45,30
2019-03-30,156,57,46,34
2019-03-31,97,12,28,17
2019-04-01,190,33,24,11
2019-04-02,90,39,18,10
2019-04-03,121,28,15,9
2019-04-04,116,11,12,8
2019-04-05,158,12,17,10
2019-04-06,153,9,19,13
2019-04-07,94,11,45,37
2019-04-08,185,32,54,43
2019-04-09,122,16,40,25
2019-04-10,126,10,22,9
2019-04-11,166,28,21,10
2019-04-12,218,30,22,14
2019-04-13,180,14,21,13
2019-04-14,94,12,24,16
2019-04-15,142,18,44,31
2019-04-16,126,45,67,50
2019-04-17,182,38,57,39
2019-04-18,177,27,63,44
2019-04-19,123,19,49,29
2019-04-20,139,34,49,28
2019-04-21,92,22,41,22
2019-04-22,90,30,37,21
2019-04-23,158,31,No data,27
2019-04-24,134,29,No data,18
2019-04-25,76,15,No data,6
2019-04-26,82,19,No data,6
2019-04-27,24,6,12,5
2019-04-28,42,16,13,7
2019-04-29,No data,43,17,11
2019-04-30,No data,58,24,17
2019-05-01,68,28,24,18
2019-05-02,48,24,10,6
2019-05-03,109,23,11,8
2019-05-04,72,12,12,6
2019-05-05,53,17,13,8
2019-05-06,49,18,11,7
2019-05-07,152,25,18,12
2019-05-08,87,21,10,7
2019-05-09,89,27,12,7
2019-05-10,120,25,12,8
2019-05-11,82,24,15,11
2019-05-12,92,17,12,9
2019-05-13,181,32,14,9
2019-05-14,182,31,14,8
2019-05-15,166,21,20,14
2019-05-16,155,15,20,13
2019-05-17,132,11,20,12
2019-05-18,115,21,13,9
2019-05-19,65,21,17,14
2019-05-20,58,20,15,No data
2019-05-21,54,20,12,No data
2019-05-22,98,37,11,No data
2019-05-23,95,29,13,No data
2019-05-24,51,21,12,No data
2019-05-25,47,19,10,No data
2019-05-26,29,16,10,7
2019-05-27,26,13,11,5
2019-05-28,68,20,9,4
2019-05-29,100,30,10,6
2019-05-30,37,12,12,6
2019-05-31,71,24,7,4
2019-06-01,94,23,11,7
2019-06-02,35,19,13,8
2019-06-03,75,23,13,6
2019-06-04,117,27,15,7
2019-06-05,70,26,10,6
2019-06-06,94,37,13,6
2019-06-07,138,35,12,7
2019-06-08,36,13,10,5
2019-06-09,51,18,9,5
2019-06-10,93,22,9,6
2019-06-11,66,9,5,4
2019-06-12,128,24,8,6
2019-06-13,83,21,7,5
2019-06-14,85,22,10,5
2019-06-15,91,22,10,5
2019-06-16,41,13,11,6
2019-06-17,85,22,10,5
2019-06-18,194,36,13,7
2019-06-19,68,28,18,13
2019-06-20,56,19,10,6
2019-06-21,105,32,13,6
2019-06-22,169,34,11,7
2019-06-23,107,15,21,13
2019-06-24,107,28,26,19
2019-06-25,101,29,19,15
2019-06-26,93,7,13,8
2019-06-27,131,7,12,6
2019-06-28,164,11,16,8
2019-06-29,90,19,19,11
2019-06-30,23,14,9,5
2019-07-01,32,16,7,3
2019-07-02,81,23,9,5
2019-07-03,118,20,10,5
2019-07-04,86,39,10,5
2019-07-05,56,32,12,6
2019-07-06,73,24,8,5
2019-07-07,80,11,11,6
2019-07-08,123,33,13,7
2019-07-09,88,No data,10,5
2019-07-10,60,No data,10,5
2019-07-11,51,No data,8,5
2019-07-12,34,9,8,3
2019-07-13,86,11,8,5
2019-07-14,78,5,9,6
2019-07-15,116,24,9,5
2019-07-16,117,24,11,6
2019-07-17,70,13,15,9
2019-07-18,47,10,8,4
2019-07-19,99,18,12,6
2019-07-20,37,6,11,4
2019-07-21,37,6,6,3
2019-07-22,58,16,9,5
2019-07-23,141,31,16,7
2019-07-24,71,24,15,8
2019-07-25,112,31,20,9
2019-07-26,61,No data,10,5
2019-07-27,46,No data,9,4
2019-07-28,25,7,8,3
2019-07-29,102,14,8,4
2019-07-30,61,10,10,5
2019-07-31,34,8,9,4
2019-08-01,56,9,9,6
2019-08-02,96,11,12,7
2019-08-03,117,25,13,8
2019-08-04,57,15,12,7
2019-08-05,42,8,10,5
2019-08-06,44,8,15,5
2019-08-07,38,7,7,3
2019-08-08,89,8,8,4
2019-08-09,38,6,11,6
2019-08-10,22,4,13,6
2019-08-11,28,5,8,4
2019-08-12,45,18,9,4
2019-08-13,46,11,6,3
2019-08-14,71,12,7,3
2019-08-15,42,12,8,3
2019-08-16,70,12,6,3
2019-08-17,38,6,11,5
2019-08-18,26,4,9,4
2019-08-19,36,7,10,5
2019-08-20,43,9,10,6
2019-08-21,83,13,12,6
2019-08-22,58,11,10,5
2019-08-23,140,32,10,5
2019-08-24,172,46,15,8
2019-08-25,97,17,18,11
2019-08-26,61,23,20,13
2019-08-27,82,27,19,12
2019-08-28,64,9,7,4
2019-08-29,62,12,8,4
2019-08-30,60,11,10,5
2019-08-31,49,10,6,4
2019-09-01,27,5,7,3
2019-09-02,43,9,8,4
2019-09-03,44,9,8,4
2019-09-04,28,7,7,3
2019-09-05,41,16,10,4
2019-09-06,62,17,9,5
2019-09-07,78,27,8,5
2019-09-08,80,22,7,4
2019-09-09,154,26,9,6
2019-09-10,86,28,10,7
2019-09-11,41,9,7,4
2019-09-12,53,11,8,4
2019-09-13,118,35,10,4
2019-09-14,162,55,12,7
2019-09-15,41,14,10,7
2019-09-16,73,14,11,8
2019-09-17,83,14,11,5
2019-09-18,126,54,15,7
2019-09-19,227,64,15,8
2019-09-20,188,50,15,7
2019-09-21,157,33,17,8
2019-09-22,81,15,12,7
2019-09-23,74,10,6,3
2019-09-24,68,10,7,3
2019-09-25,51,11,6,2
2019-09-26,47,8,8,3
2019-09-27,48,9,11,5
2019-09-28,47,7,7,3
2019-09-29,18,5,4,2
2019-09-30,119,14,7,3
2019-10-01,84,10,8,3
2019-10-02,101,53,8,4
2019-10-03,239,60,11,7
2019-10-04,112,43,16,8
2019-10-05,158,17,11,7
2019-10-06,27,6,8,4
2019-10-07,109,17,8,4
2019-10-08,51,9,15,7
2019-10-09,65,9,7,3
2019-10-10,47,10,11,5
2019-10-11,46,8,6,3
2019-10-12,143,12,6,3
2019-10-13,62,10,5,2
2019-10-14,82,23,7,4
2019-10-15,140,22,9,5
2019-10-16,97,25,9,4
2019-10-17,154,23,8,4
2019-10-18,61,10,9,4
2019-10-19,84,13,8,4
2019-10-20,63,14,10,7
2019-10-21,72,26,9,5
2019-10-22,187,68,13,9
2019-10-23,249,99,19,13
2019-10-24,129,40,19,14
2019-10-25,79,13,8,4
2019-10-26,44,10,9,5
2019-10-27,72,32,8,5
2019-10-28,172,46,13,9
2019-10-29,160,16,9,5
2019-10-30,175,20,14,9
2019-10-31,194,37,32,25
2019-11-01,97,14,8,6
2019-11-02,37,6,8,4
2019-11-03,72,15,13,8
2019-11-04,207,34,14,8
2019-11-05,59,16,13,10
2019-11-06,186,47,20,15
2019-11-07,129,42,8,5
2019-11-08,115,64,10,7
2019-11-09,209,46,13,11
2019-11-10,114,37,13,9
2019-11-11,44,14,9,5
2019-11-12,43,12,6,3
2019-11-13,125,25,8,5
2019-11-14,137,26,7,5
2019-11-15,76,17,11,8
2019-11-16,192,34,17,14
2019-11-17,119,37,18,15
2019-11-18,126,64,9,6
2019-11-19,255,97,17,14
2019-11-20,147,23,11,8
2019-11-21,203,30,23,19
2019-11-22,153,24,11,7
2019-11-23,215,24,14,11
2019-11-24,133,32,17,13
2019-11-25,140,17,6,4
2019-11-26,99,16,10,6
2019-11-27,132,26,9,5
2019-11-28,61,23,8,5
2019-11-29,258,141,12,8
2019-11-30,273,82,13,11
2019-12-01,75,29,9,7
2019-12-02,123,87,16,13
2019-12-03,208,94,13,11
2019-12-04,353,201,22,19
2019-12-05,125,57,15,12
2019-12-06,39,10,4,2
2019-12-07,55,10,7,4
2019-12-08,20,5,10,6
2019-12-09,56,24,10,5
2019-12-10,65,18,8,5
2019-12-11,101,24,9,5
2019-12-12,92,19,5,3
2019-12-13,48,11,9,5
2019-12-14,49,9,9,5
2019-12-15,34,6,6,3
2019-12-16,191,66,10,6
2019-12-17,170,73,13,11
2019-12-18,129,24,8,6
2019-12-19,67,16,11,6
2019-12-20,115,23,4,3
2019-12-21,107,16,7,4
2019-12-22,53,12,7,4
2019-12-23,78,18,10,5
2019-12-24,45,9,13,8
2019-12-25,45,28,9,6
2019-12-26,30,12,8,6
2019-12-27,141,21,13,11
2019-12-28,109,17,10,8
2019-12-29,76,22,13,11
2019-12-30,151,74,16,14
2019-12-31,207,38,19,17
2020-01-01,79,23,32,28
2020-01-02,68,13,8,6
2020-01-03,49,16,8,5
2020-01-04,78,17,7,4
2020-01-05,42,6,4,3
2020-01-06,49,11,10,6
2020-01-07,51,13,12,7
2020-01-08,101,30,22,13
2020-01-09,64,18,9,5
2020-01-10,92,35,8,6
2020-01-11,32,6,9,5
2020-01-12,29,6,5,2
2020-01-13,55,16,7,4
2020-01-14,44,14,9,5
2020-01-15,70,16,7,3
2020-01-16,71,16,10,6
2020-01-17,62,15,6,3
2020-01-18,78,44,10,7
2020-01-19,157,81,16,13
2020-01-20,175,91,21,18
2020-01-21,153,119,20,16
2020-01-22,198,54,19,17
2020-01-23,158,35,16,14
2020-01-24,100,34,11,9
2020-01-25,123,16,26,18
2020-01-26,48,10,16,10
2020-01-27,102,20,5,3
2020-01-28,49,13,5,3
