Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2019-01-01,7,No data,18,16,36
2019-01-02,10,No data,21,39,58
2019-01-03,18,No data,37,46,85
2019-01-04,29,No data,51,106,201
2019-01-05,19,No data,34,52,116
2019-01-06,14,No data,30,35,85
2019-01-07,8,No data,19,21,59
2019-01-08,11,No data,29,30,54
2019-01-09,9,No data,21,44,57
2019-01-10,18,No data,27,84,131
2019-01-11,10,No data,20,54,96
2019-01-12,4,No data,11,18,68
2019-01-13,4,No data,14,10,34
2019-01-14,8,No data,25,41,90
2019-01-15,No data,No data,No data,26,62
2019-01-16,No data,No data,No data,28,72
2019-01-17,No data,No data,No data,63,98
2019-01-18,No data,No data,No data,59,107
2019-01-19,16,No data,25,31,72
2019-01-20,29,No data,41,64,109
2019-01-21,24,No data,32,63,128
2019-01-22,5,No data,13,47,104
2019-01-23,16,No data,21,107,153
2019-01-24,23,No data,30,125,194
2019-01-25,9,No data,16,41,122
2019-01-26,3,No data,10,17,39
2019-01-27,6,No data,17,9,26
2019-01-28,No data,No data,23,No data,98
2019-01-29,No data,No data,13,No data,86
2019-01-30,12,No data,25,138,247
2019-01-31,21,No data,29,161,139
2019-02-01,14,No data,21,26,36
2019-02-02,11,No data,19,31,44
2019-02-03,10,No data,23,67,77
2019-02-04,10,No data,No data,91,No data
2019-02-05,No data,No data,No data,102,No data
2019-02-06,No data,No data,22,60,115
2019-02-07,No data,No data,17,18,50
2019-02-08,No data,No data,11,19,36
2019-02-09,6,No data,23,16,45
2019-02-10,3,No data,10,19,55
2019-02-11,9,No data,25,112,144
2019-02-12,12,No data,30,63,102
2019-02-13,11,No data,33,37,69
2019-02-14,21,No data,51,107,176
2019-02-15,25,No data,48,102,122
2019-02-16,15,No data,33,23,51
2019-02-17,16,No data,37,19,34
2019-02-18,7,No data,31,29,56
2019-02-19,6,No data,26,32,61
2019-02-20,7,No data,24,22,47
2019-02-21,10,No data,30,34,64
2019-02-22,18,No data,43,96,154
2019-02-23,39,No data,61,89,139
2019-02-24,35,No data,64,120,204
2019-02-25,33,No data,71,172,329
2019-02-26,32,No data,72,197,326
2019-02-27,37,No data,72,170,305
2019-02-28,32,No data,45,79,142
2019-03-01,19,No data,36,45,90
2019-03-02,7,No data,20,16,38
2019-03-03,6,No data,15,12,28
2019-03-04,3,No data,16,16,56
2019-03-05,4,No data,15,25,44
2019-03-06,4,No data,9,22,39
2019-03-07,3,No data,12,18,48
2019-03-08,6,No data,17,31,63
2019-03-09,7,No data,24,13,50
2019-03-10,2,No data,8,11,33
2019-03-11,5,No data,18,16,45
2019-03-12,3,No data,8,17,46
2019-03-13,5,No data,17,13,47
2019-03-14,4,No data,17,16,50
2019-03-15,3,No data,13,12,49
2019-03-16,4,No data,12,10,27
2019-03-17,3,No data,10,12,44
2019-03-18,6,No data,20,38,91
2019-03-19,7,No data,20,35,72
2019-03-20,7,No data,18,26,57
2019-03-21,10,No data,24,27,67
2019-03-22,10,No data,20,24,57
2019-03-23,8,No data,20,23,33
2019-03-24,7,No data,18,25,49
2019-03-25,7,No data,20,23,35
2019-03-26,10,No data,23,43,64
2019-03-27,10,No data,21,40,54
2019-03-28,17,No data,33,72,122
2019-03-29,30,No data,51,78,137
2019-03-30,37,No data,51,57,96
2019-03-31,9,No data,18,8,17
2019-04-01,10,No data,24,23,61
2019-04-02,7,No data,14,34,80
2019-04-03,9,No data,20,48,85
2019-04-04,10,No data,15,23,48
2019-04-05,9,No data,22,25,61
2019-04-06,12,No data,17,9,20
2019-04-07,39,No data,45,13,24
2019-04-08,53,No data,71,23,45
2019-04-09,16,No data,29,11,25
2019-04-10,8,No data,18,13,27
2019-04-11,10,No data,18,38,42
2019-04-12,12,No data,17,34,41
2019-04-13,10,No data,14,18,28
2019-04-14,12,No data,18,19,29
2019-04-15,27,No data,35,20,39
2019-04-16,41,No data,53,32,50
2019-04-17,40,No data,55,20,33
2019-04-18,52,No data,60,23,46
2019-04-19,No data,No data,44,20,33
2019-04-20,No data,No data,37,38,37
2019-04-21,No data,No data,33,37,62
2019-04-22,No data,No data,31,24,37
2019-04-23,No data,No data,46,25,38
2019-04-24,No data,No data,38,23,49
2019-04-25,No data,No data,14,25,53
2019-04-26,No data,No data,15,21,48
2019-04-27,No data,No data,12,8,38
2019-04-28,No data,No data,13,18,32
2019-04-29,No data,No data,17,36,58
2019-04-30,No data,No data,28,47,78
2019-05-01,No data,No data,34,38,82
2019-05-02,6,No data,14,31,68
2019-05-03,8,No data,15,23,51
2019-05-04,6,No data,14,15,28
2019-05-05,7,No data,15,24,40
2019-05-06,5,No data,11,22,41
2019-05-07,9,No data,19,32,65
2019-05-08,7,No data,12,26,63
2019-05-09,9,No data,15,21,39
2019-05-10,7,No data,16,22,50
2019-05-11,10,No data,19,18,36
2019-05-12,6,No data,14,17,45
2019-05-13,8,No data,16,25,46
2019-05-14,8,No data,18,31,52
2019-05-15,10,No data,18,17,37
2019-05-16,12,No data,21,14,26
2019-05-17,8,No data,18,13,27
2019-05-18,11,No data,19,26,47
2019-05-19,16,No data,22,33,49
2019-05-20,10,No data,17,17,47
2019-05-21,7,No data,16,21,44
2019-05-22,7,No data,15,30,61
2019-05-23,7,No data,16,31,61
2019-05-24,8,No data,18,25,55
2019-05-25,5,No data,13,14,46
2019-05-26,6,No data,14,12,32
2019-05-27,3,No data,13,10,37
2019-05-28,No data,No data,11,18,43
2019-05-29,4,8,13,30,58
2019-05-30,5,9,15,10,39
2019-05-31,4,7,14,15,44
2019-06-01,4,8,11,18,42
2019-06-02,6,10,13,11,27
2019-06-03,5,10,14,12,45
2019-06-04,7,11,14,26,64
2019-06-05,3,7,10,15,49
2019-06-06,4,7,9,27,57
2019-06-07,7,11,12,32,54
2019-06-08,2,5,8,10,47
2019-06-09,4,7,9,12,32
2019-06-10,5,8,10,22,33
2019-06-11,2,4,6,9,24
2019-06-12,4,5,11,25,66
2019-06-13,3,5,10,24,66
