Date,NOx,PM10,PM2.5
2020-02-18,21,16,7
2020-02-19,26,13,6
2020-02-20,16,10,4
2020-02-21,13,13,7
2020-02-22,12,15,7
2020-02-23,19,11,5
2020-02-24,22,9,4
2020-02-25,23,10,4
2020-02-26,22,10,5
2020-02-27,28,10,4
2020-02-28,30,6,4
2020-02-29,11,11,6
2020-03-01,11,14,6
2020-03-02,28,11,5
2020-03-03,31,12,6
2020-03-04,61,17,9
2020-03-05,65,27,19
2020-03-06,41,24,17
2020-03-07,15,10,6
2020-03-08,12,10,5
2020-03-09,18,16,8
2020-03-10,20,13,6
2020-03-11,19,11,5
2020-03-12,14,14,6
2020-03-13,27,11,6
2020-03-14,17,7,5
2020-03-15,11,10,5
2020-03-16,20,13,6
2020-03-17,18,4,2
2020-03-18,32,10,5
2020-03-19,55,16,9
2020-03-20,23,29,13
2020-03-21,13,13,6
2020-03-22,19,17,11
2020-03-23,29,21,12
2020-03-24,34,33,23
2020-03-25,41,39,25
2020-03-26,33,44,27
2020-03-27,20,44,29
2020-03-28,13,32,9
2020-03-29,12,15,5
2020-03-30,No data,9,5
2020-03-31,21,8,4
2020-04-01,17,11,6
2020-04-02,10,16,8
2020-04-03,15,12,6
2020-04-04,14,10,6
2020-04-05,10,14,8
2020-04-06,15,14,7
2020-04-07,27,17,10
2020-04-08,28,17,10
2020-04-09,18,21,12
2020-04-10,17,34,26
2020-04-11,21,23,19
2020-04-12,14,16,12
2020-04-13,9,15,7
2020-04-14,22,21,12
2020-04-15,31,24,16
2020-04-16,14,23,14
2020-04-17,12,17,9
2020-04-18,11,12,6
2020-04-19,10,11,6
2020-04-20,9,15,5
2020-04-21,9,17,7
2020-04-22,13,23,10
2020-04-23,13,16,8
2020-04-24,17,16,9
2020-04-25,15,28,21
2020-04-26,15,29,22
2020-04-27,13,6,3
2020-04-28,20,8,5
2020-04-29,20,8,5
2020-04-30,14,5,3
2020-05-01,19,7,4
2020-05-02,20,9,6
2020-05-03,19,11,7
2020-05-04,13,12,8
2020-05-05,14,12,6
2020-05-06,18,11,7
2020-05-07,20,21,13
2020-05-08,19,13,9
2020-05-09,17,10,6
2020-05-10,9,12,4
2020-05-11,17,9,4
2020-05-12,18,11,5
2020-05-13,13,8,4
2020-05-14,21,14,7
2020-05-15,21,9,4
2020-05-16,12,7,4
2020-05-17,7,9,5
2020-05-18,14,11,6
2020-05-19,28,12,7
2020-05-20,27,17,10
2020-05-21,21,12,7
2020-05-22,6,31,11
2020-05-23,6,19,8
2020-05-24,11,17,10
2020-05-25,19,11,6
2020-05-26,18,11,6
2020-05-27,26,18,9
2020-05-28,22,20,9
2020-05-29,20,11,4
2020-05-30,16,16,7
2020-05-31,13,17,10
2020-06-01,18,23,6
2020-06-02,21,16,6
2020-06-03,19,9,5
2020-06-04,20,7,3
2020-06-05,14,11,4
2020-06-06,16,8,4
2020-06-07,16,9,5
2020-06-08,21,15,8
2020-06-09,24,19,11
2020-06-10,22,13,9
2020-06-11,16,50,9
2020-06-12,17,6,3
2020-06-13,16,13,9
2020-06-14,15,13,9
2020-06-15,24,25,17
2020-06-16,28,24,19
2020-06-17,28,19,13
2020-06-18,22,12,9
2020-06-19,18,7,4
2020-06-20,12,8,5
2020-06-21,7,12,6
2020-06-22,12,14,7
2020-06-23,14,9,5
2020-06-24,25,20,10
2020-06-25,18,31,14
2020-06-26,23,28,15
2020-06-27,8,7,4
2020-06-28,4,8,4
2020-06-29,10,11,5
2020-06-30,17,11,5
2020-07-01,24,11,7
2020-07-02,19,5,3
2020-07-03,10,5,2
2020-07-04,11,3,1
2020-07-05,5,14,6
2020-07-06,12,13,5
2020-07-07,20,6,3
2020-07-08,21,7,4
2020-07-09,20,5,2
2020-07-10,17,8,3
2020-07-11,14,8,3
2020-07-12,17,6,4
2020-07-13,13,6,3
2020-07-14,13,7,3
2020-07-15,14,6,3
2020-07-16,15,6,3
2020-07-17,14,10,5
2020-07-18,16,6,3
2020-07-19,16,11,5
2020-07-20,25,10,4
2020-07-21,21,11,5
2020-07-22,21,9,4
2020-07-23,16,7,4
2020-07-24,18,7,4
2020-07-25,11,6,3
2020-07-26,7,8,3
2020-07-27,11,7,3
2020-07-28,11,10,4
2020-07-29,15,9,4
2020-07-30,24,9,5
2020-07-31,19,17,6
2020-08-01,10,10,5
2020-08-02,9,6,3
2020-08-03,19,6,3
2020-08-04,19,6,3
2020-08-05,14,6,3
2020-08-06,20,10,6
2020-08-07,25,9,5
2020-08-08,12,9,4
2020-08-09,8,18,8
2020-08-10,20,26,12
2020-08-11,21,26,17
2020-08-12,22,32,18
2020-08-13,13,20,12
2020-08-14,14,16,6
2020-08-15,10,13,7
2020-08-16,8,6,4
2020-08-17,20,6,4
2020-08-18,20,7,3
2020-08-19,20,7,4
2020-08-20,9,13,5
2020-08-21,7,8,4
2020-08-22,9,11,5
2020-08-23,8,9,4
2020-08-24,19,8,3
2020-08-25,12,6,3
2020-08-26,20,8,4
2020-08-27,29,9,5
2020-08-28,22,6,2
2020-08-29,25,5,2
2020-08-30,29,6,3
2020-08-31,25,9,6
2020-09-01,30,13,7
2020-09-02,20,9,5
2020-09-03,13,9,4
2020-09-04,14,18,8
2020-09-05,10,12,5
2020-09-06,14,8,4
2020-09-07,19,9,5
2020-09-08,16,7,3
2020-09-09,15,11,5
2020-09-10,32,14,7
2020-09-11,15,11,5
2020-09-12,11,15,7
2020-09-13,15,10,5
2020-09-14,33,14,7
2020-09-15,34,26,13
2020-09-16,19,23,11
2020-09-17,23,18,7
2020-09-18,20,22,6
2020-09-19,11,16,4
2020-09-20,14,6,3
2020-09-21,32,21,13
2020-09-22,30,18,11
2020-09-23,32,5,2
2020-09-24,No data,No data,No data
2020-09-25,No data,No data,No data
2020-09-26,33,10,5
2020-09-27,38,13,7
2020-09-28,60,20,11
2020-09-29,44,11,7
2020-09-30,27,8,5
2020-10-01,39,11,5
2020-10-02,27,12,5
2020-10-03,25,4,3
2020-10-04,19,6,3
2020-10-05,29,8,4
2020-10-06,28,8,4
2020-10-07,21,14,6
2020-10-08,32,5,3
2020-10-09,24,8,4
2020-10-10,20,9,4
2020-10-11,32,5,3
2020-10-12,29,10,5
2020-10-13,53,6,3
2020-10-14,41,12,7
2020-10-15,72,11,5
2020-10-16,35,13,5
2020-10-17,44,12,7
2020-10-18,31,17,13
2020-10-19,21,17,13
2020-10-20,16,11,7
2020-10-21,21,11,7
2020-10-22,17,9,4
2020-10-23,31,9,5
2020-10-24,24,8,4
2020-10-25,17,6,3
2020-10-26,19,12,5
2020-10-27,22,10,5
2020-10-28,No data,13,6
2020-10-29,No data,9,5
2020-10-30,No data,9,5
2020-10-31,No data,11,6
2020-11-01,No data,12,7
2020-11-02,No data,10,4
2020-11-03,No data,11,6
2020-11-04,No data,12,7
2020-11-05,No data,21,15
2020-11-06,No data,34,28
2020-11-07,No data,44,36
2020-11-08,No data,28,23
2020-11-09,No data,22,16
2020-11-10,No data,10,7
2020-11-11,No data,7,4
2020-11-12,No data,9,4
2020-11-13,No data,11,6
2020-11-14,No data,8,5
2020-11-15,No data,9,5
2020-11-16,No data,12,5
2020-11-17,No data,4,2
2020-11-18,No data,10,5
2020-11-19,No data,11,6
2020-11-20,No data,9,5
2020-11-21,No data,12,5
2020-11-22,No data,15,6
2020-11-23,No data,7,4
2020-11-24,19,8,5
2020-11-25,51,12,7
2020-11-26,114,22,15
2020-11-27,92,21,14
2020-11-28,35,19,16
2020-11-29,60,32,28
2020-11-30,23,14,8
2020-12-01,164,15,10
2020-12-02,47,14,8
2020-12-03,39,6,4
2020-12-04,47,5,3
2020-12-05,59,11,7
2020-12-06,97,17,14
2020-12-07,112,17,12
2020-12-08,41,11,6
2020-12-09,50,14,7
2020-12-10,28,11,8
2020-12-11,62,12,9
2020-12-12,49,15,10
2020-12-13,21,7,5
2020-12-14,24,9,5
2020-12-15,27,8,5
2020-12-16,21,7,4
2020-12-17,32,8,5
2020-12-18,15,2,1
2020-12-19,14,4,2
2020-12-20,22,7,4
2020-12-21,47,9,6
2020-12-22,106,16,10
2020-12-23,22,4,3
2020-12-24,39,7,4
2020-12-25,42,10,7
2020-12-26,7,11,5
2020-12-27,14,11,5
2020-12-28,58,16,13
2020-12-29,113,18,16
2020-12-30,144,24,20
2020-12-31,113,23,20
2021-01-01,76,22,19
2021-01-02,79,12,9
2021-01-03,46,9,6
2021-01-04,60,9,5
2021-01-05,39,6,4
2021-01-06,139,17,12
2021-01-07,103,25,21
2021-01-08,51,9,6
2021-01-09,52,16,11
2021-01-10,17,10,5
2021-01-11,16,11,5
2021-01-12,89,12,8
2021-01-13,61,14,11
2021-01-14,39,6,4
2021-01-15,51,17,15
2021-01-16,16,16,9
2021-01-17,15,18,8
2021-01-18,24,12,7
2021-01-19,23,4,3
2021-01-20,25,2,1
2021-01-21,20,12,5
2021-01-22,38,14,7
2021-01-23,62,11,9
2021-01-24,105,18,15
2021-01-25,48,15,8
2021-01-26,40,9,7
2021-01-27,44,23,16
2021-01-28,52,10,7
2021-01-29,26,18,10
2021-01-30,14,8,4
2021-01-31,18,8,4
2021-02-01,38,15,7
2021-02-02,27,5,3
2021-02-03,47,11,7
2021-02-04,41,12,9
2021-02-05,43,13,10
2021-02-06,22,4,3
2021-02-07,11,12,6
2021-02-08,18,13,5
2021-02-09,21,10,4
2021-02-10,52,18,7
2021-02-11,30,14,7
2021-02-12,20,16,11
2021-02-13,19,16,9
2021-02-14,11,13,8
2021-02-15,24,12,9
2021-02-16,23,10,5
2021-02-17,19,12,6
2021-02-18,13,10,5
2021-02-19,12,8,5
2021-02-20,9,14,7
2021-02-21,20,11,7
2021-02-22,43,10,6
2021-02-23,12,7,4
2021-02-24,32,5,3
2021-02-25,24,17,8
2021-02-26,57,14,8
2021-02-27,66,19,13
2021-02-28,40,26,18
2021-03-01,37,33,26
2021-03-02,41,39,32
2021-03-03,42,50,43
2021-03-04,32,17,10
2021-03-05,43,14,7
2021-03-06,63,33,26
2021-03-07,40,33,26
2021-03-08,No data,No data,No data
2021-03-09,No data,No data,No data
2021-03-10,18,10,7
2021-03-11,11,19,9
2021-03-12,15,13,6
2021-03-13,10,12,5
2021-03-14,10,17,9
2021-03-15,23,24,13
2021-03-16,23,16,10
2021-03-17,61,26,15
2021-03-18,44,20,13
2021-03-19,31,8,5
2021-03-20,25,14,9
2021-03-21,21,9,6
2021-03-22,21,11,6
2021-03-23,16,11,6
2021-03-24,16,11,5
2021-03-25,16,8,4
2021-03-26,13,10,5
2021-03-27,8,15,7
2021-03-28,6,3,2
2021-03-29,10,5,2
2021-03-30,42,20,11
2021-03-31,53,33,19
2021-04-01,13,10,4
2021-04-02,25,11,6
2021-04-03,23,17,10
2021-04-04,19,23,17
2021-04-05,12,8,4
2021-04-06,28,8,3
2021-04-07,38,9,4
2021-04-08,14,12,5
2021-04-09,25,11,5
2021-04-10,26,11,6
2021-04-11,32,9,6
2021-04-12,43,12,7
2021-04-13,41,14,8
2021-04-14,32,16,9
2021-04-15,32,14,7
2021-04-16,36,22,13
2021-04-17,32,32,22
2021-04-18,30,30,21
2021-04-19,38,29,18
2021-04-20,35,37,24
2021-04-21,18,20,10
2021-04-22,37,20,9
2021-04-23,35,21,9
2021-04-24,21,20,11
2021-04-25,15,12,7
2021-04-26,29,22,13
2021-04-27,23,9,5
2021-04-28,20,14,8
2021-04-29,38,7,4
2021-04-30,38,11,6
2021-05-01,31,11,7
2021-05-02,24,14,10
2021-05-03,20,10,7
2021-05-04,23,6,3
2021-05-05,41,8,4
2021-05-06,24,6,3
2021-05-07,32,10,5
2021-05-08,19,5,3
2021-05-09,13,7,4
2021-05-10,14,8,5
2021-05-11,22,9,5
2021-05-12,33,10,7
2021-05-13,35,13,7
2021-05-14,22,14,8
2021-05-15,27,15,12
2021-05-16,23,9,5
2021-05-17,22,11,6
2021-05-18,23,7,3
2021-05-19,28,9,5
2021-05-20,23,7,4
2021-05-21,26,3,2
2021-05-22,19,5,2
2021-05-23,17,6,3
2021-05-24,25,7,4
2021-05-25,18,13,6
2021-05-26,28,8,5
2021-05-27,27,11,7
2021-05-28,40,15,10
2021-05-29,28,22,16
2021-05-30,21,15,10
2021-05-31,19,18,13
2021-06-01,20,20,12
2021-06-02,18,23,13
2021-06-03,21,18,12
2021-06-04,27,10,4
2021-06-05,18,10,5
2021-06-06,14,8,4
2021-06-07,20,13,8
2021-06-08,25,11,6
2021-06-09,19,10,5
2021-06-10,12,6,2
2021-06-11,15,11,5
2021-06-12,15,10,5
2021-06-13,19,10,5
2021-06-14,14,11,5
2021-06-15,21,14,7
2021-06-16,22,9,4
2021-06-17,20,10,5
2021-06-18,27,10,5
2021-06-19,17,9,6
2021-06-20,14,9,6
2021-06-21,22,12,6
2021-06-22,26,16,10
2021-06-23,28,13,9
2021-06-24,18,10,7
2021-06-25,27,6,3
2021-06-26,21,5,3
2021-06-27,14,7,4
2021-06-28,17,9,5
2021-06-29,31,14,9
2021-06-30,21,19,12
2021-07-01,21,19,12
2021-07-02,21,17,12
2021-07-03,19,14,10
2021-07-04,15,6,4
2021-07-05,15,8,4
2021-07-06,22,7,4
2021-07-07,19,8,5
2021-07-08,21,8,5
2021-07-09,32,11,7
2021-07-10,28,15,11
2021-07-11,20,13,9
2021-07-12,27,8,6
2021-07-13,28,9,5
2021-07-14,17,7,4
2021-07-15,18,10,5
2021-07-16,27,11,6
2021-07-17,22,12,6
2021-07-18,20,12,7
2021-07-19,24,12,5
2021-07-20,25,14,6
2021-07-21,22,28,16
2021-07-22,22,28,15
2021-07-23,21,23,15
2021-07-24,14,12,7
2021-07-25,17,14,8
2021-07-26,15,18,11
2021-07-27,19,20,13
2021-07-28,14,8,4
2021-07-29,16,11,5
2021-07-30,31,8,5
2021-07-31,14,8,4
2021-08-01,17,7,4
2021-08-02,26,10,5
2021-08-03,30,11,7
2021-08-04,26,16,10
2021-08-05,18,11,6
2021-08-06,15,9,5
2021-08-07,11,8,4
2021-08-08,8,12,5
2021-08-09,16,8,5
2021-08-10,22,9,6
2021-08-11,21,9,5
2021-08-12,18,12,6
2021-08-13,14,16,7
2021-08-14,13,11,6
2021-08-15,13,10,6
2021-08-16,14,19,12
2021-08-17,13,8,4
2021-08-18,17,8,4
2021-08-19,20,8,5
2021-08-20,24,8,4
2021-08-21,22,6,4
2021-08-22,17,6,4
2021-08-23,17,8,5
2021-08-24,23,8,4
2021-08-25,24,15,9
2021-08-26,19,10,5
2021-08-27,28,8,4
2021-08-28,25,12,7
2021-08-29,18,9,6
2021-08-30,15,4,2
2021-08-31,18,7,4
2021-09-01,29,14,8
2021-09-02,18,13,7
2021-09-03,22,16,11
2021-09-04,22,17,13
2021-09-05,19,20,14
2021-09-06,38,29,20
2021-09-07,27,29,19
2021-09-08,27,30,17
2021-09-09,37,31,21
2021-09-10,28,15,12
2021-09-11,15,8,5
2021-09-12,25,6,3
2021-09-13,28,11,6
2021-09-14,26,10,6
2021-09-15,45,10,7
2021-09-16,31,11,7
2021-09-17,28,10,5
2021-09-18,33,12,7
2021-09-19,21,7,4
2021-09-20,37,10,5
2021-09-21,33,12,7
2021-09-22,20,10,5
2021-09-23,16,14,6
2021-09-24,19,11,6
2021-09-25,25,9,6
2021-09-26,16,9,6
2021-09-27,17,8,3
2021-09-28,28,6,3
2021-09-29,31,8,3
2021-09-30,23,8,4
2021-10-01,19,10,4
2021-10-02,30,7,4
2021-10-03,19,8,3
2021-10-04,27,6,3
2021-10-05,30,6,3
2021-10-06,31,6,3
2021-10-07,23,5,3
2021-10-08,34,11,6
2021-10-09,31,12,8
2021-10-10,22,10,5
2021-10-11,39,14,7
2021-10-12,29,12,8
2021-10-13,30,10,7
2021-10-14,No data,No data,No data
2021-10-15,No data,No data,No data
2021-10-16,No data,15,10
2021-10-17,No data,10,7
2021-10-18,No data,13,9
2021-10-19,No data,6,3
2021-10-20,No data,13,7
2021-10-21,No data,9,4
2021-10-22,No data,9,4
2021-10-23,No data,6,3
2021-10-24,No data,7,4
2021-10-25,No data,12,5
2021-10-26,No data,8,4
2021-10-27,No data,6,3
2021-10-28,No data,6,3
2021-10-29,No data,7,4
2021-10-30,No data,7,3
2021-10-31,No data,4,2
2021-11-01,No data,11,5
2021-11-02,No data,10,6
2021-11-03,72,9,6
2021-11-04,72,9,6
2021-11-05,65,18,12
2021-11-06,13,12,6
2021-11-07,13,22,10
2021-11-08,41,13,7
2021-11-09,28,6,3
2021-11-10,49,10,6
2021-11-11,44,11,7
2021-11-12,17,10,5
2021-11-13,57,15,9
2021-11-14,55,17,13
2021-11-15,60,21,16
2021-11-16,39,12,8
2021-11-17,19,20,9
2021-11-18,17,11,5
2021-11-19,21,8,4
