Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2019-03-24,9,21,19,30,45
2019-03-25,7,22,28,45,72
2019-03-26,12,26,28,51,101
2019-03-27,12,25,No data,49,91
2019-03-28,19,34,34,70,181
2019-03-29,34,50,47,71,161
2019-03-30,42,56,52,78,101
2019-03-31,4,17,14,18,17
2019-04-01,8,26,22,39,50
2019-04-02,8,19,18,48,116
2019-04-03,11,20,18,47,91
2019-04-04,11,21,17,40,43
2019-04-05,13,23,18,39,23
2019-04-06,12,22,26,28,36
2019-04-07,39,50,49,20,35
2019-04-08,38,56,55,27,52
2019-04-09,12,27,27,21,38
2019-04-10,5,20,19,27,46
2019-04-11,6,17,17,35,38
2019-04-12,8,18,16,36,54
2019-04-13,7,17,13,30,26
2019-04-14,9,19,15,27,22
2019-04-15,23,35,31,30,21
2019-04-16,26,45,45,32,58
2019-04-17,33,53,53,33,47
2019-04-18,43,57,55,38,57
2019-04-19,28,46,45,35,40
2019-04-20,33,50,48,48,48
2019-04-21,26,37,33,42,51
2019-04-22,30,41,37,26,27
2019-04-23,27,45,47,28,55
2019-04-24,21,43,43,34,55
2019-04-25,5,14,14,38,72
2019-04-26,4,15,12,28,57
2019-04-27,2,9,7,15,28
2019-04-28,5,15,12,23,31
2019-04-29,8,18,15,33,35
2019-04-30,21,32,27,51,61
2019-05-01,22,33,31,44,98
2019-05-02,6,14,14,33,72
2019-05-03,7,17,19,36,79
2019-05-04,5,16,16,34,36
2019-05-05,7,19,16,29,40
2019-05-06,5,13,10,18,26
2019-05-07,10,19,17,35,54
2019-05-08,12,21,17,46,59
2019-05-09,6,16,17,31,76
2019-05-10,7,18,16,41,66
2019-05-11,9,18,18,41,56
2019-05-12,11,20,16,39,44
2019-05-13,8,18,15,33,61
2019-05-14,No data,No data,17,43,39
2019-05-15,No data,No data,16,30,34
2019-05-16,9,17,19,24,26
2019-05-17,9,16,20,23,35
2019-05-18,15,19,21,39,58
2019-05-19,17,21,23,52,70
2019-05-20,8,13,17,43,71
2019-05-21,6,12,14,31,67
2019-05-22,6,13,18,36,86
2019-05-23,10,17,21,31,73
2019-05-24,12,20,17,30,57
2019-05-25,9,13,14,24,29
2019-05-26,5,9,12,16,20
2019-05-27,5,8,10,16,25
2019-05-28,5,9,13,34,60
2019-05-29,6,11,11,27,66
2019-05-30,6,10,17,20,44
2019-05-31,5,11,12,21,55
2019-06-01,6,10,10,25,38
2019-06-02,6,11,12,16,30
2019-06-03,6,12,17,18,49
2019-06-04,8,14,13,38,35
2019-06-05,7,12,13,26,60
2019-06-06,11,18,12,34,66
2019-06-07,11,16,16,47,58
2019-06-08,7,10,11,34,42
2019-06-09,5,9,12,21,39
2019-06-10,6,9,12,29,65
2019-06-11,4,5,9,18,48
2019-06-12,4,6,9,47,106
2019-06-13,7,9,13,48,99
2019-06-14,5,9,9,40,37
2019-06-15,7,12,12,35,31
2019-06-16,5,9,12,17,27
2019-06-17,5,10,11,16,35
2019-06-18,7,12,14,32,58
2019-06-19,12,19,21,37,80
2019-06-20,6,11,14,28,66
2019-06-21,7,13,15,37,69
2019-06-22,7,12,14,33,24
2019-06-23,10,15,21,18,16
2019-06-24,27,35,42,39,70
2019-06-25,12,18,21,30,65
2019-06-26,9,14,16,20,50
2019-06-27,7,12,12,17,16
2019-06-28,10,19,18,20,10
2019-06-29,14,24,25,28,19
2019-06-30,5,9,12,8,17
2019-07-01,5,12,13,18,45
2019-07-02,6,12,16,39,60
2019-07-03,6,13,16,28,55
2019-07-04,9,18,22,35,68
2019-07-05,7,14,14,25,55
2019-07-06,6,10,12,32,36
2019-07-07,5,9,13,14,24
2019-07-08,6,11,12,22,21
2019-07-09,9,15,18,31,69
2019-07-10,6,11,12,22,62
2019-07-11,3,9,10,18,54
2019-07-12,7,11,13,32,51
2019-07-13,7,11,11,32,41
2019-07-14,5,9,9,15,16
2019-07-15,9,15,16,31,62
2019-07-16,20,30,22,40,88
2019-07-17,13,24,20,35,66
2019-07-18,6,12,13,25,57
2019-07-19,6,12,10,35,57
2019-07-20,7,14,13,21,37
2019-07-21,4,8,8,15,33
2019-07-22,4,10,12,19,42
2019-07-23,8,18,17,34,40
2019-07-24,12,20,21,29,66
2019-07-25,13,30,25,43,59
2019-07-26,9,18,20,34,69
2019-07-27,7,11,11,39,36
2019-07-28,3,5,4,20,30
2019-07-29,5,12,13,24,45
2019-07-30,7,14,14,27,19
2019-07-31,7,13,13,17,42
