Date,PM2.5,PM10,NOx
2019-09-02,5,9,27
2019-09-03,3,6,19
2019-09-04,5,11,10
2019-09-05,5,12,23
2019-09-06,5,11,21
2019-09-07,4,7,28
2019-09-08,6,10,42
2019-09-09,6,9,40
2019-09-10,7,12,46
2019-09-11,5,10,16
2019-09-12,5,11,18
2019-09-13,6,13,58
2019-09-14,8,13,43
2019-09-15,5,9,20
2019-09-16,6,11,49
2019-09-17,6,12,62
2019-09-18,9,20,76
2019-09-19,14,25,103
2019-09-20,10,19,66
2019-09-21,9,22,24
2019-09-22,11,17,33
2019-09-23,4,8,22
2019-09-24,4,8,41
2019-09-25,5,9,43
2019-09-26,4,9,15
2019-09-27,4,8,19
2019-09-28,3,5,15
2019-09-29,2,4,28
2019-09-30,5,10,61
2019-10-01,2,5,32
2019-10-02,5,10,117
2019-10-03,8,14,102
2019-10-04,6,10,40
2019-10-05,6,10,36
2019-10-06,4,8,23
2019-10-07,6,11,25
2019-10-08,7,14,17
2019-10-09,6,12,21
2019-10-10,6,11,22
2019-10-11,5,9,21
2019-10-12,6,12,23
2019-10-13,5,7,22
2019-10-14,4,8,73
2019-10-15,6,9,42
2019-10-16,5,10,43
2019-10-17,6,11,69
2019-10-18,4,7,26
2019-10-19,5,7,27
2019-10-20,3,6,26
2019-10-21,5,9,59
2019-10-22,8,14,53
2019-10-23,14,18,45
2019-10-24,14,19,50
2019-10-25,6,9,78
2019-10-26,5,7,35
2019-10-27,6,12,54
2019-10-28,11,16,126
2019-10-29,4,9,46
2019-10-30,8,15,38
2019-10-31,18,24,50
2019-11-01,6,8,37
2019-11-02,12,16,47
2019-11-03,26,31,67
2019-11-04,15,19,95
2019-11-05,19,25,61
2019-11-06,33,41,99
2019-11-07,6,8,53
2019-11-08,7,13,72
2019-11-09,11,15,73
2019-11-10,7,10,44
2019-11-11,7,14,26
2019-11-12,5,10,31
2019-11-13,7,11,101
2019-11-14,5,8,28
2019-11-15,4,8,32
2019-11-16,8,11,53
2019-11-17,9,12,71
2019-11-18,10,16,200
2019-11-19,17,23,181
2019-11-20,10,16,31
2019-11-21,18,24,33
2019-11-22,9,13,42
2019-11-23,11,13,56
2019-11-24,21,25,62
