Date,PM2.5,PM10,NOx
2021-12-07,6,11,23
2021-12-08,4,8,16
2021-12-09,8,16,25
2021-12-10,6,11,46
2021-12-11,8,12,66
2021-12-12,3,4,15
2021-12-13,8,12,69
2021-12-14,15,19,82
2021-12-15,8,14,106
2021-12-16,31,42,299
2021-12-17,22,30,196
2021-12-18,15,19,59
2021-12-19,17,20,126
2021-12-20,14,22,75
2021-12-21,15,24,26
2021-12-22,21,27,51
2021-12-23,21,26,77
2021-12-24,6,9,72
2021-12-25,4,7,8
2021-12-26,5,6,28
2021-12-27,7,8,29
2021-12-28,6,8,36
2021-12-29,8,13,26
2021-12-30,2,4,13
2021-12-31,6,10,13
2022-01-01,10,17,7
2022-01-02,7,11,12
2022-01-03,9,17,16
2022-01-04,6,13,36
2022-01-05,10,20,88
2022-01-06,9,14,54
2022-01-07,6,13,35
2022-01-08,8,15,17
2022-01-09,9,17,21
2022-01-10,10,15,47
2022-01-11,17,24,170
2022-01-12,24,31,326
2022-01-13,20,24,155
2022-01-14,24,30,198
2022-01-15,27,32,132
2022-01-16,15,22,42
2022-01-17,17,26,230
2022-01-18,20,25,133
2022-01-19,10,17,30
2022-01-20,12,23,129
2022-01-21,13,20,90
2022-01-22,6,9,27
2022-01-23,8,10,18
2022-01-24,27,39,30
2022-01-25,37,51,43
2022-01-26,17,27,47
2022-01-27,7,14,32
2022-01-28,9,13,60
2022-01-29,9,20,12
2022-01-30,10,19,34
2022-01-31,8,18,18
2022-02-01,6,12,12
2022-02-02,9,15,21
2022-02-03,5,11,20
2022-02-04,5,11,17
2022-02-05,6,11,14
2022-02-06,6,13,9
2022-02-07,8,14,63
2022-02-08,4,8,14
2022-02-09,6,13,21
2022-02-10,7,16,20
2022-02-11,8,16,62
2022-02-12,5,8,12
2022-02-13,3,4,11
2022-02-14,4,10,20
2022-02-15,9,18,18
2022-02-16,8,15,11
2022-02-17,7,16,17
2022-02-18,6,12,12
2022-02-19,6,10,27
2022-02-20,6,11,9
2022-02-21,15,31,19
2022-02-22,8,15,16
2022-02-23,5,11,15
2022-02-24,5,11,14
2022-02-25,11,24,28
2022-02-26,10,17,18
2022-02-27,10,16,20
2022-02-28,11,16,39
2022-03-01,10,16,63
2022-03-02,13,16,32
2022-03-03,37,44,73
2022-03-04,5,10,45
2022-03-05,5,12,28
2022-03-06,6,14,25
2022-03-07,11,21,40
2022-03-08,26,40,26
2022-03-09,12,22,20
2022-03-10,8,17,20
2022-03-11,11,18,21
2022-03-12,4,8,13
2022-03-13,5,9,12
2022-03-14,7,14,25
2022-03-15,13,24,51
2022-03-16,19,26,41
2022-03-17,9,16,33
2022-03-18,14,22,61
2022-03-19,11,20,27
2022-03-20,24,33,19
2022-03-21,40,59,67
2022-03-22,37,57,62
2022-03-23,46,68,94
2022-03-24,39,63,87
2022-03-25,38,65,74
2022-03-26,31,47,49
2022-03-27,12,18,28
2022-03-28,21,32,31
2022-03-29,33,45,47
2022-03-30,13,19,32
2022-03-31,3,10,19
2022-04-01,5,16,30
2022-04-02,10,19,42
2022-04-03,13,21,32
2022-04-04,5,9,16
2022-04-05,7,13,11
2022-04-06,4,8,16
2022-04-07,5,11,15
2022-04-08,5,12,56
2022-04-09,7,15,52
2022-04-10,8,15,38
2022-04-11,11,27,19
2022-04-12,26,35,43
2022-04-13,15,21,40
2022-04-14,13,20,62
2022-04-15,11,17,43
2022-04-16,16,22,27
2022-04-17,15,21,15
2022-04-18,5,9,14
2022-04-19,8,16,36
2022-04-20,10,19,24
2022-04-21,12,22,22
2022-04-22,12,26,14
2022-04-23,15,27,12
2022-04-24,9,17,10
2022-04-25,10,21,22
2022-04-26,9,18,25
2022-04-27,9,19,23
2022-04-28,13,25,24
2022-04-29,16,27,35
2022-04-30,17,25,35
2022-05-01,11,14,13
2022-05-02,20,24,28
2022-05-03,14,18,26
2022-05-04,10,14,23
2022-05-05,6,11,27
2022-05-06,6,11,23
2022-05-07,7,11,18
2022-05-08,10,16,15
2022-05-09,8,18,15
2022-05-10,6,13,11
2022-05-11,5,9,17
2022-05-12,5,11,16
2022-05-13,10,21,13
2022-05-14,14,24,18
2022-05-15,13,23,16
2022-05-16,10,18,26
2022-05-17,8,15,15
2022-05-18,6,12,11
2022-05-19,6,12,19
2022-05-20,6,12,22
2022-05-21,6,11,12
2022-05-22,3,6,7
2022-05-23,4,9,14
2022-05-24,3,9,14
2022-05-25,3,8,11
2022-05-26,4,9,12
2022-05-27,8,19,13
2022-05-28,4,9,16
2022-05-29,3,6,13
2022-05-30,5,8,20
2022-05-31,6,10,21
2022-06-01,6,10,35
2022-06-02,10,15,26
2022-06-03,9,13,15
2022-06-04,7,11,8
2022-06-05,7,10,14
2022-06-06,9,14,25
2022-06-07,12,18,26
2022-06-08,5,9,16
2022-06-09,7,14,17
2022-06-10,10,21,10
2022-06-11,8,16,7
2022-06-12,7,15,5
2022-06-13,5,12,16
2022-06-14,7,15,26
2022-06-15,10,21,35
2022-06-16,8,18,28
2022-06-17,8,20,14
2022-06-18,8,16,11
2022-06-19,8,15,18
2022-06-20,6,13,20
2022-06-21,8,18,27
2022-06-22,5,12,19
2022-06-23,9,19,23
2022-06-24,11,19,17
2022-06-25,4,11,9
2022-06-26,5,14,7
2022-06-27,4,9,12
2022-06-28,7,18,14
2022-06-29,5,9,21
2022-06-30,4,7,15
2022-07-01,5,9,16
2022-07-02,4,7,11
2022-07-03,4,7,11
2022-07-04,3,8,9
2022-07-05,4,9,11
2022-07-06,4,9,11
2022-07-07,4,9,13
2022-07-08,6,10,13
2022-07-09,4,8,9
2022-07-10,3,6,10
2022-07-11,6,15,32
2022-07-12,7,17,18
2022-07-13,7,15,13
2022-07-14,5,12,20
2022-07-15,5,12,20
2022-07-16,7,12,21
2022-07-17,10,17,21
2022-07-18,9,21,31
2022-07-19,16,35,35
2022-07-20,9,21,12
2022-07-21,8,15,22
2022-07-22,6,11,24
2022-07-23,9,14,20
2022-07-24,4,8,8
2022-07-25,5,11,11
2022-07-26,4,10,15
2022-07-27,8,14,27
2022-07-28,7,15,26
2022-07-29,8,18,24
2022-07-30,8,12,16
2022-07-31,4,8,10
2022-08-01,6,12,21
2022-08-02,3,7,10
2022-08-03,5,10,11
2022-08-04,4,9,13
2022-08-05,6,12,16
2022-08-06,8,13,25
2022-08-07,6,11,15
2022-08-08,8,14,22
2022-08-09,8,16,32
2022-08-10,10,24,59
2022-08-11,12,29,35
2022-08-12,9,23,28
2022-08-13,10,24,18
2022-08-14,13,25,21
2022-08-15,14,26,24
2022-08-16,10,15,14
2022-08-17,4,10,19
2022-08-18,7,13,15
2022-08-19,6,14,13
2022-08-20,7,15,8
2022-08-21,6,11,13
2022-08-22,7,13,30
2022-08-23,6,12,24
2022-08-24,5,10,20
2022-08-25,6,12,31
2022-08-26,7,14,35
2022-08-27,10,17,30
2022-08-28,6,12,23
2022-08-29,5,8,16
2022-08-30,4,10,23
2022-08-31,5,11,20
