Date,NOx_1,NOx_2,PM10_1,PM2.5_1
2020-10-24,36,11,9,5
2020-10-25,19,6,7,3
2020-10-26,34,14,10,5
2020-10-27,43,14,9,5
2020-10-28,43,12,14,7
2020-10-29,49,9,11,6
2020-10-30,56,24,9,5
2020-10-31,25,9,11,6
2020-11-01,16,6,12,7
2020-11-02,28,12,9,4
2020-11-03,56,29,11,6
2020-11-04,190,111,22,15
2020-11-05,144,47,53,38
2020-11-06,79,31,35,27
2020-11-07,112,48,50,38
2020-11-08,78,45,36,29
2020-11-09,97,37,20,15
2020-11-10,73,16,11,6
2020-11-11,30,9,9,5
2020-11-12,33,13,10,4
2020-11-13,41,13,10,5
2020-11-14,28,7,9,5
2020-11-15,18,5,9,4
2020-11-16,34,14,12,5
2020-11-17,35,8,5,2
2020-11-18,30,10,11,6
2020-11-19,51,34,12,5
2020-11-20,50,13,9,5
2020-11-21,30,16,7,4
2020-11-22,35,20,13,7
2020-11-23,74,14,25,7
2020-11-24,36,10,12,7
2020-11-25,62,47,13,7
2020-11-26,142,87,25,15
2020-11-27,177,125,26,15
2020-11-28,97,44,20,17
2020-11-29,58,32,28,24
2020-11-30,45,26,18,12
2020-12-01,238,103,24,13
2020-12-02,66,31,16,10
2020-12-03,53,28,7,5
2020-12-04,58,35,8,5
2020-12-05,69,71,14,10
2020-12-06,183,82,29,24
2020-12-07,137,123,21,16
2020-12-08,67,27,11,7
2020-12-09,73,33,17,9
2020-12-10,65,17,16,10
2020-12-11,115,46,16,11
2020-12-12,46,35,13,9
2020-12-13,33,9,7,4
2020-12-14,38,15,11,6
2020-12-15,48,18,12,6
2020-12-16,42,17,9,5
2020-12-17,48,18,11,6
2020-12-18,27,10,3,2
2020-12-19,27,10,7,4
2020-12-20,33,13,8,4
2020-12-21,79,21,9,6
2020-12-22,129,67,16,9
2020-12-23,30,14,5,3
2020-12-24,37,29,8,4
2020-12-25,42,23,12,8
2020-12-26,13,6,8,4
2020-12-27,28,12,9,5
2020-12-28,30,28,12,10
2020-12-29,102,98,17,14
2020-12-30,113,97,23,19
2020-12-31,75,48,19,16
2021-01-01,62,42,26,22
2021-01-02,140,63,15,13
2021-01-03,27,19,6,4
2021-01-04,46,20,9,5
2021-01-05,43,27,27,7
2021-01-06,108,166,63,16
2021-01-07,192,80,31,26
2021-01-08,64,44,11,9
2021-01-09,84,53,20,16
2021-01-10,45,15,13,9
2021-01-11,48,15,6,3
2021-01-12,110,88,14,8
2021-01-13,140,88,19,15
2021-01-14,68,33,6,4
2021-01-15,116,42,21,17
2021-01-16,25,17,15,9
2021-01-17,24,15,16,7
2021-01-18,55,16,9,5
2021-01-19,42,13,4,3
2021-01-20,33,12,3,2
2021-01-21,35,25,7,4
2021-01-22,60,35,13,7
2021-01-23,55,43,12,9
2021-01-24,56,44,16,12
2021-01-25,98,48,17,11
2021-01-26,99,22,11,8
2021-01-27,80,61,26,18
2021-01-28,95,33,10,6
2021-01-29,36,22,12,7
2021-01-30,25,8,9,4
2021-01-31,35,11,10,5
2021-02-01,75,86,19,8
2021-02-02,88,25,10,6
2021-02-03,58,37,10,6
2021-02-04,69,20,12,7
2021-02-05,65,24,12,9
2021-02-06,36,20,4,3
2021-02-07,14,8,15,7
2021-02-08,32,10,12,6
2021-02-09,39,12,10,6
2021-02-10,58,55,14,7
2021-02-11,51,26,19,9
2021-02-12,46,16,22,12
2021-02-13,40,13,20,10
2021-02-14,19,10,13,8
2021-02-15,34,14,13,8
2021-02-16,30,11,9,5
2021-02-17,22,9,12,6
2021-02-18,22,12,11,5
2021-02-19,19,7,10,5
2021-02-20,14,6,19,9
2021-02-21,27,11,10,6
2021-02-22,43,No data,12,6
2021-02-23,19,No data,11,5
2021-02-24,No data,8,No data,No data
2021-02-25,No data,30,No data,No data
2021-02-26,115,81,22,12
2021-02-27,117,91,26,17
2021-02-28,95,78,32,24
2021-03-01,98,73,33,25
2021-03-02,71,77,31,23
2021-03-03,70,52,51,41
2021-03-04,37,19,16,10
2021-03-05,42,20,13,6
2021-03-06,60,50,27,18
2021-03-07,54,38,35,26
2021-03-08,79,59,27,18
2021-03-09,86,28,20,12
2021-03-10,26,9,9,6
2021-03-11,17,11,13,6
2021-03-12,25,14,9,4
2021-03-13,12,8,10,4
2021-03-14,13,9,13,7
2021-03-15,23,15,22,12
2021-03-16,36,22,17,10
2021-03-17,77,54,30,16
2021-03-18,87,36,27,16
2021-03-19,30,13,9,4
2021-03-20,20,15,14,9
2021-03-21,24,21,14,8
2021-03-22,22,17,14,7
2021-03-23,36,11,15,8
2021-03-24,30,17,12,6
2021-03-25,28,10,10,4
2021-03-26,22,13,11,5
2021-03-27,16,9,15,7
2021-03-28,14,6,3,2
2021-03-29,22,8,6,2
2021-03-30,64,32,24,12
2021-03-31,81,34,39,19
2021-04-01,26,9,14,6
2021-04-02,18,14,13,7
2021-04-03,27,21,22,11
2021-04-04,28,16,27,16
2021-04-05,11,5,9,4
2021-04-06,26,17,10,4
2021-04-07,56,29,14,6
2021-04-08,27,14,13,5
2021-04-09,29,23,12,5
2021-04-10,40,37,13,9
2021-04-11,18,16,8,4
2021-04-12,63,40,15,7
2021-04-13,73,45,18,9
2021-04-14,55,37,18,10
2021-04-15,57,38,16,8
2021-04-16,61,29,19,10
2021-04-17,46,33,24,15
2021-04-18,35,18,26,17
2021-04-19,53,33,28,14
2021-04-20,71,44,43,24
2021-04-21,29,13,25,13
2021-04-22,53,30,21,8
2021-04-23,61,27,23,9
2021-04-24,31,29,20,10
2021-04-25,16,8,14,8
2021-04-26,39,26,22,11
2021-04-27,28,18,18,9
2021-04-28,31,13,18,10
2021-04-29,29,20,11,6
2021-04-30,40,30,14,8
2021-05-01,27,23,12,8
2021-05-02,33,19,17,12
2021-05-03,19,7,8,5
2021-05-04,22,14,5,3
2021-05-05,49,23,12,6
2021-05-06,26,17,8,4
2021-05-07,37,31,11,6
2021-05-08,49,12,6,4
2021-05-09,18,5,7,4
2021-05-10,26,7,10,5
2021-05-11,36,13,10,5
2021-05-12,37,16,11,6
2021-05-13,41,31,17,10
2021-05-14,38,12,15,9
2021-05-15,47,12,18,14
2021-05-16,24,12,9,6
2021-05-17,37,27,12,8
2021-05-18,25,17,9,4
2021-05-19,48,25,12,6
2021-05-20,46,10,9,4
2021-05-21,31,13,5,3
2021-05-22,18,12,7,4
2021-05-23,22,6,8,4
2021-05-24,25,12,10,5
2021-05-25,22,11,13,6
2021-05-26,25,20,10,5
2021-05-27,40,22,16,10
2021-05-28,55,29,25,15
2021-05-29,38,18,19,13
2021-05-30,27,13,12,8
2021-05-31,27,10,17,12
2021-06-01,33,10,20,11
2021-06-02,32,13,27,14
2021-06-03,28,14,25,15
2021-06-04,27,19,13,6
2021-06-05,28,17,13,7
2021-06-06,14,11,9,5
2021-06-07,27,17,14,8
2021-06-08,19,14,12,6
2021-06-09,29,10,11,5
2021-06-10,25,8,8,3
2021-06-11,21,12,12,5
2021-06-12,16,11,13,6
2021-06-13,21,12,10,5
