Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2021-06-18,5,11,9,21
2021-06-19,6,10,11,8
2021-06-20,4,7,8,9
2021-06-21,4,6,8,33
2021-06-22,6,10,9,23
2021-06-23,8,12,10,20
2021-06-24,3,5,8,22
2021-06-25,3,6,6,17
2021-06-26,4,7,10,13
2021-06-27,11,14,9,12
2021-06-28,5,8,14,33
2021-06-29,9,12,16,35
2021-06-30,8,12,15,29
2021-07-01,11,14,7,17
2021-07-02,11,14,11,16
2021-07-03,7,11,8,10
2021-07-04,6,11,6,14
2021-07-05,6,13,9,17
2021-07-06,6,14,6,16
2021-07-07,5,8,6,16
2021-07-08,7,12,8,29
2021-07-09,3,5,10,12
2021-07-10,3,4,11,10
2021-07-11,5,8,10,8
2021-07-12,3,6,9,18
2021-07-13,6,9,5,16
2021-07-14,6,8,No data,19
2021-07-15,4,8,12,20
2021-07-16,9,14,22,34
2021-07-17,6,11,19,18
2021-07-18,6,11,23,15
2021-07-19,8,14,37,30
2021-07-20,10,17,30,34
2021-07-21,12,19,29,34
2021-07-22,13,23,24,20
2021-07-23,10,19,11,11
2021-07-24,7,11,8,15
2021-07-25,12,18,5,15
2021-07-26,11,18,7,17
2021-07-27,5,8,5,14
2021-07-28,5,13,4,16
2021-07-29,8,17,5,15
2021-07-30,6,12,3,13
2021-07-31,5,9,4,14
2021-08-01,5,9,4,15
2021-08-02,5,8,15,27
2021-08-03,5,8,9,21
2021-08-04,6,9,11,24
2021-08-05,6,11,5,9
2021-08-06,7,16,4,13
2021-08-07,6,14,4,13
2021-08-08,7,15,4,12
2021-08-09,8,14,4,22
2021-08-10,5,9,12,23
2021-08-11,6,10,14,14
2021-08-12,6,11,8,16
2021-08-13,11,20,5,15
2021-08-14,6,10,7,9
2021-08-15,5,10,5,9
2021-08-16,7,11,6,15
2021-08-17,4,9,5,15
2021-08-18,4,6,7,18
2021-08-19,4,6,8,20
2021-08-20,4,7,10,15
2021-08-21,5,8,8,14
2021-08-22,3,7,3,13
2021-08-23,5,9,9,30
2021-08-24,6,11,14,21
2021-08-25,4,9,8,22
2021-08-26,11,16,17,37
2021-08-27,9,15,17,26
2021-08-28,6,12,7,18
2021-08-29,6,11,11,22
2021-08-30,5,9,5,15
2021-08-31,5,9,4,19
2021-09-01,6,12,No data,29
2021-09-02,9,14,8,22
2021-09-03,16,24,10,18
2021-09-04,22,29,8,12
2021-09-05,27,33,6,16
2021-09-06,17,23,15,No data
2021-09-07,12,23,7,No data
2021-09-08,11,17,11,28
2021-09-09,4,6,6,15
2021-09-10,5,9,6,27
2021-09-11,4,9,5,27
2021-09-12,4,7,11,18
2021-09-13,8,12,11,15
2021-09-14,14,20,16,49
2021-09-15,9,12,10,29
2021-09-16,6,9,17,34
2021-09-17,3,5,9,9
2021-09-18,4,6,7,17
2021-09-19,4,9,8,21
2021-09-20,4,7,9,28
2021-09-21,4,7,14,40
2021-09-22,6,10,14,52
2021-09-23,3,6,7,35
2021-09-24,5,9,25,50
2021-09-25,9,12,11,16
2021-09-26,7,13,10,9
2021-09-27,6,14,5,25
2021-09-28,No data,No data,No data,21
2021-09-29,No data,No data,No data,53
2021-09-30,6,14,4,10
2021-10-01,6,14,12,41
2021-10-02,6,16,10,21
2021-10-03,6,15,8,25
2021-10-04,6,16,6,27
2021-10-05,3,8,7,22
2021-10-06,4,10,15,38
2021-10-07,3,7,16,15
2021-10-08,6,11,24,15
2021-10-09,13,18,28,26
2021-10-10,6,9,12,18
2021-10-11,6,12,38,58
2021-10-12,6,10,34,44
2021-10-13,7,11,65,91
2021-10-14,9,13,47,58
2021-10-15,13,18,42,53
2021-10-16,10,14,28,15
2021-10-17,10,15,20,13
2021-10-18,6,9,19,18
2021-10-19,17,30,8,11
2021-10-20,9,18,9,16
2021-10-21,5,12,18,46
2021-10-22,7,13,82,82
2021-10-23,4,10,15,10
2021-10-24,7,16,9,10
2021-10-25,6,13,9,29
2021-10-26,8,17,11,19
2021-10-27,8,19,10,9
2021-10-28,11,24,12,7
2021-10-29,7,18,9,18
2021-10-30,5,13,13,27
2021-10-31,8,20,4,14
2021-11-01,7,14,41,71
2021-11-02,6,10,116,92
2021-11-03,5,8,60,65
2021-11-04,3,6,47,64
2021-11-05,15,21,68,100
2021-11-06,9,14,29,29
2021-11-07,9,19,23,42
2021-11-08,7,12,52,47
2021-11-09,3,6,14,23
2021-11-10,2,4,16,26
2021-11-11,4,7,23,17
2021-11-12,10,18,8,33
2021-11-13,4,7,13,40
2021-11-14,5,8,23,43
2021-11-15,7,11,74,81
2021-11-16,7,11,53,63
2021-11-17,9,19,22,66
2021-11-18,5,10,16,63
2021-11-19,4,6,30,59
2021-11-20,6,8,24,54
2021-11-21,4,7,14,22
2021-11-22,6,13,20,36
2021-11-23,8,12,41,62
2021-11-24,15,20,76,85
2021-11-25,7,12,50,60
2021-11-26,6,11,17,44
2021-11-27,6,13,9,16
2021-11-28,6,10,23,64
2021-11-29,7,11,84,98
2021-11-30,4,7,10,36
2021-12-01,5,10,13,45
2021-12-02,8,14,63,85
2021-12-03,7,10,43,74
2021-12-04,6,11,14,41
2021-12-05,6,12,13,36
2021-12-06,6,13,28,57
2021-12-07,10,23,19,19
2021-12-08,7,15,11,44
2021-12-09,8,14,81,90
2021-12-10,8,15,35,78
2021-12-11,11,17,75,46
2021-12-12,12,23,12,12
2021-12-13,9,18,18,12
2021-12-14,11,16,14,36
2021-12-15,11,16,25,56
2021-12-16,18,25,34,20
2021-12-17,15,21,19,13
2021-12-18,21,28,18,13
2021-12-19,15,19,17,11
2021-12-20,11,16,20,14
2021-12-21,14,20,20,14
2021-12-22,18,26,31,24
2021-12-23,16,27,17,30
2021-12-24,13,26,24,14
2021-12-25,8,17,9,7
2021-12-26,7,13,8,19
2021-12-27,12,24,6,9
2021-12-28,12,25,5,18
2021-12-29,9,14,7,15
2021-12-30,16,31,8,9
2021-12-31,17,30,13,13
2022-01-01,20,42,6,9
2022-01-02,11,24,4,12
2022-01-03,11,25,7,24
2022-01-04,6,12,14,No data
2022-01-05,9,17,97,No data
2022-01-06,8,16,51,No data
2022-01-07,7,14,12,No data
2022-01-08,9,18,8,No data
2022-01-09,9,17,18,No data
2022-01-10,7,9,53,No data
2022-01-11,8,12,29,No data
2022-01-12,11,17,108,No data
2022-01-13,13,18,100,35
2022-01-14,11,16,43,22
2022-01-15,9,14,24,31
2022-01-16,8,12,29,54
2022-01-17,12,20,104,85
2022-01-18,13,19,59,31
2022-01-19,9,14,40,62
2022-01-20,8,16,58,57
2022-01-21,9,16,61,118
2022-01-22,10,15,27,51
2022-01-23,14,18,17,12
2022-01-24,19,31,36,18
2022-01-25,25,35,41,22
2022-01-26,22,30,52,59
2022-01-27,8,12,34,67
2022-01-28,6,9,80,105
2022-01-29,7,13,19,43
2022-01-30,9,15,50,47
2022-01-31,8,17,12,51
2022-02-01,7,13,8,36
2022-02-02,5,11,15,43
2022-02-03,3,7,16,55
2022-02-04,6,14,9,51
2022-02-05,8,18,37,42
2022-02-06,9,16,5,17
2022-02-07,7,15,55,67
2022-02-08,4,8,12,29
2022-02-09,4,8,14,45
2022-02-10,6,12,24,93
2022-02-11,5,11,73,36
2022-02-12,7,16,8,9
2022-02-13,9,22,6,14
2022-02-14,5,11,16,67
2022-02-15,9,19,10,29
2022-02-16,11,20,7,20
2022-02-17,15,32,12,38
2022-02-18,11,24,5,19
2022-02-19,11,23,9,22
2022-02-20,19,37,6,11
2022-02-21,16,31,10,42
2022-02-22,14,27,20,No data
2022-02-23,9,18,62,No data
2022-02-24,6,14,8,43
2022-02-25,11,23,49,87
2022-02-26,10,19,27,11
2022-02-27,9,18,17,12
2022-02-28,8,16,21,20
2022-03-01,4,5,23,18
2022-03-02,9,14,24,16
2022-03-03,5,10,13,67
2022-03-04,6,11,51,75
2022-03-05,4,8,24,40
2022-03-06,8,11,11,15
2022-03-07,12,23,20,14
2022-03-08,19,31,20,17
2022-03-09,11,24,13,11
2022-03-10,7,16,17,19
2022-03-11,8,18,14,11
2022-03-12,8,21,9,9
2022-03-13,11,24,17,32
2022-03-14,6,11,73,39
2022-03-15,14,21,42,22
2022-03-16,11,15,25,69
2022-03-17,7,15,37,31
2022-03-18,9,19,51,21
2022-03-19,24,39,17,13
2022-03-20,12,22,14,11
2022-03-21,20,34,24,16
2022-03-22,20,32,25,17
2022-03-23,18,30,43,37
2022-03-24,21,32,81,70
2022-03-25,32,48,41,26
2022-03-26,31,59,21,16
2022-03-27,22,31,13,11
2022-03-28,31,44,35,47
2022-03-29,32,43,33,56
2022-03-30,26,33,35,62
2022-03-31,4,9,14,32
2022-04-01,3,6,15,37
2022-04-02,4,7,24,40
2022-04-03,8,11,18,45
2022-04-04,4,6,11,48
2022-04-05,5,10,7,41
2022-04-06,9,19,8,20
2022-04-07,6,13,8,36
2022-04-08,4,9,30,41
2022-04-09,5,10,50,40
2022-04-10,6,11,17,9
2022-04-11,9,20,24,12
2022-04-12,11,20,24,15
2022-04-13,10,17,25,27
2022-04-14,7,11,33,18
2022-04-15,6,8,16,18
2022-04-16,12,16,21,16
2022-04-17,23,28,13,19
2022-04-18,5,10,29,26
2022-04-19,4,9,47,45
2022-04-20,16,22,36,41
2022-04-21,19,36,38,20
2022-04-22,15,29,16,19
2022-04-23,18,27,11,19
2022-04-24,17,24,16,24
2022-04-25,9,22,22,19
2022-04-26,9,26,33,12
2022-04-27,8,23,19,12
2022-04-28,No data,No data,No data,31
2022-04-29,No data,No data,No data,39
2022-04-30,12,18,27,25
2022-05-01,16,21,16,25
2022-05-02,12,15,19,28
2022-05-03,11,15,28,50
2022-05-04,5,8,19,34
2022-05-05,7,11,20,29
2022-05-06,5,9,9,25
2022-05-07,4,6,12,20
2022-05-08,7,10,12,12
2022-05-09,14,21,21,16
2022-05-10,8,16,10,18
2022-05-11,8,17,8,18
2022-05-12,6,14,10,26
2022-05-13,7,16,10,26
2022-05-14,7,14,28,19
2022-05-15,11,19,16,14
2022-05-16,14,27,19,13
2022-05-17,7,16,19,15
2022-05-18,9,19,26,12
2022-05-19,6,15,18,20
2022-05-20,7,15,12,14
2022-05-21,6,13,16,17
2022-05-22,5,8,20,14
2022-05-23,4,8,12,20
2022-05-24,2,6,10,21
2022-05-25,5,11,7,14
2022-05-26,6,12,10,19
2022-05-27,7,14,10,17
2022-05-28,9,15,21,19
2022-05-29,7,12,24,22
2022-05-30,4,7,36,37
2022-05-31,3,7,41,26
2022-06-01,4,8,42,36
2022-06-02,5,10,45,16
2022-06-03,7,13,37,18
2022-06-04,12,19,12,10
2022-06-05,8,12,11,11
2022-06-06,5,9,30,16
2022-06-07,3,6,13,10
2022-06-08,7,16,6,15
2022-06-09,9,20,11,14
2022-06-10,13,26,10,14
2022-06-11,10,21,7,13
2022-06-12,8,15,10,13
2022-06-13,5,9,24,No data
2022-06-14,5,9,18,No data
2022-06-15,5,11,19,28
2022-06-16,5,10,29,22
2022-06-17,11,21,31,20
2022-06-18,4,7,11,13
2022-06-19,5,9,9,15
2022-06-20,6,11,17,20
2022-06-21,8,14,32,32
2022-06-22,7,13,23,26
2022-06-23,7,13,31,33
2022-06-24,8,15,15,11
2022-06-25,5,15,7,6
2022-06-26,6,17,5,6
2022-06-27,5,12,9,14
2022-06-28,8,19,10,6
2022-06-29,5,12,10,15
2022-06-30,5,10,30,29
2022-07-01,4,8,38,19
2022-07-02,4,10,8,13
2022-07-03,3,7,9,14
2022-07-04,2,5,18,19
2022-07-05,3,6,52,23
2022-07-06,4,7,17,16
2022-07-07,5,8,13,15
2022-07-08,5,9,18,23
2022-07-09,3,6,12,15
2022-07-10,3,8,18,11
2022-07-11,4,11,27,10
2022-07-12,5,12,38,30
2022-07-13,5,11,13,19
2022-07-14,4,8,11,16
2022-07-15,3,7,22,24
2022-07-16,5,11,21,12
2022-07-17,6,13,11,7
2022-07-18,7,20,19,13
2022-07-19,20,34,14,17
2022-07-20,8,15,8,15
2022-07-21,3,7,10,16
2022-07-22,5,9,10,18
2022-07-23,7,15,19,9
2022-07-24,9,20,8,5
2022-07-25,4,9,7,15
2022-07-26,4,9,15,23
2022-07-27,3,6,14,28
2022-07-28,No data,No data,No data,28
2022-07-29,No data,No data,No data,22
2022-07-30,5,8,9,15
2022-07-31,5,7,5,11
2022-08-01,3,6,13,14
2022-08-02,7,20,12,15
2022-08-03,5,10,9,18
2022-08-04,4,9,11,21
2022-08-05,3,8,14,18
2022-08-06,6,11,16,16
2022-08-07,4,9,15,13
2022-08-08,6,12,22,30
2022-08-09,5,12,33,34
2022-08-10,6,15,42,37
2022-08-11,10,23,39,35
2022-08-12,14,29,46,38
2022-08-13,13,31,27,22
2022-08-14,10,22,24,22
2022-08-15,12,21,16,15
2022-08-16,8,13,25,29
2022-08-17,7,11,27,No data
2022-08-18,6,10,13,No data
2022-08-19,6,14,11,No data
2022-08-20,7,16,14,14
2022-08-21,5,9,18,14
2022-08-22,3,5,13,17
2022-08-23,2,4,14,17
2022-08-24,3,5,12,17
2022-08-25,4,8,14,18
2022-08-26,3,8,41,20
2022-08-27,5,8,26,27
2022-08-28,6,11,19,11
2022-08-29,5,11,12,10
2022-08-30,6,13,14,No data
2022-08-31,7,25,21,No data
