Date,PM2.5_1,PM2.5_2,PM2.5_3,PM10_1,PM10_2,PM10_3,NOx_1,NOx_2,NOx_3
2019-05-07,8,8,No data,13,No data,No data,62,21,No data
2019-05-08,7,5,No data,10,No data,No data,66,20,No data
2019-05-09,11,9,10,13,No data,12,38,25,No data
2019-05-10,8,7,9,12,No data,12,58,21,No data
2019-05-11,9,10,9,12,No data,13,36,18,No data
2019-05-12,6,8,5,9,No data,8,38,16,No data
2019-05-13,10,9,9,15,No data,13,53,19,No data
2019-05-14,8,8,8,14,No data,14,58,22,No data
2019-05-15,8,9,8,14,No data,15,32,18,No data
2019-05-16,11,No data,11,19,No data,21,24,18,No data
2019-05-17,8,8,8,16,15,15,23,18,No data
2019-05-18,11,11,11,15,15,14,29,19,No data
2019-05-19,15,15,15,19,18,19,35,21,No data
2019-05-20,12,11,11,16,16,15,49,23,No data
2019-05-21,6,6,6,11,11,10,48,18,No data
2019-05-22,4,4,4,10,8,7,67,15,No data
2019-05-23,6,5,5,12,10,9,63,16,No data
2019-05-24,9,8,8,15,14,13,59,17,No data
2019-05-25,5,4,5,9,7,7,35,9,No data
2019-05-26,4,4,4,7,7,6,26,6,No data
2019-05-27,4,3,4,8,7,7,32,6,No data
2019-05-28,4,3,3,8,7,6,51,16,No data
2019-05-29,5,4,4,10,7,8,86,19,No data
2019-05-30,5,5,5,9,8,8,36,7,No data
2019-05-31,4,4,4,8,6,6,60,8,No data
2019-06-01,4,4,4,8,7,7,47,8,No data
2019-06-02,7,6,6,11,10,10,30,7,No data
2019-06-03,6,6,5,12,11,9,55,7,No data
2019-06-04,8,6,6,13,10,12,76,19,No data
2019-06-05,3,3,3,8,6,6,58,8,No data
2019-06-06,4,3,4,9,6,7,69,13,No data
2019-06-07,8,7,8,13,11,13,62,35,No data
2019-06-08,3,2,3,6,5,5,35,6,No data
2019-06-09,4,4,4,8,7,8,35,9,No data
2019-06-10,5,8,5,8,11,8,36,26,No data
2019-06-11,3,3,3,5,4,5,21,13,No data
2019-06-12,4,3,3,6,5,5,94,34,No data
2019-06-13,5,3,4,8,5,6,87,19,No data
2019-06-14,4,2,2,7,4,4,80,12,No data
2019-06-15,5,4,4,9,7,8,57,8,No data
2019-06-16,5,4,4,9,7,8,32,5,No data
2019-06-17,5,4,4,9,7,8,47,7,No data
2019-06-18,7,6,6,12,9,10,82,17,No data
2019-06-19,8,8,8,12,12,12,67,26,No data
2019-06-20,4,3,3,7,6,6,55,10,No data
2019-06-21,5,4,4,9,8,8,56,14,No data
2019-06-22,6,6,7,11,10,11,56,27,No data
2019-06-23,11,11,12,17,16,18,14,14,No data
2019-06-24,28,24,30,37,32,39,53,25,No data
2019-06-25,12,13,13,17,17,17,25,25,No data
2019-06-26,8,7,8,12,11,13,16,13,No data
2019-06-27,6,6,7,12,11,13,15,12,No data
2019-06-28,8,8,9,15,15,18,21,14,No data
2019-06-29,11,11,13,20,20,23,35,13,No data
2019-06-30,4,4,4,7,7,7,17,3,No data
2019-07-01,4,4,4,8,10,8,37,8,No data
2019-07-02,6,5,6,11,12,11,39,18,No data
2019-07-03,7,6,7,13,12,14,34,20,No data
2019-07-04,9,7,10,17,13,17,62,18,No data
2019-07-05,6,5,6,12,12,12,51,15,No data
2019-07-06,5,5,5,8,8,8,43,17,No data
2019-07-07,6,6,7,11,11,12,21,18,No data
2019-07-08,No data,8,9,No data,12,16,No data,17,No data
2019-07-09,No data,9,11,No data,16,18,No data,24,No data
2019-07-10,7,7,6,12,11,10,No data,15,No data
2019-07-11,4,4,4,9,9,7,No data,No data,No data
2019-07-12,4,4,4,8,8,8,No data,No data,No data
2019-07-13,7,7,8,10,10,11,No data,9,No data
2019-07-14,6,6,6,10,9,10,No data,10,No data
2019-07-15,9,7,9,14,12,15,No data,17,No data
2019-07-16,11,10,13,18,16,20,No data,20,No data
2019-07-17,12,11,13,20,18,20,No data,19,No data
2019-07-18,4,4,4,8,7,8,No data,9,No data
2019-07-19,6,4,5,10,8,9,No data,11,No data
2019-07-20,5,4,21,10,9,28,No data,4,No data
2019-07-21,4,3,4,8,6,6,No data,4,No data
2019-07-22,4,4,4,9,7,8,No data,7,No data
2019-07-23,9,8,10,19,16,22,No data,17,No data
2019-07-24,10,9,10,17,15,17,No data,11,No data
2019-07-25,10,9,11,21,20,26,No data,16,No data
2019-07-26,7,6,7,13,11,12,No data,11,No data
2019-07-27,6,6,7,9,8,10,No data,18,No data
2019-07-28,4,3,4,6,6,7,No data,15,No data
2019-07-29,4,4,4,9,8,10,No data,16,No data
2019-07-30,6,5,6,11,10,13,No data,21,No data
2019-07-31,5,4,5,9,8,9,No data,11,No data
2019-08-01,9,9,10,14,14,15,No data,20,No data
2019-08-02,8,7,8,13,13,14,No data,20,No data
2019-08-03,11,10,12,16,15,20,No data,19,No data
2019-08-04,10,9,11,16,15,18,No data,14,No data
2019-08-05,6,7,6,11,11,10,No data,10,No data
2019-08-06,5,4,5,9,8,8,No data,10,No data
2019-08-07,4,4,4,9,8,9,No data,10,No data
2019-08-08,5,4,5,9,8,10,No data,16,No data
2019-08-09,6,5,6,10,9,11,No data,10,No data
2019-08-10,5,5,5,10,10,11,No data,7,No data
2019-08-11,4,3,4,7,6,7,No data,11,No data
2019-08-12,5,4,4,10,8,9,No data,20,No data
2019-08-13,4,3,3,8,7,7,No data,16,No data
2019-08-14,4,3,4,8,6,7,No data,14,No data
2019-08-15,4,4,4,9,8,8,No data,14,No data
2019-08-16,4,3,4,8,6,7,No data,12,No data
2019-08-17,6,5,6,12,12,13,No data,9,No data
2019-08-18,5,5,6,11,11,12,No data,9,No data
2019-08-19,5,4,5,10,9,10,No data,12,No data
2019-08-20,6,5,6,12,10,11,No data,11,No data
2019-08-21,6,6,6,11,10,10,No data,13,No data
2019-08-22,6,5,6,11,9,10,No data,14,No data
2019-08-23,8,8,6,14,12,11,No data,24,No data
2019-08-24,14,9,12,23,17,23,89,28,No data
2019-08-25,17,25,18,26,38,30,57,25,No data
2019-08-26,19,18,24,27,26,33,42,24,No data
2019-08-27,19,18,22,30,28,33,65,34,No data
2019-08-28,5,5,5,9,7,7,63,17,No data
2019-08-29,5,4,5,10,8,9,61,11,No data
2019-08-30,8,7,8,14,12,15,47,8,No data
2019-08-31,4,7,5,8,11,8,38,8,No data
2019-09-01,4,3,4,8,7,8,37,9,No data
2019-09-02,5,4,5,10,9,9,51,9,No data
2019-09-03,4,7,4,8,11,8,48,8,No data
2019-09-04,4,4,4,8,8,8,38,7,No data
2019-09-05,5,5,6,11,10,13,52,13,No data
2019-09-06,5,4,5,11,9,11,59,13,No data
2019-09-07,4,5,5,9,8,9,32,18,No data
2019-09-08,7,6,7,11,10,12,62,25,No data
2019-09-09,7,7,7,11,10,10,86,23,No data
2019-09-10,7,6,8,12,10,13,67,21,No data
2019-09-11,4,4,4,8,9,8,51,10,No data
2019-09-12,5,5,5,11,10,9,54,10,No data
2019-09-13,6,6,7,13,12,14,53,30,No data
2019-09-14,8,7,8,15,12,14,107,32,No data
2019-09-15,4,4,4,7,7,7,42,10,No data
2019-09-16,5,5,5,9,9,8,50,26,No data
2019-09-17,7,6,No data,13,12,No data,57,30,No data
2019-09-18,9,8,No data,17,15,No data,94,45,No data
2019-09-19,15,19,12,26,29,22,129,90,No data
2019-09-20,9,7,8,17,13,17,77,36,No data
2019-09-21,10,9,11,21,19,23,47,25,No data
2019-09-22,10,8,9,15,13,15,47,18,No data
2019-09-23,4,3,4,8,6,7,60,12,No data
2019-09-24,4,3,3,7,6,6,58,14,No data
2019-09-25,4,2,3,7,5,5,78,17,No data
2019-09-26,4,4,4,9,7,8,49,7,No data
2019-09-27,4,4,4,8,7,7,62,10,No data
2019-09-28,3,3,3,7,6,6,39,6,No data
2019-09-29,2,2,2,4,3,4,33,8,No data
2019-09-30,4,3,4,8,7,6,87,19,No data
2019-10-01,5,4,4,9,8,8,61,15,No data
2019-10-02,7,6,6,12,11,11,110,57,No data
2019-10-03,8,6,6,14,10,10,103,38,No data
2019-10-04,7,7,8,14,13,13,57,19,No data
2019-10-05,7,6,8,11,10,13,42,23,No data
2019-10-06,4,4,4,8,7,8,36,11,No data
2019-10-07,6,5,6,12,9,11,81,17,No data
2019-10-08,7,6,7,15,13,14,60,9,No data
2019-10-09,5,4,4,10,10,9,57,9,No data
2019-10-10,5,5,5,11,10,9,54,9,No data
2019-10-11,4,3,3,8,6,7,58,10,No data
2019-10-12,5,4,5,9,7,8,72,12,No data
2019-10-13,3,2,3,5,5,4,55,13,No data
2019-10-14,4,3,4,7,5,8,61,29,No data
2019-10-15,8,7,8,13,10,11,114,22,No data
2019-10-16,6,4,5,11,9,9,117,29,No data
2019-10-17,6,5,5,12,11,9,113,31,No data
2019-10-18,4,3,3,7,5,5,82,17,No data
2019-10-19,4,4,4,7,7,6,65,21,No data
2019-10-20,5,5,6,8,8,9,34,25,No data
2019-10-21,5,5,5,10,9,9,53,35,No data
2019-10-22,9,7,7,16,11,12,129,36,No data
2019-10-23,16,12,14,21,15,18,124,49,No data
2019-10-24,13,12,12,18,15,16,126,31,No data
2019-10-25,4,3,4,9,6,7,67,20,No data
2019-10-26,4,3,3,5,5,5,64,33,No data
2019-10-27,8,7,11,13,12,17,67,30,No data
2019-10-28,10,8,9,15,13,14,67,63,No data
2019-10-29,9,8,9,15,13,14,50,39,No data
2019-10-30,11,9,11,16,14,18,75,37,No data
2019-10-31,23,21,25,29,27,33,68,46,No data
2019-11-01,7,5,6,10,7,8,81,23,No data
2019-11-02,5,5,4,9,8,7,54,15,No data
2019-11-03,11,10,10,16,13,13,81,22,No data
2019-11-04,10,10,10,16,15,16,83,39,No data
2019-11-05,12,11,13,17,15,17,60,37,No data
2019-11-06,20,18,19,27,28,26,126,47,No data
2019-11-07,8,7,7,12,10,10,111,36,No data
2019-11-08,6,6,7,10,9,11,74,43,No data
2019-11-09,11,11,11,15,13,14,84,43,No data
2019-11-10,7,6,8,12,10,12,54,31,No data
2019-11-11,6,5,6,11,9,9,69,17,No data
2019-11-12,5,4,5,9,7,9,74,23,No data
2019-11-13,6,4,5,13,8,10,108,36,No data
2019-11-14,4,3,4,5,4,5,28,23,No data
2019-11-15,7,6,6,10,9,10,38,24,No data
2019-11-16,13,13,14,16,15,17,89,34,No data
2019-11-17,11,12,12,14,15,15,47,28,No data
2019-11-18,13,12,13,19,16,18,175,97,No data
2019-11-19,18,15,15,24,18,19,171,77,No data
2019-11-20,10,8,10,15,12,15,56,28,No data
2019-11-21,21,21,23,26,25,29,44,35,No data
2019-11-22,10,9,11,13,12,15,46,29,No data
2019-11-23,15,15,17,19,18,22,34,34,No data
2019-11-24,20,19,22,24,23,28,66,36,No data
2019-11-25,6,5,6,9,7,9,62,21,No data
2019-11-26,8,7,9,14,12,16,64,18,No data
2019-11-27,11,9,11,15,12,16,60,35,No data
2019-11-28,7,6,7,10,9,10,62,30,No data
2019-11-29,16,15,15,22,22,22,229,211,No data
2019-11-30,18,16,16,22,19,20,158,117,No data
2019-12-01,12,12,13,15,14,16,69,49,No data
2019-12-02,12,12,11,17,15,15,150,86,No data
2019-12-03,13,11,11,17,18,15,154,46,No data
2019-12-04,21,17,18,26,21,22,207,74,No data
2019-12-05,11,11,10,14,13,13,89,27,No data
2019-12-06,2,2,2,5,3,3,51,12,No data
2019-12-07,4,4,5,8,7,7,41,9,No data
2019-12-08,5,5,6,10,10,10,27,5,No data
2019-12-09,8,7,8,15,14,16,85,30,No data
2019-12-10,5,5,6,10,9,10,52,10,No data
2019-12-11,5,5,5,10,9,10,90,21,No data
2019-12-12,4,3,4,7,5,6,80,19,No data
2019-12-13,5,4,5,9,9,9,49,9,No data
2019-12-14,6,6,6,12,11,11,57,10,No data
2019-12-15,3,3,3,7,6,6,50,9,No data
2019-12-16,10,9,8,16,15,14,203,91,No data
2019-12-17,21,16,19,25,19,24,318,177,No data
2019-12-18,8,7,8,11,8,10,52,20,No data
2019-12-19,6,5,6,10,8,10,47,13,No data
2019-12-20,7,6,6,10,9,10,94,44,No data
2019-12-21,6,5,6,9,8,10,60,19,No data
2019-12-22,5,5,6,8,7,8,68,17,No data
2019-12-23,5,5,5,11,10,10,58,13,No data
2019-12-24,5,5,5,8,8,9,42,11,No data
2019-12-25,9,7,7,12,11,11,124,38,No data
2019-12-26,11,11,12,14,13,15,55,32,No data
2019-12-27,15,13,14,17,15,17,105,37,No data
2019-12-28,9,8,9,12,10,11,57,13,No data
2019-12-29,13,13,13,16,15,16,32,10,No data
2019-12-30,18,19,17,22,23,20,112,45,No data
2019-12-31,14,13,14,18,17,19,39,38,No data
2020-01-01,24,25,25,29,29,29,54,21,23
2020-01-02,8,7,7,11,10,10,38,12,11
2020-01-03,7,6,7,13,12,13,58,21,18
2020-01-04,3,3,3,6,5,6,50,13,15
2020-01-05,5,4,5,7,6,6,39,10,13
2020-01-06,7,6,7,12,10,11,74,14,17
2020-01-07,7,6,7,12,11,13,49,12,14
2020-01-08,11,11,12,22,18,21,77,22,29
2020-01-09,7,6,7,12,9,11,52,20,23
2020-01-10,8,6,7,17,10,11,95,34,34
2020-01-11,3,3,3,6,5,6,27,7,8
2020-01-12,3,2,2,5,4,4,44,11,11
2020-01-13,5,4,5,8,7,9,61,13,15
2020-01-14,5,5,5,9,8,10,53,10,11
2020-01-15,5,5,5,13,11,9,75,14,18
2020-01-16,6,5,6,11,10,12,52,12,18
2020-01-17,4,4,4,8,7,8,79,19,20
2020-01-18,7,7,7,15,13,15,70,26,25
2020-01-19,17,16,17,22,20,21,138,76,92
2020-01-20,12,11,11,18,15,15,172,53,65
2020-01-21,13,10,12,21,14,17,170,49,56
2020-01-22,15,15,17,18,18,20,87,68,60
2020-01-23,15,13,15,18,15,18,110,39,48
2020-01-24,11,10,9,15,13,12,105,34,39
2020-01-25,17,17,15,24,24,21,75,21,26
2020-01-26,11,10,9,16,15,14,48,15,17
2020-01-27,5,4,4,9,7,6,105,22,26
2020-01-28,4,3,3,9,6,5,53,13,19
2020-01-29,6,5,5,16,11,9,50,12,13
2020-01-30,4,3,3,6,5,5,76,14,18
2020-01-31,3,2,2,4,3,3,50,11,15
2020-02-01,7,7,7,15,13,11,27,6,8
2020-02-02,9,8,8,16,15,13,31,8,11
2020-02-03,7,6,5,15,12,10,53,11,14
2020-02-04,8,8,8,17,15,15,51,16,15
2020-02-05,14,12,11,30,23,21,156,53,54
2020-02-06,21,18,13,34,24,19,220,86,77
2020-02-07,23,21,20,31,26,25,84,40,49
2020-02-08,8,7,6,17,14,12,41,10,10
2020-02-09,4,4,4,7,7,6,13,5,3
2020-02-10,4,4,4,9,8,7,41,9,10
2020-02-11,5,5,4,14,10,8,39,7,9
2020-02-12,6,5,4,17,10,9,69,17,21
2020-02-13,5,4,4,8,6,6,66,20,23
2020-02-14,8,7,7,12,10,10,91,17,24
2020-02-15,3,3,3,6,4,4,28,7,8
2020-02-16,3,3,3,6,6,6,20,5,5
2020-02-17,5,5,5,10,10,8,38,7,10
2020-02-18,5,5,4,10,10,8,47,10,13
2020-02-19,6,5,5,11,10,8,63,14,18
2020-02-20,3,3,2,6,5,4,45,9,12
2020-02-21,6,6,5,13,12,10,38,9,9
2020-02-22,5,5,4,9,8,7,25,5,7
2020-02-23,3,3,3,7,5,5,41,13,15
2020-02-24,3,2,2,6,4,3,40,8,10
2020-02-25,3,2,2,7,4,4,67,13,15
2020-02-26,5,4,4,13,8,7,78,16,18
2020-02-27,6,5,5,13,9,9,78,25,30
2020-02-28,4,3,3,7,5,5,66,16,22
2020-02-29,4,4,3,7,8,6,24,6,7
2020-03-01,6,5,5,12,11,9,41,8,9
2020-03-02,No data,No data,4,No data,No data,8,No data,No data,29
2020-03-03,No data,No data,5,No data,No data,9,No data,No data,19
2020-03-04,7,6,6,14,10,10,96,No data,39
2020-03-05,12,11,11,17,15,16,40,No data,42
2020-03-06,16,14,16,25,19,22,192,No data,91
2020-03-07,8,8,7,15,12,11,43,No data,14
2020-03-08,4,4,3,7,7,6,22,No data,6
2020-03-09,5,5,5,11,9,8,48,No data,13
2020-03-10,3,2,2,5,4,4,33,No data,11
2020-03-11,5,6,4,12,11,8,44,No data,10
2020-03-12,5,6,4,11,11,8,36,No data,8
2020-03-13,6,6,5,11,10,9,66,No data,31
2020-03-14,5,5,4,8,7,6,41,No data,13
2020-03-15,3,3,3,6,5,5,43,No data,16
2020-03-16,6,5,5,14,9,9,69,No data,No data
2020-03-17,5,4,4,12,7,6,46,No data,No data
2020-03-18,4,4,4,7,6,6,57,No data,32
2020-03-19,6,6,5,10,9,9,29,No data,23
2020-03-20,6,6,6,12,11,11,21,No data,16
2020-03-21,6,6,5,11,11,11,14,No data,13
2020-03-22,11,11,10,16,16,15,15,No data,15
2020-03-23,14,14,13,23,21,21,63,No data,47
2020-03-24,23,20,20,37,29,31,71,No data,27
2020-03-25,24,24,20,35,33,30,No data,No data,30
2020-03-26,27,27,24,40,37,35,44,No data,32
2020-03-27,34,34,32,48,46,43,21,No data,13
2020-03-28,13,13,12,23,20,19,12,No data,5
2020-03-29,6,6,5,13,13,11,10,No data,4
2020-03-30,6,6,6,11,10,9,28,No data,18
2020-03-31,8,8,8,14,13,12,21,No data,16
2020-04-01,9,9,7,16,12,11,No data,No data,18
2020-04-02,5,5,5,11,9,9,No data,No data,9
2020-04-03,8,8,8,15,13,12,No data,No data,17
2020-04-04,10,10,8,15,13,11,No data,No data,14
2020-04-05,9,12,9,15,17,14,No data,No data,14
2020-04-06,6,6,6,12,10,10,No data,No data,10
2020-04-07,13,15,11,31,21,19,No data,No data,56
2020-04-08,24,23,18,40,31,27,No data,No data,65
2020-04-09,19,20,18,30,31,28,No data,No data,17
2020-04-10,22,23,22,31,32,31,No data,No data,19
2020-04-11,21,21,21,30,29,30,No data,No data,14
2020-04-12,13,12,12,23,18,17,No data,No data,9
2020-04-13,8,8,7,15,15,15,No data,No data,5
2020-04-14,12,12,9,21,19,17,No data,No data,21
2020-04-15,19,17,14,30,24,22,No data,No data,26
2020-04-16,27,27,26,42,39,40,No data,No data,33
2020-04-17,9,10,9,18,17,17,No data,No data,10
2020-04-18,8,8,7,12,13,11,No data,No data,10
2020-04-19,8,8,8,14,14,13,No data,No data,6
2020-04-20,8,8,8,22,18,19,No data,No data,8
2020-04-21,11,10,10,25,23,23,No data,No data,9
2020-04-22,14,14,13,30,29,28,No data,No data,11
2020-04-23,13,12,12,26,25,25,19,No data,13
2020-04-24,15,15,14,26,26,26,25,No data,17
2020-04-25,16,15,14,21,20,19,17,No data,15
2020-04-26,18,16,17,25,22,23,23,No data,11
2020-04-27,7,8,7,13,14,12,25,No data,14
2020-04-28,4,4,4,6,6,6,21,No data,14
2020-04-29,5,5,5,8,8,7,32,No data,15
2020-04-30,3,3,2,7,5,5,41,No data,6
2020-05-01,4,3,3,7,6,5,39,No data,7
2020-05-02,5,5,5,8,7,8,30,No data,19
2020-05-03,11,13,10,15,16,13,28,No data,24
2020-05-04,17,16,16,23,20,20,30,No data,23
2020-05-05,6,6,6,11,10,11,19,No data,10
2020-05-06,8,9,8,15,14,14,31,No data,19
2020-05-07,14,19,11,22,27,17,61,No data,21
2020-05-08,12,11,10,17,16,15,42,No data,19
2020-05-09,14,13,13,19,18,18,24,No data,24
2020-05-10,7,6,7,13,12,12,7,No data,7
2020-05-11,5,5,5,12,11,11,17,No data,12
2020-05-12,6,5,6,12,10,11,50,No data,16
2020-05-13,5,5,4,11,9,9,16,No data,10
2020-05-14,6,5,5,12,10,10,28,No data,14
2020-05-15,6,5,5,12,10,10,44,No data,15
2020-05-16,4,4,4,8,7,7,36,No data,14
2020-05-17,6,6,5,10,9,8,24,No data,7
2020-05-18,6,5,5,13,10,9,No data,No data,5
2020-05-19,4,4,4,9,8,8,No data,No data,11
2020-05-20,8,8,7,16,13,13,No data,No data,21
2020-05-21,7,9,6,14,14,12,No data,No data,11
2020-05-22,9,8,8,22,18,16,No data,No data,4
2020-05-23,6,6,6,13,13,11,No data,No data,3
2020-05-24,7,7,7,11,12,11,No data,No data,5
2020-05-25,4,4,4,9,7,7,No data,No data,12
2020-05-26,6,5,5,12,10,9,No data,No data,11
2020-05-27,7,7,7,16,15,14,No data,No data,15
2020-05-28,6,5,5,12,11,12,No data,No data,15
2020-05-29,4,4,4,11,10,11,No data,No data,14
2020-05-30,8,7,7,15,15,14,No data,No data,10
2020-05-31,8,7,7,15,14,13,No data,No data,7
2020-06-01,5,6,4,14,14,12,No data,No data,9
2020-06-02,7,6,6,17,15,14,No data,No data,12
2020-06-03,8,7,7,13,12,12,No data,No data,15
2020-06-04,5,4,4,10,7,7,No data,No data,17
2020-06-05,3,2,3,8,6,7,No data,No data,8
2020-06-06,4,4,4,8,7,7,29,No data,8
