Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2019-01-01,9,25,5,5,10,17
2019-01-02,23,62,9,8,15,31
2019-01-03,25,76,10,10,14,37
2019-01-04,43,84,24,24,30,46
2019-01-05,34,72,17,18,21,38
2019-01-06,30,62,13,15,18,29
2019-01-07,17,33,8,8,15,22
2019-01-08,11,45,6,6,12,No data
2019-01-09,18,59,8,8,11,No data
2019-01-10,40,112,10,10,14,22
2019-01-11,29,75,9,9,13,23
2019-01-12,7,22,2,1,5,9
2019-01-13,5,16,4,2,7,13
2019-01-14,21,70,5,6,10,23
2019-01-15,15,36,5,3,9,18
2019-01-16,22,46,4,2,7,16
2019-01-17,21,55,7,5,10,25
2019-01-18,54,81,14,13,19,31
2019-01-19,25,59,13,12,19,30
2019-01-20,45,85,28,29,34,46
2019-01-21,56,104,No data,15,No data,24
2019-01-22,47,95,No data,No data,No data,No data
2019-01-23,63,139,No data,No data,No data,No data
2019-01-24,168,243,No data,No data,No data,No data
2019-01-25,64,100,No data,No data,No data,No data
2019-01-26,19,40,No data,No data,No data,No data
2019-01-27,4,18,No data,No data,No data,No data
2019-01-28,28,72,No data,No data,No data,No data
2019-01-29,44,82,12,10,14,21
2019-01-30,55,121,11,No data,12,19
2019-01-31,80,130,22,No data,25,27
2019-02-01,30,108,12,13,14,21
2019-02-02,17,61,10,9,11,16
2019-02-03,30,67,10,9,12,20
2019-02-04,28,56,6,6,8,17
2019-02-05,50,91,17,16,19,23
2019-02-06,45,86,10,10,17,30
2019-02-07,No data,No data,7,8,10,18
2019-02-08,No data,No data,5,4,8,15
2019-02-09,12,32,6,5,12,21
2019-02-10,19,41,7,6,10,19
2019-02-11,57,107,9,9,12,31
2019-02-12,53,91,16,13,18,25
2019-02-13,31,55,10,9,15,28
2019-02-14,45,97,24,23,30,44
2019-02-15,55,108,29,26,35,46
2019-02-16,24,54,15,14,20,31
2019-02-17,15,29,18,17,25,36
2019-02-18,17,44,8,7,15,27
2019-02-19,20,64,7,6,11,25
2019-02-20,23,65,9,9,14,24
2019-02-21,56,111,14,14,17,26
2019-02-22,41,94,24,25,32,45
2019-02-23,32,57,38,38,43,50
2019-02-24,45,86,43,46,47,59
2019-02-25,70,106,39,40,43,63
2019-02-26,91,141,40,40,48,72
2019-02-27,61,98,41,41,49,64
2019-02-28,29,96,33,36,38,55
2019-03-01,37,84,27,27,32,45
2019-03-02,18,33,11,10,15,24
2019-03-03,14,23,7,6,13,22
2019-03-04,10,30,3,3,5,14
2019-03-05,22,50,7,6,11,24
2019-03-06,20,53,No data,7,8,13
2019-03-07,14,38,4,5,5,10
2019-03-08,30,63,6,5,11,18
2019-03-09,11,28,6,4,10,21
2019-03-10,13,24,5,3,6,13
2019-03-11,13,40,4,3,8,21
2019-03-12,11,34,4,3,7,14
2019-03-13,7,22,5,5,9,16
2019-03-14,8,23,5,4,8,16
2019-03-15,10,25,7,No data,10,17
2019-03-16,12,26,5,2,7,11
2019-03-17,8,20,No data,1,4,11
2019-03-18,21,64,6,4,No data,18
2019-03-19,36,66,14,12,No data,26
2019-03-20,22,62,10,9,10,23
2019-03-21,28,60,13,10,19,36
2019-03-22,21,50,12,9,17,29
2019-03-23,15,48,9,5,13,25
2019-03-24,10,18,7,3,11,20
2019-03-25,11,52,8,4,13,25
2019-03-26,20,50,8,6,13,24
2019-03-27,15,42,10,6,14,23
2019-03-28,32,60,17,13,21,33
2019-03-29,38,69,27,23,32,41
2019-03-30,15,44,18,14,20,29
2019-03-31,9,26,5,1,10,18
2019-04-01,16,43,10,4,17,32
2019-04-02,17,57,7,2,9,16
2019-04-03,23,59,8,4,9,16
2019-04-04,15,39,11,6,14,22
2019-04-05,16,35,20,17,25,32
2019-04-06,11,44,20,15,22,31
2019-04-07,10,31,29,26,31,39
2019-04-08,13,46,25,23,32,44
2019-04-09,12,37,12,10,20,33
2019-04-10,14,59,7,4,12,24
2019-04-11,16,53,9,6,13,25
2019-04-12,13,58,10,6,12,24
2019-04-13,11,35,9,6,12,23
2019-04-14,10,24,11,6,14,22
2019-04-15,11,20,21,17,28,39
2019-04-16,11,42,22,19,34,48
2019-04-17,13,48,26,24,35,49
2019-04-18,16,61,31,27,39,55
2019-04-19,15,41,26,23,35,47
2019-04-20,21,51,30,26,35,48
2019-04-21,16,21,33,27,37,46
2019-04-22,13,26,37,33,41,51
2019-04-23,12,42,22,19,33,48
2019-04-24,15,42,26,22,38,56
2019-04-25,17,33,8,6,11,20
2019-04-26,17,37,9,8,11,20
2019-04-27,8,29,4,2,4,9
2019-04-28,7,36,9,5,12,21
2019-04-29,11,42,10,7,12,21
2019-04-30,18,51,22,20,24,32
2019-05-01,22,49,20,18,22,31
2019-05-02,11,49,7,6,9,16
2019-05-03,14,81,6,6,9,20
2019-05-04,7,38,7,6,11,23
2019-05-05,12,37,11,6,12,20
2019-05-06,9,35,5,3,7,13
2019-05-07,13,50,9,7,11,19
2019-05-08,11,41,10,9,14,18
2019-05-09,15,83,8,6,11,20
2019-05-10,16,59,10,No data,13,22
2019-05-11,18,47,9,No data,11,19
2019-05-12,15,28,13,No data,14,19
2019-05-13,17,48,13,No data,15,24
2019-05-14,19,50,19,15,21,30
2019-05-15,13,34,16,12,20,25
2019-05-16,8,27,10,7,13,21
2019-05-17,12,50,10,7,15,24
2019-05-18,10,49,9,7,11,17
2019-05-19,13,25,11,9,12,15
2019-05-20,11,40,8,6,9,14
2019-05-21,8,32,6,3,8,12
2019-05-22,11,33,8,No data,9,14
2019-05-23,11,32,9,No data,11,17
2019-05-24,8,33,9,No data,9,14
2019-05-25,9,34,8,No data,9,12
2019-05-26,7,15,7,No data,9,11
2019-05-27,5,16,5,No data,7,9
2019-05-28,8,46,5,No data,5,12
2019-05-29,21,41,9,No data,12,16
2019-05-30,12,30,9,No data,11,14
2019-05-31,13,37,7,No data,9,13
2019-06-01,12,35,10,No data,12,15
2019-06-02,12,19,10,No data,13,16
2019-06-03,12,36,7,No data,11,19
2019-06-04,14,44,9,No data,11,17
2019-06-05,17,42,8,No data,9,13
2019-06-06,17,50,9,No data,10,14
2019-06-07,14,No data,12,No data,16,24
2019-06-08,11,No data,10,No data,11,16
2019-06-09,13,No data,9,No data,10,13
2019-06-10,12,No data,8,No data,9,14
2019-06-11,12,54,5,No data,8,14
2019-06-12,9,78,4,No data,5,9
2019-06-13,10,66,5,No data,4,10
2019-06-14,22,65,8,No data,9,12
2019-06-15,15,45,8,No data,10,14
2019-06-16,13,25,8,No data,10,13
2019-06-17,19,41,6,No data,6,11
2019-06-18,16,45,10,No data,12,15
2019-06-19,11,43,8,No data,10,14
2019-06-20,15,38,6,No data,7,16
2019-06-21,19,46,5,No data,9,14
2019-06-22,13,30,10,No data,14,17
2019-06-23,7,16,10,No data,13,17
2019-06-24,15,65,18,No data,22,28
2019-06-25,10,76,8,No data,9,12
2019-06-26,10,54,7,No data,9,15
2019-06-27,8,44,7,No data,9,14
2019-06-28,8,28,10,No data,16,22
2019-06-29,11,28,No data,No data,No data,32
2019-06-30,7,17,8,No data,9,12
2019-07-01,7,25,7,No data,9,13
2019-07-02,9,37,6,No data,7,11
2019-07-03,8,38,7,No data,11,17
2019-07-04,11,32,8,6,11,16
2019-07-05,7,27,8,4,10,13
2019-07-06,5,29,7,5,No data,12
2019-07-07,6,22,7,6,8,14
2019-07-08,7,37,7,5,9,16
2019-07-09,19,57,10,9,12,22
2019-07-10,20,51,12,10,14,20
2019-07-11,13,35,8,6,9,11
2019-07-12,9,44,8,7,9,13
2019-07-13,6,38,8,8,11,15
2019-07-14,6,24,6,6,7,11
2019-07-15,9,37,8,7,10,14
2019-07-16,11,48,10,9,13,16
2019-07-17,21,49,10,9,14,20
2019-07-18,12,35,8,6,11,17
2019-07-19,20,58,9,7,12,18
2019-07-20,10,25,6,5,11,16
2019-07-21,12,25,6,7,8,11
2019-07-22,14,30,8,7,No data,13
2019-07-23,15,32,11,9,No data,21
2019-07-24,18,39,18,14,No data,24
2019-07-25,18,27,No data,18,No data,42
2019-07-26,18,70,13,14,13,29
2019-07-27,7,38,6,6,12,17
2019-07-28,6,27,14,14,23,32
2019-07-29,11,43,10,9,11,18
2019-07-30,15,52,11,11,17,28
2019-07-31,7,47,10,12,16,24
2019-08-01,8,48,11,10,14,23
2019-08-02,9,50,9,6,10,16
2019-08-03,14,36,10,6,13,19
2019-08-04,11,22,11,7,15,22
2019-08-05,16,38,9,6,14,21
2019-08-06,13,36,8,5,11,17
2019-08-07,10,28,7,4,8,13
2019-08-08,7,36,No data,No data,No data,No data
2019-08-09,11,27,No data,No data,No data,No data
2019-08-10,8,19,No data,No data,No data,No data
