Date,PM10_1,NOx_1,NOx_2,PM2.5_1
2019-06-25,No data,5,5,7
2019-06-26,No data,11,10,6
2019-06-27,No data,19,28,No data
2019-06-28,No data,11,21,10
2019-06-29,No data,16,25,20
2019-06-30,No data,4,8,7
2019-07-01,No data,7,13,5
2019-07-02,No data,14,20,7
2019-07-03,No data,19,25,9
2019-07-04,No data,9,17,No data
2019-07-05,No data,8,15,No data
2019-07-06,No data,9,5,5
2019-07-07,No data,12,9,6
2019-07-08,No data,18,28,7
2019-07-09,No data,14,37,10
2019-07-10,No data,13,27,No data
2019-07-11,No data,17,32,7
2019-07-12,No data,13,12,No data
2019-07-13,No data,15,13,7
2019-07-14,No data,8,8,No data
2019-07-15,No data,15,24,No data
2019-07-16,No data,17,33,No data
2019-07-17,No data,10,25,9
2019-07-18,No data,8,16,7
2019-07-19,No data,11,31,9
2019-07-20,No data,9,18,7
2019-07-21,No data,6,11,No data
2019-07-22,No data,6,9,7
2019-07-23,No data,12,23,No data
2019-07-24,No data,13,23,No data
2019-07-25,No data,20,35,No data
2019-07-26,No data,26,41,No data
2019-07-27,No data,16,13,11
2019-07-28,No data,11,7,16
2019-07-29,No data,19,23,11
2019-07-30,No data,19,27,No data
2019-07-31,No data,7,5,11
2019-08-01,No data,10,6,10
2019-08-02,No data,13,6,No data
2019-08-03,No data,15,22,11
2019-08-04,No data,12,22,No data
2019-08-05,No data,9,18,No data
2019-08-06,No data,10,23,No data
2019-08-07,No data,11,13,No data
2019-08-08,No data,14,12,No data
2019-08-09,No data,10,21,No data
2019-08-10,No data,7,11,No data
2019-08-11,No data,10,8,No data
2019-08-12,No data,19,28,No data
2019-08-13,No data,16,18,No data
2019-08-14,No data,16,38,8
2019-08-15,No data,11,17,No data
2019-08-16,No data,10,25,8
2019-08-17,No data,6,14,No data
2019-08-18,No data,5,8,No data
2019-08-19,No data,10,14,No data
2019-08-20,No data,11,18,No data
2019-08-21,No data,No data,21,No data
2019-08-22,No data,No data,20,No data
2019-08-23,No data,16,24,No data
2019-08-24,No data,25,44,No data
2019-08-25,No data,22,42,No data
2019-08-26,No data,21,28,No data
2019-08-27,No data,26,40,No data
2019-08-28,No data,15,28,No data
2019-08-29,No data,8,21,No data
2019-08-30,No data,6,16,No data
2019-08-31,No data,8,12,No data
2019-09-01,No data,11,11,No data
2019-09-02,No data,10,19,No data
2019-09-03,No data,10,18,No data
2019-09-04,No data,12,17,No data
2019-09-05,No data,9,15,7
2019-09-06,No data,8,15,7
2019-09-07,No data,13,14,8
2019-09-08,No data,18,25,9
2019-09-09,No data,22,38,11
2019-09-10,No data,22,33,11
2019-09-11,No data,9,13,8
2019-09-12,No data,12,24,6
2019-09-13,No data,18,27,9
2019-09-14,No data,8,18,8
2019-09-15,No data,12,17,9
2019-09-16,No data,20,36,8
2019-09-17,No data,24,32,9
2019-09-18,No data,28,40,9
2019-09-19,No data,39,63,No data
2019-09-20,No data,31,58,No data
2019-09-21,No data,22,25,14
2019-09-22,No data,36,44,20
2019-09-23,No data,19,34,13
2019-09-24,No data,23,30,9
2019-09-25,No data,25,47,11
2019-09-26,No data,16,26,No data
2019-09-27,5,25,31,3
2019-09-28,4,30,26,2
2019-09-29,8,15,9,4
2019-09-30,6,21,21,3
2019-10-01,9,13,9,4
2019-10-02,5,31,28,2
2019-10-03,14,42,64,7
2019-10-04,9,35,34,5
2019-10-05,12,31,49,5
2019-10-06,19,11,13,10
2019-10-07,12,15,34,7
2019-10-08,11,18,22,6
2019-10-09,8,24,23,4
2019-10-10,8,18,21,4
2019-10-11,7,19,22,4
2019-10-12,7,21,30,3
2019-10-13,12,34,35,9
2019-10-14,8,32,56,4
2019-10-15,8,25,39,5
2019-10-16,11,33,42,7
2019-10-17,12,22,50,7
2019-10-18,11,46,79,8
2019-10-19,9,33,34,6
2019-10-20,10,11,4,5
2019-10-21,10,39,37,4
2019-10-22,7,31,53,4
2019-10-23,13,No data,36,9
2019-10-24,15,41,51,11
2019-10-25,6,32,45,3
2019-10-26,5,30,31,3
2019-10-27,6,20,12,3
2019-10-28,9,34,40,4
2019-10-29,8,37,46,4
2019-10-30,8,27,64,4
2019-10-31,20,22,39,14
2019-11-01,15,27,51,12
2019-11-02,14,21,26,9
2019-11-03,13,20,22,8
2019-11-04,19,22,17,10
2019-11-05,32,20,15,21
2019-11-06,10,40,69,7
2019-11-07,11,10,10,5
2019-11-08,10,29,25,5
2019-11-09,13,42,49,7
2019-11-10,11,26,23,5
2019-11-11,5,24,23,3
2019-11-12,3,17,21,2
2019-11-13,9,82,145,6
2019-11-14,8,9,5,3
2019-11-15,13,12,8,6
2019-11-16,9,11,8,4
2019-11-17,10,28,23,5
2019-11-18,9,50,54,6
2019-11-19,15,48,106,12
2019-11-20,21,35,68,16
2019-11-21,15,17,32,9
2019-11-22,18,25,37,11
2019-11-23,25,19,22,16
2019-11-24,41,37,51,29
2019-11-25,23,32,43,15
2019-11-26,16,45,76,12
2019-11-27,10,23,25,8
2019-11-28,11,16,13,5
2019-11-29,10,62,67,5
2019-11-30,17,92,156,13
2019-12-01,10,33,61,8
2019-12-02,5,16,39,3
2019-12-03,10,50,123,7
2019-12-04,11,19,43,8
2019-12-05,6,17,17,3
2019-12-06,3,25,22,2
2019-12-07,4,22,17,2
2019-12-08,6,7,8,3
2019-12-09,10,27,36,5
2019-12-10,8,13,18,5
2019-12-11,9,26,38,5
2019-12-12,9,42,62,7
2019-12-13,3,44,35,2
2019-12-14,6,24,18,3
2019-12-15,6,26,26,5
2019-12-16,6,25,34,4
2019-12-17,11,48,72,8
2019-12-18,11,43,61,9
2019-12-19,10,25,42,7
2019-12-20,10,76,69,7
2019-12-21,13,64,77,11
2019-12-22,12,48,76,10
2019-12-23,6,10,23,4
2019-12-24,10,41,57,8
2019-12-25,4,14,21,3
2019-12-26,10,13,19,6
2019-12-27,17,21,27,13
2019-12-28,13,18,28,11
2019-12-29,10,11,16,8
2019-12-30,9,11,18,6
2019-12-31,11,57,69,8
2020-01-01,18,15,31,16
2020-01-02,9,9,16,7
2020-01-03,8,9,20,4
2020-01-04,5,6,16,3
2020-01-05,2,7,11,1
2020-01-06,6,10,20,4
2020-01-07,8,7,14,4
2020-01-08,15,18,32,8
2020-01-09,6,22,17,3
2020-01-10,6,22,59,4
2020-01-11,3,5,10,2
2020-01-12,6,15,28,4
2020-01-13,8,11,22,6
2020-01-14,7,21,35,5
2020-01-15,9,10,17,5
2020-01-16,8,14,25,5
2020-01-17,8,24,43,4
2020-01-18,6,13,17,3
2020-01-19,8,21,37,5
2020-01-20,10,70,90,7
2020-01-21,6,31,35,4
2020-01-22,8,38,72,6
2020-01-23,6,25,51,5
2020-01-24,7,27,51,6
2020-01-25,7,15,30,5
2020-01-26,17,19,29,12
2020-01-27,9,23,42,6
2020-01-28,7,12,29,5
2020-01-29,4,8,19,2
2020-01-30,6,10,21,4
2020-01-31,4,7,18,2
2020-02-01,6,8,13,4
2020-02-02,7,13,27,4
2020-02-03,7,5,14,4
2020-02-04,12,29,45,6
2020-02-05,14,37,78,8
2020-02-06,18,57,92,12
2020-02-07,30,37,62,25
2020-02-08,10,8,17,6
2020-02-09,4,4,7,2
2020-02-10,6,5,14,3
2020-02-11,5,4,14,3
2020-02-12,7,10,21,4
2020-02-13,8,29,28,4
2020-02-14,9,16,37,6
2020-02-15,9,8,16,6
2020-02-16,7,5,7,4
2020-02-17,9,5,13,5
2020-02-18,5,7,18,3
2020-02-19,7,11,23,4
2020-02-20,4,7,15,3
2020-02-21,5,5,11,3
2020-02-22,5,4,9,3
2020-02-23,6,6,11,3
2020-02-24,5,12,26,3
2020-02-25,5,13,38,3
2020-02-26,5,12,27,3
2020-02-27,6,No data,23,3
2020-02-28,7,No data,37,5
2020-02-29,5,No data,13,3
2020-03-01,7,No data,7,4
2020-03-02,6,No data,33,3
2020-03-03,No data,No data,No data,No data
2020-03-04,No data,No data,No data,No data
2020-03-05,30,84,121,19
2020-03-06,24,65,87,14
2020-03-07,9,11,15,5
2020-03-08,5,20,9,3
2020-03-09,8,22,23,5
2020-03-10,7,18,13,4
2020-03-11,6,18,18,3
2020-03-12,7,13,13,3
2020-03-13,18,17,17,7
2020-03-14,15,11,17,9
2020-03-15,5,14,7,3
2020-03-16,9,15,28,4
2020-03-17,6,13,16,3
2020-03-18,8,18,20,4
2020-03-19,13,29,33,7
2020-03-20,12,28,41,7
2020-03-21,15,8,12,6
2020-03-22,22,11,No data,12
2020-03-23,23,15,No data,13
2020-03-24,36,20,No data,23
2020-03-25,40,26,No data,27
2020-03-26,42,No data,26,31
2020-03-27,42,No data,22,34
2020-03-28,16,No data,3,7
2020-03-29,14,No data,5,6
2020-03-30,14,No data,5,7
2020-03-31,13,No data,16,7
2020-04-01,7,No data,12,4
2020-04-02,7,No data,6,4
2020-04-03,8,No data,12,4
2020-04-04,11,No data,9,7
2020-04-05,27,No data,14,17
2020-04-06,11,No data,8,6
2020-04-07,17,No data,15,9
2020-04-08,13,26,14,6
2020-04-09,16,9,9,8
2020-04-10,32,12,19,24
2020-04-11,14,29,11,10
2020-04-12,13,7,5,8
2020-04-13,18,7,5,8
2020-04-14,17,29,17,10
2020-04-15,21,25,20,13
2020-04-16,16,16,12,10
2020-04-17,16,9,7,7
2020-04-18,14,15,5,7
2020-04-19,14,18,7,7
2020-04-20,16,11,5,7
2020-04-21,23,12,5,10
2020-04-22,24,17,6,10
2020-04-23,20,25,15,11
2020-04-24,19,27,23,14
2020-04-25,27,17,15,19
2020-04-26,22,23,15,16
2020-04-27,5,21,8,2
2020-04-28,10,20,13,6
2020-04-29,13,13,14,7
2020-04-30,10,13,19,7
2020-05-01,8,17,9,5
2020-05-02,8,17,8,5
2020-05-03,12,14,9,9
2020-05-04,9,12,6,5
2020-05-05,6,10,17,3
2020-05-06,12,15,21,8
2020-05-07,19,17,22,12
2020-05-08,10,16,14,6
2020-05-09,9,16,14,6
2020-05-10,14,4,2,5
2020-05-11,12,8,5,5
2020-05-12,10,14,11,4
2020-05-13,8,11,7,4
2020-05-14,7,17,16,3
2020-05-15,6,14,11,3
2020-05-16,6,10,6,3
2020-05-17,6,15,5,4
2020-05-18,6,16,8,3
2020-05-19,5,30,11,3
2020-05-20,15,30,22,9
2020-05-21,13,24,21,6
2020-05-22,22,6,8,11
2020-05-23,11,3,4,5
2020-05-24,8,6,4,4
2020-05-25,9,11,10,5
2020-05-26,10,16,12,6
2020-05-27,13,20,No data,7
2020-05-28,17,17,No data,9
2020-05-29,18,18,22,8
2020-05-30,10,10,10,6
2020-05-31,13,10,7,8
2020-06-01,14,17,13,7
2020-06-02,12,22,26,6
2020-06-03,10,6,3,5
2020-06-04,8,23,13,3
2020-06-05,4,17,10,2
2020-06-06,9,12,9,4
2020-06-07,10,9,4,4
2020-06-08,11,15,9,5
2020-06-09,15,19,28,8
2020-06-10,11,14,21,7
2020-06-11,17,6,4,9
2020-06-12,21,12,6,13
2020-06-13,16,18,10,13
2020-06-14,8,15,8,6
2020-06-15,19,22,No data,12
2020-06-16,7,13,14,4
2020-06-17,8,12,10,5
2020-06-18,11,7,4,7
2020-06-19,11,13,18,7
2020-06-20,8,7,11,5
2020-06-21,9,5,7,4
2020-06-22,16,6,15,7
2020-06-23,9,11,18,4
2020-06-24,23,20,30,12
2020-06-25,23,14,20,14
2020-06-26,28,21,31,18
2020-06-27,10,7,15,6
2020-06-28,5,2,5,2
2020-06-29,6,3,9,2
2020-06-30,5,6,13,3
2020-07-01,9,16,10,5
2020-07-02,8,14,11,3
2020-07-03,4,5,15,2
2020-07-04,4,12,20,2
2020-07-05,8,2,3,2
2020-07-06,7,14,13,3
2020-07-07,7,11,24,4
2020-07-08,7,13,15,3
2020-07-09,7,13,11,3
2020-07-10,6,16,19,3
2020-07-11,5,9,10,2
2020-07-12,4,8,9,2
2020-07-13,4,6,14,1
2020-07-14,4,10,13,2
2020-07-15,3,8,16,2
2020-07-16,7,10,13,2
2020-07-17,8,6,14,3
2020-07-18,4,9,12,2
2020-07-19,10,11,7,4
2020-07-20,5,11,13,2
2020-07-21,6,15,17,3
2020-07-22,7,10,23,3
2020-07-23,4,6,17,2
2020-07-24,6,17,16,3
2020-07-25,5,7,14,3
2020-07-26,5,9,7,2
2020-07-27,6,No data,No data,3
2020-07-28,8,No data,No data,2
2020-07-29,9,No data,15,4
2020-07-30,11,No data,33,7
2020-07-31,24,No data,33,13
2020-08-01,8,No data,15,4
2020-08-02,4,No data,8,2
2020-08-03,5,No data,16,2
2020-08-04,6,No data,18,3
2020-08-05,3,No data,14,1
2020-08-06,7,No data,31,4
2020-08-07,8,No data,30,4
2020-08-08,8,No data,8,5
2020-08-09,16,No data,4,7
2020-08-10,18,No data,6,9
2020-08-11,25,No data,10,15
2020-08-12,24,No data,10,16
2020-08-13,10,No data,4,7
2020-08-14,4,No data,5,3
2020-08-15,6,No data,8,3
2020-08-16,8,No data,5,5
2020-08-17,10,No data,18,6
2020-08-18,10,No data,23,6
2020-08-19,11,No data,25,6
2020-08-20,15,No data,23,6
2020-08-21,11,No data,13,5
2020-08-22,7,No data,11,3
2020-08-23,5,No data,10,2
2020-08-24,6,No data,14,2
2020-08-25,9,No data,21,4
2020-08-26,11,No data,9,4
2020-08-27,16,No data,29,8
2020-08-28,15,No data,4,6
2020-08-29,14,No data,4,5
2020-08-30,8,No data,18,4
2020-08-31,8,No data,25,4
2020-09-01,18,No data,38,11
2020-09-02,13,No data,24,7
2020-09-03,6,No data,19,3
2020-09-04,9,No data,14,4
2020-09-05,8,No data,10,4
2020-09-06,7,No data,13,4
2020-09-07,4,No data,17,3
2020-09-08,3,No data,15,2
2020-09-09,8,No data,13,4
2020-09-10,14,No data,30,7
2020-09-11,8,No data,19,4
2020-09-12,12,No data,10,6
2020-09-13,7,No data,6,4
2020-09-14,15,No data,36,9
2020-09-15,32,No data,72,19
2020-09-16,20,No data,8,9
2020-09-17,17,No data,37,7
2020-09-18,9,No data,37,4
2020-09-19,8,No data,6,3
2020-09-20,3,No data,11,2
2020-09-21,14,No data,34,9
2020-09-22,15,No data,23,10
2020-09-23,5,No data,9,2
2020-09-24,7,No data,29,2
2020-09-25,13,No data,6,5
2020-09-26,17,No data,5,7
2020-09-27,21,No data,19,9
2020-09-28,14,No data,60,8
2020-09-29,9,No data,43,5
2020-09-30,12,No data,31,8
2020-10-01,8,No data,38,5
2020-10-02,13,No data,49,6
2020-10-03,17,No data,11,10
2020-10-04,16,No data,9,7
2020-10-05,6,No data,22,3
2020-10-06,5,No data,22,2
2020-10-07,8,No data,16,3
2020-10-08,5,No data,21,2
2020-10-09,5,27,18,2
2020-10-10,4,33,23,2
2020-10-11,4,39,22,2
2020-10-12,6,28,44,4
2020-10-13,11,17,10,5
2020-10-14,14,24,12,6
2020-10-15,12,24,13,5
2020-10-16,8,37,28,4
2020-10-17,7,22,7,3
2020-10-18,8,26,21,6
2020-10-19,20,16,31,16
2020-10-20,14,15,30,9
2020-10-21,11,16,36,8
2020-10-22,3,13,23,1
2020-10-23,8,17,35,4
2020-10-24,7,14,26,4
2020-10-25,7,9,18,3
2020-10-26,7,11,22,4
2020-10-27,8,16,29,4
2020-10-28,10,13,27,5
2020-10-29,8,13,28,5
2020-10-30,8,29,45,4
2020-10-31,9,8,13,5
2020-11-01,10,5,11,6
2020-11-02,3,16,26,2
2020-11-03,7,No data,26,4
2020-11-04,9,No data,40,4
2020-11-05,17,No data,26,12
2020-11-06,37,No data,83,32
2020-11-07,42,No data,62,36
2020-11-08,35,No data,59,30
2020-11-09,25,No data,73,21
2020-11-10,17,No data,44,14
2020-11-11,11,No data,25,8
2020-11-12,6,No data,22,3
2020-11-13,9,No data,23,5
2020-11-14,9,No data,24,7
2020-11-15,6,No data,10,3
2020-11-16,6,No data,18,4
2020-11-17,2,No data,12,1
2020-11-18,5,7,14,3
2020-11-19,8,32,31,4
2020-11-20,8,16,34,5
2020-11-21,4,9,11,2
2020-11-22,11,11,14,5
2020-11-23,7,12,25,5
2020-11-24,8,11,20,6
2020-11-25,9,35,47,6
2020-11-26,8,47,57,5
2020-11-27,15,64,106,9
2020-11-28,29,120,158,24
2020-11-29,32,69,78,29
2020-11-30,7,21,20,5
2020-12-01,9,46,60,5
2020-12-02,10,23,39,6
2020-12-03,6,28,35,4
2020-12-04,9,29,24,4
2020-12-05,15,59,57,7
2020-12-06,7,52,33,5
2020-12-07,7,41,76,6
2020-12-08,9,31,51,7
2020-12-09,10,61,97,7
2020-12-10,16,36,46,12
2020-12-11,16,83,95,12
2020-12-12,16,94,108,13
2020-12-13,8,22,25,6
2020-12-14,7,12,25,5
2020-12-15,12,24,50,8
2020-12-16,10,16,30,7
2020-12-17,8,14,31,6
2020-12-18,4,12,25,3
2020-12-19,4,8,15,2
2020-12-20,5,9,15,3
2020-12-21,12,48,63,9
2020-12-22,12,55,91,8
2020-12-23,10,35,30,6
2020-12-24,6,24,No data,3
2020-12-25,4,13,No data,2
2020-12-26,5,4,No data,3
2020-12-27,5,9,No data,3
2020-12-28,16,38,No data,14
2020-12-29,5,30,No data,4
2020-12-30,7,33,No data,5
2020-12-31,7,34,No data,6
2021-01-01,7,28,13,4
2021-01-02,5,24,18,3
2021-01-03,9,21,13,4
2021-01-04,13,15,9,4
2021-01-05,10,18,9,3
2021-01-06,10,49,65,7
2021-01-07,8,32,48,6
2021-01-08,9,31,24,5
2021-01-09,8,18,32,5
2021-01-10,3,12,14,3
2021-01-11,2,8,12,1
2021-01-12,6,30,36,3
2021-01-13,11,63,93,7
2021-01-14,10,51,65,7
2021-01-15,16,42,69,13
2021-01-16,13,13,19,10
2021-01-17,7,12,10,4
2021-01-18,5,11,21,3
2021-01-19,8,50,68,7
2021-01-20,4,45,26,3
2021-01-21,4,9,15,2
2021-01-22,6,16,28,4
2021-01-23,6,28,35,4
2021-01-24,10,36,53,7
2021-01-25,6,17,20,3
2021-01-26,14,25,55,11
2021-01-27,16,48,51,12
2021-01-28,7,23,47,5
2021-01-29,7,35,32,4
2021-01-30,10,13,16,3
2021-01-31,10,32,38,5
2021-02-01,11,49,116,5
2021-02-02,8,9,17,3
2021-02-03,13,11,11,5
2021-02-04,17,12,23,8
2021-02-05,10,13,17,6
2021-02-06,20,12,10,11
2021-02-07,19,7,5,8
2021-02-08,15,12,8,5
2021-02-09,12,13,10,4
2021-02-10,9,23,17,3
2021-02-11,18,70,106,13
2021-02-12,15,24,69,9
2021-02-13,18,12,15,7
2021-02-14,14,11,16,10
2021-02-15,17,21,42,14
2021-02-16,10,11,23,7
2021-02-17,11,No data,No data,7
2021-02-18,6,No data,No data,4
2021-02-19,8,No data,18,5
2021-02-20,19,No data,13,9
2021-02-21,11,No data,21,7
2021-02-22,10,No data,40,7
2021-02-23,8,No data,18,6
2021-02-24,2,No data,25,1
2021-02-25,9,No data,20,5
2021-02-26,9,No data,41,5
2021-02-27,11,No data,30,7
2021-02-28,22,No data,53,16
2021-03-01,28,No data,78,24
2021-03-02,23,No data,38,19
2021-03-03,29,No data,26,24
2021-03-04,9,No data,12,4
2021-03-05,8,No data,22,3
2021-03-06,17,No data,36,14
2021-03-07,20,No data,19,15
2021-03-08,12,No data,24,9
2021-03-09,14,No data,30,10
2021-03-10,7,No data,19,5
2021-03-11,7,No data,11,4
2021-03-12,4,No data,16,3
2021-03-13,3,No data,13,2
2021-03-14,5,No data,9,3
2021-03-15,6,No data,23,3
2021-03-16,13,No data,29,7
2021-03-17,19,No data,49,11
2021-03-18,13,No data,26,8
2021-03-19,4,No data,11,3
2021-03-20,7,No data,18,5
2021-03-21,15,No data,28,8
2021-03-22,9,No data,19,6
2021-03-23,7,No data,17,5
2021-03-24,8,No data,19,4
2021-03-25,8,No data,19,4
2021-03-26,6,No data,16,3
2021-03-27,8,No data,10,4
2021-03-28,3,No data,5,2
2021-03-29,3,No data,9,2
2021-03-30,11,No data,24,5
2021-03-31,24,No data,41,15
2021-04-01,10,No data,8,4
2021-04-02,14,No data,14,7
2021-04-03,18,No data,13,9
2021-04-04,12,No data,10,8
2021-04-05,7,No data,6,3
2021-04-06,7,No data,10,3
2021-04-07,9,No data,19,4
2021-04-08,6,No data,16,3
2021-04-09,15,No data,28,6
2021-04-10,11,No data,27,5
2021-04-11,8,No data,12,4
2021-04-12,11,No data,32,4
2021-04-13,15,No data,51,7
2021-04-14,15,No data,57,9
2021-04-15,11,No data,51,5
2021-04-16,12,No data,47,6
2021-04-17,17,No data,33,10
2021-04-18,12,No data,25,7
2021-04-19,20,No data,56,12
2021-04-20,32,No data,36,23
2021-04-21,16,No data,14,7
2021-04-22,16,No data,46,7
2021-04-23,26,No data,53,13
2021-04-24,14,No data,12,8
2021-04-25,10,No data,22,6
2021-04-26,15,No data,41,9
2021-04-27,11,No data,16,6
2021-04-28,13,No data,8,6
2021-04-29,6,No data,14,3
2021-04-30,9,No data,25,5
2021-05-01,7,No data,19,4
2021-05-02,8,No data,19,5
2021-05-03,5,No data,16,4
2021-05-04,9,No data,11,4
2021-05-05,6,No data,20,3
2021-05-06,5,No data,27,3
2021-05-07,10,No data,34,5
2021-05-08,9,No data,30,6
2021-05-09,7,No data,16,5
2021-05-10,8,No data,25,4
2021-05-11,11,No data,27,6
2021-05-12,10,No data,32,7
2021-05-13,16,No data,14,12
2021-05-14,9,No data,18,5
2021-05-15,19,No data,19,10
2021-05-16,14,No data,15,9
2021-05-17,7,No data,25,4
2021-05-18,5,No data,24,2
2021-05-19,7,No data,19,4
2021-05-20,9,No data,29,4
2021-05-21,7,No data,15,4
2021-05-22,No data,No data,15,No data
2021-05-23,No data,No data,14,No data
2021-05-24,No data,No data,18,No data
2021-05-25,No data,No data,15,No data
2021-05-26,8,No data,7,5
2021-05-27,13,No data,20,7
2021-05-28,21,No data,34,16
2021-05-29,15,No data,21,12
2021-05-30,12,No data,No data,9
2021-05-31,14,No data,No data,10
2021-06-01,14,No data,No data,10
2021-06-02,18,No data,No data,12
2021-06-03,17,No data,21,10
2021-06-04,9,No data,30,4
2021-06-05,8,No data,28,4
