Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2019-05-22,28,42,13,12,10,12
2019-05-23,28,36,14,13,11,13
2019-05-24,21,26,10,11,7,9
2019-05-25,20,29,11,11,9,10
2019-05-26,17,18,9,11,7,9
2019-05-27,15,18,8,9,6,7
2019-05-28,23,62,8,12,7,9
2019-05-29,42,57,14,16,11,10
2019-05-30,24,26,11,13,9,9
2019-05-31,22,21,9,No data,7,8
2019-06-01,25,51,10,12,9,10
2019-06-02,26,24,13,12,11,10
2019-06-03,19,17,12,9,7,7
2019-06-04,44,79,14,12,10,11
2019-06-05,35,35,8,9,6,7
2019-06-06,50,49,12,12,10,9
2019-06-07,42,93,17,16,14,16
2019-06-08,29,40,11,11,9,10
2019-06-09,29,28,11,11,9,10
2019-06-10,31,75,10,12,9,10
2019-06-11,19,46,9,9,6,8
2019-06-12,24,70,6,9,6,8
2019-06-13,35,77,5,9,5,8
2019-06-14,51,80,12,11,10,10
2019-06-15,48,55,14,12,11,11
2019-06-16,30,25,10,9,9,9
2019-06-17,27,28,7,8,6,7
2019-06-18,32,39,13,12,10,11
2019-06-19,31,60,11,12,9,11
2019-06-20,31,37,10,9,8,9
2019-06-21,30,45,10,9,7,9
2019-06-22,25,58,13,13,11,13
2019-06-23,15,37,14,13,10,12
2019-06-24,35,70,21,19,18,19
2019-06-25,21,50,10,13,10,13
2019-06-26,22,67,11,11,7,10
2019-06-27,18,64,10,11,8,11
2019-06-28,17,63,18,15,12,15
2019-06-29,30,63,27,20,20,23
2019-06-30,12,16,9,9,7,9
2019-07-01,20,23,9,9,6,9
2019-07-02,23,34,10,8,7,7
2019-07-03,22,58,12,11,9,10
2019-07-04,27,32,13,11,9,9
2019-07-05,23,31,9,10,7,7
2019-07-06,15,43,8,11,6,9
2019-07-07,23,38,12,10,9,9
2019-07-08,26,62,15,10,10,9
2019-07-09,47,60,15,13,11,12
2019-07-10,36,43,15,14,13,13
2019-07-11,27,29,9,10,8,8
2019-07-12,24,37,9,10,7,8
2019-07-13,18,46,9,10,8,8
2019-07-14,11,39,7,9,6,6
2019-07-15,33,43,11,11,9,8
2019-07-16,40,42,15,12,12,10
2019-07-17,35,37,14,12,11,10
2019-07-18,25,27,9,8,7,7
2019-07-19,52,77,14,10,11,10
2019-07-20,25,25,11,10,7,7
2019-07-21,21,19,9,10,8,7
2019-07-22,20,17,10,9,8,6
2019-07-23,28,47,17,12,13,11
2019-07-24,27,32,19,19,17,15
2019-07-25,45,81,32,28,22,20
2019-07-26,38,44,20,18,15,14
2019-07-27,22,35,7,10,6,6
2019-07-28,25,29,10,11,7,8
2019-07-29,30,37,No data,11,No data,6
2019-07-30,27,66,No data,No data,No data,No data
2019-07-31,25,38,No data,No data,No data,No data
2019-08-01,20,44,No data,No data,No data,No data
2019-08-02,21,55,No data,No data,No data,No data
2019-08-03,49,46,No data,No data,No data,No data
2019-08-04,39,39,No data,No data,No data,No data
2019-08-05,26,25,No data,No data,No data,No data
2019-08-06,19,13,12,8,8,8
2019-08-07,22,No data,9,6,7,6
2019-08-08,20,No data,11,9,8,No data
2019-08-09,28,43,13,12,10,No data
2019-08-10,15,11,10,7,6,No data
2019-08-11,15,12,8,7,5,No data
2019-08-12,23,28,10,9,6,No data
2019-08-13,25,29,8,8,6,No data
2019-08-14,64,93,14,13,10,No data
2019-08-15,23,28,10,9,6,No data
