Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2020-12-10,56,85,20,19,14,12
2020-12-11,55,113,15,19,12,13
2020-12-12,30,46,11,16,9,10
2020-12-13,44,56,11,15,9,8
2020-12-14,37,39,12,20,6,7
2020-12-15,72,113,17,24,10,10
2020-12-16,54,65,11,18,7,7
2020-12-17,54,52,11,14,6,6
2020-12-18,28,33,3,9,2,2
2020-12-19,24,26,6,12,3,5
2020-12-20,19,17,6,11,3,4
2020-12-21,109,138,14,21,11,12
2020-12-22,118,152,17,24,11,15
2020-12-23,22,50,8,13,6,8
2020-12-24,19,34,5,8,2,3
2020-12-25,23,21,10,11,7,6
2020-12-26,13,9,7,8,4,2
2020-12-27,26,33,8,12,5,6
2020-12-28,33,54,16,18,13,13
2020-12-29,27,55,7,10,5,6
2020-12-30,46,74,13,15,10,11
2020-12-31,42,67,16,17,14,14
2021-01-01,17,34,6,10,4,5
2021-01-02,22,49,5,8,3,4
2021-01-03,14,39,5,8,3,4
2021-01-04,15,53,6,8,4,4
2021-01-05,25,69,6,7,4,4
2021-01-06,34,76,7,8,5,5
2021-01-07,56,82,18,15,15,14
2021-01-08,25,53,7,8,5,6
2021-01-09,48,63,14,12,11,10
2021-01-10,29,24,7,7,6,5
2021-01-11,25,22,4,4,2,1
2021-01-12,38,74,9,10,5,6
2021-01-13,71,122,14,18,10,13
2021-01-14,42,64,7,9,6,7
2021-01-15,116,128,23,20,18,16
2021-01-16,49,50,16,14,11,10
2021-01-17,17,16,11,13,6,4
2021-01-18,38,39,8,10,5,4
2021-01-19,46,42,4,6,2,2
2021-01-20,33,33,3,7,2,2
2021-01-21,25,21,6,8,3,3
2021-01-22,46,53,14,15,7,8
2021-01-23,36,59,11,11,9,10
2021-01-24,60,79,16,18,13,15
2021-01-25,30,34,10,11,6,6
2021-01-26,107,142,22,20,13,13
2021-01-27,82,97,24,No data,17,15
2021-01-28,77,123,12,No data,10,11
2021-01-29,29,47,10,No data,6,7
2021-01-30,14,42,9,29,4,5
2021-01-31,30,63,11,28,6,8
2021-02-01,38,104,16,18,7,8
2021-02-02,46,87,6,9,5,6
2021-02-03,39,88,6,9,5,6
2021-02-04,42,84,16,15,13,12
2021-02-05,62,104,18,16,14,13
2021-02-06,19,49,9,10,8,8
2021-02-07,7,28,14,31,7,5
2021-02-08,12,41,7,10,4,4
2021-02-09,18,55,5,7,3,4
2021-02-10,25,73,8,20,5,6
2021-02-11,39,75,16,57,8,8
2021-02-12,28,55,21,55,11,12
2021-02-13,25,37,23,32,10,10
2021-02-14,30,34,16,19,10,10
2021-02-15,67,85,18,18,12,12
2021-02-16,33,31,13,17,7,7
2021-02-17,33,33,17,20,8,7
2021-02-18,20,20,10,10,4,4
2021-02-19,30,25,10,No data,6,No data
2021-02-20,22,20,24,No data,11,No data
2021-02-21,36,45,15,No data,9,No data
2021-02-22,57,81,19,No data,12,No data
2021-02-23,36,31,14,No data,7,No data
2021-02-24,21,13,9,11,4,4
2021-02-25,27,34,16,24,8,8
2021-02-26,54,67,20,33,12,14
2021-02-27,81,90,26,35,17,18
2021-02-28,59,69,32,43,23,24
2021-03-01,43,No data,36,39,32,30
2021-03-02,38,No data,45,55,38,37
2021-03-03,42,80,50,57,43,42
2021-03-04,18,54,12,45,7,9
2021-03-05,27,69,14,38,5,8
2021-03-06,31,57,31,47,21,24
2021-03-07,26,34,32,39,24,24
2021-03-08,31,32,18,26,12,12
2021-03-09,37,36,23,29,11,10
2021-03-10,No data,16,No data,7,No data,4
2021-03-11,No data,17,No data,16,No data,5
2021-03-12,22,22,8,10,4,4
2021-03-13,19,17,6,9,3,3
2021-03-14,16,14,9,10,5,5
2021-03-15,21,35,12,24,6,6
2021-03-16,23,43,13,29,7,8
2021-03-17,38,72,20,44,10,10
2021-03-18,31,55,21,No data,12,11
2021-03-19,16,50,6,22,3,5
2021-03-20,16,25,8,16,5,6
2021-03-21,13,26,12,22,7,7
2021-03-22,23,28,11,16,6,5
2021-03-23,25,22,17,16,9,8
2021-03-24,26,29,13,16,5,5
2021-03-25,23,22,12,14,5,5
2021-03-26,20,24,11,13,4,5
2021-03-27,16,15,12,16,6,6
2021-03-28,7,7,3,4,2,2
2021-03-29,16,16,6,9,2,3
2021-03-30,42,56,24,33,11,14
2021-03-31,68,75,39,44,22,21
2021-04-01,12,49,9,21,4,5
2021-04-02,11,39,11,22,6,8
2021-04-03,16,43,20,33,10,13
2021-04-04,27,17,22,23,14,13
2021-04-05,9,19,8,9,3,3
2021-04-06,19,41,7,13,3,2
2021-04-07,22,35,10,14,3,4
2021-04-08,21,22,11,13,5,4
2021-04-09,22,46,10,25,4,7
2021-04-10,16,49,9,21,5,7
2021-04-11,12,28,8,16,3,4
2021-04-12,23,46,12,22,4,5
2021-04-13,27,58,13,24,6,6
2021-04-14,18,55,13,23,7,8
2021-04-15,26,70,11,19,5,6
2021-04-16,59,78,22,27,11,14
2021-04-17,39,58,25,29,17,17
2021-04-18,32,51,22,26,14,14
2021-04-19,43,73,34,37,18,18
2021-04-20,46,67,47,50,30,31
2021-04-21,12,54,18,41,9,11
2021-04-22,51,73,25,27,10,10
2021-04-23,67,90,28,31,12,13
2021-04-24,19,46,20,29,12,14
2021-04-25,9,36,11,15,8,8
2021-04-26,30,53,21,24,9,9
2021-04-27,27,60,18,40,10,12
2021-04-28,13,50,14,29,8,10
2021-04-29,18,54,8,21,4,6
2021-04-30,20,65,10,23,6,8
2021-05-01,27,55,12,23,7,10
2021-05-02,32,39,14,19,10,12
2021-05-03,25,29,11,11,8,8
2021-05-04,20,24,3,6,1,2
2021-05-05,21,37,7,13,3,4
2021-05-06,26,35,6,13,3,4
2021-05-07,32,44,9,18,4,6
2021-05-08,37,50,10,11,8,8
2021-05-09,16,19,7,10,4,5
2021-05-10,25,25,11,17,5,6
2021-05-11,36,56,12,21,6,7
2021-05-12,39,47,9,14,5,8
2021-05-13,25,61,13,32,9,12
2021-05-14,18,66,11,26,8,10
2021-05-15,25,68,19,23,15,17
2021-05-16,21,47,15,21,11,13
2021-05-17,25,51,12,20,6,9
2021-05-18,25,34,7,13,4,6
2021-05-19,23,33,7,13,3,6
2021-05-20,46,65,15,14,7,7
2021-05-21,29,50,4,6,2,6
2021-05-22,23,34,4,9,2,5
2021-05-23,25,26,7,9,4,5
2021-05-24,33,38,8,12,4,6
2021-05-25,25,31,7,12,3,6
2021-05-26,26,49,10,13,5,8
2021-05-27,29,59,18,23,11,14
2021-05-28,35,70,22,28,15,17
2021-05-29,28,57,23,29,17,20
2021-05-30,22,57,19,23,16,17
2021-05-31,18,47,23,29,17,20
2021-06-01,18,58,20,26,13,16
2021-06-02,14,53,23,31,14,18
2021-06-03,19,51,27,36,16,19
2021-06-04,19,44,11,15,5,8
2021-06-05,19,31,10,14,5,9
2021-06-06,14,34,10,15,6,9
2021-06-07,22,40,18,23,12,14
2021-06-08,23,30,13,15,6,9
2021-06-09,26,26,11,11,4,6
2021-06-10,19,17,9,8,3,5
2021-06-11,17,21,12,13,5,7
2021-06-12,16,23,10,14,5,8
2021-06-13,18,23,8,12,5,7
2021-06-14,22,23,10,13,5,7
2021-06-15,19,32,16,16,7,9
2021-06-16,22,27,13,15,5,7
2021-06-17,18,40,11,15,5,7
2021-06-18,16,67,11,15,5,8
2021-06-19,12,42,10,19,5,10
2021-06-20,9,38,10,17,7,11
2021-06-21,18,54,13,18,7,10
2021-06-22,17,49,16,18,9,10
2021-06-23,20,28,16,18,10,11
2021-06-24,22,29,8,12,5,7
2021-06-25,18,48,10,12,3,6
2021-06-26,11,45,5,14,3,6
2021-06-27,8,43,7,20,5,8
2021-06-28,25,57,12,20,6,8
2021-06-29,22,55,15,27,9,12
2021-06-30,17,57,13,19,7,10
2021-07-01,15,56,18,24,9,12
2021-07-02,32,64,31,34,16,20
2021-07-03,30,61,25,30,18,22
2021-07-04,24,41,8,10,5,7
2021-07-05,26,31,9,11,4,5
2021-07-06,26,37,6,9,3,4
2021-07-07,27,33,9,13,5,7
2021-07-08,18,23,9,13,6,8
2021-07-09,20,41,11,18,7,11
2021-07-10,17,56,17,26,13,17
2021-07-11,26,40,15,14,10,15
2021-07-12,22,59,13,12,10,10
2021-07-13,17,42,8,11,3,7
2021-07-14,17,25,8,12,5,11
2021-07-15,18,45,11,14,5,5
2021-07-16,25,45,12,14,6,7
2021-07-17,15,23,10,12,5,7
2021-07-18,14,22,12,13,6,7
2021-07-19,20,36,17,19,8,10
2021-07-20,23,38,24,25,11,14
2021-07-21,17,46,27,34,16,20
2021-07-22,36,51,28,32,13,16
2021-07-23,16,57,15,25,9,11
2021-07-24,11,45,11,19,6,8
2021-07-25,11,34,12,19,8,9
2021-07-26,No data,32,17,23,10,13
2021-07-27,No data,35,20,No data,13,No data
2021-07-28,No data,21,9,No data,5,No data
2021-07-29,No data,20,7,No data,3,No data
2021-07-30,No data,65,9,No data,5,No data
2021-07-31,No data,22,6,13,4,6
2021-08-01,No data,35,7,13,3,6
2021-08-02,No data,44,23,18,7,7
2021-08-03,No data,35,12,14,6,7
2021-08-04,No data,54,No data,23,No data,13
2021-08-05,No data,48,No data,24,No data,13
2021-08-06,34,32,11,12,5,6
2021-08-07,29,25,15,11,5,6
2021-08-08,19,12,7,11,4,7
2021-08-09,31,28,12,14,5,7
2021-08-10,29,32,9,13,5,7
2021-08-11,32,27,15,11,6,7
2021-08-12,24,No data,13,14,6,7
2021-08-13,16,No data,15,16,6,8
2021-08-14,19,29,11,14,6,9
2021-08-15,20,26,9,11,6,7
2021-08-16,16,20,17,20,12,14
2021-08-17,20,23,6,8,3,5
2021-08-18,19,No data,5,7,3,4
2021-08-19,31,No data,9,12,5,7
2021-08-20,37,No data,11,14,6,8
2021-08-21,36,No data,8,14,5,8
2021-08-22,15,No data,8,No data,5,8
2021-08-23,13,No data,8,No data,5,7
2021-08-24,15,No data,7,No data,4,7
2021-08-25,15,No data,10,No data,6,9
2021-08-26,16,No data,9,No data,5,7
2021-08-27,18,No data,9,16,5,7
2021-08-28,17,No data,10,15,6,7
2021-08-29,11,No data,9,16,6,8
2021-08-30,11,No data,6,12,3,5
2021-08-31,16,No data,9,17,5,6
2021-09-01,16,No data,15,25,9,10
2021-09-02,12,No data,14,22,8,9
2021-09-03,15,No data,17,23,11,12
2021-09-04,15,No data,15,22,10,11
2021-09-05,16,No data,20,27,12,12
2021-09-06,39,No data,33,38,22,24
2021-09-07,57,No data,41,40,25,26
2021-09-08,35,No data,39,40,23,24
2021-09-09,47,No data,38,46,26,29
2021-09-10,37,No data,12,21,9,10
2021-09-11,18,No data,7,13,4,6
2021-09-12,11,No data,5,11,3,4
2021-09-13,19,No data,11,19,5,7
2021-09-14,29,No data,8,15,5,7
2021-09-15,28,No data,7,18,4,7
2021-09-16,48,No data,12,20,8,8
2021-09-17,74,No data,18,21,10,10
2021-09-18,62,No data,18,22,11,12
2021-09-19,20,No data,12,18,8,9
2021-09-20,22,No data,6,14,3,3
2021-09-21,27,No data,12,18,6,6
2021-09-22,32,No data,15,16,6,5
2021-09-23,23,No data,14,17,6,5
2021-09-24,29,No data,13,17,8,8
2021-09-25,49,No data,10,16,6,8
2021-09-26,34,No data,14,17,9,9
2021-09-27,24,No data,8,12,3,4
2021-09-28,41,No data,10,15,5,6
2021-09-29,26,No data,6,14,3,5
2021-09-30,38,No data,8,12,4,4
2021-10-01,27,No data,9,13,4,4
2021-10-02,36,No data,10,14,6,6
2021-10-03,19,No data,7,12,3,4
2021-10-04,47,No data,10,14,4,5
2021-10-05,24,No data,4,8,2,2
2021-10-06,35,No data,7,13,3,4
2021-10-07,No data,No data,No data,18,No data,6
2021-10-08,84,No data,15,20,7,7
2021-10-09,63,No data,20,24,13,14
2021-10-10,19,No data,8,15,4,5
2021-10-11,26,No data,10,17,5,5
2021-10-12,25,No data,8,17,4,4
2021-10-13,33,No data,10,14,5,6
2021-10-14,24,No data,13,16,6,6
2021-10-15,68,No data,14,23,7,9
2021-10-16,96,No data,33,29,17,18
2021-10-17,34,No data,14,20,10,10
2021-10-18,73,No data,24,27,16,17
2021-10-19,48,No data,10,13,5,5
2021-10-20,44,No data,13,21,6,8
2021-10-21,27,No data,8,13,4,4
2021-10-22,28,No data,8,13,4,4
2021-10-23,29,No data,9,12,5,5
2021-10-24,29,No data,9,14,6,4
2021-10-25,40,No data,12,16,6,6
2021-10-26,31,No data,10,15,5,5
2021-10-27,17,No data,8,11,3,4
2021-10-28,28,No data,14,13,6,5
2021-10-29,36,No data,10,18,5,6
2021-10-30,47,No data,10,15,6,7
2021-10-31,23,No data,7,9,4,4
2021-11-01,31,No data,9,12,4,4
2021-11-02,64,No data,11,22,7,9
2021-11-03,32,No data,5,17,3,5
2021-11-04,39,No data,6,14,3,4
2021-11-05,58,No data,25,31,19,20
2021-11-06,22,No data,12,17,8,8
2021-11-07,22,No data,19,23,9,8
2021-11-08,60,No data,17,21,9,8
2021-11-09,28,No data,10,12,4,4
2021-11-10,59,No data,12,20,7,8
2021-11-11,57,No data,19,29,12,12
2021-11-12,29,No data,8,11,5,4
2021-11-13,28,50,6,14,4,6
2021-11-14,36,72,15,23,11,12
2021-11-15,148,158,34,36,22,22
2021-11-16,50,46,12,16,8,8
2021-11-17,38,38,18,23,8,7
2021-11-18,33,27,7,10,3,2
2021-11-19,40,37,5,10,3,3
2021-11-20,25,29,6,9,3,3
2021-11-21,19,42,4,10,2,6
2021-11-22,44,79,11,17,5,5
2021-11-23,55,86,9,11,6,7
2021-11-24,43,54,14,24,6,6
2021-11-25,37,54,15,26,6,6
2021-11-26,24,33,4,7,2,3
2021-11-27,14,30,8,18,4,7
2021-11-28,35,52,9,18,5,8
2021-11-29,57,68,9,11,7,9
2021-11-30,27,No data,4,4,2,3
2021-12-01,23,40,6,16,2,6
2021-12-02,43,63,18,30,6,8
2021-12-03,65,77,12,12,8,10
2021-12-04,29,35,6,9,4,7
2021-12-05,21,44,3,7,2,7
2021-12-06,60,74,9,9,6,7
2021-12-07,42,64,13,11,7,7
2021-12-08,32,41,4,5,2,5
2021-12-09,57,67,12,9,6,8
2021-12-10,38,47,8,12,4,7
2021-12-11,65,86,13,17,9,10
2021-12-12,35,46,5,7,4,6
2021-12-13,66,101,12,14,8,12
2021-12-14,53,67,11,12,9,11
2021-12-15,39,41,7,8,4,4
2021-12-16,122,117,15,18,11,11
2021-12-17,99,145,14,15,11,12
2021-12-18,57,84,13,14,12,11
2021-12-19,54,84,8,10,7,8
2021-12-20,28,96,13,26,8,8
2021-12-21,37,64,27,48,15,14
2021-12-22,81,123,33,31,24,23
2021-12-23,129,148,26,25,20,20
2021-12-24,28,53,8,9,6,5
2021-12-25,7,17,11,18,5,4
2021-12-26,25,55,9,10,8,8
2021-12-27,37,66,14,13,12,11
2021-12-28,31,48,5,8,4,4
2021-12-29,35,41,14,15,9,10
2021-12-30,17,14,3,5,2,3
2021-12-31,17,23,9,16,5,8
2022-01-01,15,15,17,23,10,10
2022-01-02,11,11,10,12,5,5
2022-01-03,12,15,13,16,6,5
2022-01-04,22,36,10,11,4,4
2022-01-05,29,48,17,24,6,6
2022-01-06,74,85,13,14,7,8
2022-01-07,36,50,7,8,4,5
2022-01-08,37,50,14,14,8,8
2022-01-09,34,38,14,17,8,8
2022-01-10,91,131,21,22,14,15
2022-01-11,77,103,19,23,12,13
2022-01-12,46,42,12,15,8,8
2022-01-13,36,35,10,13,7,8
2022-01-14,69,99,16,18,12,14
2022-01-15,210,233,44,40,38,40
2022-01-16,40,64,16,18,13,15
2022-01-17,45,60,13,16,9,10
2022-01-18,149,127,24,19,16,17
2022-01-19,27,38,12,14,7,8
2022-01-20,34,61,23,44,8,10
2022-01-21,44,57,10,12,6,8
2022-01-22,25,35,5,8,3,6
2022-01-23,28,31,11,13,9,11
2022-01-24,67,93,38,44,21,22
2022-01-25,47,74,48,35,30,28
2022-01-26,32,36,19,23,11,13
2022-01-27,22,31,11,18,5,7
2022-01-28,48,63,11,14,8,11
2022-01-29,15,16,14,23,6,9
2022-01-30,24,29,16,22,7,9
2022-01-31,22,26,13,19,5,7
2022-02-01,20,16,12,18,6,8
2022-02-02,32,34,7,10,4,8
2022-02-03,30,29,14,16,7,9
2022-02-04,32,39,9,15,4,6
2022-02-05,18,16,7,10,4,6
2022-02-06,17,13,5,8,3,4
2022-02-07,41,53,11,12,6,6
2022-02-08,24,26,6,7,3,4
2022-02-09,30,35,9,No data,4,4
2022-02-10,24,31,13,No data,5,5
2022-02-11,74,84,19,27,9,9
2022-02-12,17,15,8,8,4,4
2022-02-13,26,29,5,4,3,3
2022-02-14,27,35,4,No data,2,No data
2022-02-15,41,42,15,No data,8,No data
2022-02-16,20,17,12,No data,7,No data
2022-02-17,38,43,10,No data,5,No data
2022-02-18,27,25,8,No data,4,No data
2022-02-19,36,54,9,11,5,7
2022-02-20,15,12,6,19,4,4
2022-02-21,18,23,16,22,8,8
2022-02-22,27,No data,13,19,7,7
2022-02-23,21,No data,10,11,4,4
2022-02-24,28,No data,8,12,4,5
2022-02-25,42,No data,16,27,7,8
2022-02-26,59,No data,22,28,11,9
2022-02-27,33,No data,20,29,11,11
2022-02-28,54,No data,17,17,11,11
2022-03-01,32,No data,13,36,6,7
2022-03-02,32,No data,30,34,25,27
2022-03-03,71,No data,53,92,43,50
2022-03-04,42,No data,10,35,8,14
2022-03-05,15,No data,8,19,4,6
2022-03-06,28,No data,12,29,6,7
2022-03-07,43,No data,15,45,8,8
2022-03-08,41,56,42,47,26,25
2022-03-09,45,48,34,33,19,16
2022-03-10,42,52,24,32,12,11
2022-03-11,30,47,30,36,18,17
2022-03-12,22,29,12,17,6,6
2022-03-13,21,31,13,18,8,9
2022-03-14,37,38,14,20,7,8
2022-03-15,78,78,28,32,13,12
2022-03-16,61,85,26,31,18,20
2022-03-17,No data,34,No data,18,No data,7
2022-03-18,No data,85,No data,37,No data,14
2022-03-19,23,56,20,35,13,15
2022-03-20,22,46,36,45,25,24
2022-03-21,75,91,64,64,43,37
2022-03-22,42,75,66,73,48,45
2022-03-23,91,90,90,93,63,59
2022-03-24,130,106,85,78,46,44
2022-03-25,96,95,57,62,29,27
2022-03-26,39,61,39,50,26,26
2022-03-27,24,39,20,30,14,16
2022-03-28,58,81,33,44,23,24
2022-03-29,27,67,20,38,15,16
2022-03-30,18,47,8,11,5,6
2022-03-31,23,No data,4,No data,2,No data
2022-04-01,29,63,9,23,3,6
2022-04-02,26,59,9,28,4,7
2022-04-03,21,25,10,20,6,6
2022-04-04,18,14,3,6,1,1
2022-04-05,23,16,7,10,3,2
2022-04-06,18,17,6,10,3,3
2022-04-07,21,26,6,13,3,3
2022-04-08,26,52,7,16,3,5
2022-04-09,24,35,8,14,4,5
2022-04-10,28,38,13,21,7,8
2022-04-11,24,49,22,35,13,14
2022-04-12,46,71,35,39,27,27
2022-04-13,31,33,16,21,11,12
2022-04-14,39,46,18,25,11,12
2022-04-15,48,56,25,32,17,18
2022-04-16,25,46,29,35,22,24
2022-04-17,23,35,24,26,18,18
2022-04-18,14,20,7,11,4,4
2022-04-19,16,53,10,24,4,7
2022-04-20,17,45,14,27,8,10
2022-04-21,13,45,17,30,11,14
2022-04-22,10,38,17,27,9,10
2022-04-23,8,32,21,29,12,12
2022-04-24,6,25,15,24,8,9
2022-04-25,16,55,16,30,8,8
2022-04-26,15,51,12,24,7,8
2022-04-27,17,60,15,26,7,7
2022-04-28,18,76,17,28,9,8
2022-04-29,35,66,21,29,12,12
2022-04-30,32,35,20,23,14,13
2022-05-01,23,34,14,18,11,11
2022-05-02,15,41,16,21,14,14
2022-05-03,31,69,24,30,16,15
2022-05-04,34,37,14,18,9,10
2022-05-05,24,31,8,14,4,4
2022-05-06,35,48,11,14,6,6
2022-05-07,15,54,11,21,7,7
2022-05-08,17,37,18,25,11,11
2022-05-09,27,35,21,21,9,8
2022-05-10,14,17,12,14,5,4
2022-05-11,21,22,9,12,4,4
2022-05-12,19,24,10,13,4,4
2022-05-13,17,23,18,24,9,8
2022-05-14,23,35,23,27,14,14
2022-05-15,17,40,24,36,16,17
2022-05-16,31,56,17,22,12,14
2022-05-17,31,45,17,31,8,10
2022-05-18,21,28,12,17,5,5
2022-05-19,22,33,10,18,5,6
2022-05-20,30,34,13,15,6,6
2022-05-21,24,28,11,16,6,8
2022-05-22,18,18,6,9,3,4
2022-05-23,19,23,8,10,3,3
2022-05-24,20,22,6,12,2,4
2022-05-25,19,20,7,13,3,4
2022-05-26,19,19,8,15,4,5
2022-05-27,18,20,12,19,5,6
2022-05-28,12,45,6,16,3,7
2022-05-29,11,30,6,15,3,7
2022-05-30,27,35,8,17,4,6
2022-05-31,26,47,6,11,3,4
2022-06-01,27,55,8,18,4,5
2022-06-02,35,55,15,19,10,14
2022-06-03,13,53,10,16,7,11
2022-06-04,7,48,9,16,6,9
2022-06-05,7,54,9,15,6,8
2022-06-06,21,63,10,15,6,7
2022-06-07,19,58,15,21,9,10
2022-06-08,25,33,10,14,6,8
2022-06-09,24,27,13,15,6,7
2022-06-10,15,14,19,20,9,10
2022-06-11,11,10,14,15,7,8
2022-06-12,12,11,11,14,6,8
2022-06-13,18,28,8,12,4,6
2022-06-14,25,39,12,16,7,9
2022-06-15,22,No data,16,No data,9,No data
2022-06-16,24,No data,13,No data,6,No data
2022-06-17,25,26,18,16,6,10
2022-06-18,13,19,12,17,6,9
2022-06-19,10,27,10,14,5,8
2022-06-20,14,30,9,13,5,8
2022-06-21,17,29,12,14,6,9
2022-06-22,20,28,10,14,5,8
2022-06-23,26,51,20,20,8,12
2022-06-24,39,49,27,26,14,18
2022-06-25,17,21,10,12,4,7
2022-06-26,15,16,11,13,5,8
2022-06-27,21,25,8,11,4,7
2022-06-28,25,28,16,17,6,8
2022-06-29,28,39,9,15,4,7
2022-06-30,26,40,7,11,3,8
2022-07-01,26,37,8,15,4,9
2022-07-02,14,18,5,11,3,6
2022-07-03,16,16,6,11,3,7
2022-07-04,17,17,7,11,3,6
2022-07-05,15,21,8,13,4,7
2022-07-06,19,18,6,11,3,7
2022-07-07,16,23,5,10,3,7
2022-07-08,17,22,7,11,4,7
2022-07-09,10,18,4,9,2,6
2022-07-10,11,16,4,9,2,6
2022-07-11,29,31,11,15,4,9
2022-07-12,28,33,14,19,5,9
2022-07-13,13,20,8,15,4,7
2022-07-14,14,23,6,16,3,7
2022-07-15,20,23,9,15,4,8
2022-07-16,14,23,10,14,6,9
2022-07-17,24,29,16,19,9,12
2022-07-18,31,34,19,18,8,10
2022-07-19,41,49,40,34,15,18
2022-07-20,17,28,20,24,11,14
2022-07-21,16,54,13,25,6,12
2022-07-22,19,60,11,22,5,10
2022-07-23,22,25,11,15,6,8
2022-07-24,10,12,6,9,3,6
2022-07-25,14,20,7,13,3,7
2022-07-26,21,47,11,18,5,6
2022-07-27,23,44,15,No data,8,No data
2022-07-28,27,59,13,No data,6,No data
2022-07-29,30,55,14,No data,6,No data
2022-07-30,26,32,10,No data,6,No data
2022-07-31,12,33,6,No data,3,No data
2022-08-01,17,23,9,No data,4,No data
2022-08-02,15,11,6,No data,2,No data
2022-08-03,16,18,8,11,4,5
2022-08-04,16,17,7,12,3,4
2022-08-05,16,22,8,12,4,5
2022-08-06,15,22,9,13,5,5
2022-08-07,16,17,8,13,5,6
2022-08-08,16,28,9,18,6,7
2022-08-09,24,44,13,19,5,6
2022-08-10,43,66,26,29,9,11
2022-08-11,49,No data,32,31,10,11
2022-08-12,19,No data,20,28,8,10
2022-08-13,10,40,17,27,7,10
2022-08-14,14,35,23,30,12,15
2022-08-15,22,No data,24,31,14,14
2022-08-16,14,29,12,19,7,8
2022-08-17,10,38,9,18,4,3
2022-08-18,31,31,13,17,6,5
2022-08-19,22,22,12,19,5,6
2022-08-20,14,11,12,17,6,6
2022-08-21,17,20,7,15,4,5
2022-08-22,42,52,16,20,7,6
2022-08-23,32,36,10,18,6,7
2022-08-24,29,35,9,15,4,5
2022-08-25,21,38,8,20,4,7
2022-08-26,20,54,10,19,5,6
2022-08-27,28,45,12,20,7,7
2022-08-28,25,39,11,21,6,7
2022-08-29,9,34,7,14,3,5
2022-08-30,No data,44,No data,16,No data,4
2022-08-31,No data,52,No data,20,No data,5
