Date,NOx_1,NOx_2,PM2.5_2,PM10_1,PM10_2
2019-01-01,27,24,8,10,13
2019-01-02,32,50,6,11,14
2019-01-03,47,61,9,12,16
2019-01-04,123,87,24,29,32
2019-01-05,99,47,21,32,28
2019-01-06,92,46,17,24,25
2019-01-07,119,55,7,17,17
2019-01-08,90,36,6,18,17
2019-01-09,97,44,6,16,16
2019-01-10,111,64,20,25,28
2019-01-11,96,48,9,No data,14
2019-01-12,53,35,5,12,10
2019-01-13,22,11,4,12,9
2019-01-14,124,57,6,18,14
2019-01-15,107,56,4,No data,11
2019-01-16,99,42,4,10,10
2019-01-17,112,52,4,17,11
2019-01-18,138,82,8,20,17
2019-01-19,71,38,9,15,16
2019-01-20,28,32,17,22,23
2019-01-21,164,126,23,32,33
2019-01-22,164,71,5,11,10
2019-01-23,82,45,8,13,12
2019-01-24,315,256,30,No data,39
2019-01-25,186,103,16,25,22
2019-01-26,41,30,2,7,8
2019-01-27,19,15,2,8,8
2019-01-28,153,76,5,19,13
2019-01-29,175,151,13,17,21
2019-01-30,219,159,12,No data,19
2019-01-31,151,113,14,23,21
2019-02-01,22,39,9,10,13
2019-02-02,28,24,9,14,14
2019-02-03,88,59,4,15,13
2019-02-04,100,42,4,12,12
2019-02-05,153,49,7,13,11
2019-02-06,138,57,5,14,14
2019-02-07,78,37,2,15,12
2019-02-08,40,20,4,13,14
2019-02-09,47,35,4,13,15
2019-02-10,38,29,1,6,7
2019-02-11,142,96,7,No data,15
2019-02-12,232,150,No data,No data,No data
2019-02-13,160,61,No data,No data,No data
2019-02-14,186,149,No data,No data,No data
2019-02-15,220,174,No data,No data,No data
2019-02-16,131,91,18,31,32
2019-02-17,53,33,17,36,32
2019-02-18,152,84,7,18,17
2019-02-19,140,77,5,No data,18
2019-02-20,96,39,9,24,20
2019-02-21,105,46,10,29,23
2019-02-22,132,55,16,32,25
2019-02-23,115,69,33,45,47
2019-02-24,130,101,27,39,39
2019-02-25,239,216,26,44,40
2019-02-26,236,189,24,47,41
2019-02-27,242,217,39,57,60
2019-02-28,123,92,15,29,28
2019-03-01,104,48,10,27,22
2019-03-02,45,40,5,18,18
2019-03-03,18,20,3,14,17
2019-03-04,91,51,1,10,8
2019-03-05,103,43,4,No data,12
2019-03-06,64,31,6,15,16
2019-03-07,No data,No data,No data,No data,No data
2019-03-08,No data,No data,No data,No data,No data
2019-03-09,49,33,8,22,22
2019-03-10,24,16,4,11,9
2019-03-11,64,23,5,17,13
2019-03-12,67,31,4,13,14
2019-03-13,50,20,6,19,16
2019-03-14,55,23,3,11,10
2019-03-15,45,28,3,9,7
2019-03-16,22,14,5,13,14
2019-03-17,27,19,1,7,6
2019-03-18,92,31,4,15,11
2019-03-19,127,62,8,22,16
2019-03-20,108,52,7,19,13
2019-03-21,103,58,9,17,14
2019-03-22,111,47,11,19,15
2019-03-23,50,43,15,21,24
2019-03-24,38,28,9,15,15
2019-03-25,48,59,10,15,19
2019-03-26,90,72,13,25,22
2019-03-27,81,54,11,20,17
2019-03-28,130,110,25,34,34
2019-03-29,158,129,40,39,50
2019-03-30,96,80,38,42,48
2019-03-31,15,17,27,33,35
2019-04-01,44,37,13,23,26
2019-04-02,114,67,10,No data,17
2019-04-03,94,43,7,No data,11
2019-04-04,93,34,4,No data,9
2019-04-05,88,36,6,17,14
2019-04-06,22,24,23,28,29
2019-04-07,53,35,44,48,50
2019-04-08,84,44,34,44,42
2019-04-09,48,51,21,27,29
2019-04-10,18,25,13,20,22
2019-04-11,39,38,10,18,19
2019-04-12,48,42,17,23,25
2019-04-13,46,31,15,20,21
2019-04-14,29,24,16,21,21
2019-04-15,58,26,28,39,37
2019-04-16,102,46,39,48,46
2019-04-17,135,75,46,53,55
2019-04-18,48,41,34,41,41
2019-04-19,37,36,25,32,34
2019-04-20,58,46,23,31,32
2019-04-21,53,43,26,32,35
2019-04-22,91,53,40,46,48
2019-04-23,145,74,28,43,39
2019-04-24,84,49,16,27,28
2019-04-25,68,26,3,12,12
2019-04-26,74,27,4,13,12
2019-04-27,32,25,4,14,14
2019-04-28,23,27,7,11,16
2019-04-29,91,44,11,19,17
2019-04-30,107,48,15,24,22
2019-05-01,101,43,15,26,23
2019-05-02,75,19,5,12,10
2019-05-03,68,22,6,12,11
2019-05-04,10,17,3,8,11
2019-05-05,21,20,6,10,13
2019-05-06,27,18,4,9,11
2019-05-07,107,45,9,21,19
2019-05-08,63,28,6,19,20
2019-05-09,91,41,6,14,14
2019-05-10,90,50,8,15,15
2019-05-11,18,20,10,13,16
2019-05-12,38,30,9,13,16
2019-05-13,80,40,8,14,15
2019-05-14,45,31,4,12,13
2019-05-15,90,42,11,21,20
2019-05-16,58,36,11,20,22
2019-05-17,56,36,12,No data,22
2019-05-18,54,67,18,No data,26
2019-05-19,31,32,14,No data,20
2019-05-20,39,24,14,No data,20
2019-05-21,39,17,4,No data,11
2019-05-22,75,38,6,No data,13
2019-05-23,99,53,10,21,17
2019-05-24,30,16,7,13,13
2019-05-25,32,22,7,11,12
2019-05-26,26,26,4,8,10
2019-05-27,27,18,3,11,10
2019-05-28,50,17,3,8,8
2019-05-29,80,36,6,13,12
2019-05-30,63,33,7,17,16
2019-05-31,67,42,3,10,8
2019-06-01,127,56,7,14,12
2019-06-02,38,36,10,16,17
2019-06-03,55,29,5,17,15
2019-06-04,59,34,6,14,14
2019-06-05,55,27,3,13,10
2019-06-06,64,33,3,12,10
2019-06-07,40,29,6,9,10
2019-06-08,33,29,3,8,9
2019-06-09,30,31,4,9,10
2019-06-10,21,25,5,6,7
2019-06-11,23,24,3,5,6
2019-06-12,14,22,3,5,7
2019-06-13,54,29,4,9,9
2019-06-14,43,26,4,12,12
2019-06-15,34,35,5,9,11
2019-06-16,19,21,5,10,11
