Date,PM10,PM2.5,NOx
2019-01-01,18,6,17
2019-01-02,22,12,113
2019-01-03,30,No data,21
2019-01-04,35,26,43
2019-01-05,No data,11,24
2019-01-06,No data,17,37
2019-01-07,No data,7,13
2019-01-08,No data,9,24
2019-01-09,13,10,64
2019-01-10,No data,13,61
2019-01-11,No data,5,35
2019-01-12,No data,4,8
2019-01-13,No data,7,7
2019-01-14,No data,6,18
2019-01-15,No data,No data,13
2019-01-16,No data,No data,15
2019-01-17,No data,No data,57
2019-01-18,No data,No data,20
2019-01-19,No data,No data,26
2019-01-20,No data,No data,50
2019-01-21,No data,No data,36
2019-01-22,8,4,22
2019-01-23,23,21,134
2019-01-24,22,19,88
2019-01-25,11,5,14
2019-01-26,6,3,10
2019-01-27,19,5,7
2019-01-28,12,No data,31
2019-01-29,8,4,24
2019-01-30,8,6,32
2019-01-31,24,21,68
2019-02-01,15,12,41
2019-02-02,15,9,50
2019-02-03,12,8,22
2019-02-04,9,6,25
2019-02-05,15,12,33
2019-02-06,17,8,18
2019-02-07,10,5,12
2019-02-08,9,4,9
2019-02-09,15,7,6
2019-02-10,9,4,16
2019-02-11,14,7,46
2019-02-12,No data,No data,No data
2019-02-13,No data,No data,No data
2019-02-14,No data,No data,No data
2019-02-15,35,30,33
2019-02-16,16,9,11
2019-02-17,24,15,11
2019-02-18,13,7,10
2019-02-19,11,5,15
2019-02-20,11,8,16
2019-02-21,11,7,17
2019-02-22,26,17,21
2019-02-23,48,38,36
2019-02-24,43,38,40
2019-02-25,42,35,56
2019-02-26,49,33,100
2019-02-27,58,43,84
2019-02-28,61,51,132
2019-03-01,32,24,29
2019-03-02,14,5,9
2019-03-03,13,4,12
2019-03-04,11,2,13
2019-03-05,11,3,11
2019-03-06,6,2,13
2019-03-07,13,2,16
2019-03-08,14,4,18
2019-03-09,15,4,10
2019-03-10,8,3,9
2019-03-11,14,3,13
2019-03-12,8,1,11
2019-03-13,21,6,10
2019-03-14,15,3,11
2019-03-15,11,3,13
2019-03-16,5,1,8
2019-03-17,14,2,8
2019-03-18,10,3,22
2019-03-19,10,4,22
2019-03-20,9,4,23
2019-03-21,22,6,21
2019-03-22,14,3,10
2019-03-23,19,6,24
2019-03-24,15,4,17
2019-03-25,22,5,21
2019-03-26,18,5,24
2019-03-27,19,5,31
2019-03-28,28,16,44
2019-03-29,32,22,67
2019-03-30,29,21,27
2019-03-31,14,5,15
2019-04-01,23,10,15
2019-04-02,8,2,23
2019-04-03,9,3,31
2019-04-04,16,11,33
2019-04-05,14,9,24
2019-04-06,27,21,28
2019-04-07,34,29,24
2019-04-08,45,32,36
2019-04-09,28,13,29
2019-04-10,22,8,30
2019-04-11,20,6,31
2019-04-12,16,8,24
2019-04-13,16,7,20
2019-04-14,16,7,17
2019-04-15,35,23,14
2019-04-16,60,46,66
2019-04-17,48,33,35
2019-04-18,66,54,40
2019-04-19,47,32,39
2019-04-20,36,25,37
2019-04-21,36,26,29
2019-04-22,34,23,21
2019-04-23,51,30,41
2019-04-24,42,23,27
2019-04-25,11,4,16
2019-04-26,10,4,11
2019-04-27,12,2,8
2019-04-28,20,No data,15
2019-04-29,No data,No data,27
2019-04-30,27,21,21
2019-05-01,21,13,32
2019-05-02,11,3,25
2019-05-03,12,5,24
2019-05-04,10,2,15
2019-05-05,11,4,13
2019-05-06,8,1,13
2019-05-07,15,7,27
2019-05-08,16,11,41
2019-05-09,11,5,44
2019-05-10,13,7,28
2019-05-11,17,10,29
2019-05-12,9,2,17
2019-05-13,19,11,20
2019-05-14,21,11,22
2019-05-15,18,9,14
2019-05-16,18,8,19
2019-05-17,18,8,31
2019-05-18,10,5,18
2019-05-19,11,7,14
2019-05-20,16,6,22
2019-05-21,10,1,22
