Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2019-01-01,12,15,20,41,60
2019-01-02,11,16,28,68,185
2019-01-03,13,16,No data,31,106
2019-01-04,No data,No data,No data,218,284
2019-01-05,No data,No data,No data,249,267
2019-01-06,No data,No data,No data,140,182
2019-01-07,No data,No data,No data,24,36
2019-01-08,No data,No data,29,42,86
2019-01-09,12,18,34,50,192
2019-01-10,22,27,32,138,200
2019-01-11,10,12,16,55,144
2019-01-12,6,8,13,17,30
2019-01-13,7,11,16,9,21
2019-01-14,8,15,22,33,63
2019-01-15,6,8,10,36,59
2019-01-16,No data,No data,10,No data,82
2019-01-17,No data,No data,24,No data,146
2019-01-18,10,13,22,54,66
2019-01-19,9,8,12,29,42
2019-01-20,26,27,39,46,140
2019-01-21,23,23,28,103,157
2019-01-22,8,9,13,55,87
2019-01-23,12,13,24,113,162
2019-01-24,23,25,32,204,275
2019-01-25,14,16,22,71,87
2019-01-26,5,5,11,17,23
2019-01-27,5,7,17,11,25
2019-01-28,6,10,20,45,90
2019-01-29,6,6,13,53,93
2019-01-30,14,17,27,166,237
2019-01-31,17,17,27,90,164
2019-02-01,15,14,22,28,88
2019-02-02,10,9,20,40,122
2019-02-03,13,13,19,101,178
2019-02-04,14,14,20,122,147
2019-02-05,9,7,11,66,102
2019-02-06,7,12,20,43,82
2019-02-07,6,10,18,23,41
2019-02-08,5,6,13,18,36
2019-02-09,7,11,19,20,42
2019-02-10,4,4,11,16,25
2019-02-11,9,10,No data,61,78
2019-02-12,14,17,No data,141,253
2019-02-13,11,16,21,38,79
2019-02-14,21,23,28,60,88
2019-02-15,27,32,45,87,142
2019-02-16,14,18,25,25,67
2019-02-17,17,24,35,19,68
2019-02-18,8,15,24,23,61
2019-02-19,7,11,20,28,70
2019-02-20,7,12,20,23,64
2019-02-21,11,15,24,34,76
2019-02-22,24,25,33,39,72
2019-02-23,44,47,55,59,94
2019-02-24,47,50,58,138,204
2019-02-25,39,46,68,236,321
2019-02-26,37,46,62,227,291
2019-02-27,39,47,64,143,277
2019-02-28,22,25,32,41,78
2019-03-01,15,19,27,42,69
2019-03-02,7,8,15,21,49
2019-03-03,6,7,15,12,31
2019-03-04,4,5,12,19,37
2019-03-05,5,6,12,31,55
2019-03-06,7,8,15,21,46
2019-03-07,5,7,16,18,31
2019-03-08,7,10,20,39,66
2019-03-09,11,20,30,16,33
2019-03-10,5,5,12,9,19
2019-03-11,6,10,18,16,41
2019-03-12,5,7,13,16,31
2019-03-13,8,15,25,13,29
2019-03-14,6,10,17,14,26
2019-03-15,5,7,14,15,27
2019-03-16,5,7,13,9,23
2019-03-17,4,4,11,11,22
2019-03-18,7,12,16,32,50
2019-03-19,8,11,17,28,50
2019-03-20,5,6,10,23,44
2019-03-21,6,5,12,24,54
2019-03-22,11,11,18,30,58
2019-03-23,12,15,30,24,123
2019-03-24,10,11,23,26,69
2019-03-25,10,19,26,26,108
2019-03-26,14,28,34,69,155
2019-03-27,18,36,37,99,198
2019-03-28,25,34,46,88,207
2019-03-29,31,41,48,58,147
2019-03-30,29,30,40,52,113
2019-03-31,19,21,33,15,80
2019-04-01,15,19,32,38,136
2019-04-02,9,10,20,24,74
2019-04-03,6,3,14,36,118
2019-04-04,4,1,7,23,36
2019-04-05,8,7,14,26,50
2019-04-06,19,17,29,14,94
2019-04-07,34,31,42,12,80
2019-04-08,41,41,57,25,166
2019-04-09,26,27,41,24,171
2019-04-10,12,13,35,17,132
2019-04-11,11,12,30,25,164
2019-04-12,15,14,27,19,124
2019-04-13,13,12,19,13,52
2019-04-14,14,12,20,10,38
2019-04-15,29,35,41,17,35
2019-04-16,44,45,64,34,193
2019-04-17,45,48,63,46,188
2019-04-18,42,44,57,24,148
2019-04-19,31,33,48,30,148
2019-04-20,29,31,44,34,155
2019-04-21,27,27,37,33,109
2019-04-22,28,28,37,22,72
2019-04-23,28,35,53,22,140
2019-04-24,18,20,31,20,76
2019-04-25,6,4,18,15,55
2019-04-26,6,6,19,21,64
2019-04-27,8,9,32,6,21
2019-04-28,8,9,21,12,40
2019-04-29,13,13,24,21,78
2019-04-30,18,19,27,20,80
2019-05-01,17,20,31,19,68
2019-05-02,7,6,16,No data,77
2019-05-03,10,9,20,No data,119
2019-05-04,7,6,25,14,82
2019-05-05,8,7,19,25,57
2019-05-06,8,8,16,22,40
2019-05-07,12,15,24,33,59
2019-05-08,7,8,13,30,64
2019-05-09,8,10,No data,26,57
2019-05-10,8,10,No data,48,97
2019-05-11,11,10,23,24,91
2019-05-12,8,8,16,17,66
2019-05-13,10,12,23,27,98
2019-05-14,9,14,23,25,98
2019-05-15,15,26,29,27,97
2019-05-16,16,20,32,25,119
2019-05-17,13,16,30,28,157
2019-05-18,16,20,31,22,80
2019-05-19,14,19,22,23,70
