CityName,CityCode,MSOAName,MSOACode,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
Plymouth,J01000072,Plymouth 010,E02003131,0.08779319042699721,0.03131306818181816,0.11801884469696967,0.02234938877410466,0.019493155991735518,0.0031105113636363383,4.406852617079863e-05,0.00046383436639117797,0.2091707386363636,0.054096341253443495,0.41954961260330575,0.00020285812672176,7.894283746556129e-06,0.03381367079889804,0.0002787706611570239,2.190082644628075e-05,2.938188705234146e-05,0.00017759125344352517,6.51773415977946e-05
Plymouth,J01000072,Plymouth 011,E02003132,0.07437259887005647,0.04053320150659131,0.1825924011299435,0.030068738229755154,0.019707693032015045,0.003918323917137449,4.092278719397307e-05,0.0003381450094161901,0.189304472693032,0.025265753295668523,0.3977049435028248,0.00019386064030131494,2.0047080979284106e-05,0.03167869114877586,0.00394734463276836,2.0979284369114726e-05,5.903954802259775e-06,0.00017446327683615738,0.00011151600753295589
Plymouth,J01000072,Plymouth 012,E02003133,0.07228516098484845,0.040890170454545426,0.14961872159090908,0.035374346590909066,0.016805606060606038,0.0035372064393939147,3.920454545454394e-06,0.00021475378787878333,0.189920928030303,0.030359706439393914,0.4279096306818182,0.00024425189393939084,5.984848484848296e-06,0.032076079545454515,0.0005728598484848467,3.0511363636363066e-05,4.4507575757568184e-07,9.28219696969689e-05,5.6893939393937955e-05
Plymouth,J01000072,Plymouth 013,E02003134,0.08748033509700173,0.04736866181657845,0.16737071208112872,0.02601344797178128,0.02370674603174601,0.004055224867724842,0.00012462522045855233,0.0004910163139329734,0.1821165013227513,0.03186367945326276,0.39010498236331564,0.00031547619047618536,3.5890652557318826e-05,0.03486160714285711,0.0034611331569664875,0.0002798611111111109,1.999559082892403e-05,0.00026478174603174486,6.53218694885348e-05
Plymouth,J01000072,Plymouth 014,E02003135,0.07684180618975137,0.03657645865043122,0.17783923135464227,0.04060747082699135,0.033910502283105,0.004857458143074553,0.0001353627600202931,0.00027383307965499096,0.18154355657026885,0.029543581938102467,0.3872439497716895,0.000264370877727038,9.360730593607002e-06,0.029320129375951264,0.0007515347539320128,8.330796549974612e-05,0.0,0.0001501141552511405,4.7970573313038106e-05
Plymouth,J01000072,Plymouth 015,E02003136,0.07863088235294113,0.04102483419838521,0.13892265715109572,0.03308995818915799,0.01883752162629756,0.004184025374855798,8.470299884659284e-06,0.00030489475201844865,0.20573393886966548,0.030729736159169522,0.4178353517877739,0.00020276095732410293,2.6268742791233652e-05,0.02926905997693192,0.0009157223183390982,8.430651672433636e-05,1.47058823529406e-06,0.00016036620530565112,3.777393310265222e-05
Plymouth,J01000072,Plymouth 016,E02003137,0.07435590737240072,0.04096489445494641,0.15867836326402013,0.05038753938248264,0.014744596723377417,0.0033014413988657594,7.518903591682372e-05,0.00038453843730308233,0.2441205812854442,0.017588894139886554,0.3642704710144927,0.0002668872085696246,3.0749842470069096e-05,0.0289561988027725,0.0016439823566477617,6.924228103339575e-05,1.614681789539981e-06,8.018273471959647e-05,7.872558286074235e-05
Plymouth,J01000072,Plymouth 017,E02003138,0.06111276745495492,0.027665639076576543,0.2656627815315315,0.060594622747747726,0.01595323761261259,0.00551662443693691,0.0001355996621621609,0.00027675957207206557,0.13823312218468464,0.017629856418918902,0.37422913851351347,0.00028296734234233885,1.8299549549549548e-07,0.032250478603603576,0.00013068693693693602,7.098817567567528e-05,6.182432432432382e-05,8.65568693693683e-05,0.00010616554054053914
Plymouth,J01000072,Plymouth 018,E02003139,0.0792601638504864,0.03812474398361492,0.17735844854070656,0.016597772657450056,0.015476894521249342,0.0024430619559651584,6.272401433689708e-07,0.00017613927291346238,0.16096286482334865,0.03949882232462875,0.4368921146953405,0.0002203277009728594,2.560163850485407e-07,0.029666308243727568,0.0026780977982590872,0.00031817716333845333,1.1213517665130415e-05,0.0001815028161802345,0.000132462877624167
Plymouth,J01000072,Plymouth 019,E02003140,0.07525940069576215,0.03847631246046803,0.16562225648323842,0.024522556925996183,0.018754981024667907,0.004687318153067652,3.827482605945572e-05,0.0004629981024667862,0.20187812302340288,0.024437326059456015,0.40800147058823527,0.00028648798228968615,0.00014286843769765935,0.035633736559139755,0.0010975173940543943,0.00028006799493991095,0.0001127609108159391,0.00021472960151802564,9.081277672359099e-05
Plymouth,J01000072,Plymouth 020,E02003141,0.0664067226890756,0.03544073879551817,0.32578727240896355,0.07755568977591033,0.020583998599439757,0.0044646183473389086,1.491596638655392e-05,0.00023103991596638046,0.08540358893557419,0.009406740196078416,0.34461181722689077,0.00045110294117646586,2.9236694677870447e-06,0.02893886554621846,0.00042482492997198627,2.8011204481790617e-06,4.009103641456513e-06,0.0001214985994397755,0.0001468312324929944
Plymouth,J01000072,Plymouth 021,E02003142,0.08187561376210231,0.03726570712309817,0.16826422890733053,0.033376607883817404,0.023956578492392785,0.0036655947441216878,6.805843706777289e-05,0.0002919605809128569,0.18854811549100964,0.03662886410788379,0.3913925743430152,0.0002602351313969528,6.855117565698271e-06,0.03302971127247577,0.0007962828492392792,0.0002870331950207465,2.368603042876798e-06,0.00021087482710926574,7.273513139695588e-05
Plymouth,J01000072,Plymouth 022,E02003143,0.07316704369682904,0.04179883023975248,0.1518106728538283,0.026059986465583888,0.015505365429234318,0.003006013147718462,8.372003093580588e-06,0.0001932231245166236,0.22361896751740137,0.03144052590873934,0.40420438901778805,0.00036271268368135676,1.202629543696798e-05,0.02756880317092031,0.0010887664346481037,2.1896751740138978e-05,1.2180974477958237e-06,9.206303170920245e-05,3.912412993039335e-05
Plymouth,J01000072,Plymouth 023,E02003144,0.06035442244224419,0.031381419141914155,0.28604541254125415,0.07333125412541251,0.022060181518151794,0.004299224422442219,0.00018719471947194568,0.0005057425742574183,0.17493504950495048,0.007929785478547838,0.30261255775577556,0.0005677722772277167,8.415841584158417e-07,0.033972475247524725,0.0014405610561056088,3.674917491749109e-05,9.6056105610561e-05,9.813531353135242e-05,0.00014516501650164843
