CityName,CityCode,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
Birmingham,J01000007,0.09841985017055888,0.05634287947170468,0.16447550109332632,0.017379559783084034,0.02706287133735675,0.004625453249365843,9.74915595206846e-05,0.0005096202221639033,0.20210323510889527,0.03669430551911132,0.3550589397358524,0.000452043383189009,0.00012739578413364775,0.034213367707513306,0.0018631160675238322,0.00039610863290474873,3.47022653721681e-05,7.781649610775731e-05,6.574241231522655e-05
Bradford,J01000013,0.10332117764217304,0.048586072366907575,0.1654962300073856,0.030471504243701014,0.03388550119259499,0.004920191481118227,8.094178683423443e-05,0.0003750260312617222,0.17131883603937376,0.0328202880389379,0.380780176588815,0.0003519520419405954,5.051275531824701e-05,0.025702577397600252,0.0013850417105565824,0.00025923141186299023,3.761487050960713e-05,9.511338733306622e-05,6.201100577530657e-05
Brighton & Hove,J01000014,0.12426957514895047,0.052851277395313555,0.196421666771932,0.026473866291921912,0.01762387629213244,0.003943375123686787,6.943093538811236e-05,0.0005111591822985646,0.17952511210762329,0.03490315848754708,0.3120042721952041,0.0006847002042148189,8.418124592096596e-05,0.047862061832880665,0.0016201020021474114,0.0006342249310511794,3.0639066085601695e-05,0.00020346533611233767,0.0002838554495884096
Bristol,J01000015,0.08914437897511014,0.04536336450821311,0.18411523484450118,0.028918326666416243,0.023987772623697893,0.004205214749849733,6.218746869991908e-05,0.00041794511843949576,0.18048128896859975,0.024422919640174255,0.3805944201347155,0.00045094150641025087,8.346260266426223e-05,0.03515778495592946,0.001880040408403443,0.0004438531337640219,2.747082832532037e-05,0.00010757634089543153,0.00013581652519030236
Cambridge,J01000019,0.14859742365312587,0.0636182742725439,0.14402790046096223,0.014293060357245731,0.020760383895131063,0.0038449697493517453,0.0001254191875540179,0.0004518589743589662,0.2540521089023336,0.045317817631806374,0.27323925093632956,0.0005621996542783003,8.415370210313902e-05,0.028836840968020718,0.0012191155286660888,0.0002586488043791409,5.720253529242281e-05,9.618625756266133e-05,0.0005571845289541888
Carlisle,J01000021,0.17012900566171263,0.0797312349610757,0.16736488086812926,0.018916324604859616,0.026765343241330477,0.003896420146260883,8.29688605803248e-05,0.0003346532200990735,0.12722034088228354,0.042507741212550104,0.33387573484312333,0.0003848006605331402,0.00010947157348431191,0.026475745458834604,0.0017664071715027107,0.0003445647558386406,1.5501297475819605e-05,2.9426751592356246e-05,4.943382873319103e-05
Coventry,J01000028,0.14954083526081402,0.06856431657863543,0.16139937716481972,0.01666604325611901,0.02423494493734247,0.0044503201919425285,7.559665596483274e-05,0.0004357953303184012,0.1674885346543768,0.03812528710831863,0.33151204675435264,0.0004086955270940449,7.175233886836706e-05,0.034702153600073615,0.0018196706597162265,0.00033838966179905824,4.207920507243859e-05,6.367677011771955e-05,6.048434425380508e-05
Derby,J01000031,0.0996481651576374,0.05334497094183375,0.16589260357427912,0.01533685990970765,0.027544323992317644,0.004346063740895911,6.652387009877217e-05,0.00032321130150652884,0.17941442151800854,0.030517459530579643,0.39391949859074127,0.00030861456150852633,0.00016183216102963146,0.027657102726229645,0.0012200407812032307,0.00017305322757657342,2.196791130400065e-05,5.933197395989161e-05,4.395452958196057e-05
Doncaster,J01000032,0.17411706265088614,0.07847715215215212,0.13841208193487603,0.019732110787257826,0.02893855252311132,0.004993682653241448,9.197653535888749e-05,0.0003851461755873454,0.15422901283636575,0.043028680886769095,0.3292075892068539,0.0003813710769593081,2.5494612259317718e-05,0.02549920214331976,0.0021630181652240454,0.00019156656656656602,3.3666018960136384e-05,5.550403344520938e-05,3.712904080551058e-05
Exeter,J01000035,0.10832416733601068,0.04558996050870145,0.1626633614457831,0.026285538821954467,0.021495366131191414,0.003931596385542143,6.55689424364113e-05,0.0004994397590361359,0.21299005555555553,0.0336055348058902,0.35034175368139225,0.0005427751004016014,4.73232931726903e-05,0.03144924497991965,0.0015839631860776417,0.0002943567603748322,6.758768406961152e-05,0.00012552945113788409,9.687617135207368e-05
Leeds,J01000051,0.08763030397558211,0.04408745848770465,0.15047698395177853,0.02277466534211248,0.0298828521426423,0.004791817038757579,9.999216145483298e-05,0.0004738346162952079,0.2182999118563594,0.034757066848392915,0.38214282581152936,0.0003766686502985001,7.695963629150395e-05,0.022205715099277545,0.0015448937477204208,0.00025971547680750395,2.634758988731673e-05,3.817595454283642e-05,5.381161256470697e-05
Leicester,J01000052,0.14512767411823146,0.07346427322404368,0.17259744957774462,0.013447798062593126,0.02580056507699948,0.004482358668653722,0.00015883755588673502,0.00045657054148036977,0.1646723427719821,0.03532792722305015,0.3262706073025335,0.00044620864381519643,0.00010358718330849438,0.035138127670144036,0.002046875807252854,0.00032522155986090367,2.1023099850968553e-05,5.877521112766958e-05,5.377670144063486e-05
Lincoln,J01000053,0.15806834740162848,0.07756955919341772,0.15768333013599348,0.016402181651532573,0.0262114464765315,0.00426061303662017,0.00010612183996248347,0.0003825212090207539,0.18037985675917634,0.042243927185914625,0.30857654751246966,0.00042559896832501567,0.00012536449673871284,0.02600517969049748,0.0011838235921047006,0.0001993882423157262,8.153216523852134e-05,4.194590101035887e-05,5.271454150146967e-05
Liverpool,J01000054,0.08485839511893725,0.051090002133074394,0.18192720056048367,0.029118169748591414,0.034603467349250454,0.004511320556953059,9.236175471115134e-05,0.0003950643232269669,0.17905889602365505,0.02967539002162494,0.3754982291804581,0.0004592807125939605,0.00010014637303793884,0.026744557166394487,0.0013775749518219378,0.0003425529958662483,2.4745869926592666e-05,3.894239963517018e-05,8.37027597569752e-05
