CityName,CityCode,MSOAName,MSOACode,DailyLivingScoreZ,RoadIntersectionDensityZ,PopulationDensityZ,Walkability
Birmingham,J01000007,Birmingham 008,E02001834,4.932018353341583,-0.6322468229166414,0.15225379929134109,1.4840084432387606
Birmingham,J01000007,Birmingham 011,E02001837,2.882635165932506,-0.5946962530923919,0.5712907735654025,0.9530765621351721
Birmingham,J01000007,Birmingham 013,E02001839,3.2667252380041654,-0.6320818356177946,-0.523776006690649,0.7036224652319073
Birmingham,J01000007,Birmingham 014,E02001840,4.51946203549308,-0.2219540352724077,0.3217639399963527,1.5397573134056752
Birmingham,J01000007,Birmingham 016,E02001842,1.093643752087294,-0.3763335105293206,0.05359955769010427,0.2569699330826925
Birmingham,J01000007,Birmingham 017,E02001843,4.949276905251808,-0.5141516447338834,0.06324638560846298,1.4994572153754626
Birmingham,J01000007,Birmingham 019,E02001845,1.3894684638645967,-0.5284081163830429,0.15650288653333086,0.3391877446716282
Birmingham,J01000007,Birmingham 020,E02001846,1.1987157577004561,-0.7815077629696812,0.3462386170677904,0.25448220393285514
Birmingham,J01000007,Birmingham 022,E02001848,1.1663280148528663,-0.6100543093260853,-0.5049960089351788,0.017092565530534065
Birmingham,J01000007,Birmingham 023,E02001849,5.268153503533834,-0.04242929215599536,0.35472770928446945,1.8601506402207695
Birmingham,J01000007,Birmingham 024,E02001850,4.036400617295812,-0.35949524258486093,-0.511027256528753,1.0552927060607329
Birmingham,J01000007,Birmingham 025,E02001851,3.934166670990699,-0.4823503272063917,-0.3624602521535906,1.0297853638769057
Birmingham,J01000007,Birmingham 026,E02001852,5.929693642718597,-0.4862132592297674,0.280123831897863,1.907868071795564
Birmingham,J01000007,Birmingham 029,E02001855,1.8817169216434433,0.21155029000577077,-0.6248011871412023,0.48948867483600395
Birmingham,J01000007,Birmingham 030,E02001856,6.895597927070974,-0.6420783765985715,-0.03680357281879707,2.0722386592178688
Birmingham,J01000007,Birmingham 031,E02001857,3.82184144780259,-0.25975568271468075,0.018987452276017957,1.1936910724546423
Birmingham,J01000007,Birmingham 032,E02001858,2.042542103118598,-0.7477952810239403,0.1505783748977544,0.48177506566413747
Birmingham,J01000007,Birmingham 033,E02001859,4.637793634723476,-0.6487560724066826,-0.6330570756312068,1.1186601622285288
Birmingham,J01000007,Birmingham 034,E02001860,9.0316712924849,-0.784729068362465,1.3849726197725027,3.2106382812983125
Birmingham,J01000007,Birmingham 035,E02001861,2.1401378311755734,-0.512039211092281,1.297894843671249,0.9753311545848472
Birmingham,J01000007,Birmingham 036,E02001862,3.0836665338312343,-0.5585862362519232,-0.08433783051492451,0.8135808223547957
Birmingham,J01000007,Birmingham 037,E02001863,3.023633960852939,-0.027734761207948835,-0.5010476628679824,0.8316171789256691
Birmingham,J01000007,Birmingham 039,E02001865,8.778141904904759,-0.6954434744869757,1.3741073009989204,3.1522685771389014
Birmingham,J01000007,Birmingham 040,E02001866,6.131517124428672,-0.5066960846550322,1.6784523114615326,2.4344244504117243
Birmingham,J01000007,Birmingham 041,E02001867,2.786452080510426,0.7964923313074015,1.0355684637727034,1.5395042918635102
Birmingham,J01000007,Birmingham 042,E02001868,2.8941166507942255,-0.9412754594990036,0.08052526126966685,0.6777888175216296
Birmingham,J01000007,Birmingham 043,E02001869,3.457828016437634,0.14703313353229916,-0.824851209616624,0.9266699801177697
Birmingham,J01000007,Birmingham 044,E02001870,5.004024787728603,-0.6678063356329171,0.660767612992582,1.6656620216960893
Birmingham,J01000007,Birmingham 045,E02001871,3.0812018707561695,-0.7196638221044833,-0.06432394834335411,0.7657380334361107
Birmingham,J01000007,Birmingham 046,E02001872,1.6802790408995654,-0.8608657610761259,-0.4313530875563408,0.12935339742236623
Birmingham,J01000007,Birmingham 047,E02001873,-0.19056698394986302,-0.22035510067214567,0.43142346703416184,0.006833794137384386
Birmingham,J01000007,Birmingham 048,E02001874,-0.19056698394986302,-0.9526349435227405,0.05170044474424888,-0.3638338275761182
Birmingham,J01000007,Birmingham 049,E02001875,-0.19056698394986302,0.8487332815698422,0.48726492563094354,0.38181040775030756
Birmingham,J01000007,Birmingham 050,E02001876,-0.19056698394986302,1.568942715555955,-0.11412091050980513,0.42141827369876234
Birmingham,J01000007,Birmingham 051,E02001877,-0.19056698394986302,-0.6271982848932429,1.3393149982552037,0.1738499098040326
Birmingham,J01000007,Birmingham 052,E02001878,-0.19056698394986302,-0.5047123880810273,-0.31307795403959415,-0.33611910869016154
Birmingham,J01000007,Birmingham 053,E02001879,-0.19056698394986302,-0.41332101976287106,0.42074215801549014,-0.06104861523241465
Birmingham,J01000007,Birmingham 054,E02001880,-0.19056698394986302,-0.8639350445721174,0.7161814352878944,-0.11277353107802868
Birmingham,J01000007,Birmingham 055,E02001881,-0.19056698394986302,-0.6694291026275695,0.5751723343468925,-0.09494125074351334
Birmingham,J01000007,Birmingham 056,E02001882,-0.19056698394986302,-0.6402037764164588,0.14475306651791137,-0.2286725646161368
Birmingham,J01000007,Birmingham 057,E02001883,-0.19056698394986302,-0.8371353781655566,-0.49242468341222495,-0.5067090151758815
Birmingham,J01000007,Birmingham 058,E02001884,-0.19056698394986302,-0.8820692482586738,0.8460161880622,-0.07554001471544558
Birmingham,J01000007,Birmingham 060,E02001886,-0.19056698394986302,-0.8794309997680055,0.014550455927786832,-0.3518158425966939
Birmingham,J01000007,Birmingham 062,E02001888,-0.19056698394986302,-0.6406440057872065,0.0913577044332988,-0.24661776176792358
