CityName,CityCode,DailyLivingScoreZ,RoadIntersectionDensityZ,PopulationDensityZ,Walkability
Birmingham,J01000007,5.199469468957455,-0.875385584194313,-0.2535789929461947,1.3568349639389823
Bradford,J01000013,-0.18569533817705197,-0.9810436085874914,0.9408340997679993,-0.07530161566551467
Brighton & Hove,J01000014,-0.18569533817705197,-0.2203891159635479,1.878708979447214,0.49087484176887136
Bristol,J01000015,-0.18569533817705197,0.3127508053276592,-0.7163178108886266,-0.19642078124600645
Cambridge,J01000019,-0.18569533817705197,0.3854786976943272,-1.1834262182671786,-0.3278809529166345
Carlisle,J01000021,-0.18569533817705197,-1.0922123000749135,0.1752418705105721,-0.3675552559137978
Coventry,J01000028,-0.18569533817705197,-0.41689667661968755,-0.10584470344900652,-0.23614557274858203
Derby,J01000031,-0.18569533817705197,0.26233997060480424,-0.4842045892158662,-0.1358533189293713
Doncaster,J01000032,-0.18569533817705197,-1.309392572931593,2.2692670579745244,0.2580597156219599
Exeter,J01000035,-0.18569533817705197,1.0385394993782435,-0.24009717724512852,0.20424899465202104
Leeds,J01000051,-0.18569533817705197,0.5473654315735543,0.8623471416515083,0.40800574501600356
Leicester,J01000052,-0.18569533817705197,-0.8053136722936463,-0.5040499379091739,-0.4983529827932907
Lincoln,J01000053,-0.18569533817705197,-0.5030314841076415,-0.8404251270339653,-0.509717316439553
Liverpool,J01000054,-0.18569533817705197,-0.7708705815185345,-0.6374567511788364,-0.5313408902914744
Manchester,J01000058,-0.18569533817705197,0.19251423060616576,0.029271904053030106,0.012030265494047968
Newcastle-upon-Tyne,J01000062,-0.18569533817705197,-0.4390323392181791,-0.7467246986719817,-0.4571507920224042
Norwich,J01000066,-0.18569533817705197,1.5446155182833987,-1.4008778365702728,-0.013985885487975377
Nottingham,J01000067,-0.18569533817705197,1.0619676629670416,-0.13519046198168622,0.2470272876027678
Oxford,J01000070,-0.18569533817705197,0.7233346074730679,-0.5583522513848409,-0.006904327362941665
Plymouth,J01000072,-0.18569533817705197,0.4271887658528211,-0.5720289240261515,-0.11017849878346077
Portsmouth,J01000074,-0.18569533817705197,-0.2188059491307165,0.28876267469924166,-0.0385795375361756
Preston,J01000075,-0.18569533817705197,-0.5777456423998754,-0.31454962675901504,-0.35933020244531416
Salford,J01000080,-0.18569533817705197,3.087212272439101,2.897244667485607,1.9329205339158853
Sheffield,J01000082,-0.18569533817705197,-0.26529715501214884,-0.27331177245406374,-0.2414347552144215
Southampton,J01000087,-0.18569533817705197,1.060360131515944,-0.44693545118265615,0.142576447385412
Southend-on-Sea,J01000088,-0.18569533817705197,-1.4983744060390105,-0.15443505963947735,-0.6128349346185132
Stoke on Trent,J01000095,-0.18569533817705197,-1.0153988588405658,-1.0385776551813595,-0.7465572840663257
Sunderland,J01000096,-0.18569533817705197,-0.5552346805253906,0.8350966676290053,0.03138888297552089
York,J01000112,-0.18569533817705197,0.9007570337411266,0.42960998276676304,0.38155722611027926
