CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Birmingham 081,E02001907,43.157,2.8767301186447103,15.00210246358883
Birmingham,J01000007,Birmingham 082,E02001908,12.781,0.5286219770507811,24.177958077539817
Birmingham,J01000007,Birmingham 083,E02001909,22.452,0.867233394302368,25.88922445503976
Birmingham,J01000007,Birmingham 084,E02001910,21.29,0.880423810966492,24.181535908971767
Birmingham,J01000007,Birmingham 085,E02001911,29.086,1.3862035901413,20.982487858825397
Birmingham,J01000007,Birmingham 087,E02001913,40.685,2.47397772000885,16.445176393849845
Birmingham,J01000007,Birmingham 088,E02001914,27.224,2.36335515695953,11.519216618725997
Birmingham,J01000007,Birmingham 089,E02001915,36.967,1.92453075653076,19.20831863796153
Birmingham,J01000007,Birmingham 090,E02001916,27.033,1.45827211103058,18.53769251672476
Birmingham,J01000007,Birmingham 092,E02001918,28.809,1.63812735794067,17.5865446971208
Birmingham,J01000007,Birmingham 093,E02001919,19.472,1.09610989025116,17.764642188876003
Birmingham,J01000007,Birmingham 094,E02001920,32.629,2.77735450263977,11.748230184150914
Birmingham,J01000007,Birmingham 095,E02001921,31.634,1.99955124155426,15.8205498026701
Birmingham,J01000007,Birmingham 096,E02001922,31.227,1.42482147732544,21.916429880476542
Birmingham,J01000007,Birmingham 097,E02001923,31.6,1.74462894823456,18.11273396098176
Birmingham,J01000007,Birmingham 098,E02001924,19.836,1.15629418610382,17.154803888479453
Birmingham,J01000007,Birmingham 099,E02001925,36.06,2.20766707830048,16.333984573326127
Birmingham,J01000007,Birmingham 100,E02001926,30.329,1.76323612712097,17.20075917995255
Birmingham,J01000007,Birmingham 101,E02001927,30.527,1.51612413506317,20.134894824247407
Birmingham,J01000007,Birmingham 102,E02001928,25.511,1.60379848279572,15.90661188027162
Birmingham,J01000007,Birmingham 103,E02001929,25.293,1.39618670027924,18.11577204892537
Birmingham,J01000007,Birmingham 104,E02001930,23.72,1.28565377576447,18.449757195241556
Birmingham,J01000007,Birmingham 105,E02001931,34.061,2.50326813557434,13.606612697998164
Birmingham,J01000007,Birmingham 106,E02001932,41.834,3.3370076301422102,12.536381284275697
Birmingham,J01000007,Birmingham 107,E02001933,23.724,1.66000482810974,14.291524698162895
Birmingham,J01000007,Birmingham 108,E02001934,25.235,1.20650804772186,20.9157328437626
Birmingham,J01000007,Birmingham 109,E02001935,42.8,1.96826518704987,21.74503734639065
Birmingham,J01000007,Birmingham 110,E02001936,23.333,1.23246854064178,18.93192339647864
Birmingham,J01000007,Birmingham 111,E02001937,26.518,1.83661074740601,14.43855211968756
Birmingham,J01000007,Birmingham 112,E02001938,30.311,1.84907767814636,16.392496842201776
Birmingham,J01000007,Birmingham 113,E02001939,31.392,1.7182088904953,18.270188318575617
Birmingham,J01000007,Birmingham 115,E02001941,17.072,1.40247964094543,12.172725722058637
Birmingham,J01000007,Birmingham 116,E02001942,19.507,1.16292166729736,16.77413066465125
Birmingham,J01000007,Birmingham 117,E02001943,25.26,1.67835426228333,15.050457801224182
Birmingham,J01000007,Birmingham 118,E02001944,27.976,1.86879282928467,14.970091687856357
Birmingham,J01000007,Birmingham 119,E02001945,26.69,1.60721267634583,16.6063896787341
Birmingham,J01000007,Birmingham 120,E02001946,31.151,1.7985735508270302,17.319836592546338
Birmingham,J01000007,Birmingham 121,E02001947,22.958,1.22756093317413,18.702126615122083
Birmingham,J01000007,Birmingham 122,E02001948,23.27,1.25156931157684,18.59265786141908
Birmingham,J01000007,Birmingham 123,E02001949,35.314,1.9065216418457,18.52273754721849
Birmingham,J01000007,Birmingham 124,E02001950,37.198,1.88134447467804,19.7720303222863
Birmingham,J01000007,Birmingham 125,E02001951,37.219,1.61583961035156,23.03384553860653
Birmingham,J01000007,Birmingham 126,E02001952,37.132,1.66725703669739,22.27131101126042
Birmingham,J01000007,Birmingham 127,E02001953,38.771,2.1792994107666,17.790579765431012
Birmingham,J01000007,Birmingham 128,E02001954,34.542,1.83863891524506,18.786723001234925
Birmingham,J01000007,Birmingham 129,E02001955,47.555,2.84913572087097,16.691026563473997
Birmingham,J01000007,Birmingham 130,E02001956,35.771,1.61343455205536,22.170716472156368
Birmingham,J01000007,Birmingham 131,E02001957,28.857,1.340695597229,21.523901517721644
Birmingham,J01000007,Sandwell 032,E02002074,29.386,1.36821796550751,21.47757209802454
Birmingham,J01000007,Sandwell 036,E02002078,23.779,1.16122416593933,20.47752767939069
Birmingham,J01000007,Sandwell 037,E02002079,33.76,1.92937420797729,17.497901578871616
