CityName,CityCode,RoadLength,Area,RoadDensity
Birmingham,J01000007,5082.701,229.134913131866,22.182132484868994
Bradford,J01000013,1736.36,70.00252428527831,24.804248385728002
Brighton & Hove,J01000014,866.512,31.5250456505432,27.486462973133534
Bristol,J01000015,3123.888,112.459984848835,27.77777361609133
Cambridge,J01000019,1051.405,37.6249812996979,27.944332825713378
Carlisle,J01000021,478.003,18.9174732497559,25.267803669613638
Coventry,J01000028,1934.583,73.5774244995575,26.293160071288373
Derby,J01000031,1615.098,58.6999713495178,27.514459766653147
Doncaster,J01000032,724.665,31.0900253001251,23.308601167239452
Exeter,J01000035,840.051,27.3274838507118,30.740151731097598
Leeds,J01000051,3281.582,111.6324759991,29.39630220175764
Leicester,J01000052,1876.331,78.31752019362641,23.957998100056013
Lincoln,J01000053,734.886,27.4899595995789,26.732887596213754
Liverpool,J01000054,2985.518,123.312586250725,24.210975463037514
Manchester,J01000058,2607.52,97.3875176527405,26.774683890165097
Newcastle-upon-Tyne,J01000062,1564.35,57.8950245005493,27.02045665401105
Norwich,J01000066,1435.402,52.6225582991791,27.277313121859226
Nottingham,J01000067,1782.064,62.502492999298106,28.511886718182783
Oxford,J01000070,966.182,32.6874859996948,29.558161799565166
Plymouth,J01000072,1722.25,59.7301065250406,28.833867879977458
Portsmouth,J01000074,959.207,33.1000210799294,28.979044988633763
Preston,J01000075,794.665,30.5050729502869,26.050257322611195
Salford,J01000080,726.835,18.827501732894905,38.60496258672989
Sheffield,J01000082,3236.431,122.485069650085,26.42306535193087
Southampton,J01000087,1580.028,53.5374782001801,29.512559297099745
Southend-on-Sea,J01000088,760.168,36.1499882496948,21.02816727765929
Stoke on Trent,J01000095,1829.757,75.9975980004272,24.076510944328984
Sunderland,J01000096,1093.927,39.137487501098605,27.950874464521846
York,J01000112,967.778,33.697505900329595,28.719573575044144
