CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Birmingham 081,E02001907,54.312,2.8767301186447103,18.879768959900748
Birmingham,J01000007,Birmingham 082,E02001908,13.182,0.5286219770507811,24.93653418184257
Birmingham,J01000007,Birmingham 083,E02001909,22.944,0.867233394302368,26.45654578195404
Birmingham,J01000007,Birmingham 084,E02001910,22.372,0.880423810966492,25.410489495327216
Birmingham,J01000007,Birmingham 085,E02001911,30.377,1.3862035901413,21.91380848819153
Birmingham,J01000007,Birmingham 087,E02001913,45.689,2.47397772000885,18.46783001741688
Birmingham,J01000007,Birmingham 088,E02001914,31.745,2.36335515695953,13.43217497654484
Birmingham,J01000007,Birmingham 089,E02001915,44.719,1.92453075653076,23.23631350044639
Birmingham,J01000007,Birmingham 090,E02001916,28.581,1.45827211103058,19.59922279512116
Birmingham,J01000007,Birmingham 092,E02001918,28.864,1.63812735794067,17.620119620177544
Birmingham,J01000007,Birmingham 093,E02001919,19.683,1.09610989025116,17.957141136177402
Birmingham,J01000007,Birmingham 094,E02001920,41.562,2.77735450263977,14.964600291571312
Birmingham,J01000007,Birmingham 095,E02001921,35.326,1.99955124155426,17.66696409967516
Birmingham,J01000007,Birmingham 096,E02001922,37.431,1.42482147732544,26.270659584850204
Birmingham,J01000007,Birmingham 097,E02001923,33.631,1.74462894823456,19.276878349423335
Birmingham,J01000007,Birmingham 098,E02001924,20.745,1.15629418610382,17.940936008595802
Birmingham,J01000007,Birmingham 099,E02001925,38.631,2.20766707830048,17.49856234199006
Birmingham,J01000007,Birmingham 100,E02001926,33.851,1.76323612712097,19.198222790087826
Birmingham,J01000007,Birmingham 101,E02001927,30.809,1.51612413506317,20.320895425041385
Birmingham,J01000007,Birmingham 102,E02001928,25.809,1.60379848279572,16.092420760375145
Birmingham,J01000007,Birmingham 103,E02001929,26.682,1.39618670027924,19.110624671230248
Birmingham,J01000007,Birmingham 104,E02001930,24.578,1.28565377576447,19.11712193695813
Birmingham,J01000007,Birmingham 105,E02001931,37.007,2.50326813557434,14.78347424076856
Birmingham,J01000007,Birmingham 106,E02001932,46.215,3.3370076301422102,13.849234140957147
Birmingham,J01000007,Birmingham 107,E02001933,27.746,1.66000482810974,16.71440921746871
Birmingham,J01000007,Birmingham 108,E02001934,25.235,1.20650804772186,20.9157328437626
Birmingham,J01000007,Birmingham 109,E02001935,49.383,1.96826518704987,25.08960699244882
Birmingham,J01000007,Birmingham 110,E02001936,23.938,1.23246854064178,19.422808137183637
Birmingham,J01000007,Birmingham 111,E02001937,31.437,1.83661074740601,17.11685507906395
Birmingham,J01000007,Birmingham 112,E02001938,34.549,1.84907767814636,18.68445031180856
Birmingham,J01000007,Birmingham 113,E02001939,34.407,1.7182088904953,20.024922575090187
Birmingham,J01000007,Birmingham 115,E02001941,22.679,1.40247964094543,16.170644719456877
Birmingham,J01000007,Birmingham 116,E02001942,19.755,1.16292166729736,16.987386644803678
Birmingham,J01000007,Birmingham 117,E02001943,28.56,1.67835426228333,17.016669627987433
Birmingham,J01000007,Birmingham 118,E02001944,32.289,1.86879282928467,17.277998659893978
