CityName,CityCode,RoadLength,Area,RoadDensity
Birmingham,J01000007,3866.135,229.134913131866,16.872745175132078
Bradford,J01000013,1413.99,70.00252428527831,20.19912873766704
Brighton & Hove,J01000014,610.704,31.5250456505432,19.37202587332263
Bristol,J01000015,2326.42,112.459984848835,20.68664692714566
Cambridge,J01000019,673.022,37.6249812996979,17.88763679745414
Carlisle,J01000021,382.015,18.9174732497559,20.193764513711116
Coventry,J01000028,1421.404,73.5774244995575,19.318479950443884
Derby,J01000031,1218.154,58.6999713495178,20.752207743794862
Doncaster,J01000032,637.481,31.0900253001251,20.504357711070597
Exeter,J01000035,590.476,27.3274838507118,21.607404590401757
Leeds,J01000051,2319.211,111.6324759991,20.775414853458038
Leicester,J01000052,1445.334,78.31752019362641,18.454797808034062
Lincoln,J01000053,539.483,27.4899595995789,19.624728732168233
Liverpool,J01000054,2485.233,123.312586250725,20.153928123337764
Manchester,J01000058,2003.903,97.3875176527405,20.57658977555436
Newcastle-upon-Tyne,J01000062,1199.431,57.8950245005493,20.71734160832111
Norwich,J01000066,969.695,52.6225582991791,18.42736330846779
Nottingham,J01000067,1204.549,62.502492999298106,19.27201527807102
Oxford,J01000070,637.332,32.6874859996948,19.497736840512932
Plymouth,J01000072,1250.435,59.7301065250406,20.934752551894096
Portsmouth,J01000074,749.806,33.1000210799294,22.65273481818578
Preston,J01000075,641.667,30.5050729502869,21.034763661955616
Salford,J01000080,450.15,18.827501732894905,23.909173207697012
Sheffield,J01000082,2190.269,122.485069650085,17.8819263952509
Southampton,J01000087,1182.946,53.5374782001801,22.0956615770524
Southend-on-Sea,J01000088,624.087,36.1499882496948,17.26382303887108
Stoke on Trent,J01000095,1453.661,75.9975980004272,19.1277229576628
Sunderland,J01000096,912.733,39.137487501098605,23.321195566638742
York,J01000112,676.455,33.697505900329595,20.07433434393682
