CityName,CityCode,Date,ActualCost,PerCitizenCost
Birmingham,J01000007,2019-01,2368160.39356,2.1304280570966427
Birmingham,J01000007,2021-01,2449017.4016,2.203168078849287
Birmingham,J01000007,2021-02,2347678.05605,2.112001878437084
Birmingham,J01000007,2021-03,2557244.52627,2.3005306154253056
Birmingham,J01000007,2021-04,2512142.70878,2.2599564306411812
Birmingham,J01000007,2021-05,2410027.47145,2.168092227837807
Birmingham,J01000007,2021-06,2578214.07553,2.3193950961461476
Birmingham,J01000007,2021-07,2574306.27328,2.315879586142
Birmingham,J01000007,2021-08,2463778.14943,2.2164470406148316
Birmingham,J01000007,2021-10,2510344.79351,2.2583390025540018
Birmingham,J01000007,2021-11,2612826.71585,2.350533079987297
Birmingham,J01000007,2021-12,2709671.8595499997,2.4376562376471878
Birmingham,J01000007,2022-01,2586556.19281,2.32689977393623
Birmingham,J01000007,2022-02,2465609.92841,2.2180949329383433
Birmingham,J01000007,2022-03,2802127.00209,2.520830092858062
Birmingham,J01000007,2022-04,2550025.66646,2.294036434743417
Birmingham,J01000007,2022-05,2751976.21991,2.4757137934164515
Birmingham,J01000007,2022-06,2707694.22541,2.4358771321144777
Birmingham,J01000007,2022-07,2653286.00324,2.386930783985808
Birmingham,J01000007,2022-08,2830843.00981,2.546663388905432
Birmingham,J01000007,2020-12,2720850.9139,2.4477130611224114
Birmingham,J01000007,2020-11,2445784.24258,2.200259486716763
Birmingham,J01000007,2021-09,2621936.75793,2.3587285929691637
Birmingham,J01000007,2020-09,2626862.12182,2.3631595147307145
Birmingham,J01000007,2020-10,2588208.33001,2.3283860581653832
Birmingham,J01000007,2019-03,2305088.56189,2.0736878125728126
Birmingham,J01000007,2019-04,2269237.85991,2.0414360522729176
Birmingham,J01000007,2019-05,2423819.96203,2.180500132719917
Birmingham,J01000007,2019-06,2268978.19081,2.041202450555016
Birmingham,J01000007,2019-07,2347596.19851,2.111928238323697
Birmingham,J01000007,2019-08,2580948.03922,2.321854605632118
Birmingham,J01000007,2019-09,2392803.8775400002,2.152597657533495
Birmingham,J01000007,2019-10,2553501.94946,2.2971637443875386
Birmingham,J01000007,2019-11,2411411.0281499997,2.1693368935370896
Birmingham,J01000007,2019-02,2178715.57822,1.9600010239575958
Birmingham,J01000007,2020-01,2536739.14482,2.282083706135991
Birmingham,J01000007,2020-02,2354806.11777,2.1184143759698952
Birmingham,J01000007,2020-03,2796615.67099,2.5158720273320445
Birmingham,J01000007,2020-04,2457720.18359,2.210997215328687
Birmingham,J01000007,2020-05,2367658.93195,2.1299769356749665
Birmingham,J01000007,2020-06,2514204.30298,2.2618110677417644
Birmingham,J01000007,2020-07,2596813.35744,2.336127253364328
Birmingham,J01000007,2020-08,2354201.26903,2.117870246134138
Birmingham,J01000007,2019-12,2505030.0465700002,2.253557786708937
Bradford,J01000013,2020-12,1002085.86376,1.9562513933875778
Bradford,J01000013,2021-07,976275.56062,1.9058650509518826
Bradford,J01000013,2021-06,981027.40343,1.9151415006598365
Bradford,J01000013,2021-05,891767.72626,1.7408905964688979
Bradford,J01000013,2021-01,921196.84158,1.798341509542253
Bradford,J01000013,2021-03,1027651.84258,2.0061607709156504
Bradford,J01000013,2021-02,877212.04567,1.7124752964774874
Bradford,J01000013,2021-08,946432.3889100001,1.8476058255181087
Bradford,J01000013,2021-04,943984.96221,1.842828009499305
Bradford,J01000013,2021-10,956705.54125,1.8676608620238635
Bradford,J01000013,2022-03,1094765.14451,2.137177977288345
Bradford,J01000013,2021-12,1063816.70952,2.0767610796333025
Bradford,J01000013,2022-01,1001532.70631,1.9551715308014868
Bradford,J01000013,2022-02,972296.35092,1.8980969196951476
Bradford,J01000013,2022-04,1011635.7838,1.9748945506863862
Bradford,J01000013,2022-05,1111209.3178400001,2.1692799539285663
Bradford,J01000013,2022-06,1065798.23166,2.080629366361606
Bradford,J01000013,2022-07,1091423.37892,2.1306542513001516
Bradford,J01000013,2022-08,1129289.36573,2.2045754512072278
